"","DLM017","NLM001","NLM024","DLM024","DOF011","NLM010","DOM008","DLM005","DLM012","DOF003","DLM023","NOF006","NLF008","NOF014","NOM004","DOF014","DOM016","DLM021","DLM003","NOM019"
"COG0001",9,17,4,18,16,20,5,8,13,4,16,11,10,12,4,29,19,4,6,46
"COG0002",68,49,47,25,39,39,47,36,50,39,40,36,47,47,37,47,35,66,30,50
"COG0003",1,8,5,0,6,13,3,11,2,16,11,10,4,3,34,13,8,1,4,8
"COG0004",76,76,84,35,97,54,30,55,58,26,65,40,46,53,26,48,35,53,25,65
"COG0005",30,29,44,28,28,18,28,25,3,25,16,22,27,29,18,20,28,24,39,39
"COG0006",139,132,153,98,139,124,122,120,82,132,109,109,125,79,130,112,149,139,132,116
"COG0007",17,10,8,19,18,15,5,16,17,8,17,6,9,10,12,8,22,6,7,20
"COG0008",145,131,169,111,139,112,84,146,153,120,140,100,140,144,100,133,113,148,117,180
"COG0009",44,50,47,34,60,55,52,60,42,49,64,48,41,59,60,55,50,56,53,56
"COG0010",9,11,8,19,11,24,29,14,6,20,24,13,31,21,28,15,13,21,17,16
"COG0011",0,0,0,3,0,0,3,2,13,0,0,0,1,1,1,5,1,0,1,0
"COG0012",65,48,71,26,40,46,27,45,57,46,55,29,48,57,31,58,52,54,37,68
"COG0013",156,110,127,54,101,108,87,102,115,113,123,99,138,120,106,106,113,135,117,122
"COG0014",70,46,45,25,61,51,44,47,53,38,59,46,50,55,51,59,60,68,34,57
"COG0015",81,71,65,31,51,66,56,67,80,47,61,46,75,60,49,63,64,55,71,84
"COG0016",66,54,34,20,64,58,58,46,53,49,46,40,51,54,62,63,45,59,47,43
"COG0017",86,70,74,26,50,69,42,75,31,68,85,56,61,58,52,53,55,58,70,65
"COG0018",97,93,117,53,87,79,83,72,100,60,93,81,87,82,74,92,74,93,88,87
"COG0019",90,113,81,60,126,102,93,87,96,70,106,88,106,96,76,91,112,88,84,98
"COG0020",30,34,46,12,49,41,28,40,54,35,35,31,43,35,33,39,29,38,49,46
"COG0021",72,61,92,64,86,41,47,69,49,48,32,41,82,25,60,27,68,47,35,50
"COG0022",5,4,5,1,0,23,24,12,1,15,4,35,36,4,20,3,15,24,23,5
"COG0023",7,4,5,1,3,6,15,7,2,9,4,15,4,5,13,14,8,9,14,5
"COG0024",49,73,45,31,96,76,62,49,49,70,53,55,65,81,62,77,68,61,69,60
"COG0025",6,14,9,34,1,7,11,17,100,11,2,6,7,18,15,21,17,3,7,9
"COG0026",1,2,4,22,1,2,2,7,33,7,0,2,5,0,4,6,2,4,5,5
"COG0027",20,25,32,20,29,25,34,21,40,27,14,27,28,9,22,30,45,27,19,19
"COG0028",104,92,102,194,82,114,114,101,192,113,125,112,103,92,112,92,117,120,99,81
"COG0029",62,57,87,32,59,63,51,41,26,37,47,55,45,44,62,56,58,53,44,52
"COG0030",75,59,74,41,65,51,53,119,95,66,52,38,52,60,40,53,61,44,59,69
