"","NOM004","NLM024","DLM015","NOM019","DLF003","NOF002","NLF013","NLM026","DOF007","DOM005","NLF001","NOF011","DLM023","DLM018","NOM017","DOM016","NLM028","NOM001","DLM021","NLF005"
"COG0001",1,0,2,3,2,1,0,0,0,0,0,0,0,2,1,0,0,4,0,0
"COG0002",6,4,9,5,3,3,7,1,7,2,4,3,5,7,4,5,4,4,4,6
"COG0003",4,0,0,0,0,3,0,0,0,1,0,1,1,2,0,3,0,0,0,0
"COG0004",1,14,4,5,6,6,4,8,3,4,6,3,4,9,15,4,4,8,9,5
"COG0005",1,6,1,1,3,0,2,1,5,4,4,2,2,3,2,0,0,3,3,5
"COG0006",11,18,18,8,12,8,10,15,8,16,13,18,10,17,18,18,15,8,9,13
"COG0007",4,1,2,1,2,2,0,2,0,2,2,1,0,2,0,0,2,15,0,1
"COG0008",6,12,17,15,18,7,21,17,12,12,11,11,17,16,17,9,14,23,15,13
"COG0009",6,2,8,8,3,4,4,9,4,5,1,0,4,5,6,5,4,3,3,6
"COG0010",0,0,2,4,1,1,0,1,3,1,1,2,4,0,0,2,2,1,0,3
"COG0012",6,8,4,5,6,2,6,5,2,5,5,3,5,6,9,4,6,0,2,10
"COG0013",6,17,15,16,12,13,9,17,10,10,11,15,16,6,15,10,7,10,17,7
"COG0014",2,8,8,8,1,6,6,8,6,6,1,6,4,6,7,8,9,4,9,1
"COG0015",7,4,5,9,14,3,9,14,5,6,4,6,7,8,10,10,7,9,7,10
"COG0016",6,4,8,4,2,4,5,7,2,6,6,6,4,5,1,7,7,7,6,4
"COG0017",5,6,8,6,6,11,5,5,4,7,4,8,9,6,8,4,6,11,5,8
"COG0018",6,6,8,9,5,7,15,10,5,3,5,8,4,6,8,7,6,9,4,5
"COG0019",6,8,15,4,12,10,8,5,9,8,5,5,5,12,9,8,6,7,5,12
"COG0020",5,3,5,2,5,4,6,3,3,5,2,6,2,1,6,3,6,4,5,3
"COG0021",8,11,3,3,4,4,0,2,2,6,5,7,7,4,11,7,4,11,4,1
"COG0022",3,0,2,2,0,3,1,1,0,9,2,2,1,0,0,1,3,0,3,1
"COG0023",1,1,1,2,0,2,1,0,0,0,2,1,1,1,0,1,1,0,1,1
"COG0024",5,11,9,4,5,6,9,3,7,5,9,7,6,8,3,6,5,8,14,5
"COG0025",0,0,1,2,0,1,5,1,0,1,0,1,0,1,1,0,1,0,0,2
"COG0026",1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"COG0027",3,3,2,3,6,0,2,0,0,3,0,2,1,3,2,3,1,1,3,3
"COG0028",9,7,15,9,14,19,16,6,7,9,5,10,12,4,10,14,23,9,10,7
"COG0029",8,5,7,5,4,7,7,3,7,4,9,1,7,9,4,6,2,4,6,2
"COG0030",5,4,4,8,8,6,6,7,1,4,8,2,12,8,13,9,5,5,10,4
"COG0031",3,8,2,8,6,4,9,12,5,4,6,3,3,11,7,7,10,4,10,5
"COG0033",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG0034",13,11,16,12,9,5,8,11,9,3,9,8,4,15,13,7,8,17,15,8
"COG0035",6,5,3,7,5,3,8,2,9,5,7,3,7,4,8,3,0,6,3,7
"COG0036",2,2,3,3,6,5,2,5,0,2,3,3,4,4,4,2,5,2,5,3
"COG0037",9,5,7,12,12,8,9,11,8,10,11,5,6,9,8,16,13,9,11,11
"COG0038",9,5,6,5,6,8,4,6,10,8,7,10,11,9,7,11,9,5,8,6
"COG0039",4,4,7,10,2,6,9,1,5,1,7,8,8,2,4,9,6,9,11,7
"COG0040",2,2,1,4,3,1,3,1,1,1,5,6,4,2,7,3,2,6,5,3
"COG0041",4,3,5,1,3,2,2,2,6,2,4,2,3,1,1,2,2,2,5,1
"COG0042",8,3,4,6,3,10,11,7,5,6,8,3,6,7,5,11,7,3,9,9
"COG0043",0,0,1,0,0,2,0,0,0,2,1,0,2,0,0,2,1,0,2,0
"COG0044",9,1,12,7,8,8,2,6,2,5,5,4,8,10,6,7,8,9,3,12
"COG0045",1,0,2,1,0,3,0,0,2,2,1,2,0,1,0,2,1,0,2,0
"COG0046",4,29,13,20,8,11,13,16,8,11,14,14,15,21,28,11,17,18,13,13
"COG0047",6,19,11,15,17,14,14,13,7,11,6,10,11,14,19,12,14,10,12,14
"COG0048",2,2,1,2,4,0,7,2,0,1,0,1,2,2,5,0,3,0,2,1
"COG0049",0,1,5,3,3,4,3,3,5,3,3,2,2,2,1,1,0,0,3,7
"COG0050",7,10,5,11,13,1,7,10,3,3,3,4,8,10,7,9,6,9,5,9
"COG0051",1,1,2,3,6,3,1,1,3,2,2,0,4,6,1,2,1,1,0,3
"COG0052",3,5,3,7,1,3,3,6,3,2,1,4,3,1,3,2,5,4,4,4
"COG0053",2,5,6,4,3,2,3,1,2,4,3,4,3,6,7,8,10,6,3,10
"COG0054",2,4,2,6,3,3,2,2,2,3,4,0,3,1,3,4,2,0,1,2
"COG0055",5,9,5,12,8,5,5,6,2,7,3,8,17,3,5,8,7,14,8,7
"COG0056",2,11,1,7,7,3,4,7,7,2,10,9,11,12,8,13,6,14,10,11
"COG0057",4,8,2,7,9,5,8,8,1,4,0,1,7,4,1,1,2,4,3,6
"COG0058",10,11,14,13,19,19,19,16,10,4,13,11,19,16,16,17,19,14,14,17
"COG0059",1,5,8,5,2,3,6,1,2,2,5,2,5,9,4,7,1,5,0,4
"COG0060",10,6,6,16,14,7,12,20,11,9,10,12,10,10,11,6,9,10,16,17
"COG0061",1,9,3,4,3,4,4,3,3,2,2,3,7,3,3,3,1,1,5,3
"COG0062",2,3,4,5,7,3,2,4,2,0,2,5,3,7,13,3,5,8,3,5
"COG0063",5,9,6,6,5,4,5,4,3,4,5,0,4,3,8,3,2,6,8,9
"COG0064",0,0,0,3,4,2,2,4,0,0,3,0,0,3,1,1,1,0,1,7
"COG0065",8,3,2,6,5,8,5,4,7,4,5,1,4,7,12,6,12,8,6,4
"COG0066",2,5,2,4,2,2,6,5,0,3,4,3,2,9,0,2,3,2,3,5
"COG0067",7,11,10,6,15,5,21,7,4,10,12,8,5,7,6,4,2,12,10,7
"COG0068",0,3,1,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0
"COG0069",8,20,14,10,8,9,5,10,4,12,8,7,13,15,15,15,11,10,8,11
"COG0070",8,8,13,5,13,8,13,11,11,8,9,2,19,12,6,7,17,11,10,9
"COG0071",5,1,4,7,5,5,10,3,3,1,5,0,4,9,6,4,5,4,0,3
"COG0072",3,7,7,7,6,14,8,3,4,7,5,11,9,13,10,15,5,14,6,6
"COG0073",9,14,15,21,16,21,18,20,6,14,14,16,10,14,17,24,16,19,8,19
"COG0074",2,1,1,0,1,1,0,0,2,4,5,0,0,0,2,1,1,0,0,1
"COG0075",2,10,2,1,1,4,0,3,2,6,6,0,2,1,0,8,2,2,4,1
"COG0076",6,1,4,1,0,9,0,0,3,3,1,6,1,2,0,3,2,0,3,1
"COG0077",1,4,6,7,3,4,4,5,3,2,5,2,8,5,8,3,3,1,5,6
"COG0078",1,3,4,5,4,10,4,10,1,4,5,5,5,8,9,3,8,5,7,4
"COG0079",15,6,17,8,8,6,17,17,4,11,6,1,13,7,5,5,11,3,8,7
"COG0080",3,3,0,2,2,0,1,2,3,1,3,0,5,7,4,5,2,1,4,3
"COG0081",2,3,3,4,6,4,0,3,4,3,4,3,2,3,3,4,8,3,3,6
"COG0082",6,4,3,2,4,4,4,8,6,5,2,2,4,8,6,2,4,8,5,6
"COG0083",0,1,0,1,1,1,0,2,0,0,2,1,2,0,0,1,2,1,0,0
"COG0084",4,1,7,7,10,3,5,4,7,4,4,4,7,8,6,4,5,7,4,7
"COG0085",21,23,17,10,26,11,30,24,20,17,17,16,11,24,22,22,19,16,16,18
"COG0086",10,24,13,26,28,11,19,23,13,10,12,10,16,28,12,15,21,20,13,17
"COG0087",2,2,4,2,2,3,6,8,3,1,6,1,1,3,4,5,6,5,3,2
"COG0088",6,3,2,3,3,1,1,6,2,4,2,4,3,6,6,5,2,2,1,2
"COG0089",0,3,0,2,1,0,4,3,1,0,0,2,4,4,2,5,0,1,0,0
"COG0090",3,10,3,7,6,2,3,9,4,1,3,2,3,5,6,3,3,1,2,5
"COG0091",3,1,0,3,2,1,2,6,1,5,4,5,1,6,4,4,1,3,1,7
"COG0092",2,7,1,7,7,2,7,4,3,0,4,4,3,7,3,3,4,2,5,4
"COG0093",2,5,2,6,2,4,5,2,1,1,3,4,1,2,6,1,1,3,5,4
"COG0094",3,2,2,2,6,6,2,5,2,1,5,3,1,4,6,6,0,3,2,7
