"","NLM023","DOF006","NLF008","NOF007","NLM009","DOM022","NLM027","DLF012","DLM005","NLF007","NOM022","DLM004","NOM007","NLM024","NLM017","DLF005","NLM032","NOM009","DLF010","DLM024"
"COG0001",3,0,1,1,0,3,1,9,5,1,0,2,2,0,0,1,1,2,4,0
"COG0002",4,1,0,0,2,3,3,2,0,0,0,3,4,6,1,5,4,5,7,5
"COG0003",0,1,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,1,0
"COG0004",3,1,3,4,11,2,2,6,8,14,9,1,2,11,4,1,10,7,6,3
"COG0005",0,2,3,2,4,6,3,0,3,4,1,5,5,1,8,2,3,3,3,4
"COG0006",11,14,9,11,14,20,11,8,12,13,10,15,10,14,15,18,12,8,11,12
"COG0007",3,1,1,1,1,0,1,3,1,0,2,1,1,2,2,4,1,3,1,0
"COG0008",10,16,12,14,18,9,10,12,14,10,21,10,11,17,9,17,14,16,12,12
"COG0009",2,8,3,11,1,6,4,7,4,7,4,4,5,4,5,3,4,6,9,5
"COG0010",1,0,2,0,0,0,2,1,0,0,2,0,2,0,0,0,1,1,2,0
"COG0011",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"COG0012",7,7,4,1,10,2,6,8,6,12,7,6,4,9,5,4,7,8,6,1
"COG0013",2,10,9,16,11,17,12,5,13,10,10,5,10,16,5,9,7,12,10,4
"COG0014",4,5,3,5,5,3,6,3,5,8,10,7,5,7,5,8,6,4,3,4
"COG0015",4,6,4,6,14,8,4,11,2,6,5,5,6,5,7,6,2,9,5,2
"COG0016",7,4,4,3,3,2,4,7,6,4,4,4,5,8,4,4,6,4,8,5
"COG0017",7,8,4,5,2,10,10,6,6,6,2,3,7,2,2,2,3,3,2,3
"COG0018",7,8,6,9,6,9,12,8,6,7,8,3,11,8,4,11,10,8,12,9
"COG0019",6,9,10,5,10,8,13,17,8,6,8,5,7,8,8,6,18,11,9,3
"COG0020",5,3,7,5,4,4,3,2,5,3,1,3,0,0,1,1,0,3,2,1
"COG0021",3,4,2,3,10,6,5,3,7,4,5,6,7,13,3,3,4,3,6,5
"COG0022",2,2,3,1,1,2,1,0,0,1,1,1,0,1,2,0,0,0,0,0
"COG0023",0,0,1,3,1,0,0,0,0,2,1,1,0,1,3,1,0,0,0,0
"COG0024",6,7,5,9,7,3,1,4,6,5,11,1,8,3,3,12,5,4,6,4
"COG0025",0,2,0,1,0,1,4,2,0,2,1,0,1,0,1,2,0,6,0,2
"COG0026",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,2
"COG0027",1,1,2,1,1,1,0,1,1,1,2,1,3,4,1,3,0,0,0,3
"COG0028",15,10,14,9,16,9,21,16,7,10,9,2,5,7,11,7,13,21,10,11
"COG0029",3,7,4,9,3,6,4,2,1,6,2,8,0,11,7,4,5,6,3,6
"COG0030",4,3,5,3,11,8,3,8,8,6,6,6,5,8,5,9,14,6,7,4
"COG0031",5,4,13,6,7,4,8,3,3,5,8,7,5,4,3,12,8,5,4,3
"COG0033",0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1
"COG0034",9,9,8,9,19,12,10,16,9,10,18,7,7,15,10,7,10,10,9,8
"COG0035",3,2,3,2,5,3,2,5,5,7,2,10,4,9,1,3,1,3,2,2
"COG0036",4,3,10,3,5,0,4,2,4,5,5,5,1,8,5,3,2,2,1,5
"COG0037",5,6,3,3,2,3,0,1,4,3,8,11,13,8,6,13,7,7,16,6
"COG0038",4,13,10,9,6,8,10,5,9,9,12,12,6,11,5,8,8,16,4,10
"COG0039",5,10,11,10,6,9,6,4,7,5,8,14,5,5,6,3,7,9,3,6
"COG0040",4,2,4,4,3,1,2,2,3,1,6,6,0,2,2,4,5,1,2,2
"COG0041",3,5,2,1,2,4,4,4,5,4,3,3,4,3,1,1,3,1,2,1
"COG0042",4,5,6,11,11,4,8,4,5,9,9,6,6,4,6,6,5,12,3,8
"COG0043",0,0,0,2,0,1,0,0,2,2,1,0,0,1,0,0,1,0,3,3
"COG0044",6,7,7,5,7,6,7,5,10,6,6,6,10,8,11,11,9,8,4,12
"COG0045",1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0
"COG0046",9,8,7,11,20,9,17,18,15,12,14,12,19,16,8,11,14,13,9,2
"COG0047",5,7,8,9,19,13,9,7,8,10,16,12,13,17,12,11,17,12,9,9
"COG0048",3,1,3,2,5,2,2,0,3,1,5,0,4,2,3,2,0,3,6,1
"COG0049",2,2,1,0,0,5,4,3,4,5,3,3,3,2,3,2,2,3,5,4
"COG0050",5,8,6,7,9,6,8,6,6,4,3,3,0,5,4,0,2,2,1,2
"COG0051",3,2,1,2,4,1,0,2,2,3,0,2,5,3,3,3,4,1,1,0
"COG0052",3,5,1,3,2,3,2,6,5,7,5,1,2,8,4,5,4,4,6,5
"COG0053",6,5,2,3,5,8,6,7,3,3,3,8,5,4,2,6,3,10,4,7
"COG0054",1,0,5,3,4,2,2,0,2,2,4,3,3,1,0,5,2,0,2,2
"COG0055",5,6,6,2,5,6,9,4,7,7,7,3,8,5,6,9,14,14,9,6
"COG0056",11,7,7,7,10,11,15,4,9,12,9,6,10,9,10,10,7,21,5,4
"COG0057",8,2,6,1,6,6,12,3,3,7,4,2,7,5,4,7,4,6,6,6
"COG0058",7,11,9,17,14,10,21,17,11,17,13,12,14,9,19,16,23,19,22,16
"COG0059",8,9,3,3,2,5,6,4,8,9,5,7,4,11,2,3,9,3,3,8
"COG0060",7,6,17,12,14,15,13,10,14,16,10,11,15,15,14,14,9,14,13,11
"COG0061",2,1,5,4,1,9,4,5,4,2,4,4,3,4,6,3,1,4,3,1
"COG0062",5,3,5,0,4,2,2,5,5,5,5,4,9,6,6,6,6,7,4,2
"COG0063",4,6,9,10,12,5,9,2,2,4,4,0,6,5,6,5,6,4,3,3
"COG0064",3,1,0,2,1,2,4,5,1,2,2,0,1,1,2,4,5,2,7,1
"COG0065",2,6,4,5,6,6,6,9,2,3,8,6,1,5,7,3,4,15,4,2
"COG0066",2,3,4,2,1,2,3,3,3,6,1,5,3,4,0,3,1,2,2,0
"COG0067",8,8,10,5,12,4,4,12,8,10,10,6,7,10,11,10,14,18,12,12
"COG0068",1,0,5,1,0,1,2,1,0,0,1,0,1,0,0,2,3,2,0,2
"COG0069",8,13,11,6,13,13,7,7,6,15,10,4,7,9,8,9,14,12,12,3
"COG0070",7,5,8,8,9,7,3,13,9,12,5,6,5,15,5,13,10,13,6,3
"COG0071",5,4,4,2,3,1,4,3,2,4,3,4,3,4,4,4,2,11,5,2
"COG0072",7,7,9,4,15,8,10,8,5,14,12,2,10,11,9,12,8,7,11,3
"COG0073",14,10,15,17,18,18,12,20,20,24,14,13,21,20,9,19,18,16,22,7
"COG0074",1,1,7,1,0,2,1,0,3,0,0,2,0,1,0,0,0,0,0,9
"COG0075",5,2,1,4,8,2,1,1,2,0,0,0,2,6,1,3,3,3,0,3
"COG0076",2,5,2,1,0,2,0,5,2,4,0,2,0,2,3,0,1,0,0,2
"COG0077",6,4,1,4,4,0,4,4,3,4,1,2,3,4,2,4,6,4,4,5
"COG0078",2,8,10,6,5,4,7,11,9,10,6,7,4,8,2,4,7,5,6,6
