"","NLM023","NOM004","NOF002","DLF005","NLM008","NOM002","NOM017","NOM014","NLM027","NLM026","DLM010","DLF013","NLM004","NLF007","DOM022","DLM013","DLM016","NLM007","NLM006","DLM006"
"COG0001",151,59,171,150,58,315,90,88,176,85,98,255,126,160,171,483,78,142,139,107
"COG0002",388,321,381,461,481,452,469,448,341,393,416,423,421,483,339,463,439,475,431,337
"COG0003",89,339,145,0,9,60,2,144,7,40,8,185,10,18,96,54,34,44,58,31
"COG0004",312,272,530,633,496,685,1120,401,458,600,376,534,787,756,365,379,483,243,313,517
"COG0005",208,173,251,242,274,240,447,204,252,279,183,272,310,309,350,335,237,205,243,240
"COG0006",1219,1332,1223,1136,1222,1030,1272,1424,1024,1109,1379,1132,1249,1130,1351,1074,1353,1302,1277,1265
"COG0007",114,118,199,177,166,438,127,116,253,60,198,126,130,128,138,166,63,125,206,84
"COG0008",1050,876,1223,1445,1268,1333,1909,1211,1086,1562,498,617,557,584,573,596,537,518,538,524
"COG0009",489,587,417,531,536,565,351,647,424,484,510,579,420,541,480,522,538,631,567,529
"COG0010",331,212,132,153,83,162,113,115,209,267,193,142,54,126,117,245,172,202,129,99
"COG0011",6,8,6,3,6,11,6,9,21,11,3,29,9,7,6,52,3,3,2,2
"COG0012",197,170,190,242,219,192,237,214,232,244,459,542,573,557,619,551,572,608,451,600
"COG0013",412,392,392,474,348,397,458,431,436,509,1100,1178,1047,1261,1240,1219,1199,1185,1138,1157
"COG0014",488,427,532,520,472,521,465,637,516,454,486,528,591,535,462,586,565,677,517,509
"COG0015",565,555,546,659,680,696,874,627,688,653,609,720,686,756,646,746,614,698,724,762
"COG0016",508,440,465,559,447,458,438,529,455,543,412,521,426,535,498,569,549,565,440,548
"COG0017",667,582,615,695,836,557,625,628,623,743,539,596,626,693,610,445,685,699,556,601
"COG0018",705,752,701,832,699,804,810,867,958,917,778,875,801,829,833,819,895,1010,757,848
"COG0019",860,836,853,943,1031,1110,1496,945,960,963,865,903,935,944,976,948,858,921,1082,1137
"COG0020",308,303,344,395,372,423,492,340,408,343,364,326,437,345,340,412,287,383,361,388
"COG0021",389,535,358,435,314,570,676,554,538,282,527,297,472,450,717,349,427,437,697,648
"COG0022",312,198,260,30,28,33,13,61,245,49,43,190,23,85,163,160,106,62,104,102
"COG0023",135,133,121,81,57,29,11,143,11,79,112,93,12,35,73,45,124,103,130,44
"COG0024",690,673,627,677,729,811,538,826,470,678,615,754,781,679,673,664,702,742,570,868
"COG0025",97,138,94,245,99,155,64,69,590,152,362,100,105,125,41,104,123,89,202,79
"COG0026",43,23,6,8,6,46,13,21,371,18,62,44,25,7,54,38,30,19,28,4
"COG0027",201,276,185,210,134,97,306,318,39,155,323,228,215,196,314,155,255,271,311,260
"COG0028",1062,1064,1453,925,1273,1388,1103,969,2105,957,1273,1077,1065,1256,997,1019,1016,1180,887,1139
"COG0029",516,606,592,520,521,591,357,669,219,488,551,573,616,520,655,561,587,629,631,542
"COG0030",603,437,499,824,735,617,727,527,802,748,462,812,796,797,636,596,468,545,988,731
"COG0031",511,434,603,582,644,470,463,608,721,698,569,538,483,620,395,614,612,629,511,499
"COG0033",20,19,29,5,5,13,5,8,75,11,46,23,9,9,43,36,6,7,13,1
"COG0034",875,917,670,861,728,708,1340,981,911,1054,807,1161,938,1143,1073,952,1032,877,966,1157
"COG0035",350,336,415,350,381,331,512,416,408,416,361,391,419,405,358,336,399,429,437,438
"COG0036",320,371,358,608,402,522,472,278,496,468,436,375,398,441,361,464,333,315,479,358
"COG0037",878,709,978,1140,1134,1204,948,1050,1088,1116,682,1002,965,1044,908,1063,1059,1022,771,1000
"COG0038",858,825,839,682,605,715,694,947,1040,584,917,949,639,751,870,671,878,899,762,785
"COG0039",612,617,673,576,610,767,595,844,753,580,204,251,220,270,287,247,285,260,301,240
"COG0040",270,315,338,284,352,300,428,384,180,296,375,416,354,283,241,337,291,301,375,329
"COG0041",222,249,226,271,292,229,272,304,307,317,263,272,236,292,289,256,274,319,281,325
"COG0042",772,777,707,644,707,766,526,781,842,732,799,722,726,803,710,739,744,925,774,731
"COG0043",84,66,81,71,26,85,74,59,129,36,216,95,31,39,83,143,157,36,102,41
"COG0044",560,589,640,617,573,857,821,745,783,630,536,758,719,672,770,967,715,714,608,752
"COG0045",126,141,213,23,24,43,43,16,27,23,110,68,14,20,75,59,46,53,125,34
"COG0046",907,896,1048,1120,1069,1309,1929,1087,1399,1405,979,1358,1488,1224,1360,1482,1248,1302,1168,1434
"COG0047",280,248,376,402,387,410,632,374,413,573,904,1261,1360,1137,1113,1173,1115,1092,996,1311
"COG0048",190,129,179,241,219,250,233,126,281,278,173,188,192,221,192,210,162,126,137,190
"COG0049",312,239,232,364,253,346,213,281,370,359,260,305,376,340,269,305,250,288,307,381
"COG0050",612,648,535,583,533,593,785,631,651,798,618,559,685,714,646,780,657,830,411,653
