"","DLM024","DLM016","DLF007","NOM022","DLM010","DLM008","NOM009","NLM031","NOM017","NLF009","NLF002","DLM006","DLM004","DLM005","DOF012","NLM029","NOF010","DOM008","NLF012","NLF013"
"COG0001",182,78,130,70,100,258,125,292,114,115,135,97,70,156,111,218,47,80,178,135
"COG0002",259,430,349,435,430,445,415,421,469,430,497,351,433,375,335,411,445,452,460,454
"COG0003",1,10,61,14,3,1,1,6,1,29,37,34,53,120,7,34,21,23,95,80
"COG0004",325,433,261,608,408,508,782,490,1126,400,562,502,230,452,367,615,619,276,595,542
"COG0005",245,209,251,309,186,310,222,259,429,238,192,251,242,286,169,277,338,282,296,300
"COG0006",847,1406,1235,1527,1392,1255,1114,1257,1289,1194,1145,1267,1516,1196,1024,1058,1253,1392,1276,1236
"COG0007",264,63,62,86,192,112,223,90,150,65,209,68,71,116,96,195,62,79,103,105
"COG0008",922,1307,826,1369,1148,1327,1510,1388,1883,1101,1218,1226,967,1420,1229,1422,1429,1011,1196,1452
"COG0009",397,553,599,510,525,594,527,551,348,575,598,531,627,582,600,577,476,589,568,559
"COG0010",338,199,153,73,186,126,138,94,111,250,141,90,65,145,152,133,125,291,138,121
"COG0011",32,2,14,1,2,22,9,0,9,0,1,0,3,51,42,9,3,18,8,5
"COG0012",256,579,348,387,442,555,609,508,573,414,495,574,394,484,586,608,485,393,520,546
"COG0013",509,1195,789,1051,1072,1077,989,1186,1136,959,1167,1206,942,1176,1147,1465,1150,976,1217,1228
"COG0014",266,584,364,534,451,517,490,567,436,447,571,498,509,421,438,534,558,517,600,543
"COG0015",325,586,522,616,592,615,764,629,955,568,682,705,564,744,800,672,697,511,638,707
"COG0016",206,540,434,488,432,545,399,508,407,469,532,570,427,477,541,543,396,472,496,510
"COG0017",415,697,511,581,537,670,899,758,704,726,569,616,607,607,614,525,696,534,630,599
"COG0018",398,893,613,962,785,761,897,780,793,777,903,811,737,910,834,884,818,723,906,882
"COG0019",174,248,227,358,286,349,380,281,541,277,1080,1177,803,878,815,981,1037,982,1041,972
"COG0020",139,308,363,420,312,408,320,343,524,328,331,402,335,412,445,379,342,321,330,378
"COG0021",653,441,397,605,544,323,360,441,656,373,605,625,486,602,354,559,582,476,455,477
"COG0022",35,109,244,28,49,227,13,134,17,211,178,107,191,105,111,69,140,348,140,33
"COG0023",23,41,52,27,35,32,6,41,1,31,97,69,188,88,28,68,76,135,88,81
"COG0024",106,220,226,289,196,252,229,219,170,196,751,832,714,626,532,761,566,542,637,731
"COG0025",377,144,75,60,362,104,255,124,62,90,47,22,13,33,152,75,19,33,25,129
"COG0026",202,26,13,9,53,17,15,4,12,29,18,5,12,79,202,9,40,13,23,19
