"","NLM022","NLM006","NOF002","NOM019","DLM017","NLF015","DOF014","NOM012","NLM029","NLM032","NOM002","DOF009","NOM009","DLF009","DOM021","DOM008","DOM026","DLF001","DLF006","DOM016"
"COG0001",174,129,177,397,192,118,316,194,203,248,343,112,138,181,79,101,203,71,257,112
"COG0002",482,461,387,485,519,361,437,423,411,398,462,440,431,300,497,460,438,330,404,443
"COG0003",42,57,142,52,8,80,137,15,34,12,57,84,0,9,225,23,149,182,67,143
"COG0004",558,360,543,582,782,504,488,674,645,599,664,358,773,241,298,268,551,215,311,373
"COG0005",238,244,260,354,316,188,194,297,282,213,76,79,80,67,98,100,66,106,75,79
"COG0006",1048,1302,1248,1179,1273,1300,1181,1067,1097,1128,1053,1267,1092,794,1362,1345,1285,1194,1153,1388
"COG0007",229,220,211,180,142,107,132,70,189,179,492,53,213,225,78,68,229,54,132,210
"COG0008",1439,1297,1257,1713,1642,1104,1232,1599,1501,1484,1321,1395,1542,1212,1154,1050,1084,769,1280,1172
"COG0009",620,543,449,620,435,470,575,436,592,567,532,595,527,462,623,570,569,495,495,615
"COG0010",134,171,155,195,100,233,143,139,135,141,147,201,130,180,85,264,86,136,242,142
"COG0011",6,1,3,3,2,2,29,2,17,3,13,25,5,38,4,19,2,1,7,1
"COG0012",562,444,460,596,655,403,510,492,602,571,450,523,583,427,498,398,386,328,459,485
"COG0013",343,327,347,416,479,430,397,369,431,345,1087,1149,1046,914,1146,979,1035,733,932,1198
"COG0014",556,530,552,600,624,574,548,342,498,521,540,434,507,364,630,515,579,384,447,617
"COG0015",660,713,557,823,720,440,654,685,645,674,718,713,778,562,646,561,564,411,581,650
"COG0016",468,426,500,510,468,490,552,520,490,480,464,436,408,352,567,451,426,396,522,541
"COG0017",680,542,650,630,720,632,555,632,534,830,570,588,913,444,613,501,628,519,575,647
"COG0018",798,774,661,934,893,800,796,787,896,930,812,801,958,659,849,689,720,646,841,851
"COG0019",1008,1011,838,924,927,664,968,902,940,1000,1048,892,1160,710,877,945,961,734,748,1077
"COG0020",323,352,346,377,368,267,356,412,368,412,418,381,333,245,327,306,353,322,346,378
"COG0021",563,690,332,557,667,462,406,449,596,295,555,519,366,639,574,484,369,432,437,646
"COG0022",51,110,253,69,59,399,47,60,88,51,25,86,13,133,52,365,37,288,119,197
"COG0023",69,121,111,63,65,105,125,41,52,62,32,127,19,98,127,133,87,178,136,97
"COG0024",681,587,574,599,631,622,733,595,752,721,772,670,645,441,608,540,651,561,672,737
"COG0025",219,181,90,102,83,45,207,101,223,74,187,320,287,381,51,85,50,33,106,166
"COG0026",40,28,16,60,17,5,44,19,6,32,11,22,4,50,10,10,4,1,28,4
"COG0027",171,322,168,187,296,231,219,216,108,95,72,300,100,225,313,295,184,308,181,302
"COG0028",1491,885,1431,930,1106,1120,1006,978,1025,1232,1403,925,1349,1596,967,1281,1184,974,930,1197
"COG0029",588,620,557,511,563,575,629,408,479,492,510,486,508,391,627,489,616,434,432,596
"COG0030",511,992,522,597,683,338,609,965,756,821,609,437,647,612,761,490,757,318,672,751
"COG0031",651,474,604,637,587,661,677,551,685,653,502,617,530,547,518,490,547,391,574,558
"COG0033",27,17,30,15,1,7,65,6,3,44,19,76,2,208,10,27,0,9,30,16
"COG0034",298,324,240,310,372,337,285,382,314,291,721,973,1006,613,988,920,1048,751,861,910
"COG0035",413,417,387,417,480,391,410,414,353,382,312,466,379,257,393,353,349,312,446,410
"COG0036",414,470,380,403,469,275,450,467,438,533,553,348,479,414,322,207,550,292,416,291
"COG0037",1077,768,969,1012,936,819,1070,1036,1159,1207,1263,849,1232,692,1083,896,938,699,926,1009
"COG0038",856,820,836,713,784,936,842,597,655,793,723,954,697,927,942,990,834,818,752,883
"COG0039",571,779,616,652,692,731,713,512,580,644,764,567,555,619,820,678,668,645,678,777
"COG0040",327,354,308,421,391,278,412,255,280,293,271,394,323,338,348,378,350,371,294,337
"COG0041",253,278,213,282,253,211,275,215,274,279,269,265,307,186,244,208,319,183,265,304
"COG0042",857,686,719,759,776,744,714,671,787,882,782,777,913,829,736,794,753,639,630,795
"COG0043",70,106,84,66,49,82,22,71,115,100,76,42,43,199,98,53,28,51,151,130
"COG0044",700,626,647,793,727,549,701,557,637,800,901,660,856,640,619,649,680,433,681,712
"COG0045",56,105,218,87,71,101,101,54,16,16,47,92,8,250,49,128,49,173,64,129
"COG0046",1299,1116,1037,1566,1574,1216,1292,1167,1412,1277,1265,1164,1281,957,975,1086,1311,795,1028,1230
"COG0047",1149,1064,908,1542,1416,862,1135,1117,1332,1110,1051,1109,1168,667,883,789,993,672,807,1107
"COG0048",194,160,154,231,240,94,164,272,277,214,233,195,286,203,146,126,193,118,260,162
"COG0049",280,314,248,295,244,237,340,290,371,332,325,300,305,270,223,234,290,227,379,252
"COG0050",184,152,208,257,235,227,184,226,222,204,638,633,687,643,640,492,543,423,639,774
"COG0051",194,296,182,247,177,196,222,269,254,231,193,260,218,240,178,204,167,192,285,191
"COG0052",360,403,330,440,456,267,317,377,429,424,289,400,343,317,329,284,309,224,368,301
"COG0053",520,421,454,595,525,333,410,494,551,529,534,516,563,454,424,331,556,383,502,510
"COG0054",250,237,187,246,283,199,255,237,238,180,66,72,63,45,91,69,47,41,85,87
"COG0055",982,455,652,791,767,650,658,649,1049,756,1124,540,1116,504,605,482,482,306,543,752
"COG0056",1114,572,720,916,873,781,793,879,1076,837,1286,663,1240,549,647,535,598,393,639,863
"COG0057",455,378,386,644,604,423,488,555,550,500,403,538,488,664,454,380,397,347,586,445
"COG0058",1587,1147,1259,1513,1269,831,1324,1488,1612,1671,1494,1289,1810,1279,1052,909,1370,1331,1032,1314
"COG0059",488,432,466,408,501,495,477,417,441,497,526,503,449,417,488,486,397,361,417,431
"COG0060",1227,996,1196,1488,1279,1074,1159,1312,1536,1241,1289,1244,1492,970,1196,1052,934,861,951,1184
"COG0061",399,405,388,402,407,391,393,375,388,419,420,372,425,354,397,353,325,285,426,379
"COG0062",485,461,402,531,620,257,449,442,413,380,485,368,600,398,416,390,432,304,306,465
"COG0063",534,454,457,622,630,372,480,472,483,479,506,471,572,401,429,468,433,297,370,502
"COG0064",332,155,273,314,244,149,326,291,456,459,133,62,134,88,32,27,94,26,83,59
"COG0065",679,441,646,652,598,692,537,536,613,585,714,570,754,409,545,654,477,360,495,511
"COG0066",266,326,247,276,249,265,308,236,251,260,299,261,238,275,313,283,322,199,288,298
"COG0067",1312,919,754,988,1184,1124,874,941,1213,1081,1413,987,1462,644,726,716,1022,502,629,1018
"COG0068",79,248,174,119,152,45,79,70,53,161,258,91,232,348,84,134,61,69,94,159
"COG0069",1352,910,855,997,1225,1088,895,1021,1159,1124,1411,990,1445,623,676,719,993,691,665,1062
"COG0070",1214,799,721,859,1102,983,835,875,1135,1031,1270,919,1278,570,582,761,829,640,612,901
"COG0071",387,413,315,395,387,198,367,457,418,409,384,349,480,297,278,255,441,462,431,311
"COG0072",862,931,916,969,970,731,792,953,1122,954,869,919,827,687,594,671,706,647,812,826
"COG0073",1709,1750,1796,2013,1932,1400,1601,1795,1979,1734,1803,1633,1762,1116,1142,1262,1589,1192,1665,1622
"COG0074",102,132,172,90,54,118,74,29,21,30,57,95,26,385,68,165,37,176,140,133
"COG0075",225,243,325,293,221,229,254,301,203,313,325,254,264,180,499,351,212,329,223,524
"COG0076",168,192,353,212,194,433,211,93,124,82,115,222,23,514,380,388,190,377,264,357
"COG0077",403,338,322,461,390,390,372,382,368,412,411,318,423,337,292,310,354,198,346,310
"COG0078",630,566,440,654,577,487,565,593,499,646,727,670,748,743,534,532,587,348,611,563
"COG0079",862,797,811,934,871,771,1233,904,984,952,1060,1034,1169,740,1218,1135,891,1252,878,923
"COG0080",272,261,216,291,244,155,287,316,334,297,253,263,309,214,201,212,231,221,319,260
"COG0081",323,281,346,419,500,320,393,422,449,427,422,398,416,349,326,271,390,277,440,374
"COG0082",417,387,400,516,449,384,380,382,460,423,365,350,400,298,340,329,428,276,397,406
"COG0083",107,69,57,108,51,61,103,67,63,111,66,97,84,163,44,38,34,31,97,56
"COG0084",576,554,485,614,514,509,626,478,513,557,157,203,172,234,196,211,207,189,233,187
"COG0085",1683,1553,1391,1947,1874,1552,1555,1812,1980,1733,2040,1605,2125,1319,1663,1344,1729,1277,1420,1902
"COG0086",1723,1414,1507,2094,2069,1558,1551,1969,1942,1648,1449,1834,1781,1431,1468,1381,1213,1064,1449,1508
"COG0087",341,300,301,405,405,246,308,395,436,403,369,335,462,274,321,276,354,292,388,366
"COG0088",336,406,280,435,381,271,409,364,434,393,348,341,383,347,327,292,403,260,458,396
