"","DLM013","NOM010","DLF014","DLM006","NLM024","DLM028","DOF003","DOM015","NLM002","DLM019","DOM026","NLF007","NLF008","NLF009","NOM016","NOM009","NOM014","NLM029","NLF015","DLM009"
"COG0001",494,140,237,78,70,148,82,306,55,226,210,150,160,114,85,166,89,195,105,277
"COG0002",490,417,514,364,503,375,366,447,270,358,440,524,477,391,428,424,496,438,368,519
"COG0003",60,99,159,29,43,12,154,33,33,67,148,14,55,100,52,0,145,30,85,17
"COG0004",389,511,813,538,955,527,365,449,590,569,639,713,390,399,537,781,458,579,491,773
"COG0005",328,245,247,230,328,271,259,319,401,224,213,290,266,235,283,213,233,277,213,116
"COG0006",1099,1462,975,1305,1363,1070,1226,1204,1721,920,1254,1180,1214,1230,1353,1171,1406,1048,1321,1120
"COG0007",38,29,109,35,16,45,28,44,24,47,219,90,155,64,93,207,125,200,91,185
"COG0008",1517,1273,1351,1295,1751,1359,1235,1321,1590,1640,1137,1533,1408,1137,1252,1513,1189,1552,1118,1303
"COG0009",544,595,524,535,373,510,508,669,451,516,604,512,528,578,546,477,675,537,481,568
"COG0010",256,107,75,116,87,259,157,174,58,369,116,133,287,201,160,134,117,151,276,104
"COG0011",31,15,124,0,0,4,5,48,5,16,2,8,0,0,3,8,5,8,1,2
"COG0012",549,449,519,618,711,458,408,521,700,587,360,574,513,442,506,562,497,613,433,575
"COG0013",1287,1241,1134,1177,1439,1184,1110,1234,1449,1352,1024,1286,1257,977,1233,1012,1147,1387,1259,1035
"COG0014",603,581,570,464,539,481,435,664,487,557,519,480,583,455,524,489,609,519,563,507
"COG0015",782,575,737,738,709,596,583,641,828,667,623,752,635,547,604,712,629,683,457,587
"COG0016",567,524,489,541,438,446,465,466,561,592,380,529,562,469,498,417,498,576,498,502
"COG0017",476,605,381,633,696,705,657,601,736,749,682,673,567,719,746,948,614,590,610,489
"COG0018",768,869,1001,900,1036,814,767,979,928,961,809,827,781,708,833,850,862,877,837,785
"COG0019",966,872,1041,1212,952,848,812,794,1266,846,998,938,1058,810,1052,1163,936,936,662,944
"COG0020",416,405,459,416,435,309,312,364,442,397,367,353,315,339,339,348,364,345,244,410
"COG0021",331,512,708,612,1011,466,519,443,1010,311,326,441,728,394,469,388,566,599,449,627
"COG0022",121,147,65,105,55,210,208,178,26,142,39,85,350,209,220,14,61,66,361,14
"COG0023",49,98,26,55,54,64,107,95,39,27,102,29,87,134,116,24,137,45,104,13
"COG0024",623,649,613,877,539,580,663,600,951,624,645,667,581,632,566,695,880,753,656,553
"COG0025",117,106,470,72,75,143,68,37,108,69,40,143,22,80,134,248,76,208,60,131
"COG0026",26,22,218,7,32,82,28,6,42,31,4,3,47,28,15,17,27,13,9,401
"COG0027",163,196,182,292,438,186,182,229,599,82,169,205,312,172,236,108,305,112,252,44
"COG0028",950,1143,1467,1165,1024,1263,1139,1387,943,832,420,402,376,335,355,425,354,334,391,332
"COG0029",584,537,582,547,902,401,438,666,905,324,655,527,559,493,605,525,653,452,586,598
"COG0030",599,615,916,681,664,630,613,681,524,830,768,769,569,743,801,649,483,773,342,795
"COG0031",650,659,627,513,520,606,621,641,481,737,193,203,248,191,203,163,190,220,241,209
"COG0033",38,0,383,0,23,40,32,3,36,19,0,7,18,2,0,2,7,3,11,51
"COG0034",319,321,265,385,549,279,278,322,501,271,1072,1158,1142,875,1075,990,993,984,1028,758
"COG0035",361,383,383,439,478,324,317,390,511,470,348,430,380,389,363,402,397,359,373,379
"COG0036",488,348,637,383,440,405,263,326,434,479,508,412,355,341,292,430,249,454,283,575
"COG0037",1045,1057,743,985,755,875,951,1046,769,1227,983,1072,708,937,1045,1230,988,1202,810,1086
"COG0038",645,816,1244,782,820,744,799,1018,1022,538,822,766,921,739,940,748,914,641,949,620
"COG0039",586,680,780,582,705,562,690,753,578,509,691,613,860,668,615,586,782,609,739,803
"COG0040",332,293,375,341,419,332,271,414,320,224,356,266,311,330,353,338,386,258,284,278
"COG0041",239,276,291,299,306,245,233,310,359,236,101,93,81,98,87,91,104,77,63,97
"COG0042",711,750,750,715,592,819,746,805,778,651,817,743,807,817,768,839,785,771,751,868
"COG0043",170,51,99,36,64,142,87,63,86,51,8,14,46,15,18,14,14,52,28,31
"COG0044",896,702,851,738,596,632,612,660,770,783,654,663,729,582,609,842,718,605,607,924
"COG0045",18,6,73,11,13,44,41,12,10,31,57,19,130,76,19,10,22,21,97,87
"COG0046",1448,1319,1540,1496,2174,1336,1076,1268,1950,1170,1248,1196,1414,1071,1369,1331,1129,1409,1212,1045
"COG0047",1207,1173,1468,1367,1911,1077,949,1100,1947,1092,1059,1220,1145,906,1294,1166,986,1319,836,780
"COG0048",232,192,207,183,203,193,183,135,243,299,182,229,147,134,168,266,178,263,113,264
"COG0049",288,317,350,359,147,265,269,271,328,353,296,348,264,237,258,333,254,316,232,404
"COG0050",806,631,778,644,997,615,508,606,709,845,498,782,598,492,468,726,666,630,648,781
"COG0051",224,212,196,202,117,218,189,235,141,216,170,221,196,211,194,213,222,246,159,245
"COG0052",316,351,309,427,527,313,330,325,544,378,280,374,230,294,302,367,345,444,282,372
"COG0053",526,512,464,430,517,490,410,480,470,684,169,173,127,142,127,179,161,200,102,186
"COG0054",137,206,108,197,272,172,201,176,246,90,141,216,213,237,207,215,243,258,188,165
"COG0055",517,800,686,781,713,788,662,735,768,732,503,981,679,614,638,1078,608,1006,621,918
"COG0056",591,839,880,966,978,899,744,809,918,737,677,1114,797,768,804,1259,707,1083,808,842
"COG0057",674,444,616,534,671,572,496,385,478,668,417,571,469,467,382,494,349,520,437,536
"COG0058",1084,1401,1641,1721,1179,1596,1139,1294,1327,1526,1338,1695,1309,1338,1255,1859,1163,1602,832,1632
"COG0059",497,485,827,532,446,410,412,470,470,308,435,485,534,463,475,427,498,424,493,360
"COG0060",1359,1214,1147,1375,1417,1152,1081,1102,1338,1524,945,1521,1056,993,1111,1497,1174,1427,1037,1405
"COG0061",453,373,418,385,351,370,299,402,543,439,326,381,370,366,406,434,417,392,351,421
"COG0062",602,455,368,552,679,419,353,416,836,369,379,525,458,372,438,601,476,409,269,474
"COG0063",591,478,661,633,662,450,352,474,844,515,465,535,499,362,506,606,474,464,398,624
"COG0064",458,252,579,317,111,296,201,226,89,370,325,340,128,170,207,410,150,460,136,670
