"","NLF008","DOF007","DOF003","DLF005","NLF001","DLM020","DOM026","NLM007","NOM001","DOF014","DOM013","NOM013","NOM010","NLF012","DOF009","DLF010","DLF006","DLF008","DLF007","NLF015"
"COG0001",173,46,88,160,150,70,173,131,495,317,240,200,132,161,104,248,239,118,117,118
"COG0002",501,368,408,470,410,404,408,495,477,447,425,452,442,483,408,376,401,303,341,349
"COG0003",50,57,170,4,15,109,151,50,52,131,87,94,98,101,80,71,65,198,156,83
"COG0004",397,208,349,654,573,391,610,240,1001,471,356,536,520,545,382,449,302,269,220,484
"COG0005",276,314,257,249,195,272,228,197,358,217,299,274,226,302,251,335,245,253,268,225
"COG0006",394,396,389,345,407,390,410,406,410,417,1158,1112,1443,1271,1303,1033,1122,1171,1257,1342
"COG0007",139,45,100,188,157,67,210,145,852,119,121,182,81,119,62,117,117,166,80,104
"COG0008",1410,914,1243,1368,1120,1107,1102,1366,1829,1299,1465,1409,1306,1259,1336,1562,1276,835,782,1153
"COG0009",518,459,493,501,550,488,592,640,300,526,650,510,544,535,567,637,522,500,585,418
"COG0010",259,175,186,133,265,195,98,207,55,150,161,144,107,184,172,312,222,273,161,271
"COG0011",0,2,7,6,4,0,2,10,3,26,3,1,4,1,10,4,6,7,5,1
"COG0012",505,363,478,601,458,461,382,604,592,510,595,489,412,507,526,687,460,323,345,401
"COG0013",1232,808,1077,1195,1022,1010,980,1235,1226,1073,1273,1117,1225,1256,1095,1290,931,768,756,1262
"COG0014",536,400,430,459,489,492,559,663,711,581,471,493,573,616,442,465,414,380,410,590
"COG0015",669,559,546,602,556,497,548,654,792,644,632,692,595,678,693,681,613,528,506,447
"COG0016",488,381,506,580,508,455,422,545,388,514,634,508,489,507,494,612,502,360,415,517
"COG0017",560,576,712,661,700,644,625,742,740,576,714,611,596,643,575,668,576,451,531,614
"COG0018",790,645,737,912,894,692,781,1059,781,807,1110,891,851,868,816,908,784,595,630,797
"COG0019",1090,772,805,935,978,895,915,978,1093,927,927,896,907,1032,872,735,735,709,710,657
"COG0020",340,347,326,403,320,286,366,382,429,327,462,415,379,323,366,447,361,279,367,263
"COG0021",739,493,488,458,451,479,331,430,676,413,461,602,500,432,498,340,457,373,391,479
"COG0022",353,200,243,25,266,397,45,67,23,46,37,36,134,146,74,133,110,246,258,394
"COG0023",91,131,102,78,97,97,95,74,9,133,116,83,118,93,129,43,115,133,166,116
"COG0024",619,552,628,733,675,577,668,719,475,711,685,701,724,724,724,683,670,484,593,651
"COG0025",40,52,76,247,54,33,53,90,56,219,113,66,87,66,342,97,110,120,68,54
"COG0026",36,17,25,8,19,9,3,17,11,63,36,34,25,22,79,20,70,14,11,4
"COG0027",295,267,179,233,169,302,194,250,253,254,242,190,206,252,287,103,183,173,268,243
"COG0028",1022,1088,1117,922,1024,1166,1203,1174,1085,1009,842,964,1175,1136,942,757,1000,1009,1050,1160
"COG0029",509,514,466,551,503,562,601,573,616,574,508,456,545,632,526,329,402,479,489,592
