"","DLF001","DLM028","NOM001","DOM005","DOM026","NOM029","NOF010","DLM011","DLM013","NLM026","NLF007","NOM026","NOM027","NOF011","NOF009","DLM023","NOF005","DLM005","NOF008","DOM021"
"COG0001",354,830,2445,920,1016,772,287,262,2535,548,718,1047,1925,655,426,630,606,886,530,414
"COG0002",1660,1861,2311,1468,2076,2176,2096,2385,2340,2091,2482,1938,3046,1893,2060,2399,2103,2000,1999,2419
"COG0003",622,55,157,387,482,100,81,507,191,103,127,37,43,584,209,457,525,532,458,1139
"COG0004",1046,2598,5099,1227,3008,2480,3052,2077,1979,3168,3603,2481,3404,2241,1851,3135,2662,2348,1763,1536
"COG0005",1396,1256,1883,1459,1110,894,1697,1378,1629,1375,1567,795,1013,1418,1391,998,1160,1327,1399,1546
"COG0006",6329,5494,6305,6178,6484,6659,6638,6737,5415,5541,5695,5208,3491,6447,6686,6004,6558,5874,6577,6579
"COG0007",291,804,4043,703,1116,816,323,260,800,338,576,1591,2556,301,407,614,642,522,357,341
"COG0008",3791,6765,8937,4945,5554,6252,7117,6216,7597,7749,7539,5662,7847,6620,5383,7873,6363,7161,7052,5996
"COG0009",2507,2509,1698,2168,3098,2821,2418,3257,2698,2693,2776,2812,2629,2511,2983,2618,3013,2790,2950,2925
"COG0010",725,1309,369,1243,541,757,591,607,1268,1318,710,1222,1064,909,1079,1330,634,792,834,433
"COG0011",14,35,35,38,14,66,9,32,191,42,29,63,439,32,24,65,51,197,34,15
"COG0012",1591,2345,2902,2274,1988,2664,2503,2439,2989,3074,2909,2404,2745,2562,2266,2739,2416,2506,2879,2713
"COG0013",3801,5788,6171,4181,5157,4611,5751,5260,6232,6528,6484,3959,6217,5931,5281,6016,5683,5484,6388,5802
"COG0014",1842,2386,3488,1960,2565,2675,2606,2928,2980,2435,2682,2288,3014,2514,2933,2844,2486,2009,2652,3162
"COG0015",2205,2858,4064,2644,2955,3027,3492,3073,3829,3384,2507,2000,2420,2028,1977,2209,2020,2444,2049,2039
"COG0016",1867,2208,2053,1965,2133,2036,2240,2348,2805,2683,2598,2161,2736,2521,2690,2215,2537,2373,2946,2599
"COG0017",2578,3276,3665,2711,3113,3191,3502,3426,2386,3739,3572,2798,1287,3493,3043,4532,3816,3016,3249,2991
"COG0018",3156,3987,4064,2960,3915,3690,3894,4354,3954,4642,4319,4106,4918,3845,4337,4228,4518,4270,4724,4428
"COG0019",3581,4170,5465,3082,4785,4318,4901,4149,4816,4740,3114,2695,4558,2605,3001,3513,3429,2820,2778,2948
"COG0020",1473,1515,2356,1579,1689,1830,1730,1702,1999,1886,1846,2168,2039,1910,1707,1634,1762,1979,1977,1585
"COG0021",2124,2481,3432,2017,1717,2784,3038,2592,1686,1507,2333,2139,6127,2168,2409,1539,1894,2978,2125,2941
"COG0022",1385,1026,94,2111,222,978,578,236,790,245,416,369,88,1304,963,380,588,537,547,305
"COG0023",543,211,42,454,321,516,280,526,176,223,218,356,24,610,709,289,503,493,522,697
"COG0024",3072,2954,2593,3031,3357,3424,2757,3573,3177,3229,3390,3563,2910,3231,3514,3026,3699,3103,3403,3131
"COG0025",216,733,354,457,222,1029,342,563,587,829,448,1304,1536,151,318,197,258,372,370,192
"COG0026",16,409,47,85,22,164,201,76,158,88,26,367,924,148,81,108,61,370,206,126
"COG0027",1560,905,1366,1021,927,1348,1662,1685,769,741,1075,646,878,1151,1639,712,830,1195,850,1637
"COG0028",5040,6439,5329,5522,6093,6432,5733,4449,5200,4613,6042,6180,6843,5650,4971,6245,5784,4642,4800,4816
"COG0029",2114,2029,3018,2285,3095,3635,2406,3102,2834,2466,2580,2171,2472,2357,3376,1887,2764,2412,2513,3176
"COG0030",1608,3475,2970,1539,3919,2955,2231,2690,3072,3594,3793,2938,3596,3084,2369,3451,3133,5790,3729,3824
"COG0031",2004,3117,2772,2485,2763,2714,2872,2772,3103,3290,3038,3019,3350,3400,2547,3354,2994,2722,3457,2690
"COG0033",31,216,35,185,4,139,49,93,163,43,35,94,1218,23,42,29,28,427,2,34
"COG0034",3745,4343,6723,3400,5350,4179,6029,4795,4877,5441,5601,3385,3394,4373,4843,4428,4701,4792,4767,5047
"COG0035",1550,1625,2669,1290,1809,1828,1944,2132,1791,1969,1963,2040,2049,1903,1955,2234,2186,2078,1996,1881
"COG0036",1424,1939,2349,1116,2633,1907,1661,1594,2384,2308,2135,2548,3492,1559,1358,1794,1896,1901,1798,1627
"COG0037",3635,4434,4876,3763,4742,4573,4518,4781,4968,5890,5293,5211,4409,4783,4507,4997,5454,4372,5497,5288
"COG0038",4197,3594,3308,4167,4196,4894,4199,4809,3261,3122,3821,4471,3544,4221,4753,3995,3952,3772,4231,4869
"COG0039",3055,2785,3640,2510,3159,3070,3250,3253,2934,2951,3228,2938,7564,3204,3648,3113,3237,3285,3386,4207
"COG0040",1943,1555,2052,1389,1696,1928,1901,1979,1610,1409,1450,1247,1750,1630,1869,2316,1676,1667,1554,1805
"COG0041",849,1221,1249,639,1513,1408,1287,1587,1276,1465,1379,1489,1306,972,1297,1249,1465,1375,1346,1350
"COG0042",3054,4074,2201,3054,4010,4380,3112,4099,3743,3755,4007,4683,2989,3659,4108,4293,3885,3095,3680,3638
"COG0043",299,720,268,638,142,389,291,368,744,186,204,852,1752,285,424,562,294,562,564,452
"COG0044",2335,3115,3002,2861,3279,3231,3357,3096,4596,3360,3388,3173,5504,2817,3457,3460,3302,3198,3358,3204
"COG0045",834,498,201,1427,255,646,283,212,293,106,110,515,1888,601,481,224,239,322,163,247
"COG0046",3989,6687,9040,3934,6184,5593,6777,5438,7483,7014,6047,4964,9095,5522,5815,7005,6016,6337,5910,4935
"COG0047",3501,5582,7913,3887,5004,4705,6006,5006,5895,6703,5892,3811,8857,4866,4938,6311,5245,5662,5281,4216
"COG0048",518,960,1253,618,940,889,889,643,1062,1328,1157,1306,1386,740,620,666,785,1052,1003,813
"COG0049",759,928,541,737,976,744,729,743,1028,1091,1627,1705,1909,1458,1131,1270,1593,1745,1483,1050
"COG0050",2054,3049,4488,2154,2506,2639,3251,2932,3856,4026,3716,4035,2512,2767,3593,2734,3494,3428,3394,3126
"COG0051",880,1110,627,787,880,1069,790,1109,1184,1207,1133,1181,1422,1021,895,979,1237,1332,1184,958
"COG0052",1219,1669,2346,1571,1522,1496,1879,1634,1511,2225,1916,1642,1366,1531,1365,1379,1573,1955,1789,1762
"COG0053",2024,2571,2585,1957,2750,2421,2089,2443,2653,2898,2726,2889,2391,2307,2136,2672,2797,2570,2402,2107
"COG0054",662,924,1526,994,688,999,1216,1454,710,790,772,753,501,765,620,597,709,810,663,888
"COG0055",1572,3916,4346,1955,2513,3039,3486,2945,2649,4064,4865,4013,5254,3135,2225,4723,3442,2718,3107,2879
"COG0056",1994,4414,5251,2457,3218,3417,4039,3570,3104,4840,5634,4520,5796,3595,3266,5947,4243,3297,3680,2984
"COG0057",1662,2721,3017,1937,2019,1994,2559,2368,3451,3167,2773,2542,2527,2201,2115,2223,2468,3018,2769,2362
"COG0058",6712,8042,6468,3653,6788,6084,5968,5670,5343,9212,5628,4916,5382,3747,3201,5276,4729,4393,4908,3653
"COG0059",1895,2057,2391,1888,2154,2258,2220,2452,2571,2245,2503,2283,3727,2169,2228,1984,2382,2442,1900,2517
"COG0060",4256,5798,7212,5049,4742,5290,7075,5113,7115,8071,7627,5315,5815,6197,5494,6015,5608,4820,6873,6206
"COG0061",1383,1940,2175,1840,1673,2035,1797,1799,2335,1893,1863,1975,1882,1851,1743,2068,1801,1835,1968,1995
"COG0062",1549,2087,3792,1624,1977,2248,2656,1962,2896,2068,2577,1618,2752,1621,2065,1485,1972,1967,1916,2092
"COG0063",1472,2263,3756,1753,2179,2559,2737,2077,2945,2248,2680,1672,2944,1914,2174,2129,2050,2047,2145,2128
"COG0064",347,1449,979,441,1572,802,664,344,2300,2040,1642,1242,3497,1009,481,844,1107,1144,1409,492
"COG0065",1830,2743,3574,2270,2575,2792,3170,2430,3612,2379,2904,2673,4502,2615,2203,2965,2649,2078,2536,2713
"COG0066",1137,1285,1390,864,1557,1249,1274,1573,1484,1170,847,1040,1839,769,896,928,938,926,862,1023
"COG0067",2534,5457,6064,4035,4980,5272,5063,4535,5036,6252,5661,3277,6196,4533,4676,6035,5603,4191,4173,3675
"COG0068",209,571,292,251,239,312,253,191,654,200,221,1056,3798,201,388,331,506,845,229,457
"COG0069",3421,5504,5936,4161,5179,5337,5107,4391,5490,6190,5903,3369,6990,5004,4489,6129,5836,4289,4361,3564
"COG0070",3157,5232,5753,3966,4286,5194,4591,4126,4872,5796,5241,3110,4923,4463,4163,5846,5213,4028,3872,2796
"COG0071",2246,1919,2442,1204,2306,2168,1829,2195,1634,1788,1736,2546,1152,1627,1305,1606,2186,2138,1572,1348
"COG0072",3276,4359,5540,3992,3617,3956,3505,2998,5217,5446,4908,3373,6637,4564,3031,4007,3552,4244,4675,2897
"COG0073",5939,8166,10101,6307,8100,8147,7577,6184,9780,9642,9446,6882,10442,8038,6040,8061,7858,8083,8645,5709
"COG0074",802,758,200,1304,207,641,351,384,435,443,163,401,2084,449,423,249,249,566,418,337
"COG0075",1650,933,3021,1713,1039,2027,2171,1481,1232,989,749,1816,1380,1351,1892,846,1132,1039,1074,2590
"COG0076",1230,1082,81,1511,688,834,839,921,770,415,1084,652,96,1609,1949,830,1232,1099,1200,1868
"COG0077",1035,2099,2147,1350,1793,1912,1748,1620,2465,1693,1821,1507,2696,1799,1521,2385,1666,1810,1575,1366
"COG0078",1629,2705,2280,1637,2916,2592,2540,2775,3553,2727,1773,1932,2219,1655,1527,2506,2038,2093,1934,1679
"COG0079",5978,4992,3349,3963,4388,4822,5417,5342,4291,4684,5015,4665,4748,4181,5240,6418,4640,4064,3910,5932
"COG0080",1076,1212,1516,815,1260,1320,1158,1282,1462,1572,1417,1756,1513,1161,1085,1088,1411,1522,1390,1045
"COG0081",1408,1776,2266,1537,1774,1829,1847,1753,2141,2227,2249,2046,1951,1741,1744,1488,2124,2388,1995,1630
"COG0082",1399,2114,1859,1878,2062,1847,2025,1915,2436,2216,2236,1922,2630,1895,1745,2496,1987,1753,2197,1800
"COG0083",151,406,350,142,146,251,381,399,708,647,307,684,2003,233,178,861,329,633,296,191
"COG0084",2979,2903,1938,2660,2894,3933,2500,3087,2930,2501,2764,3117,2951,2669,3365,2460,2669,2830,2849,2886
"COG0085",6131,9493,9652,6202,8101,7816,8971,8502,9467,11000,10652,8008,9717,8332,8837,8583,9895,8140,9512,8650
"COG0086",5303,8897,10642,7029,5650,7923,8143,6953,9593,10938,10029,7144,5185,7817,6895,7895,6983,8179,8991,7459
"COG0087",1422,1729,2213,1216,1795,1597,1684,1483,2011,2366,2033,2082,2431,1530,1325,1656,2035,2063,1903,1432
"COG0088",1259,1721,1868,1127,1953,1788,1605,1789,2105,2171,1868,2035,2179,1514,1590,1480,1804,2089,1957,1726
"COG0089",960,1005,1003,746,953,968,839,1132,1132,1183,1274,1372,1321,827,788,960,1137,1316,1043,857
"COG0090",1196,1996,2754,1333,1579,1666,1920,1390,2289,2792,2462,2104,2899,1772,1227,1827,1930,2023,2141,1243
"COG0091",777,1186,1308,629,1349,1106,1093,1143,1365,1467,1294,1562,1483,1057,1037,1168,1359,1555,1371,943
"COG0092",977,1399,2081,1108,1428,1383,1524,1374,1917,2371,1923,2079,2075,1398,1359,1513,1554,1799,1661,1195
"COG0093",729,1026,1338,739,1048,947,930,770,1389,1527,1230,1293,907,873,729,767,1045,1225,1134,860
"COG0094",1256,1530,1699,1193,1662,1699,1474,1776,1508,2048,1893,2071,2051,1488,1570,1376,1727,1887,1632,1336
"COG0095",856,755,208,1107,266,750,309,268,822,334,617,657,2368,748,553,366,399,775,619,317
"COG0096",539,676,1056,548,786,781,691,505,890,951,1344,1445,1476,944,694,785,1184,1599,1165,708
"COG0097",1083,1434,2084,1576,1064,1563,1576,1319,1750,2054,1954,1764,2253,1559,914,1245,1416,1646,1547,1222
"COG0098",1098,1416,1750,1115,1318,1661,1444,1735,1722,1889,1684,1937,1825,1459,1369,1689,1542,1665,1657,1500
"COG0099",835,946,976,667,1045,967,974,1132,1315,1211,1211,1434,1238,1208,1016,888,1216,1255,1227,948
"COG0100",460,976,1322,676,888,1020,912,1147,1323,1455,1412,1296,1116,947,878,949,897,1160,1063,847
"COG0101",1696,2017,2222,1876,2221,2049,2126,2040,2140,2493,2521,3251,2460,2144,2035,2359,2408,2101,2456,2107
"COG0102",790,1134,935,904,1024,1240,990,1014,1459,1415,1408,1472,1613,1184,901,1193,1186,1600,1355,1302
"COG0103",828,1035,1334,700,1187,935,1100,1085,1384,1266,1177,1474,1464,945,1080,931,1219,1225,1266,1136
"COG0104",2177,3090,4053,1977,2974,2803,3267,3283,3349,3260,4327,3064,3241,2787,2570,4278,3393,3166,2811,3846
"COG0105",672,340,136,645,474,404,406,555,384,319,370,537,721,369,508,250,416,483,358,585
"COG0106",1421,1502,1717,1036,1734,1463,1667,1472,1690,1317,1606,1519,1702,1490,1430,1708,1801,1512,1420,1389
"COG0107",1097,1748,2133,927,1926,1613,1627,1153,1847,1850,1679,1315,1846,1500,1043,1823,1881,1360,1333,1200
"COG0108",2155,1792,3127,2404,1993,2869,2648,2819,1453,2032,2305,2001,1925,2303,2396,1653,2646,2489,2501,2642
"COG0109",18,183,3,168,0,123,16,66,53,1,0,200,0,2,17,19,8,87,1,30
"COG0110",11472,5985,2322,12464,8565,9458,7730,6754,4613,5642,7108,5786,7224,9079,8861,5961,7026,7444,7864,9961
"COG0111",3246,4260,2799,3589,3132,4775,3914,4040,7677,4601,4229,3891,11362,4068,3311,4391,3847,4524,4561,4634
"COG0112",2113,2227,3875,2226,2182,2303,2403,2138,2904,2812,3035,2522,5185,2365,2447,2607,2385,2536,2763,2386
"COG0113",192,618,2160,519,634,411,243,251,669,283,598,1328,1595,290,409,430,353,500,333,294
"COG0114",197,418,168,315,111,371,298,222,569,419,214,395,270,163,298,315,191,439,290,146
"COG0115",2998,3074,2380,2504,2623,3338,2787,3583,3842,3359,3301,3031,3633,2884,3167,3154,3056,3515,3426,3895
"COG0116",1080,1917,1945,2091,2096,2430,1925,1805,2230,2486,2666,2173,1087,1472,1350,1954,2083,1534,1894,1853
"COG0117",1295,1583,3160,1722,1175,2071,2129,2087,1336,1388,1703,1864,2727,1946,1830,1478,1637,1808,1873,2195
"COG0118",1010,1158,1651,659,1189,1329,1317,1410,1329,1082,1322,1160,1392,1069,1224,1484,1335,1356,1108,1267
"COG0119",5524,6146,7649,4276,5111,6394,5898,4931,5906,6256,6549,4776,5560,5399,5792,5446,5771,4629,5326,5447
"COG0120",691,224,86,909,267,508,203,178,237,189,142,539,795,448,390,182,300,248,160,183
"COG0121",18,183,10,122,0,120,13,45,62,19,3,445,10,5,18,32,18,56,2,29
"COG0122",198,392,513,229,997,563,339,427,1281,1117,418,621,363,355,169,413,572,385,659,134
"COG0123",46,86,20,14,0,64,61,68,240,77,31,219,15,100,130,135,55,156,79,79
"COG0124",2544,2644,3206,2413,3130,2328,3092,2771,3502,3237,2935,2503,3365,3015,2978,2980,2929,3249,3499,3070
"COG0125",151,1085,360,286,837,392,338,420,1132,1257,913,907,1855,601,249,819,436,698,877,437
"COG0126",1692,2455,3127,2094,2098,2282,2613,2344,3064,3549,2985,2313,2476,2502,2196,2803,2225,2531,2977,2576
"COG0127",1299,1743,1645,1158,1655,1556,1576,1410,1557,1947,1996,1956,1949,1277,1353,1586,1560,1630,1750,1445
"COG0128",1710,2345,2660,1661,2600,1819,2372,2158,2723,2435,2569,2610,2633,2273,2209,2473,2608,2491,2832,2082
"COG0129",2258,2698,3012,1963,2638,2355,2942,2841,4180,2501,3659,4239,5608,3281,4014,5560,4173,3353,3529,3897
"COG0130",665,1166,1487,935,1090,1061,1200,1149,1396,1508,2046,1674,2058,1750,1296,1714,1548,1590,1907,1707
"COG0131",1541,1515,1610,1512,1506,1658,1621,1685,1778,1354,1527,1212,1558,1532,1528,1579,1585,1463,1500,1805
"COG0132",1065,828,246,1018,715,1115,707,1155,673,492,636,838,666,874,1105,569,676,819,572,1046
"COG0133",1179,1718,2536,1459,1934,1850,2129,1534,1496,1528,1745,1572,4048,1410,1910,1291,1732,1505,1663,2005
"COG0134",1118,1304,1524,1022,1877,1362,1388,1238,1050,1069,1077,1505,3105,1157,1329,967,1322,1269,1232,1271
"COG0135",290,526,960,328,796,641,577,450,499,493,656,993,2448,479,478,501,700,1015,736,776
"COG0136",1421,2096,2708,1870,1548,2162,2331,2221,2592,2623,2484,2542,3056,2165,1864,2098,1728,2150,2393,2413
"COG0137",1939,2703,3658,1979,3002,2757,2873,3220,3052,2808,2884,2441,4001,2612,2575,3664,2954,2788,2551,2539
"COG0138",3923,3471,5122,3776,3282,4253,4353,3949,3739,3354,3443,3243,4168,3899,3647,3281,3659,3711,3667,4309
"COG0139",1446,1389,1384,1131,1672,1440,1373,1782,1398,1295,1573,1571,1723,1357,1691,1741,1635,1463,1409,1707
"COG0140",1444,1094,1257,1127,1494,1303,1310,1752,1153,1231,1299,1007,1517,1276,1616,1620,1370,1389,1249,1656
"COG0141",1691,2212,3004,1886,2365,2447,2406,2226,2610,2019,2347,1606,2902,2239,1987,2547,2309,2043,2088,2303
"COG0142",3045,2906,4894,3412,2752,4114,3870,3736,3045,3039,3279,2771,3505,3227,3157,2620,3098,3623,3209,3441
"COG0143",2927,4183,4978,2688,4121,4185,3930,3621,5254,5498,5008,4346,5372,3961,3204,4070,4445,4243,4858,2979
"COG0144",2604,3837,2677,2435,4146,3120,3236,3064,3429,4264,3643,3844,2703,3082,2953,4051,3390,2930,4383,3126
"COG0145",318,164,238,300,68,110,152,175,241,493,165,187,240,148,218,327,225,241,253,210
"COG0146",12,40,29,0,11,2,40,52,51,27,46,49,74,22,19,7,5,42,63,112
