"","DOM008","NLM010","DLF001","DLF007","DLM009","NOM028","DOF008","NLF012","NOF013","NLF007","DOF012","NOM005","DOM023","DLM011","DLM003","DOM021","NOM002","NOM010","NLM008","DOM003"
"COG0001",477,997,351,643,1506,742,849,848,411,730,636,1156,382,249,387,410,1706,706,335,752
"COG0002",2233,2143,1662,1689,2498,1906,1849,2277,1884,2489,1733,1840,2455,2387,1995,2447,2294,2128,2209,1916
"COG0003",116,585,922,807,119,364,81,477,832,132,38,55,95,766,193,1136,305,521,47,2
"COG0004",1354,3060,1051,1233,3853,2282,2899,2790,2639,3557,1804,2567,3392,2055,1419,1578,3513,2711,2539,3800
"COG0005",1435,1163,1416,1222,532,1158,1107,1470,1419,1560,922,929,1734,1386,1608,1550,1053,1189,1381,1367
"COG0006",6746,5476,6311,6490,5564,6159,5174,6420,5968,5787,5223,5036,7194,6753,6985,6446,5142,7202,6103,6214
"COG0007",342,892,302,347,888,981,700,556,275,564,487,1314,439,259,365,345,2381,460,857,831
"COG0008",5274,5837,3760,4215,6583,5592,7351,6307,5806,7431,6280,6383,8052,6205,5710,5870,6477,6712,6451,7912
"COG0009",1920,1829,1708,2058,1936,1801,1918,1922,1610,1853,3024,2442,2490,3267,2716,2997,2722,2917,2775,2039
"COG0010",1432,1230,707,798,549,873,914,824,791,681,707,1042,456,605,1160,462,755,507,362,570
"COG0011",80,24,17,60,7,77,321,16,65,35,193,30,4,31,32,10,71,74,27,149
"COG0012",2056,2388,1577,1665,2905,2181,2924,2610,2258,2775,3029,2328,2783,2484,2245,2711,2151,2347,2598,2264
"COG0013",4988,5460,3835,3838,5307,4859,5438,6140,4869,6395,5642,4396,5912,5245,5316,5812,5168,6046,4763,5301
"COG0014",2542,2557,1836,1869,2485,2332,2142,2994,2409,2614,2124,1946,3039,2934,1799,3114,2619,2943,2415,2393
"COG0015",2634,3014,2218,2686,3148,2659,3399,3170,2690,3694,3976,2559,3865,3080,3060,3032,3392,3059,3465,3182
"COG0016",2302,2254,1889,2059,2697,1993,2281,2568,1912,2480,2742,1739,2236,2327,2437,2651,2266,2522,2151,2241
"COG0017",2579,2951,2567,2590,2382,3744,3814,3245,3008,3574,3082,3007,3055,3430,3276,2995,2625,2943,4202,2644
"COG0018",3673,3811,3189,3132,4039,3868,4503,4354,3637,4335,4249,3389,4121,4338,3798,4425,4218,4255,3764,4469
"COG0019",4880,5092,3573,3809,4835,4388,4966,5063,4479,4741,4002,4726,4668,4175,3967,4404,5532,4660,5100,4655
"COG0020",1565,1747,1506,1703,2087,1604,2037,1714,1776,1897,2172,1184,2078,1713,1714,1573,2032,1860,2040,2087
"COG0021",2501,2670,2112,1973,3112,2021,1376,2239,1869,2312,1758,2791,4081,2551,2542,2918,2724,2627,1592,3745
"COG0022",1660,1043,1382,1240,63,1006,89,671,1244,434,572,374,205,251,1264,305,136,674,144,17
"COG0023",688,336,816,798,100,394,81,487,471,215,141,317,412,807,676,664,151,568,274,129
"COG0024",2751,3203,3059,3061,2875,2658,3070,3459,3004,3357,2731,2597,3452,3623,3433,3193,3929,3404,3754,2981
"COG0025",476,611,219,319,707,808,2120,350,152,694,2454,1299,540,562,470,310,864,438,508,1648
"COG0026",81,119,15,55,1849,214,777,139,11,30,976,531,131,78,192,134,204,117,24,626
"COG0027",1612,996,1526,1238,210,1151,674,1165,879,1038,892,734,1941,1689,1370,1684,453,1062,657,1694
"COG0028",6633,5709,5068,5031,5202,6167,7582,5842,5748,6035,7807,7871,6882,4439,5086,4856,7129,5698,6301,6340
"COG0029",2539,2710,2159,2437,2997,2720,1859,3129,2575,2656,1634,2236,3059,3113,2376,3147,2729,2687,2769,2767
"COG0030",2432,3082,1594,4078,3926,3225,4838,2512,2891,3774,8187,2933,2419,2725,3221,3827,3152,3029,3677,2611
"COG0031",2506,3203,1996,2400,3369,2678,3134,3204,3049,3077,2296,2864,2118,2778,2306,2627,2430,3374,3302,2225
"COG0033",141,20,34,40,292,225,680,12,8,36,703,589,8,101,20,32,66,5,29,739
