"","DOM010","DLM010","NOM027","NOM019","DLM016","NOM001","NOM008","NLM022","DLM004","NOF013","DLM024","DLF005","NOM026","NLM027","NLM009","NOM015","NLM017","DOM001","DOF004","DLM001"
"COG0001",810,529,1944,1985,381,2451,492,864,351,426,847,694,1069,869,365,546,206,753,1126,836
"COG0002",2094,1992,3039,2384,2216,2327,2194,2374,2114,1881,829,1423,1292,1077,1683,1514,1311,1333,1556,1489
"COG0003",714,64,41,222,215,236,715,220,240,847,1,9,38,33,69,528,959,415,309,119
"COG0004",2063,2127,3342,2890,2435,5056,2228,2927,1141,2627,1555,3149,2438,2338,4225,2981,2014,2410,2172,2642
"COG0005",1082,948,1014,1744,1208,1872,1391,1126,1147,1453,1234,1223,801,1232,1980,1259,1446,1492,1245,1476
"COG0006",6928,6897,3574,5878,6966,6304,7084,5422,7146,6057,4632,5831,5233,5407,7017,7041,5233,5934,6397,6840
"COG0007",1021,1070,2563,845,323,4094,202,1170,326,301,1375,908,1600,1211,424,290,323,649,917,513
"COG0008",4519,3876,5244,5799,4407,5864,4047,4825,3019,3805,4638,7033,5694,5541,10248,6715,4767,7273,6406,7981
"COG0009",2603,2551,2577,3017,2723,1689,2588,2968,3219,2461,1821,2570,2803,2105,1564,2853,2638,2579,3044,2723
"COG0010",1136,955,1042,979,918,359,397,684,375,773,1662,716,1180,998,210,892,381,1093,769,892
"COG0011",21,15,401,25,16,34,26,23,14,65,92,15,45,63,8,7,17,22,40,44
"COG0012",2941,2219,2751,3037,2832,2914,2563,2739,2054,2257,1376,2889,2412,3394,2724,2341,2130,2452,2445,2910
"COG0013",6763,5344,6186,6174,6021,6294,6151,5241,4861,4792,2569,5825,4043,5304,5809,6616,4488,5009,5404,6079
"COG0014",3053,2384,2933,2905,2861,3480,2887,2638,2546,2464,1280,2435,2247,2562,1719,3022,2223,2427,2835,3142
"COG0015",3191,3144,3703,4001,2936,4003,2712,3346,2826,2724,1637,3224,3057,3426,4458,2988,2825,3401,2992,3528
"COG0016",2731,2125,2766,2637,2667,2055,2741,2303,2329,1888,1057,2848,2157,2155,1937,2598,2502,2464,2563,2714
"COG0017",3120,2672,1315,3215,3552,3707,3546,3316,2902,2994,2108,3241,2818,3278,3327,3519,3327,3077,2721,3218
"COG0018",4396,4086,4908,4895,4306,4107,4359,3971,3991,3629,2022,4436,4050,4653,3652,4892,3067,4137,4093,4508
"COG0019",4257,4464,6931,4535,4193,5399,3934,4938,3972,4540,1750,3168,2831,3280,3958,2925,2488,2996,3748,3313
"COG0020",1547,1748,2018,2107,1568,2348,1529,1706,1697,1751,722,2053,2168,2102,2827,1549,1322,1955,1601,1881
"COG0021",2281,2492,5995,2781,2249,3440,2209,2721,2483,1850,3063,2295,2105,2785,3664,2247,1628,2982,3290,2922
"COG0022",313,203,74,370,536,104,571,294,932,1226,210,139,368,1252,34,825,750,768,663,1302
"COG0023",505,657,27,258,570,46,650,371,898,466,306,355,358,46,113,608,604,461,537,422
"COG0024",3356,3241,2878,3126,3493,2536,3470,3475,3327,3044,1622,3524,3574,2378,3200,3527,2700,2912,2959,3253
"COG0025",1050,1859,2307,487,626,346,469,1101,189,158,1888,1287,1957,2947,149,241,442,402,870,512
"COG0026",233,295,967,285,153,53,32,225,90,15,937,39,365,1954,32,172,31,293,191,305
"COG0027",1489,1661,906,943,1256,1355,1536,895,1602,877,869,1034,641,199,1800,1143,755,1792,1228,1731
"COG0028",5389,5995,6817,4590,5302,5303,5474,7689,4411,5761,10175,4449,6197,10182,7365,5782,8639,4565,5707,6152
"COG0029",3069,2733,2458,2440,2979,2979,3456,2862,2755,2513,1657,2667,2172,1148,2824,3066,1954,2414,2864,3205
"COG0030",2423,2391,3611,3064,2381,2990,2258,2401,3521,2954,2386,4166,2924,4240,4291,2384,2589,3387,3769,2432
"COG0031",2755,2994,3272,3145,3015,2863,3205,3350,2597,3028,2285,3008,2985,3606,2218,3372,2184,2515,3271,2916
"COG0033",26,184,1199,95,11,35,37,163,40,6,1085,13,105,379,17,53,20,71,140,220
"COG0034",5600,4144,3570,4873,4901,6725,4624,4612,4813,4228,1877,4604,3411,4699,7085,5263,5146,4719,4548,5949
"COG0035",1902,1897,2084,2108,2033,2628,2226,1941,1858,1661,1010,1697,2065,1998,2766,2275,1915,2217,1938,1865
"COG0036",1476,2068,3585,2015,1580,2303,1416,2194,1767,1548,2340,2866,2548,2455,2267,1629,2388,1645,1511,1544
"COG0037",4999,3351,4500,5253,5233,4894,4182,5461,3989,4490,3211,5774,5216,5384,5134,4868,3857,5363,5354,4359
"COG0038",4519,4693,3521,3639,4454,3364,3830,4164,5049,4295,2706,3317,4455,5122,3626,4707,3338,3804,4692,5059
"COG0039",3506,2718,7753,3242,3560,3596,3624,2738,3570,2822,1302,1870,1928,2692,2166,2226,2328,1923,2418,2346
"COG0040",1504,1733,1750,1970,1584,2076,1629,1645,2033,1619,824,1402,1228,886,2397,1795,1130,1722,1808,1817
"COG0041",1384,1251,1225,1453,1401,1249,1335,1450,1372,1041,705,1427,1463,1361,1546,1522,1060,1214,1415,1353
"COG0042",3456,4149,3009,3640,3698,2232,3595,4313,3840,3761,3853,3606,4637,3975,3035,4053,3598,3593,4248,3559
"COG0043",664,1016,1773,332,724,267,344,372,126,199,2395,351,870,637,30,305,214,1055,602,828
"COG0044",3653,3033,5565,3940,3391,2942,2948,3473,2636,2693,4057,3063,3183,3815,3323,3140,2742,3246,3548,3559
"COG0045",128,501,1955,406,235,190,268,267,504,435,970,122,527,122,79,277,532,235,262,430
"COG0046",7052,4790,9164,8009,6320,8943,5595,6531,4732,5683,3250,5738,4958,7038,8608,7023,5204,6248,6425,8385
"COG0047",6507,4441,8774,7135,5633,7907,5241,5743,4221,4908,3207,5208,3808,5486,7299,6073,4789,5097,5626,7834
"COG0048",946,793,1367,1258,859,1221,675,934,635,554,784,1225,1323,1447,1765,648,837,993,843,915
"COG0049",1409,1354,1907,1439,1398,837,1127,1272,1238,1138,1020,1692,1665,1679,850,1309,1411,1399,1337,1281
"COG0050",4361,3119,2491,3660,3302,4511,3580,2991,2735,2231,3169,2931,3987,3023,4430,3489,3094,3223,2848,3451
"COG0051",966,930,1362,1205,1102,602,1010,945,970,912,832,1357,1133,1157,900,1059,1073,1186,1072,780
"COG0052",1862,1666,1324,2098,1782,2359,1763,1753,1455,1192,1315,2024,1610,1805,2689,1501,1536,1846,1684,1808
"COG0053",2339,2387,2350,2909,2284,2620,2045,2485,2290,1965,1675,1804,1920,1813,1712,1638,1235,1720,1359,1562
"COG0054",1148,1079,758,1128,1108,1563,1259,1257,961,796,910,1107,1113,394,1673,960,677,1168,1356,940
"COG0055",3687,2580,5219,4080,3289,4308,2458,5131,1831,3008,2436,3462,3935,4142,3313,3356,3296,2946,3605,3715
"COG0056",4094,3209,5756,4362,3908,5265,3562,5540,2514,3394,2513,3896,4552,4709,4028,4366,4481,3411,3994,4097
"COG0057",2730,2529,2471,3106,2560,3086,2585,2255,1745,1970,2947,2779,2547,2539,3267,2387,1613,2727,2112,2758
"COG0058",6914,5808,7965,7622,6359,6504,5691,7758,4490,5596,6456,8802,7363,9204,6683,6440,6341,5882,7713,6270
"COG0059",2244,2318,3759,1983,2344,2449,2395,2220,2212,2293,1745,2207,2267,2424,2420,2515,2395,2043,2247,2505
"COG0060",6933,5322,5851,7238,6338,7178,5538,6138,4582,5134,3242,7340,5315,7567,6426,5441,5580,5682,6559,7019
"COG0061",2126,1661,1811,2047,1770,2170,1804,2059,1602,1732,1355,1895,1980,1815,1860,1690,1621,1737,1921,2222
"COG0062",1278,1454,1926,1744,1159,2564,1164,1751,1114,1254,1656,2391,1626,1399,3450,1782,1845,2097,2503,2572
"COG0063",1940,2195,2951,2980,1846,3751,1518,2784,1715,2023,1125,1684,1139,1627,2307,1391,1294,1468,1620,1883
"COG0064",1234,620,3435,1537,853,980,459,1626,469,846,405,2379,1253,2511,589,783,1122,847,1030,925
"COG0065",2951,2227,4582,3213,3073,3658,2611,3476,2291,2846,1728,2636,2663,3167,3085,2644,2503,2777,3081,3335
"COG0066",1255,1321,2669,1350,1362,1384,1518,1387,1722,1129,1095,1265,1588,1303,1143,1378,1167,1363,1521,1472
"COG0067",4764,4785,6332,4859,4755,6006,4784,6553,2493,5633,1834,3767,2161,1959,3244,3822,3308,2984,3452,4455
"COG0068",450,681,3795,601,528,439,210,452,362,147,961,648,1073,735,174,485,117,496,481,625
"COG0069",5059,4944,7046,5087,4695,5949,4795,6666,3038,5491,2788,5507,3351,2977,5019,6050,4900,4871,5251,6990
"COG0070",4309,4579,4903,4481,4278,5716,4406,6273,2670,4966,2492,5218,3057,2822,4626,5366,4569,4267,4661,6744
"COG0071",1190,2089,1156,2094,1546,2464,1647,1952,1744,1498,2010,2326,2616,1287,2270,1630,1396,1602,1659,1327
"COG0072",4619,2981,6741,4772,3884,5539,3199,4053,2569,3750,1908,5215,3363,4290,5056,3681,3313,4392,3649,5622
"COG0073",9356,6287,10274,9861,8243,10031,7560,8600,5437,6766,4171,8826,6903,8521,9321,8011,8297,7946,7211,10083
"COG0074",221,414,2070,383,211,184,309,513,613,408,2090,101,269,232,68,213,410,238,247,379
"COG0075",1999,1395,1406,1579,1817,3010,1394,1154,1666,901,763,1251,1783,547,3206,1145,938,1227,1432,1104
"COG0076",1195,891,95,920,1529,116,1468,776,1573,1409,2452,194,663,559,102,1668,1415,1304,1296,1383
"COG0077",1425,1379,2644,2275,1606,2155,1397,1981,1119,1913,1685,1778,1525,1651,1875,1667,1474,1822,1744,2064
"COG0078",2376,2448,3254,3302,2944,2285,2708,2956,2448,2387,4661,2762,2848,3123,2209,2890,2306,2953,2551,2983
"COG0079",5461,4978,4735,4484,5253,3332,4438,4101,4027,4376,2122,5101,4668,3283,3767,4042,4592,4525,5826,3470
"COG0080",1088,1145,1603,1475,1135,1517,1153,1252,1216,980,837,1597,1782,1429,2262,1195,1079,1367,1208,1010
"COG0081",2061,1779,1969,2224,1833,2313,1767,1733,1539,1376,1035,2076,2016,1709,2763,1928,1894,1994,1668,1767
"COG0082",2087,1594,2618,2627,1992,1841,1636,2180,1662,1853,919,1954,1951,1972,1820,2303,1678,2074,2144,2621
"COG0083",248,444,2067,582,220,335,225,486,89,346,742,368,663,1262,177,390,95,494,444,515
"COG0084",2526,2702,2838,3101,2636,1871,2418,2909,3455,2798,2963,2962,3157,2984,2111,2505,2300,2839,2774,2915
"COG0085",9598,8344,9828,9641,8197,9711,8721,8584,7979,7416,5088,9375,7954,10481,9888,9786,7922,8244,7367,9558
