"","NLM027","DLF013","DLM015","DLF008","NOM001","NOM008","DLM005","NLM024","DOM021","DOF008","NOM027","NOF002","DLM017","NOM018","DLM009","NLM008","NLM001","NOM028","DOM008","DLM018"
"COG0001",879,1291,585,531,2499,471,897,330,409,822,1921,868,862,849,1493,322,632,717,466,771
"COG0002",1595,2199,2061,1436,2315,2207,1985,2564,2417,1905,3042,1973,2617,2256,2535,2190,2242,1889,2240,2539
"COG0003",32,797,89,1019,221,677,531,206,1138,79,24,242,15,44,42,10,116,129,35,157
"COG0004",2508,2676,2598,1265,5052,2241,2344,4795,1533,2845,3269,2652,3733,2266,3897,2600,3803,2285,1350,3073
"COG0005",1245,1343,1067,1314,1870,1404,1342,1755,1560,1117,1054,1273,1393,1303,534,1353,1585,1151,1484,1098
"COG0006",1735,1950,2197,1951,2131,2352,1931,2295,2171,1740,3556,6005,6384,6180,5710,6176,7100,6238,6786,6219
"COG0007",1177,710,619,766,4115,206,534,344,374,694,2495,933,705,899,963,886,414,1002,348,856
"COG0008",5600,7450,6284,4221,8962,6152,7198,8428,5966,7398,7872,6191,8156,6823,6472,6433,7292,5587,5284,8096
"COG0009",2137,2984,2713,2243,1646,2536,2823,1795,3036,2969,2612,2330,2255,3050,2760,2803,2624,2668,2822,2721
"COG0010",1027,693,937,1462,350,389,804,442,463,946,1031,692,555,319,548,363,411,834,1450,495
"COG0011",93,122,13,105,33,24,197,1,10,310,452,24,15,112,2,25,21,72,81,186
"COG0012",3268,2712,2132,1609,2940,2550,2528,3390,2680,2861,2737,2417,3283,2551,3014,2597,2513,2210,2028,3000
"COG0013",5212,5896,5653,3847,6194,6124,5478,7114,5661,5458,6206,5297,6690,5612,5325,4728,6048,4851,4969,6424
"COG0014",2661,2503,2781,1872,3477,2915,2002,2696,3184,2087,3035,2655,3073,2592,2461,2377,2361,2338,2578,2609
"COG0015",3385,3459,2646,2660,4061,2697,3646,3727,3062,3426,1203,905,1206,1192,1067,1206,1138,889,900,1327
"COG0016",2164,2588,2504,1777,2070,2745,2405,2236,2700,2295,2696,2425,2356,2424,2751,2186,2760,2032,2304,2528
"COG0017",3357,3001,2974,2459,3674,3513,3005,3357,2965,3821,1304,3053,3620,3540,2444,4185,3147,3726,2575,2894
"COG0018",1626,1421,1328,1028,1376,1465,1403,1723,1424,1504,4962,3379,4690,4410,3931,3765,4834,3907,3613,4400
"COG0019",4886,4733,5092,3597,5371,3894,4291,4549,4439,4944,6885,4271,4707,4742,4742,5085,5397,4407,4837,5922
"COG0020",2133,1725,1535,1490,2412,1542,1993,2163,1592,2008,2084,1610,1946,1749,2101,2010,2120,1592,1595,1997
"COG0021",2864,1610,2355,1866,3435,2250,2975,4797,2928,1353,6120,1782,3238,2599,3188,1552,3346,2021,2482,3463
"COG0022",1228,831,1269,1163,109,594,534,243,307,105,75,1299,306,107,47,148,105,1012,1690,188
"COG0023",49,471,573,632,52,705,516,260,688,78,22,598,351,393,91,260,241,403,699,354
"COG0024",2334,3570,3136,2367,2527,3460,3080,2555,3118,3005,2821,2953,3226,4037,2871,3775,4427,2688,2709,4203
"COG0025",2930,514,404,618,366,457,560,344,299,2146,2279,454,403,1336,690,496,894,818,476,992
"COG0026",1878,238,48,99,47,34,369,156,143,766,910,75,115,162,1925,26,94,216,81,208
"COG0027",166,1111,1253,819,1381,1562,1199,2218,1653,669,890,879,1352,1171,185,650,1208,1152,1655,1466
"COG0028",10268,5502,5606,5045,5346,5435,4551,4873,4834,7645,6835,7236,5514,6978,5255,6305,4511,6196,6574,5989
"COG0029",1151,2783,2849,2471,3012,3488,2372,4451,3260,1872,2468,2845,3015,3181,3004,2712,2789,2655,2594,3208
"COG0030",4201,3844,2537,1372,3004,2278,5830,3341,3778,4818,3623,2567,3445,3670,3937,3675,3063,3223,2397,3115
"COG0031",3528,2846,3075,1934,2826,3186,2702,2408,2612,3163,3317,3112,2955,2930,3303,3266,2811,2637,2534,2776
"COG0033",404,151,25,101,32,34,417,94,33,682,1189,134,11,49,300,26,72,220,151,323
"COG0034",4625,5707,5077,3511,6829,4657,4844,7671,4984,3737,3506,3416,6134,4691,3628,3732,5039,4959,4372,5779
"COG0035",1955,1875,1788,1262,2595,2248,2078,2399,1936,2074,2102,1928,2406,1897,1810,1821,2040,1643,1732,1792
"COG0036",2479,1768,1400,1479,2367,1396,1895,2092,1634,2461,3428,1793,2229,2173,2969,1901,2417,1780,1105,2236
"COG0037",5383,5081,5131,3602,4781,4181,4400,3666,5234,5863,4441,4808,4865,5528,5670,5546,4550,4071,4466,5320
"COG0038",5021,4724,4797,3836,3261,3833,3815,4276,4874,4891,3603,4347,3899,3912,3243,3104,3263,4641,5012,4146
"COG0039",3954,3394,3760,2521,3569,3608,3249,3488,4166,3794,7697,3163,3183,3052,3814,3222,3126,3389,3422,2791
