"","NOF013","NOF005","DOM021","DLF008","NOM020","DOF004","DOM024","NOM027","NLM016","DOM010","NLM025","DOF008","NOM002","NLM008","NOM007","NOM013","DLM003","DLM019","NOM018","DLM008"
"COG0001",408,610,406,539,334,1097,536,1941,429,850,685,798,1744,332,623,998,378,1075,886,1186
"COG0002",1906,2082,2433,1427,2477,2378,2207,3052,1921,2036,2193,1819,2240,2264,1541,2119,1990,1749,2298,2321
"COG0003",837,522,1147,1019,128,308,67,38,18,722,51,76,288,46,91,464,189,391,160,46
"COG0004",2640,2640,1536,1304,3231,2134,3105,3437,3691,2128,3028,2786,3477,2582,2292,2549,1425,2848,2212,2556
"COG0005",1413,1182,1513,1348,1646,1229,1304,1055,2019,1096,1418,1084,1111,1342,1588,1384,1589,1015,1266,1502
"COG0006",6004,6618,6513,5982,6179,6462,6540,3547,7299,6804,7587,5130,4998,6157,5875,5380,6975,4639,6239,6168
"COG0007",282,668,325,763,328,933,569,2496,66,1051,477,682,2287,871,411,879,377,600,877,511
"COG0008",5772,6430,6009,4234,8463,6435,5704,7981,8516,6765,9353,7332,6532,6501,7306,7059,5689,8200,6810,6402
"COG0009",820,984,953,745,691,942,949,882,634,934,2507,2992,2755,2786,2542,2664,2714,2610,3059,2901
"COG0010",774,674,440,1419,650,763,1642,1026,1329,1109,814,941,723,379,584,695,1182,1750,342,607
"COG0011",65,51,14,103,8,56,16,446,4,23,18,119,34,9,8,10,9,14,36,35
"COG0012",2271,2374,2672,1601,3025,2468,2324,2710,2708,2928,2618,2844,2166,2588,3204,2589,2178,3055,2629,2626
"COG0013",4902,5684,5756,3854,6122,5393,5546,6342,5849,6728,5691,5419,5229,4702,5676,5474,5283,7103,5526,5506
"COG0014",2432,2506,3140,1882,2363,2824,2653,3005,2724,3067,2178,2092,2567,2409,1782,2241,1845,2784,2604,2763
"COG0015",2681,3052,3122,2647,3349,2997,2799,3559,3423,3168,3657,3424,3414,3485,3360,3318,3061,3374,3475,3153
"COG0016",1910,2450,2636,1715,1969,2549,2503,2677,2562,2715,2533,2305,2296,2171,3058,2470,2448,2817,2439,2867
"COG0017",3055,3741,2973,2401,3380,2765,3099,1292,3360,3139,3143,3864,2693,4170,3766,3046,3267,3594,3441,3401
"COG0018",3666,4520,4337,2970,3875,4127,4184,4913,4773,4457,4653,4473,4222,3790,4471,4565,3861,4608,4439,3872
"COG0019",4465,4974,4477,3575,4615,5552,5161,6849,5090,4286,5964,4962,5519,5101,5685,4407,3988,4195,4904,4878
"COG0020",1750,1720,1592,1487,1962,1603,1791,1975,2570,1653,2472,2022,2000,2023,2040,2015,1714,1906,1772,1944
"COG0021",595,640,942,641,1508,1074,680,2083,1062,760,3293,1366,2697,1551,2690,3247,2553,1465,2703,1515
