"","NLM007","NOM014","DOF006","DLM002","NLF008","NLM031","NOM019","NOM016","NOF012","DOM018","DOF007","NOM027","DLM014","NOM013","NOM009","DOM001","NOM007","NLM025","DLM024","NLF001"
"COG0001",630,408,298,1134,764,1406,1981,478,456,1503,197,1910,486,981,709,718,639,692,866,699
"COG0002",2393,2406,1801,2052,2350,2119,2402,2178,1512,2606,1791,3170,2228,2144,2227,1969,1565,2243,1213,2105
"COG0003",71,236,548,118,65,46,75,77,218,74,309,40,225,477,4,388,98,46,3,96
"COG0004",1116,2101,1491,3249,1981,2525,2881,2664,1566,3662,1065,3420,1866,2539,3882,2378,2277,3028,1496,2542
"COG0005",1012,1135,1120,1458,1365,1337,1761,1425,899,1397,1590,1074,1487,1379,1097,1499,1590,1421,1231,1022
"COG0006",6401,7056,7314,5376,5892,6457,5874,7038,5524,5457,2039,1137,2280,1785,1909,1963,1925,2514,1539,2075
"COG0007",238,192,151,293,238,159,256,148,137,253,267,2555,428,870,1064,663,403,479,1354,823
"COG0008",6775,5906,4926,7344,7028,6726,8698,6198,7072,7434,4733,7975,6661,7099,7489,7240,7280,9366,4694,5618
"COG0009",3210,3330,2709,2468,2615,2856,3026,2766,2480,2901,2476,2593,3107,2657,2554,2636,2559,2518,1840,2763
"COG0010",1012,573,977,637,1316,436,960,791,1695,890,835,1024,706,695,676,1085,582,791,1615,1227
"COG0011",33,23,19,20,3,11,23,12,80,44,32,448,30,34,27,31,35,55,152,23
"COG0012",3016,2567,1952,2565,2588,2519,3054,2578,3281,2808,1864,2792,2763,2613,2878,2424,3146,2631,1331,2199
"COG0013",6033,5688,5212,5197,6161,5898,6220,6062,9242,6361,1402,2164,2103,1797,1645,1679,1920,1952,808,1816
"COG0014",3192,3123,2635,2180,2698,2796,2888,2832,1662,3750,1858,3004,2657,2217,2431,2382,1792,2145,1333,2580
"COG0015",3398,3080,2883,3285,3189,3034,4020,2983,2177,3099,2865,3752,3337,3313,3800,3369,3352,3663,1646,2997
"COG0016",2605,2620,2318,2550,2652,2639,2634,2461,3159,2698,1986,2702,2616,2466,2063,2441,3038,2574,1027,2588
"COG0017",3664,3213,3281,2894,2841,3558,3206,3564,3135,3354,2703,1265,3473,3062,4451,3148,3789,3139,2077,3478
"COG0018",5190,4259,4152,3930,4096,3848,4855,4109,5584,4583,3276,4979,4436,4556,4413,4162,4515,4625,2041,4391
"COG0019",4695,4715,3491,5438,5543,4660,4555,5217,3717,5624,3751,6885,5013,4435,5663,4560,5633,6000,2616,5135
"COG0020",1862,1797,1631,2233,1587,1770,2074,1742,1963,1940,1653,2098,1884,2021,1703,1954,2042,2468,715,1636
"COG0021",2149,2815,2677,2657,3766,2134,2778,2328,2817,1952,2664,6232,3248,3255,1823,2919,2669,3389,3047,2233
"COG0022",306,318,882,481,1775,677,365,1238,463,602,1033,89,715,231,77,747,152,113,191,1295
"COG0023",464,738,652,266,471,541,251,547,413,415,630,15,624,407,91,457,284,87,287,541
"COG0024",3706,4244,3158,3287,3173,3006,3135,3076,3723,3438,2908,2863,3337,3451,3455,2944,4327,3831,1639,3428
"COG0025",497,355,615,481,145,581,481,629,230,384,276,2289,506,441,1278,400,576,350,1908,274
"COG0026",80,104,77,85,223,37,288,69,176,164,83,924,205,169,79,298,44,76,953,88
"COG0027",1272,1583,1335,941,1437,904,934,1138,653,1142,1497,904,1655,1011,492,1810,1151,1634,878,901
"COG0028",5872,4930,5535,5194,5185,6085,4590,5355,3329,6230,5222,6841,5098,4790,7002,4595,4227,6112,10116,5146
"COG0029",3007,3203,3689,2358,2585,2815,2426,2938,1735,3097,2463,2408,3096,2258,2605,2399,2379,3020,1602,2546
"COG0030",2818,2580,2339,3671,2794,2978,3029,3728,4472,2447,1524,3626,2494,5453,3268,3377,3744,4254,2422,3261
"COG0031",3217,2925,2817,3220,3233,3543,3107,3109,2276,3212,2374,3310,2722,2530,2772,2521,1992,3102,2239,3433
"COG0033",29,48,45,3,84,9,93,9,23,95,70,1204,48,3,9,70,19,717,1101,15
"COG0034",4435,4951,4364,4627,5744,4644,4867,5186,3117,4935,4010,3540,5793,4752,4790,4772,5603,5854,1872,4202
"COG0035",2233,2075,1770,2190,1862,2037,2131,1989,1394,2092,1397,2090,1831,2101,2028,2180,2326,2299,1058,2153
"COG0036",1483,1389,1283,2360,1918,1672,2029,1520,2511,1917,1470,3432,1466,2347,2315,1662,1915,2013,2413,2025
"COG0037",5017,4926,3463,5429,3582,6524,5254,5056,6032,5670,3457,4490,4674,4909,6171,5412,6180,4370,3209,4462
"COG0038",4761,4555,4574,3231,4515,4069,3634,4780,2866,4892,4433,3528,5029,3138,3612,3837,3975,3182,2704,3747
"COG0039",1118,1345,1171,1114,1445,1148,1051,996,1090,1158,2882,7607,3517,3582,2880,2971,3404,3177,1990,4199
"COG0040",1456,1851,1421,1623,1498,1824,1957,1714,1170,1801,1747,1731,1654,1747,1632,1743,1291,2248,859,1638
"COG0041",1486,1569,1371,1245,1173,1425,1451,1279,978,1412,296,430,459,422,502,417,460,435,235,458
"COG0042",4669,3981,3961,3303,3919,3411,3645,4130,4224,4513,3142,3003,3769,3384,4288,3589,3747,3409,3939,3908
"COG0043",171,354,225,570,711,452,329,260,243,346,382,1810,358,747,239,1047,184,128,2351,569
"COG0044",3418,3568,3447,3583,3539,3724,3922,3041,3051,3913,2475,5553,3445,3606,4119,3274,2973,2993,4088,3061
"COG0045",253,124,735,271,648,101,401,136,270,289,1157,1901,229,237,60,241,63,570,951,398
"COG0046",2288,1869,1810,2144,2306,1889,2737,2176,1389,2454,3561,9100,6469,5809,6645,6305,7042,7598,3189,6098
"COG0047",5504,4781,4600,5743,5549,5357,7138,6236,3480,6034,3284,8809,5936,5092,5825,5117,6469,7011,3182,4894
"COG0048",721,757,467,1184,795,943,1267,797,1379,882,625,1359,872,1295,1282,995,1328,1406,774,712
