"","DOF006","NOF011","DOF012","DLM002","DLF014","NLM007","DLM022","DLF004","DLM013","NOM016","NLF015","DLM016","DLF009","NLM022","NOM013","NLF001","NLM017","NLF008","DLM003","DLF010"
"COG0001",284,647,621,1144,1107,654,1028,422,2519,477,546,380,985,831,980,689,218,765,373,1281
"COG0002",1802,1941,1736,2027,2703,2423,1457,2025,2328,2161,2026,2241,1560,2395,2159,2084,1983,2376,1980,1940
"COG0003",1731,574,38,279,749,215,351,107,260,239,438,201,50,207,468,96,961,206,196,363
"COG0004",1473,2206,1799,3273,3903,1132,1771,3541,1940,2634,2471,2424,1322,2888,2571,2527,2099,2035,1439,2368
"COG0005",1073,1418,914,1457,1142,1021,1158,1607,1566,1414,1072,1228,936,1147,1372,1014,1436,1334,1607,1698
"COG0006",7328,6413,5277,5291,4764,6504,5050,5798,5392,7085,6594,6960,4014,5459,5399,6004,5291,6063,6986,5274
"COG0007",487,303,487,898,1521,704,828,508,800,442,491,344,1096,1185,876,831,331,689,377,527
"COG0008",5025,6618,6278,7450,7028,6841,7558,6840,7587,6196,1912,2268,2013,2422,2341,1866,1624,2283,1890,2679
"COG0009",2648,2535,3039,2437,2603,3239,2788,2020,2707,2780,2226,2724,2201,2986,2686,2731,2589,2649,2729,3037
"COG0010",1037,913,719,639,392,1003,880,628,1254,779,1218,950,935,674,697,1235,385,1262,1191,1411
"COG0011",20,33,203,17,672,24,46,36,199,13,9,14,177,25,31,27,21,3,27,27
"COG0012",1929,2574,3003,2540,2617,2956,3436,2794,2885,2609,2088,2784,2160,2775,2590,2203,2150,2642,2211,3369
"COG0013",1815,2021,1876,1756,1986,2037,2243,1917,2099,2032,6210,6037,4689,5129,5426,5298,4401,6198,5286,6380
"COG0014",2600,2453,2138,2181,2809,3188,1598,2605,3026,2813,2856,2806,1783,2647,2226,2562,2169,2767,1821,2296
"COG0015",2892,3034,3993,3273,3905,3474,2879,3383,3750,3009,2267,2927,2819,3382,3336,2995,2849,3169,3061,3324
"COG0016",2309,2518,2766,2514,2505,2637,3030,2271,2790,2448,2482,2634,1839,2281,2456,2553,2513,2634,2465,2930
"COG0017",3189,3432,3105,2933,1995,3576,3892,3020,2376,3493,3265,3512,2395,3337,3055,3471,3381,2716,3314,3402
"COG0018",4222,3866,4257,3922,4748,5213,4817,4221,3920,4069,4041,4297,3324,3942,4582,4367,3108,4106,3853,4702
