"","DOF009","DLM003","DOF011","DOM019","NOM016","NOM001","DLF003","DLM022","DOM008","DLF004","DOF007","NLM010","NLM023","DLM017","DOF004","DLM021","NOM012","NLM022","DLM020","NOF010","NOM029","NLM021","DLM027","DOF003","NOM007","DLF014","DLF010","DOM022","DLM009","NLF005","NOF012","DLM023","NOM004","NLM009","DLM013","DOM001","NOM026","NOF011","DLM011","DLM015","NOF014","NLM002","NOM019","DOM005","NLM006","NOM013","DLM005","NLF008","DOM013","NOM028","NLM016","NOM015","NLF007","NLM008","NOM010","NOF002","NOM018","NOM008","DLM019","DLM004"
"COG0001",2,1,1,0,1,3,0,2,4,0,0,2,1,2,0,1,1,0,1,0,4,0,0,0,4,1,1,1,1,1,4,0,1,0,2,1,2,1,1,3,1,0,8,3,0,0,1,3,2,1,0,1,0,0,1,3,2,0,3,0
"COG0002",4,7,5,7,6,3,5,3,12,5,3,2,7,9,4,4,4,6,4,2,3,5,5,2,2,5,2,4,4,6,2,4,1,2,4,3,2,1,4,3,0,0,3,2,4,6,3,5,2,6,3,3,5,3,5,4,1,3,0,1
"COG0003",1,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,1,1,2,0,0,0,1,1,0,4,0,1,1,0,1,0,3,0,0,1,0,0,3,1,0,1,0,3,0,0,2,1,1,1,0,1,0,0,2,2,0,0,0,0
"COG0004",4,2,9,12,4,10,8,2,4,3,0,10,3,11,5,3,4,7,4,4,5,6,9,6,3,12,1,3,11,11,3,7,5,5,1,3,0,3,3,6,2,1,2,2,1,2,5,2,2,1,2,4,6,0,5,3,2,5,3,5
"COG0005",6,4,1,2,2,5,3,1,5,1,5,3,1,1,3,6,1,5,2,9,1,2,1,3,6,0,2,0,1,7,2,2,4,4,2,0,0,3,2,1,2,5,6,4,4,0,8,1,4,1,4,1,4,1,4,3,4,2,4,2
"COG0006",13,14,8,15,16,11,8,7,13,14,19,14,11,12,9,13,8,9,12,9,14,8,8,17,15,13,11,11,13,13,8,14,13,16,7,15,11,7,10,15,14,11,7,14,13,17,13,13,13,16,10,16,12,11,12,11,10,15,11,18
"COG0007",3,0,1,0,0,9,1,0,2,2,0,3,2,1,0,1,0,2,1,0,3,3,0,0,1,4,1,3,3,1,0,1,1,1,2,3,5,0,1,1,0,2,1,0,5,1,3,1,1,3,0,0,2,1,0,4,1,1,0,1
"COG0008",18,9,22,20,14,16,21,13,9,4,5,9,9,19,12,10,14,17,10,17,13,14,24,11,18,20,18,8,12,16,10,12,8,22,16,16,7,8,8,19,15,19,20,5,21,10,19,16,16,13,21,9,15,10,11,19,15,11,18,6
"COG0009",7,3,3,11,4,4,6,3,5,4,6,10,2,6,5,5,6,9,3,4,3,4,10,7,6,5,5,4,4,6,1,6,5,4,1,9,7,4,9,2,3,5,5,3,4,9,5,4,6,5,2,8,7,2,3,7,6,7,5,2
"COG0010",1,2,1,3,2,0,1,0,3,1,0,3,3,0,1,2,2,1,3,1,2,4,2,1,2,1,3,0,0,1,4,1,1,2,4,2,3,1,1,1,5,0,5,3,3,5,1,3,2,1,3,3,2,1,1,0,1,0,4,1
"COG0011",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"COG0012",3,6,5,6,4,2,7,10,4,5,6,7,7,5,4,2,6,3,3,5,7,4,1,4,6,5,6,9,1,13,5,9,3,8,7,6,5,5,5,6,8,9,5,1,2,6,4,7,9,4,10,4,7,6,5,3,5,2,7,5
"COG0013",10,11,13,10,14,15,11,15,12,10,10,8,3,14,10,9,15,15,9,10,12,21,10,11,10,9,13,15,11,14,11,4,5,8,9,5,2,7,10,5,7,7,8,2,6,5,7,3,12,6,6,7,8,7,13,8,9,4,6,11
"COG0014",6,4,2,7,2,10,7,3,4,5,4,5,7,10,3,9,4,6,8,3,5,3,5,3,2,6,7,2,10,4,6,7,6,2,6,11,4,7,2,4,4,8,7,3,5,7,9,6,7,6,6,3,4,4,4,6,2,5,3,5
"COG0015",6,7,6,6,4,10,5,2,8,14,10,7,3,8,2,9,4,4,5,7,4,8,8,6,12,9,4,8,5,13,8,1,6,7,10,6,3,7,7,8,9,8,9,4,4,5,11,11,5,7,7,4,10,9,4,6,5,8,5,2
"COG0016",7,4,3,7,3,5,3,4,4,6,2,3,4,2,4,3,4,3,6,2,4,3,2,7,5,3,1,4,3,5,13,5,3,5,10,5,8,1,3,7,4,7,7,3,6,4,5,4,6,3,4,4,5,5,9,4,1,6,9,6
"COG0017",5,7,8,9,6,10,6,7,12,2,5,3,5,8,3,11,4,4,7,6,5,12,7,8,9,2,5,6,0,8,7,8,6,8,5,3,4,4,8,6,6,3,10,4,11,5,4,5,8,9,3,13,6,12,4,6,4,8,8,5
"COG0018",10,8,8,14,7,7,5,8,12,10,3,3,6,11,7,6,4,11,6,7,6,5,8,3,7,12,6,11,10,13,7,5,8,4,2,4,7,10,4,5,11,6,5,3,3,6,3,5,6,3,11,7,0,6,9,3,8,6,8,9
"COG0019",4,5,7,11,11,11,9,3,10,7,8,7,9,12,17,12,14,5,10,11,7,10,12,8,18,12,7,6,3,12,3,10,10,13,10,12,14,8,11,8,13,11,6,5,15,13,16,18,12,9,4,11,13,10,5,6,8,9,12,13
"COG0020",2,4,5,2,3,3,4,2,2,2,3,4,7,3,1,2,3,3,2,2,1,2,2,1,5,2,3,3,4,3,2,2,4,4,0,3,3,5,2,3,4,2,4,1,5,3,7,6,6,6,2,4,4,4,2,1,1,4,4,5
"COG0021",4,6,9,3,8,8,2,7,7,6,7,2,1,7,3,4,4,3,4,6,3,7,6,2,6,8,0,6,7,3,7,11,4,4,3,7,1,6,8,3,1,10,9,6,5,7,8,9,4,6,9,6,8,0,9,3,7,3,1,6
"COG0022",0,4,0,0,2,0,0,2,5,1,3,1,1,1,3,2,1,1,3,3,4,0,0,4,0,1,2,1,0,1,0,0,3,0,1,1,0,2,1,1,0,0,1,2,3,0,1,7,0,4,0,2,2,1,2,1,0,0,1,0
"COG0023",1,0,0,1,0,0,0,0,1,0,3,1,1,0,2,0,0,1,2,0,3,3,0,0,1,0,0,1,0,1,1,2,0,1,0,2,3,1,5,2,1,0,1,1,0,0,1,1,2,2,0,1,0,0,1,1,1,5,0,1
"COG0024",5,5,6,9,4,6,15,6,3,4,5,6,10,7,7,9,2,10,6,8,9,13,3,16,6,6,9,8,9,14,9,8,4,8,5,5,9,4,3,3,8,10,4,6,8,6,6,5,7,10,11,8,2,9,6,3,6,5,4,2
"COG0025",2,2,0,1,1,0,4,1,1,0,1,1,3,0,2,0,0,3,0,0,3,0,4,3,3,8,3,0,0,3,1,0,2,0,2,1,3,1,0,0,1,0,0,1,2,2,1,0,0,3,0,0,0,2,0,1,0,1,1,1
"COG0026",1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"COG0027",1,0,2,4,4,6,3,0,5,1,1,3,1,4,2,3,3,2,3,1,3,4,0,2,3,1,1,4,2,1,2,3,2,2,0,6,1,6,0,2,2,6,1,1,2,4,3,2,1,3,6,3,3,0,1,2,6,1,1,1
"COG0028",11,8,5,9,18,13,9,11,10,8,8,16,11,11,13,14,9,18,5,11,7,5,13,11,7,21,5,15,18,10,5,9,7,9,14,8,12,9,2,6,11,8,9,13,4,12,8,11,13,14,12,10,16,14,7,16,12,13,7,11
"COG0029",0,8,6,7,6,5,9,5,12,7,7,2,3,5,6,5,4,6,5,3,4,3,3,7,5,3,4,9,8,7,4,4,8,4,3,6,3,4,4,5,6,8,3,5,8,7,3,3,3,7,4,8,8,8,2,6,3,2,2,3
"COG0030",4,7,6,3,5,11,9,7,5,9,3,4,3,6,4,6,5,3,7,4,8,4,6,6,7,11,5,4,11,5,12,8,2,6,7,10,5,2,9,6,3,6,5,4,14,14,13,6,7,8,5,8,5,5,4,6,5,6,8,15
"COG0031",6,6,3,10,5,3,12,9,5,9,5,3,3,16,7,8,6,9,7,8,7,4,2,10,6,2,8,7,1,3,4,9,10,4,7,4,5,8,4,5,4,8,6,5,1,8,3,6,2,5,1,2,7,6,5,6,1,3,12,4
"COG0033",0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
"COG0034",7,14,7,15,10,9,13,8,13,16,5,9,2,17,9,13,5,12,8,9,5,12,8,5,10,6,6,8,12,14,9,9,7,13,7,6,9,8,8,5,10,16,9,8,6,10,12,7,9,7,8,11,13,8,9,6,9,8,9,8
"COG0035",3,2,2,3,1,3,7,2,1,3,1,3,5,1,3,4,1,4,2,2,2,1,9,4,4,2,4,3,2,5,3,2,1,5,3,8,2,5,3,1,5,5,4,5,4,4,3,2,3,8,3,2,2,6,5,2,3,3,7,6
"COG0036",5,3,12,5,2,4,5,9,3,4,4,6,3,5,2,3,5,2,2,4,3,2,2,1,4,7,5,3,2,7,6,2,9,3,3,4,7,1,4,3,4,0,7,4,2,5,1,5,8,2,5,3,6,7,4,2,9,2,5,4
"COG0037",10,3,2,12,3,8,13,11,12,10,10,12,15,7,14,12,10,12,8,7,7,7,15,11,12,14,17,6,9,12,11,10,11,17,9,14,7,7,12,9,12,9,8,8,4,7,6,6,10,11,9,15,12,8,9,5,11,7,11,7
"COG0038",7,16,7,14,9,3,1,5,8,8,7,7,4,10,5,12,6,12,3,8,7,7,12,7,9,17,3,13,7,7,6,7,12,10,6,8,14,10,7,7,9,13,5,5,15,6,9,5,5,7,17,4,11,4,11,10,7,2,5,11
"COG0039",6,7,10,7,6,10,5,1,6,3,13,6,3,7,5,8,5,8,11,5,4,7,10,3,5,11,3,8,9,3,9,10,8,12,3,6,2,5,4,8,8,5,10,4,10,7,6,9,5,9,7,6,8,7,13,8,9,7,5,7
"COG0040",4,1,6,1,2,3,2,1,9,3,5,1,4,4,3,2,1,4,3,4,3,9,6,2,3,2,2,1,3,0,5,2,2,2,3,4,3,3,3,1,1,3,3,1,5,6,0,4,6,2,6,1,2,5,6,4,2,5,3,3
"COG0041",3,1,3,2,5,5,3,7,1,3,0,4,1,2,1,3,0,6,3,1,4,5,5,0,2,2,0,4,1,5,2,4,1,3,0,5,3,1,6,1,4,6,2,0,1,2,2,2,0,1,7,6,1,2,2,1,1,3,1,2
"COG0042",10,6,8,7,8,5,3,6,4,1,14,10,6,4,9,5,9,10,1,6,9,10,10,7,5,10,5,3,6,6,10,11,9,4,9,5,10,10,8,9,7,13,7,6,14,8,4,9,8,9,5,8,3,4,7,8,10,6,6,7
"COG0043",0,0,0,0,0,2,0,0,2,0,1,0,1,1,0,3,2,1,0,0,0,1,3,0,1,4,0,1,3,0,0,2,2,0,2,0,2,0,0,0,1,2,0,0,2,3,6,2,0,0,0,0,1,0,1,1,0,1,1,1
"COG0044",10,5,6,2,4,3,3,5,4,4,3,2,5,4,1,3,5,2,4,10,7,6,8,3,6,7,5,12,8,6,5,7,8,4,10,1,7,3,5,8,10,9,7,10,4,8,6,10,7,7,9,5,6,6,5,3,7,7,12,3
"COG0045",0,1,3,0,0,0,0,2,0,0,4,0,0,0,1,2,0,2,2,0,2,1,0,1,0,3,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
"COG0046",12,8,11,9,9,14,11,5,13,13,8,14,7,16,14,14,10,15,17,15,13,9,9,15,9,22,13,14,10,11,6,12,5,16,14,12,12,13,10,8,6,21,14,2,14,8,13,17,12,10,20,8,10,8,13,9,8,14,19,15
"COG0047",5,11,12,10,15,13,13,10,12,11,6,4,7,11,18,12,8,16,2,8,12,10,10,10,14,13,9,11,15,13,4,8,8,18,11,16,7,9,10,10,16,27,12,10,6,10,8,12,11,5,17,7,11,9,16,11,14,10,12,10
"COG0048",4,3,0,0,3,4,5,2,1,3,0,4,2,1,2,0,0,3,0,2,4,1,3,3,2,5,1,3,1,3,4,0,2,2,2,2,0,0,2,1,0,1,0,1,1,1,3,2,5,1,4,3,1,1,1,2,0,0,3,1
"COG0049",1,3,1,2,3,2,3,3,5,2,2,3,8,1,1,3,5,3,5,2,3,0,2,2,3,3,1,1,6,0,2,1,6,3,2,1,4,2,1,1,4,1,3,4,1,3,1,4,5,3,3,2,4,2,1,0,4,3,4,1
"COG0050",5,5,3,2,4,4,10,12,3,6,4,6,3,4,10,7,10,4,3,2,7,10,9,9,9,2,6,4,5,11,13,3,0,6,7,3,9,4,8,5,4,5,9,6,4,14,12,5,9,6,6,6,12,8,5,4,5,7,4,4
"COG0051",4,0,2,1,2,0,3,2,2,0,1,2,3,1,1,3,2,2,4,0,2,1,1,2,1,2,1,0,2,2,2,3,2,2,0,3,1,0,1,1,1,1,1,2,2,5,3,1,1,2,1,2,1,0,1,3,2,1,1,1
"COG0052",5,4,7,6,4,7,2,6,4,5,4,4,1,2,5,2,10,2,1,3,4,2,4,2,6,1,8,5,1,3,7,2,4,0,3,5,5,4,6,7,4,6,8,1,2,2,8,4,8,3,2,3,4,2,2,4,3,4,4,4
"COG0053",8,7,3,5,9,6,6,6,3,3,2,3,4,1,2,1,2,4,5,4,4,3,6,6,4,11,3,4,4,2,6,6,5,6,5,5,4,8,1,6,8,9,5,6,6,0,3,4,7,3,5,4,3,5,4,7,1,7,1,4
"COG0054",3,1,2,1,3,3,4,3,2,1,1,3,0,4,1,3,1,1,1,3,1,3,2,2,1,3,0,0,3,3,1,2,0,4,0,4,3,4,5,2,2,2,2,0,0,2,4,4,3,4,1,2,3,1,1,4,3,3,0,0
"COG0055",4,4,4,5,5,2,3,4,5,5,11,2,5,6,8,1,7,5,3,6,4,7,11,9,2,6,6,10,7,13,4,12,4,3,10,3,3,6,6,6,11,10,13,4,7,4,6,11,7,5,6,3,8,6,9,2,13,6,6,3
"COG0056",9,3,5,12,13,11,6,2,5,8,6,9,3,12,7,9,12,17,6,5,11,7,13,10,7,9,5,8,10,9,5,7,7,6,6,5,5,9,6,5,12,5,12,5,7,7,2,4,7,17,9,8,8,11,9,6,9,8,5,5
"COG0057",0,3,0,10,4,5,8,9,3,4,1,4,7,3,2,2,6,5,6,2,2,2,8,2,3,6,9,6,7,6,6,6,4,4,6,3,4,8,8,3,3,6,6,3,1,5,5,7,6,5,4,8,8,3,2,1,4,8,9,4
"COG0058",10,15,13,14,13,12,14,18,16,10,15,21,8,13,16,19,11,17,10,17,16,16,6,15,12,16,16,14,16,17,16,20,11,11,9,15,15,19,12,10,14,13,12,10,4,21,16,18,8,10,16,12,17,21,12,16,11,14,15,8
"COG0059",4,3,2,6,1,3,7,2,7,7,2,10,4,4,2,6,3,1,1,3,3,4,3,5,5,8,6,4,5,4,1,3,1,5,6,3,6,2,3,3,4,9,5,7,6,6,8,4,2,8,3,5,10,4,4,7,9,4,6,5
"COG0060",14,16,8,14,11,10,15,21,9,8,5,10,10,18,19,15,12,11,5,17,10,11,16,12,16,17,14,18,17,13,21,13,13,13,8,14,13,9,8,8,17,15,16,10,10,8,10,9,16,8,11,12,14,11,8,10,8,14,13,8
"COG0061",1,3,4,3,3,3,5,1,4,3,5,2,2,1,3,4,5,6,2,2,8,7,4,4,2,8,2,5,3,7,1,5,5,2,4,8,2,4,4,3,5,5,4,4,5,4,0,4,2,3,7,3,5,6,2,2,4,2,4,4
"COG0062",6,5,0,2,2,9,6,3,2,6,3,8,4,2,6,3,5,6,8,6,4,3,4,3,5,4,4,3,6,2,2,1,1,2,4,5,1,3,1,0,5,3,3,4,2,3,2,3,3,3,2,3,4,2,7,3,3,4,2,0
"COG0063",5,8,10,1,7,10,6,5,3,4,1,3,1,11,8,7,2,3,3,9,4,5,6,4,3,8,6,7,5,4,7,4,4,8,7,6,5,7,1,6,5,6,5,5,7,1,2,4,1,6,6,5,6,1,1,6,7,2,6,2
"COG0064",2,2,1,3,1,2,3,2,0,1,0,4,1,3,4,1,1,3,2,2,0,4,3,3,5,5,7,2,6,4,5,2,0,3,5,5,5,1,3,0,3,2,2,2,1,2,0,0,8,1,1,1,5,4,4,5,2,1,4,0
"COG0065",3,5,2,5,5,3,5,7,7,5,6,8,1,8,4,5,3,9,4,4,6,5,5,9,4,7,3,6,7,6,6,4,4,9,6,4,2,4,7,3,2,6,8,5,3,7,11,7,2,8,1,7,6,1,8,3,8,6,2,4
"COG0066",3,1,4,2,2,4,1,3,1,0,3,3,3,1,4,6,2,4,3,0,0,5,3,3,1,3,1,6,1,5,2,1,3,3,1,4,1,7,1,6,1,4,0,0,4,1,1,2,7,3,1,3,4,1,2,5,1,3,5,4
"COG0067",8,9,14,13,8,9,13,4,9,13,7,18,6,15,11,15,11,8,15,2,8,7,7,9,5,12,8,8,22,14,7,11,7,13,16,18,5,10,9,11,12,14,9,13,6,10,12,10,10,10,19,8,15,13,9,10,8,6,11,2
"COG0068",2,0,2,2,2,1,0,3,3,2,2,0,1,1,0,0,0,1,0,0,1,1,2,1,0,2,3,7,3,1,1,1,0,0,2,1,3,1,0,0,0,0,0,0,4,3,2,1,2,0,0,0,0,0,0,2,1,1,3,0
"COG0069",11,6,6,8,11,10,13,12,9,16,7,11,10,12,11,5,13,17,10,6,14,11,11,7,9,13,9,12,25,7,6,11,5,14,10,12,3,9,6,22,11,12,13,3,8,5,7,14,13,6,24,8,11,9,9,13,9,6,11,3
"COG0070",7,4,5,11,13,10,10,4,9,17,10,14,7,15,13,11,10,7,7,16,7,10,12,9,6,12,8,2,18,7,7,9,1,10,11,10,9,10,8,8,6,17,7,6,4,7,10,6,8,6,14,5,6,10,11,10,12,11,7,10
"COG0071",8,4,4,3,0,2,9,1,7,3,4,1,2,6,1,3,8,9,3,8,4,4,9,3,6,7,2,8,5,5,5,5,7,7,4,4,3,7,5,1,5,3,3,3,3,4,5,2,0,4,10,1,2,9,3,1,4,1,2,4
"COG0072",13,8,8,2,11,10,12,14,6,9,11,10,7,12,9,10,12,6,5,4,9,12,8,13,14,6,7,11,4,14,13,7,5,9,8,8,12,8,9,4,12,13,11,10,7,4,7,9,13,3,14,11,12,6,10,10,11,8,10,5
"COG0073",12,15,16,20,19,16,25,24,9,17,6,15,14,18,16,12,17,20,17,14,18,17,24,21,19,13,16,19,14,13,16,11,10,15,7,13,10,4,4,8,14,16,10,6,14,8,8,9,7,9,14,13,12,9,5,9,9,10,15,4
"COG0074",1,1,0,0,1,1,1,3,0,1,1,1,1,0,2,3,1,2,1,0,2,0,0,1,0,3,2,3,2,0,2,0,1,0,3,1,0,1,1,0,0,0,0,1,4,0,1,3,1,0,1,1,0,0,1,4,0,0,0,2
"COG0075",3,4,2,2,2,9,2,0,3,3,4,0,4,3,3,3,4,1,6,5,5,3,3,2,2,1,0,2,1,1,1,1,3,7,5,1,3,3,3,4,2,5,2,2,4,1,2,2,0,2,2,0,1,3,1,3,2,7,1,2
"COG0076",2,3,2,0,3,0,0,2,2,0,2,1,6,2,0,2,0,3,4,4,2,1,0,0,0,0,1,3,0,1,4,1,3,1,1,1,2,4,2,2,2,0,1,5,0,0,5,3,0,2,0,5,2,2,3,2,1,3,1,5
"COG0077",1,4,1,2,5,2,4,1,2,3,3,7,1,6,2,7,2,5,3,2,4,4,2,1,3,7,5,2,4,6,5,4,0,5,2,7,7,6,1,2,5,7,1,4,3,1,4,3,4,2,0,5,5,3,6,2,2,2,5,3
