"","DLF003","NOM017","DOM010","DLM008","DLM015","NOF007","DLM020","DLM028","DOF003","DOM024","NOF009","DLM017","DLM019","NOF011","NLF008","NOM008","DLF006","DLM002","NOF014","DLF010","DOM008","DLF009","DOM026","NOM022","DLM023","NLF012","NLF010","DOM022","NOM028","NOF012","NLM026","NOF010","NOF005","DLM010","DLM021","NOF006","NLM016","DOF011","NOM018","DLF012","DLF014","DLM004","DOM016","NLM024","NOM015","NLM028","NLF009","NOM019","NOM010","DLF008","NLF013","DOM001","NOM020","NOM014","DLM006","NLM027","NLF007","NOM012","DLF001","DOF014"
"COG0001",2,1,1,4,0,0,1,1,0,2,0,3,3,0,1,2,1,4,1,3,2,2,0,0,3,3,1,2,1,0,2,0,2,2,1,3,0,2,2,6,4,0,0,0,0,1,1,5,2,0,0,1,1,3,1,2,1,1,0,3
"COG0002",2,5,2,6,6,4,5,4,2,4,7,4,6,6,5,5,5,3,3,4,4,1,3,6,6,5,4,7,11,4,4,5,4,3,5,4,2,3,6,0,2,0,2,7,4,9,2,2,5,5,4,3,4,3,2,3,8,7,6,6
"COG0003",0,0,2,0,0,1,0,2,2,0,1,0,0,0,0,0,1,1,0,1,2,0,1,0,1,0,2,0,0,3,0,0,1,0,1,2,0,0,0,1,1,0,2,0,0,0,2,1,0,0,1,0,1,0,1,0,1,0,3,0
"COG0004",12,9,4,2,6,3,7,1,1,7,2,13,6,2,2,3,1,9,6,5,2,5,9,8,7,4,6,2,2,4,2,3,10,6,5,4,5,9,1,14,3,0,0,14,5,3,2,5,7,4,9,2,8,3,4,6,5,13,3,3
"COG0005",4,2,3,2,2,5,2,2,7,3,2,1,3,3,3,1,3,4,6,3,1,3,1,6,1,2,3,2,0,1,1,2,1,3,5,1,4,2,2,0,3,1,0,4,1,3,2,8,2,3,2,5,5,3,2,4,3,6,4,1
"COG0006",9,9,15,13,14,13,22,7,12,15,16,10,8,14,18,11,12,8,2,17,12,7,11,22,7,12,15,17,15,7,2,6,3,4,3,7,8,6,6,2,5,2,4,9,3,3,3,0,5,4,6,6,4,5,2,5,2,4,7,6
"COG0007",0,1,1,1,3,0,0,1,0,1,1,1,1,0,2,0,4,2,0,1,1,0,2,2,2,1,0,2,3,2,0,0,2,1,0,0,0,0,1,6,2,0,1,0,0,0,1,0,1,0,2,1,1,1,0,4,1,1,0,3
"COG0008",17,19,16,16,16,8,14,11,12,9,12,12,18,8,9,11,10,17,13,14,6,15,8,14,11,15,16,21,12,15,5,6,1,3,7,2,5,3,5,4,6,6,2,4,5,6,3,5,4,4,8,3,4,3,7,4,5,5,0,3
"COG0009",4,6,7,1,4,6,4,2,3,8,5,2,5,5,2,5,2,4,7,14,8,3,4,4,6,5,2,4,5,8,6,3,12,6,4,6,4,2,3,4,4,6,6,4,4,5,5,5,3,10,6,5,4,2,5,5,1,3,5,5
"COG0010",1,2,5,1,5,0,1,2,2,4,4,0,4,3,0,1,2,0,2,1,2,4,2,1,3,5,3,1,2,1,3,1,1,0,2,2,0,2,0,1,1,0,1,1,1,1,1,3,1,4,2,3,1,0,1,1,0,1,2,0
