"","NOM007","NOM004","DLM019","DLM023","DOF007","NLM029","NLM016","DOM010","NLF007","DLM011","NLF015","DOM013","DOM019","NOF005","NOM028","NLM007","DLF005","NOF008","DLF007","DLM016","NLM010","NOM019","DLM020","NLM009","NOF006","DOM015","DLF012","DLM010","DLM002","NOM013","DOF008","DOM022","DOM003","NOM012","NOM017","DLM012","DOF003","DOM005","NOM002","NOM001","NLF005","DOM021","NLM001","DLM014","DLF009","DOF004","DOF014","NOF002","NOF011","DLM017","DOF012","DLF008","NLM022","NOM020","DLF001","DLM027","NLM032","NOM015","NLM031","NOF009"
"COG0001",3,1,1,1,0,3,1,1,1,1,0,3,0,0,0,3,1,1,1,1,3,4,0,0,1,2,7,0,2,2,0,4,1,0,1,1,0,1,2,2,1,0,0,4,0,5,3,1,0,0,0,1,0,1,0,0,0,3,3,0
"COG0002",4,5,1,5,2,4,4,5,7,3,3,6,5,3,6,4,7,6,6,2,6,1,4,5,7,2,6,7,6,5,4,0,0,3,6,5,3,3,3,7,4,7,2,4,0,3,1,4,4,3,3,2,3,8,3,4,5,2,3,4
"COG0003",0,0,1,2,0,1,0,1,0,1,0,1,0,1,0,0,0,2,3,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,2,0,0,1,0,0,2,0,0,4,3,0,1,0,0
"COG0004",3,1,8,7,2,8,11,7,8,5,6,6,11,7,3,1,5,1,4,4,5,5,1,6,5,2,5,7,6,5,5,3,7,6,13,6,4,3,6,9,8,2,6,5,0,6,3,6,3,8,4,2,4,10,2,9,7,6,3,4
"COG0005",1,1,3,4,2,3,6,2,3,3,2,5,1,0,0,1,2,3,1,1,1,3,5,2,1,2,2,1,0,1,0,2,4,3,5,0,1,0,1,5,2,2,1,3,4,2,4,0,4,2,2,2,3,5,5,3,2,2,0,4
"COG0006",9,13,13,12,17,16,12,12,9,12,11,10,13,5,12,15,13,13,13,12,12,8,10,21,14,11,6,10,7,9,8,11,7,8,17,14,13,9,17,17,6,12,11,16,7,14,10,13,6,12,13,8,15,18,13,7,14,21,12,14
"COG0007",1,3,1,0,2,3,2,3,1,0,1,2,0,0,1,0,0,0,1,0,1,3,2,0,1,0,4,3,1,3,2,0,2,1,1,1,1,0,2,6,2,0,0,0,3,2,0,0,0,2,3,3,1,2,2,0,4,1,1,0
"COG0008",18,6,19,10,13,21,13,17,15,7,7,13,4,10,10,11,9,20,12,11,19,19,10,20,15,14,13,12,13,13,13,20,15,15,16,13,13,5,11,28,10,15,11,11,17,9,20,9,16,19,10,7,12,14,8,17,15,19,18,9
"COG0009",10,11,0,2,6,3,6,3,7,8,6,5,3,4,3,4,5,9,9,5,8,6,2,4,8,7,9,2,6,4,2,2,2,4,4,6,4,5,7,6,5,9,3,8,10,4,6,7,6,8,9,3,3,4,6,2,7,10,4,7
"COG0010",1,1,4,3,3,0,6,1,2,3,2,2,2,0,3,2,1,2,1,2,5,1,2,0,1,2,1,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
