"","DLM016","NLM031","DOF009","DLM004","NLM026","NOM008","DLF013","NLM006","NOM025","NOM016","DOF003","NOM026","DLM018","NLM004","DOF006","DLF001","NOM012","NLM002","NLF009","NLM022","DLM005","NOM013","DLM014","DLF007","NOM010","DLF005","NLM016","NOM015","NOM007","DOF014","NLM017","NLF001","DLF014","DLF012","DLM024","DOM015","NLM008","NLF013","DOM019","DLM011","NOF008","DLF009","DLM023","DLM009","DLM021","DLM008","NLM010","DLM022","DOM022","DOM026","NOF013","NLM007","DLM020","NOF011","DLF003","NOM029","NLF007","DLF004","DOF004","DLM003"
"COG0001",377,1473,539,357,509,473,1298,670,433,489,444,1041,723,543,290,363,914,306,556,847,910,993,490,684,710,691,428,551,646,1492,197,690,1113,2002,859,1473,333,566,405,262,547,972,628,1525,429,1204,994,1059,814,1023,421,672,340,664,545,805,751,404,1136,370
"COG0002",2213,2101,1952,2113,2130,2208,2213,2264,2017,2170,1877,1911,2521,1964,1801,1672,2146,1215,2053,2401,2005,2145,2208,1709,2084,2148,1961,2224,1550,2278,1912,2087,2704,2309,1232,2286,2199,2345,2255,2373,1988,1582,2404,2478,2454,2309,2148,1518,1784,2060,1934,2466,2035,1934,2210,2183,2473,2022,2388,1981
"COG0003",207,127,407,236,142,690,786,227,1526,241,774,43,470,63,1702,912,88,144,538,225,529,468,239,816,501,10,18,534,109,621,925,94,717,37,3,184,41,364,801,776,466,47,442,136,147,48,577,333,479,713,834,237,453,562,54,146,131,100,309,197
"COG0004",2395,2539,2001,1160,3163,2241,2684,1684,2587,2670,1815,2405,3036,3828,1462,1052,3139,2950,1958,2853,2322,2581,1905,1250,2728,3127,3621,3006,2318,2485,684,851,1346,1219,508,717,862,860,937,688,614,434,1074,1279,958,851,985,597,575,952,946,385,667,711,1125,832,1241,1144,746,477
"COG0005",1203,1318,1299,1186,1463,1425,1324,1076,1105,1419,1339,807,1096,1661,1056,1392,1543,2045,1205,1132,1327,1375,1534,1186,1208,1185,2009,1281,1527,1009,1401,1037,1113,445,1227,1491,1359,1375,1022,1381,1452,942,1000,537,1407,1479,1173,1225,1733,1111,1438,1048,1439,1437,1891,952,1577,1654,1307,1620
"COG0006",6873,6476,6367,7118,5509,7021,5665,6537,6833,7082,6155,5233,6213,6270,7259,6314,5297,8390,5946,5505,5884,5344,6772,6436,7182,5876,7283,7034,5828,6010,5468,6019,4842,3757,4499,6046,6109,6396,6258,6700,6487,3984,6011,5632,6513,6234,5442,5032,6704,6369,5953,6463,6072,6459,5854,6592,5746,5775,6461,6987
"COG0007",353,429,312,328,327,231,712,1028,413,446,457,1587,874,656,457,301,345,321,320,1172,526,882,432,352,471,925,63,280,392,651,332,803,1528,2331,1314,608,878,498,449,264,373,1108,619,947,299,502,905,855,642,1095,284,687,296,312,292,801,574,498,968,363
"COG0008",6630,6772,6915,4543,7749,6119,7463,6643,6269,6255,6236,5650,8092,7312,5025,3759,7889,7906,5726,7225,7213,7075,6693,4162,6586,7081,8564,6752,7394,6354,4766,5644,6957,6265,4677,6591,6467,6997,6495,6243,6944,6038,7793,6577,7027,6375,5877,7693,6719,5561,5805,6806,5791,6623,8940,6148,7498,6895,6498,5714
"COG0009",2686,2792,2951,3244,2631,2494,2963,2905,2655,2779,2629,2772,2742,2061,2712,2551,2101,2144,2816,2963,2795,2697,3050,3089,2861,2618,1863,2881,2547,2831,2558,2732,2561,2367,1857,3233,2775,2799,2575,3253,2924,2186,2635,2849,2923,2885,2831,2726,2366,3113,2493,3236,2547,2573,2321,2813,2762,2008,2951,2728
"COG0010",933,451,986,378,1363,391,697,740,825,785,942,1207,506,245,1010,708,658,278,1111,697,797,685,715,809,501,718,1328,887,580,737,399,1234,362,382,1659,794,367,639,750,612,831,933,1365,557,973,617,1247,912,643,542,768,971,823,895,467,750,677,623,765,1159
"COG0011",16,10,149,12,40,24,130,15,14,10,28,61,188,42,23,13,13,23,10,26,202,41,27,62,71,17,4,11,33,132,24,27,666,36,156,233,26,22,16,31,23,169,66,3,23,89,29,48,47,19,63,34,6,35,19,55,32,36,54,30
"COG0012",2842,2505,2569,2014,3052,2564,2713,2419,2255,2585,2169,2454,3029,3031,1981,1610,2574,3508,2160,2738,2499,2606,2755,1700,2339,2924,2755,2346,3189,2539,2127,2186,2609,2620,1345,2456,2631,2790,2438,2491,2812,2100,2654,2921,2713,2633,2407,3474,3021,2006,2267,2986,2292,2550,3054,2661,2875,2710,2454,2243
"COG0013",6017,5928,5479,4920,6552,6152,5891,5396,5539,6127,5356,4034,6391,5313,5208,3831,5606,7120,4818,5278,5429,5421,6431,3879,5989,5852,5858,6604,5686,5555,4498,5364,5665,4579,2473,5910,4762,5931,6624,5310,6486,4754,6085,5282,6430,5468,5470,6586,6405,5173,4881,6087,5153,5895,6381,4631,6474,5825,5369,5336
"COG0014",2853,2826,2133,2577,2493,2925,2511,2575,2681,2810,2191,2218,2571,2823,2657,1854,1810,2345,2271,2655,2007,2226,2630,1881,2938,2382,2672,3038,1775,2838,2273,2561,2851,2111,1279,3043,2369,2690,3147,2917,2634,1779,2835,2443,3098,2763,2640,1587,2305,2614,2429,3211,2665,2503,2366,2690,2638,2675,2861,1805
"COG0015",2946,3070,3600,2778,3444,2756,3489,3429,2960,2985,2903,3063,3856,3290,2829,2221,3344,4211,2778,3355,3572,3301,3288,2686,3105,3259,3472,2954,3324,3257,2879,3030,3906,2999,1686,3119,3417,3670,3164,3063,3089,2825,3250,3137,3147,3156,2930,2859,3257,2903,2654,3398,2454,3028,3631,3051,3674,3353,3016,3075
"COG0016",2698,2616,2352,2302,2670,2747,2569,2143,2276,2471,2353,2149,2515,2092,2245,1864,2489,2879,2405,2325,2434,2475,2640,2030,2559,2834,2556,2591,3052,2687,839,838,813,727,384,811,722,863,857,782,945,608,738,912,901,983,735,940,854,724,607,876,722,853,943,715,803,747,881,824
"COG0017",1199,1176,1059,951,1273,1176,1048,897,1215,1202,1104,920,960,1074,1051,840,984,1248,1180,1145,1008,1059,1130,889,976,1058,1120,1165,1209,911,3312,3453,1936,3495,2119,2790,4226,3144,3512,3442,3265,2449,4486,2433,3473,3362,2951,3888,3050,3196,2978,3609,3094,3409,2940,3238,3618,3041,2768,3242
"COG0018",4342,3851,4124,3968,4592,4340,4237,3845,4514,4062,3679,4095,4407,4214,4208,3150,3983,4583,3832,4065,4259,4557,4397,3100,4298,4384,4766,4911,4525,3985,3125,4368,4672,3546,2024,4809,3750,4577,4107,4273,4752,3357,4218,3874,4497,3858,3895,4957,4128,3876,3644,5224,3652,3872,4469,3552,4393,4252,4107,3845
"COG0019",4277,4590,4494,4008,4706,3912,4733,5069,4734,5180,3903,4123,5882,4714,3462,3655,4639,6085,4155,4909,4281,4475,4979,3791,4539,4783,5051,4503,5597,4614,3723,5159,5198,6255,2672,3984,5096,4813,5119,4170,4152,3532,5295,4687,4614,4811,5038,3332,5023,4786,4543,4765,4288,3959,4792,4175,4723,4484,5608,3979
"COG0020",1561,1774,1863,1695,1882,1521,1735,1869,1370,1759,1519,2148,2002,2316,1609,1462,2110,2277,1659,1684,1981,2037,1883,1747,1827,2069,2535,1548,2049,1890,1288,1658,2275,1176,720,1893,2002,1964,1539,1698,1980,1153,1644,2121,1526,1959,1756,1973,1693,1759,1736,1853,1623,1928,2495,1789,1868,2108,1669,1722
"COG0021",2221,2127,2628,2481,1473,2201,1586,3495,2447,2292,2404,2139,3473,2303,2636,2171,2216,5178,1863,2754,2954,3249,3191,1982,2562,2304,3244,2240,2681,2011,1594,2226,3336,1141,3117,2244,1600,2401,2194,2552,2084,3375,1515,3211,2099,1545,2617,2134,3656,1698,1856,2164,2378,2170,2438,2778,2356,3154,3242,2567
"COG0022",548,668,405,942,258,583,843,569,490,1215,1066,366,168,140,881,1410,315,80,988,287,541,231,691,1226,676,142,36,833,155,235,769,1299,278,57,195,935,149,147,464,244,556,623,367,50,953,1091,1118,885,653,217,1229,296,1913,1333,147,943,438,388,671,1267
"COG0023",559,518,624,881,336,649,470,648,464,545,503,362,346,38,633,766,203,160,578,353,496,399,636,787,545,348,76,612,290,630,592,569,71,67,298,439,266,461,434,800,534,433,279,95,671,478,334,215,357,486,482,488,562,622,111,792,218,271,556,663
"COG0024",3557,3044,3477,3346,3360,3411,3558,2940,3218,3068,3174,3557,4136,3661,3162,3074,2849,4772,3164,3424,3104,3476,3348,3028,3433,3558,4035,3543,4366,3576,2717,3395,3202,2724,1732,3023,3727,3760,3297,3590,3444,2213,3044,2843,3387,3537,3155,3362,3318,3408,2984,3830,2865,3250,4431,3397,3358,2717,2893,3479
"COG0025",637,601,1588,187,837,452,524,982,653,627,389,1937,999,467,595,223,493,568,431,1080,571,446,524,320,483,1286,109,240,578,1057,479,257,2241,482,1856,183,485,1753,603,556,517,1750,269,678,185,485,589,584,175,230,148,530,199,266,718,1044,699,393,915,466
"COG0026",151,35,353,82,85,29,238,141,267,71,176,390,207,108,70,15,77,192,131,222,357,162,193,55,101,40,15,173,46,258,29,87,1097,169,952,52,23,93,111,73,222,1015,103,1862,195,75,116,165,252,20,15,96,62,141,65,175,33,38,182,189
