"","NOF014","NOM012","DOM003","DLF013","DLF006","NOF002"
"COG0001",9,23,14,20,25,22
"COG0002",35,46,31,37,37,38
"COG0003",3,2,0,16,9,11
"COG0004",52,61,77,33,18,26
"COG0005",30,31,27,20,22,18
"COG0006",111,113,154,113,103,111
"COG0007",6,4,18,12,8,18
"COG0008",131,151,161,157,129,114
"COG0009",72,40,35,56,49,57
"COG0010",22,15,7,15,28,14
"COG0011",0,0,2,0,0,2
"COG0012",64,54,37,49,47,54
"COG0013",105,112,108,129,86,116
"COG0014",35,45,59,50,47,57
"COG0015",63,78,68,76,54,43
"COG0016",69,48,52,42,49,51
"COG0017",58,52,54,66,61,57
"COG0018",109,79,89,91,83,61
"COG0019",97,87,78,99,77,83
"COG0020",43,29,31,43,41,41
"COG0021",39,46,75,24,40,44
"COG0022",6,4,0,14,13,20
"COG0023",8,4,3,8,12,10
"COG0024",52,52,54,84,61,62
"COG0025",18,12,28,12,9,12
"COG0026",1,4,9,5,6,0
"COG0027",15,28,31,18,24,19
"COG0028",133,90,122,108,88,136
"COG0029",36,42,52,63,46,58
"COG0030",67,103,49,89,71,48
"COG0031",55,63,39,66,48,78
"COG0033",0,3,11,2,4,4
"COG0034",84,123,133,122,78,77
"COG0035",34,36,48,48,45,30
"COG0036",33,52,63,38,42,52
"COG0037",95,86,65,102,92,101
"COG0038",54,65,106,83,63,92
"COG0039",62,53,63,59,59,67
"COG0040",34,44,43,50,29,36
"COG0041",31,23,32,28,22,23
"COG0042",82,63,63,67,71,65
"COG0043",4,5,17,6,18,14
"COG0044",76,52,60,73,68,69
"COG0045",2,2,21,6,6,15
"COG0046",132,111,147,151,83,113
"COG0047",119,101,134,130,94,82
"COG0048",18,20,17,23,23,17
"COG0049",31,30,27,29,37,20
"COG0050",65,72,73,61,65,52
"COG0051",23,25,15,21,37,13
"COG0052",49,40,46,16,23,22
"COG0053",49,37,57,46,55,43
"COG0054",14,23,23,17,29,20
"COG0055",87,68,79,74,54,56
"COG0056",95,89,94,67,57,64
"COG0057",57,59,77,73,57,36
"COG0058",174,156,116,142,120,118
"COG0059",51,52,55,58,37,52
"COG0060",163,119,110,126,98,101
"COG0061",48,33,49,46,34,33
"COG0062",64,47,54,43,30,34
"COG0063",63,58,61,41,31,40
"COG0064",39,32,25,24,27,34
"COG0065",39,60,57,53,51,62
"COG0066",32,15,24,26,25,20
"COG0067",87,92,111,102,72,86
"COG0068",10,10,30,22,9,20
"COG0069",102,79,112,91,58,94
"COG0070",96,82,101,47,41,44
"COG0071",20,48,70,40,48,33
"COG0072",69,57,70,81,77,91
"COG0073",194,182,167,180,169,174
"COG0074",3,1,29,13,19,18
"COG0075",19,30,18,26,25,28
"COG0076",19,13,22,17,30,29
"COG0077",31,32,51,27,16,25
"COG0078",35,39,35,78,66,37
"COG0079",115,106,54,67,74,77
