"","DLF013","NLM022","NOM028","NOF008","DLM019","NOM017"
"COG0001",28,16,14,5,13,6
"COG0002",43,47,52,35,28,44
"COG0003",18,5,12,8,9,0
"COG0004",51,45,46,31,49,125
"COG0005",29,20,26,23,18,52
"COG0006",106,97,114,111,92,143
"COG0007",14,22,19,5,12,20
"COG0008",143,151,96,134,143,164
"COG0009",74,58,52,62,54,39
"COG0010",11,14,16,23,41,15
"COG0011",0,0,1,0,0,1
"COG0012",57,67,72,55,60,68
"COG0013",105,108,112,127,140,126
"COG0014",54,54,43,53,55,41
"COG0015",61,60,58,70,76,74
"COG0016",53,56,43,63,65,51
"COG0017",68,64,60,80,68,61
"COG0018",93,76,75,96,117,91
"COG0019",94,91,81,88,91,169
"COG0020",32,30,36,11,20,27
"COG0021",31,65,23,40,26,64
"COG0022",21,12,23,13,15,2
"COG0023",6,5,4,6,2,0
"COG0024",62,65,56,72,68,64
"COG0025",11,19,17,12,10,10
"COG0026",3,7,5,1,2,1
"COG0027",28,18,21,17,6,27
"COG0028",99,155,130,87,89,105
"COG0029",52,67,56,61,27,33
"COG0030",81,48,54,77,83,58
"COG0031",61,69,52,80,71,50
"COG0033",0,3,7,0,2,0
"COG0034",117,92,105,79,90,138
"COG0035",43,35,39,33,57,41
"COG0036",28,42,25,47,60,55
"COG0037",105,93,89,109,121,103
"COG0038",92,79,84,78,59,67
"COG0039",72,44,73,70,60,55
"COG0040",35,26,29,36,23,42
"COG0041",30,24,16,26,21,31
"COG0042",72,87,81,69,64,51
"COG0043",10,3,14,11,6,6
"COG0044",75,66,87,67,71,76
"COG0045",8,9,10,6,9,3
"COG0046",122,122,116,124,131,195
"COG0047",138,115,88,89,107,142
"COG0048",23,24,14,24,31,27
"COG0049",31,24,22,32,48,23
"COG0050",53,68,46,71,78,70
"COG0051",18,21,22,20,20,18
"COG0052",35,31,17,14,22,28
"COG0053",60,48,42,51,57,48
"COG0054",21,19,13,18,7,36
"COG0055",64,94,63,63,79,68
"COG0056",52,125,73,74,72,82
"COG0057",55,38,36,60,60,70
"COG0058",158,149,125,158,155,138
"COG0059",62,43,34,49,30,52
"COG0060",140,118,110,128,136,129
"COG0061",39,36,35,46,37,46
"COG0062",32,59,42,36,60,71
"COG0063",38,69,39,43,50,89
"COG0064",21,34,20,26,38,28
"COG0065",56,74,71,63,40,75
"COG0066",44,29,22,27,22,20
"COG0067",113,122,89,80,71,122
"COG0068",19,16,10,6,9,15
"COG0069",109,139,101,87,78,138
"COG0070",69,102,79,84,81,112
"COG0071",23,42,43,24,28,45
"COG0072",87,92,50,116,109,93
"COG0073",166,159,105,155,239,194
"COG0074",5,10,10,11,14,11
"COG0075",26,22,26,24,14,9
"COG0076",21,11,25,10,12,3
"COG0077",46,54,26,33,56,38
"COG0078",43,31,26,54,85,62
"COG0079",77,81,87,99,68,105
"COG0080",34,37,24,30,34,34
"COG0081",43,26,34,53,33,54
"COG0082",42,49,28,51,51,44
"COG0083",10,10,8,6,28,9
"COG0084",72,58,58,54,54,31
"COG0085",196,158,184,179,205,191
"COG0086",194,168,119,178,219,206
"COG0087",25,38,30,42,38,40
"COG0088",42,26,36,44,42,37
"COG0089",13,29,24,18,21,28
"COG0090",38,39,26,48,49,67
"COG0091",29,28,19,12,15,14
"COG0092",25,33,22,35,42,50
"COG0093",29,25,15,31,21,19
"COG0094",33,35,27,26,43,42
"COG0095",7,3,17,15,18,8
"COG0096",26,24,9,27,39,25
"COG0097",37,25,27,33,41,51
"COG0098",40,34,24,31,37,36
"COG0099",23,12,26,22,26,25
"COG0100",20,16,15,18,25,38
"COG0101",43,58,40,45,66,46
"COG0102",31,32,20,31,29,26
"COG0103",21,32,25,25,20,31
"COG0104",67,81,57,48,59,70
"COG0105",12,5,8,5,6,3
