"","NOM015","DOM013","NOF006","NLM016","NLM024","NOM017"
"COG0001",15,19,17,11,9,9
"COG0002",47,47,44,39,52,42
"COG0003",9,6,15,0,3,0
"COG0004",63,37,45,67,89,121
"COG0005",14,27,35,40,31,39
"COG0006",153,114,105,154,148,121
"COG0007",6,14,2,2,5,9
"COG0008",142,145,91,187,168,199
"COG0009",57,63,52,33,32,32
"COG0010",19,17,15,18,11,9
"COG0011",1,2,0,0,0,0
"COG0012",44,54,36,54,68,55
"COG0013",50,41,30,131,153,108
"COG0014",61,49,57,46,58,47
"COG0015",25,18,12,81,64,90
"COG0016",58,49,49,51,58,38
"COG0017",66,69,48,58,82,65
"COG0018",103,130,71,106,137,79
"COG0019",79,93,98,98,79,144
"COG0020",36,45,25,51,41,48
"COG0021",49,35,32,60,92,78
"COG0022",18,3,27,1,2,4
"COG0023",7,5,13,1,7,1
"COG0024",64,80,67,83,40,43
"COG0025",2,10,2,3,12,3
"COG0026",1,4,3,1,4,1
"COG0027",25,19,45,27,40,35
"COG0028",109,85,129,115,92,90
"COG0029",59,54,50,24,30,13
"COG0030",44,79,52,41,66,70
"COG0031",95,55,44,38,52,40
"COG0033",2,5,3,2,1,1
"COG0034",97,97,83,140,138,144
"COG0035",49,41,42,54,51,49
"COG0036",36,61,33,52,60,53
"COG0037",113,137,99,101,67,95
"COG0038",96,76,95,92,95,64
"COG0039",68,63,80,54,88,55
"COG0040",35,26,39,50,44,37
"COG0041",25,25,12,26,20,27
"COG0042",86,84,71,40,70,45
"COG0043",1,9,5,3,7,7
"COG0044",60,71,46,43,64,88
"COG0045",2,1,8,1,2,3
"COG0046",51,49,34,169,191,200
"COG0047",119,113,77,175,172,167
"COG0048",19,24,8,10,7,8
"COG0049",32,41,28,28,14,18
"COG0050",70,78,33,85,89,81
"COG0051",23,22,22,13,19,12
"COG0052",29,57,29,73,48,50
"COG0053",52,47,31,46,41,55
"COG0054",23,28,23,32,30,36
"COG0055",61,60,52,66,59,67
"COG0056",83,54,41,75,130,115
"COG0057",46,49,39,58,73,68
"COG0058",140,156,109,115,114,122
"COG0059",54,41,44,40,45,52
"COG0060",121,158,95,133,129,123
"COG0061",30,37,32,21,12,18
"COG0062",26,52,39,48,63,94
"COG0063",48,45,52,73,57,71
"COG0064",16,40,8,4,12,16
"COG0065",53,48,41,61,45,69
"COG0066",30,22,19,26,38,18
"COG0067",101,90,93,165,114,107
"COG0068",8,20,7,0,13,15
"COG0069",122,94,93,175,143,127
"COG0070",120,79,80,152,138,110
"COG0071",27,41,27,59,43,53
"COG0072",74,116,80,34,34,38
"COG0073",53,67,47,208,151,197
"COG0074",6,2,8,2,9,7
"COG0075",12,6,7,8,58,5
"COG0076",40,10,31,2,16,4
"COG0077",31,26,33,35,42,48
"COG0078",53,55,31,47,53,64
"COG0079",87,82,87,31,54,76
"COG0080",28,30,18,31,31,33
"COG0081",47,49,29,37,60,37
"COG0082",41,40,30,35,44,44
"COG0083",9,5,1,1,3,9
"COG0084",50,69,69,42,41,41
"COG0085",187,213,116,229,198,223
"COG0086",163,192,116,83,65,78
"COG0087",30,42,32,31,44,33
"COG0088",35,59,24,35,35,39
"COG0089",21,25,16,19,24,27
"COG0090",30,35,37,47,43,53
"COG0091",27,26,13,22,30,22
"COG0092",25,35,22,42,42,41
"COG0093",20,27,15,23,16,20
"COG0094",33,51,28,34,40,49
"COG0095",12,6,18,1,3,2
"COG0096",12,10,4,23,34,37
"COG0097",30,22,20,48,38,48
"COG0098",34,41,23,41,38,39
"COG0099",9,26,12,26,22,19
"COG0100",23,29,15,30,23,37
"COG0101",36,56,40,22,45,38
"COG0102",16,28,18,34,16,17
"COG0103",16,34,25,33,23,25
"COG0104",67,74,40,81,71,68
"COG0105",7,11,9,1,10,6
"COG0106",26,20,28,9,10,10
"COG0107",38,21,26,32,31,40
"COG0108",75,29,50,75,67,71
"COG0109",1,0,3,0,0,0
"COG0110",137,132,194,80,96,49
"COG0111",85,92,74,43,58,73
"COG0112",48,47,38,64,81,78
"COG0113",3,11,2,2,5,14
"COG0114",4,4,5,0,3,3
"COG0115",72,78,71,62,57,96
"COG0116",13,7,6,32,33,43
"COG0117",36,44,35,55,59,61
"COG0118",28,28,26,33,18,26
"COG0119",101,85,109,121,109,132
"COG0120",9,17,10,2,0,2
"COG0121",0,0,0,1,0,1
"COG0122",17,23,5,6,4,8
"COG0123",3,4,2,0,2,0
"COG0124",70,75,49,71,60,75
"COG0125",5,23,3,1,3,7
"COG0126",45,73,45,61,62,57
"COG0127",27,41,26,11,15,12
"COG0128",47,52,36,58,57,42
"COG0129",115,51,68,72,98,104
"COG0130",31,40,23,30,51,51
"COG0131",35,20,35,32,25,39
"COG0132",11,14,22,2,10,3
"COG0133",37,26,19,58,64,72
"COG0134",28,30,31,27,29,33
"COG0135",9,10,11,16,26,28
"COG0136",40,47,30,72,66,44
"COG0137",71,46,43,16,15,19
"COG0138",84,57,72,123,106,105
"COG0139",30,27,22,30,26,25
"COG0140",27,23,27,22,19,26
"COG0141",54,38,37,61,57,46
"COG0142",74,49,54,124,125,112
"COG0143",89,99,47,117,100,118
"COG0144",57,66,40,50,57,66
"COG0145",2,3,4,0,3,1
"COG0146",0,0,0,0,0,3
"COG0147",69,49,56,66,73,47
"COG0148",60,65,68,35,73,44
"COG0149",39,49,28,6,4,12
"COG0150",34,53,43,48,54,59
"COG0151",51,37,25,61,56,60
"COG0152",34,47,32,41,43,45
"COG0153",57,47,54,60,49,55
"COG0154",18,57,5,5,7,26
"COG0155",3,5,3,1,3,0
"COG0156",135,107,102,69,95,57
"COG0157",37,33,40,31,38,45
"COG0158",0,2,0,0,1,1
"COG0159",13,7,9,43,34,29
"COG0160",3,4,1,0,4,5
"COG0161",48,28,39,3,31,12
"COG0162",12,23,12,55,68,60
"COG0163",4,6,4,0,4,2
"COG0164",32,41,10,35,28,32
"COG0165",53,37,55,94,89,86
"COG0166",65,79,53,75,57,62
"COG0167",74,66,78,32,39,39
"COG0168",129,112,125,82,108,116
"COG0169",47,38,38,45,34,48
"COG0170",0,0,0,0,0,0
"COG0171",89,59,49,62,66,74
"COG0172",61,49,46,51,61,79
"COG0173",76,104,73,66,69,66
"COG0174",36,32,39,17,13,27
"COG0175",37,37,39,6,18,9
"COG0176",36,23,25,7,11,10
"COG0177",35,30,29,45,38,32
"COG0178",178,196,148,238,267,226
"COG0179",22,18,24,33,34,40
"COG0180",46,69,46,65,70,61
"COG0181",5,5,4,0,9,4
"COG0182",5,15,9,5,7,4
"COG0183",25,18,11,2,15,17
"COG0184",14,22,19,21,10,17
"COG0185",9,16,10,11,12,16
"COG0186",19,19,13,24,23,17
"COG0187",209,164,143,175,176,172
"COG0188",202,201,140,225,275,239
"COG0189",6,1,15,10,4,3
"COG0190",41,48,49,53,56,50
"COG0191",54,68,41,55,71,67
"COG0192",82,55,35,92,95,81
"COG0193",34,43,21,24,31,39
"COG0194",37,40,30,36,40,39
"COG0195",68,66,38,98,72,103
"COG0196",37,43,36,42,42,47
"COG0197",23,34,17,26,33,47
"COG0198",18,19,18,27,21,19
"COG0199",7,13,20,15,14,24
"COG0200",8,8,12,20,33,35
"COG0201",65,80,41,79,93,90
"COG0202",51,54,39,61,32,47
"COG0203",22,36,26,8,4,10
"COG0204",79,82,109,93,78,45
"COG0205",180,147,138,131,160,153
"COG0206",76,90,43,103,119,56
"COG0207",31,29,26,10,17,13
"COG0208",20,15,18,4,13,4
"COG0209",70,69,95,19,56,10
"COG0210",162,230,214,119,212,211
"COG0211",9,19,11,21,12,14
"COG0212",9,9,7,35,31,29
"COG0213",15,33,10,6,3,12
"COG0214",7,3,5,26,33,31
"COG0215",79,72,44,82,74,89
"COG0216",40,47,36,22,27,12
"COG0217",38,48,32,31,44,43
"COG0218",20,28,17,29,29,32
"COG0219",7,31,11,0,2,10
"COG0220",34,40,26,27,29,23
"COG0221",1,19,4,3,4,2
"COG0222",12,18,12,19,9,11
"COG0223",53,61,45,49,43,49
"COG0224",47,38,38,52,68,61
"COG0225",16,12,29,9,11,26
