"","NLF010","DLM009","DLF012","DLM023","NLM006","NOF008"
"COG0001",8,36,34,12,14,9
"COG0002",51,47,44,52,38,45
"COG0003",22,2,1,7,3,20
"COG0004",32,68,67,78,42,30
"COG0005",18,14,12,10,16,18
"COG0006",165,102,73,114,113,131
"COG0007",11,22,55,14,29,7
"COG0008",103,133,126,155,136,152
"COG0009",76,39,45,49,58,60
"COG0010",15,17,10,18,23,15
"COG0011",0,0,1,1,0,0
"COG0012",43,59,48,61,43,55
"COG0013",94,96,97,123,115,148
"COG0014",50,58,42,57,53,54
"COG0015",57,63,56,70,57,58
"COG0016",43,50,39,44,44,64
"COG0017",58,50,65,100,56,72
"COG0018",94,75,81,73,69,94
"COG0019",102,101,110,103,100,77
"COG0020",30,38,16,30,36,36
"COG0021",50,53,22,6,18,9
"COG0022",15,2,1,13,10,17
"COG0023",17,1,2,9,18,11
"COG0024",29,18,16,56,47,59
"COG0025",4,16,4,5,22,12
"COG0026",1,38,4,2,1,6
"COG0027",25,4,7,14,34,17
"COG0028",80,108,149,143,87,107
"COG0029",51,76,49,42,53,59
"COG0030",77,80,81,62,109,91
"COG0031",55,72,41,48,40,89
"COG0033",0,6,8,0,4,0
"COG0034",112,75,117,102,97,107
"COG0035",55,33,24,56,38,37
"COG0036",51,61,73,39,59,34
"COG0037",78,113,100,87,65,102
"COG0038",73,76,71,82,73,89
"COG0039",98,80,83,54,80,62
"COG0040",38,36,29,36,41,29
"COG0041",11,12,4,29,32,25
"COG0042",60,93,72,84,75,68
"COG0043",2,6,5,6,10,9
"COG0044",55,103,76,76,52,68
"COG0045",4,1,1,2,13,2
"COG0046",141,119,154,127,111,126
"COG0047",99,80,138,138,117,116
"COG0048",9,35,21,11,11,14
"COG0049",34,41,34,24,42,37
"COG0050",52,82,57,42,57,71
"COG0051",8,6,10,24,26,12
"COG0052",24,51,30,30,39,46
"COG0053",59,47,54,63,46,43
"COG0054",18,9,10,18,22,15
"COG0055",13,28,21,98,36,49
"COG0056",55,92,86,106,61,69
"COG0057",25,70,36,48,41,54
"COG0058",120,164,220,159,111,145
"COG0059",47,30,39,38,39,37
"COG0060",77,140,124,116,99,140
"COG0061",34,40,40,38,40,36
"COG0062",30,56,39,44,52,38
"COG0063",34,58,43,47,39,39
"COG0064",8,76,38,27,14,33
"COG0065",38,78,97,60,39,45
"COG0066",20,28,25,18,33,25
"COG0067",64,175,101,133,86,88
"COG0068",16,26,1,11,25,4
"COG0069",59,177,106,120,99,90
"COG0070",46,147,79,120,66,81
"COG0071",42,43,40,35,33,30
"COG0072",44,108,72,75,93,89
"COG0073",124,179,181,157,183,164
"COG0074",5,6,4,5,13,11
"COG0075",59,9,12,17,16,26
"COG0076",33,11,12,25,24,21
"COG0077",31,25,53,44,33,27
"COG0078",39,48,65,75,49,51
"COG0079",77,136,76,129,73,74
"COG0080",27,39,25,16,35,29
"COG0081",34,40,53,32,37,48
"COG0082",31,46,41,56,35,32
"COG0083",4,21,7,19,6,8
"COG0084",71,45,33,47,67,44
"COG0085",168,149,208,161,164,210
"COG0086",90,184,156,150,115,185
"COG0087",46,46,36,49,23,29
"COG0088",35,46,29,24,35,40
"COG0089",24,30,14,18,23,21
"COG0090",28,45,37,39,22,43
"COG0091",28,25,16,30,29,34
"COG0092",15,37,22,30,22,31
"COG0093",20,23,17,8,19,23
"COG0094",49,40,27,31,37,38
"COG0095",11,4,5,6,18,10
"COG0096",16,29,24,9,18,34
"COG0097",18,41,33,25,31,28
"COG0098",30,36,25,37,31,41
"COG0099",29,35,14,18,19,18
"COG0100",9,28,22,16,23,31
"COG0101",38,78,39,39,43,44
"COG0102",14,42,13,15,18,26
"COG0103",23,23,24,17,19,35
"COG0104",53,68,51,93,54,50
"COG0105",16,5,3,9,19,3
"COG0106",39,52,30,8,10,11
"COG0107",7,12,8,32,21,41
"COG0108",53,39,16,36,59,45
"COG0109",1,0,2,0,1,0
"COG0110",299,110,157,117,162,172
"COG0111",66,85,121,108,115,85
"COG0112",58,34,53,60,48,48
"COG0113",3,22,27,11,14,7
"COG0114",1,8,1,6,4,4
"COG0115",60,64,62,64,62,57
"COG0116",25,50,49,39,40,33
"COG0117",29,21,18,21,43,40
"COG0118",26,46,24,28,24,22
"COG0119",111,105,72,126,100,87
"COG0120",2,37,3,3,3,4
"COG0121",0,0,2,0,1,0
"COG0122",5,12,34,8,6,19
"COG0123",2,6,0,2,1,1
"COG0124",60,72,42,50,50,71
"COG0125",12,16,13,17,13,15
"COG0126",42,57,33,57,55,54
"COG0127",27,48,38,30,37,41
"COG0128",55,55,48,64,53,68
"COG0129",90,61,65,97,71,74
"COG0130",19,37,34,34,28,36
"COG0131",37,28,23,27,25,25
"COG0132",15,12,19,12,22,18
"COG0133",44,44,46,23,33,30
"COG0134",41,36,33,25,38,19
"COG0135",15,36,11,14,23,9
"COG0136",19,55,40,47,38,51
"COG0137",47,60,51,72,56,49
"COG0138",88,76,57,50,89,74
"COG0139",42,45,12,33,29,26
"COG0140",42,20,11,33,21,30
"COG0141",49,52,42,47,46,57
"COG0142",75,63,39,54,90,64
"COG0143",67,98,135,77,95,93
"COG0144",61,112,89,80,70,74
"COG0145",0,17,1,7,5,2
"COG0147",99,52,49,59,52,57
"COG0148",52,87,78,52,46,76
"COG0149",26,40,37,34,27,36
"COG0150",38,57,37,55,36,42
"COG0151",12,24,11,53,51,45
"COG0152",35,54,24,41,34,47
"COG0153",52,36,59,24,12,13
"COG0154",11,93,60,17,13,37
"COG0155",3,11,2,9,3,2
"COG0156",135,13,22,61,89,83
"COG0157",34,50,48,20,41,31
"COG0158",0,7,3,1,8,0
"COG0159",30,36,32,18,34,25
"COG0160",5,31,16,4,11,6
"COG0161",18,7,9,29,35,33
"COG0162",42,42,52,48,54,62
"COG0163",5,2,1,6,5,3
"COG0164",18,27,29,29,31,29
"COG0165",56,79,53,68,70,44
"COG0166",61,73,88,49,82,69
"COG0167",79,44,52,69,64,79
"COG0168",133,127,142,138,133,129
"COG0169",30,62,33,56,54,28
"COG0171",47,53,74,33,28,24
"COG0172",49,69,64,71,51,65
"COG0173",18,40,33,56,71,119
"COG0174",8,34,12,44,31,41
"COG0175",68,18,43,11,6,9
"COG0176",19,41,47,18,24,31
"COG0177",23,34,38,35,23,45
"COG0178",155,148,157,164,171,205
"COG0179",22,8,5,33,28,22
"COG0180",55,57,50,58,50,57
"COG0181",3,24,27,9,9,5
"COG0182",2,13,1,2,5,15
"COG0183",4,7,10,24,12,22
"COG0184",18,12,8,15,23,15
"COG0185",20,17,10,23,17,15
"COG0186",14,19,12,18,19,13
"COG0187",49,66,61,164,188,181
"COG0188",166,217,213,221,202,207
"COG0189",4,1,22,6,4,4
"COG0190",38,26,29,40,30,46
"COG0191",54,43,135,83,76,63
"COG0192",62,69,117,81,71,58
"COG0193",32,36,28,28,26,31
"COG0194",34,60,51,46,35,32
"COG0195",49,62,51,65,59,70
"COG0196",11,20,8,39,39,36
"COG0197",20,24,18,25,24,29
"COG0198",16,14,23,19,15,17
"COG0199",11,5,8,6,27,11
"COG0200",32,36,20,19,25,37
"COG0201",43,72,74,51,54,80
"COG0202",47,79,33,40,64,42
"COG0203",22,38,12,12,28,29
"COG0204",89,76,61,82,81,74
"COG0205",184,129,212,178,142,127
"COG0206",73,51,50,71,65,65
"COG0207",51,32,30,13,44,46
"COG0208",26,30,12,31,11,18
"COG0209",25,10,3,65,65,51
"COG0210",193,211,142,224,182,171
"COG0211",9,21,11,12,18,7
"COG0212",40,24,22,25,23,23
"COG0213",2,21,13,22,14,27
"COG0214",8,24,11,9,11,7
"COG0215",67,71,51,80,66,84
"COG0216",8,16,11,48,40,45
"COG0217",27,39,15,34,45,33
"COG0218",25,25,31,18,26,32
"COG0219",7,29,21,21,7,9
"COG0220",44,65,25,32,39,31
"COG0221",4,16,13,4,6,4
"COG0222",17,17,10,20,13,19
"COG0223",21,17,11,49,46,46
"COG0224",45,53,57,62,35,49
"COG0225",26,13,10,12,15,14
"COG0226",48,69,40,62,42,48
"COG0227",10,11,1,0,6,3
"COG0228",6,14,11,16,8,18
"COG0229",13,3,6,4,13,11
"COG0230",2,1,0,5,4,9
"COG0231",39,27,23,9,14,17
"COG0232",42,73,30,53,47,60
"COG0233",36,39,16,24,25,27
"COG0234",14,15,24,18,15,9
"COG0235",71,28,97,49,75,57
"COG0236",27,42,14,36,25,10
"COG0237",7,12,14,29,24,26
"COG0238",3,16,13,11,9,13
"COG0239",23,40,10,5,4,7
"COG0240",53,55,37,55,51,55
"COG0241",35,9,7,35,31,22
"COG0242",33,61,41,29,26,32
"COG0243",34,167,44,30,46,9
"COG0244",27,26,18,18,27,19
"COG0245",36,41,15,36,20,35
"COG0246",39,48,63,89,62,26
"COG0247",34,52,49,19,50,37
"COG0248",50,88,35,23,71,35
"COG0249",133,150,135,149,163,176
"COG0250",46,49,36,28,30,35
"COG0251",38,35,13,49,46,57
"COG0252",77,63,53,69,77,69
"COG0253",37,38,43,37,34,47
"COG0254",12,23,16,7,15,8
"COG0255",6,13,9,9,3,6
"COG0256",28,49,23,17,29,25
"COG0257",2,3,1,3,3,0
"COG0258",68,91,99,78,107,97
"COG0259",9,1,1,2,4,4
"COG0260",3,9,4,12,10,7
"COG0261",22,20,12,22,19,29
"COG0262",40,36,21,16,30,26
"COG0263",37,39,34,43,40,35
"COG0264",11,20,11,52,47,49
"COG0265",45,97,162,74,55,84
"COG0266",14,17,11,3,12,7
"COG0267",6,5,4,5,7,8
"COG0268",6,12,14,6,8,14
"COG0269",0,1,5,2,2,0
"COG0270",73,165,134,66,98,113
"COG0271",0,1,0,0,0,0
"COG0272",25,26,21,85,83,102
"COG0274",40,23,19,53,55,43
"COG0275",66,63,63,42,52,52
"COG0276",1,12,1,0,2,0
"COG0277",27,53,10,31,28,23
"COG0279",3,6,5,27,7,6
"COG0280",148,37,40,85,119,129
"COG0281",84,57,47,31,18,28
"COG0282",37,62,45,42,47,61
"COG0283",18,27,20,34,28,35
"COG0284",44,44,34,45,45,45
"COG0285",45,72,76,69,63,70
"COG0286",80,81,40,106,201,142
"COG0287",23,49,34,42,18,28
"COG0288",11,33,5,7,21,9
"COG0289",44,47,39,49,35,46
"COG0290",7,9,12,21,43,40
"COG0291",8,14,3,14,11,15
"COG0292",15,28,20,22,15,17
"COG0293",2,4,0,0,1,1
"COG0294",32,12,28,11,31,28
"COG0295",28,20,20,19,11,20
"COG0296",31,44,37,128,92,118
"COG0297",48,48,70,56,44,64
"COG0298",2,1,2,0,3,0
"COG0299",40,47,23,25,25,33
"COG0300",27,31,21,31,33,45
"COG0301",8,36,36,39,10,28
"COG0302",39,29,18,16,22,21
"COG0303",18,44,39,44,29,11
"COG0304",101,95,73,80,102,93
"COG0305",82,78,48,95,101,117
"COG0306",36,4,9,4,21,3
"COG0307",28,28,4,17,15,24
"COG0308",14,52,6,8,8,8
"COG0309",16,33,15,14,9,15
"COG0310",6,20,25,8,6,3
"COG0311",6,28,8,5,6,6
"COG0312",18,10,6,22,16,29
"COG0313",60,58,53,47,53,48
"COG0314",0,5,0,1,1,0
"COG0315",9,15,13,19,6,2
"COG0316",1,4,1,0,7,0
"COG0317",102,118,83,120,147,134
"COG0318",96,45,30,90,94,95
"COG0319",23,25,26,22,31,30
"COG0320",32,14,9,14,25,21
"COG0321",17,5,2,8,9,9
"COG0322",64,83,54,66,78,103
"COG0323",68,79,54,21,27,34
"COG0324",74,39,36,44,76,66
"COG0325",44,24,25,27,40,35
"COG0326",89,111,62,91,80,79
"COG0327",11,11,8,26,17,22
"COG0328",3,22,4,8,9,13
"COG0329",87,61,93,102,74,84
"COG0330",33,55,86,70,52,64
"COG0331",41,39,45,51,39,52
"COG0332",69,71,16,45,63,59
"COG0333",7,4,4,2,11,9
"COG0334",123,56,51,80,98,76
"COG0335",17,27,15,24,17,23
"COG0336",28,50,34,43,26,27
"COG0337",41,50,46,16,16,14
"COG0338",63,20,28,50,72,37
"COG0339",109,17,9,69,93,82
"COG0340",43,72,62,49,44,51
"COG0341",11,26,34,50,30,26
"COG0342",70,78,37,91,80,69
"COG0343",31,52,46,53,40,63
"COG0344",11,29,21,30,14,28
"COG0345",42,39,41,40,33,40
"COG0346",89,64,37,40,66,51
"COG0347",26,54,64,57,18,29
"COG0348",17,30,59,51,29,43
"COG0349",1,0,0,0,0,1
"COG0350",29,16,24,29,22,32
"COG0351",48,31,53,35,50,52
"COG0352",23,31,54,36,24,33
"COG0353",29,29,41,30,32,28
"COG0354",2,9,0,0,1,0
"COG0355",17,19,17,24,8,8
"COG0356",54,66,44,45,40,49
"COG0357",23,56,26,42,37,33
"COG0358",107,82,106,220,156,135
"COG0359",33,31,22,27,38,22
"COG0360",19,12,23,14,20,23
"COG0361",19,20,10,16,13,8
"COG0362",46,24,9,20,28,25
"COG0363",87,54,77,25,30,30
"COG0364",42,20,11,6,2,8
"COG0365",51,14,58,22,44,46
"COG0366",182,376,463,236,223,242
