"","NLM002","NOM029","DOF008","DOM015","NLF002","DLF007"
"COG0001",9,11,16,21,14,17
"COG0002",30,49,40,48,38,46
"COG0003",5,3,2,5,4,19
"COG0004",60,35,53,51,64,22
"COG0005",34,15,20,26,25,31
"COG0006",160,139,88,117,110,122
"COG0007",8,17,11,8,27,8
"COG0008",182,123,142,122,142,76
"COG0009",31,49,68,67,53,60
"COG0010",8,6,22,13,18,21
"COG0011",0,2,6,8,0,2
"COG0012",74,41,68,41,45,38
"COG0013",40,26,37,112,104,72
"COG0014",50,61,40,27,18,11
"COG0015",94,58,61,70,73,46
"COG0016",60,37,38,15,15,7
"COG0017",79,45,67,44,55,50
"COG0018",89,75,82,37,38,22
"COG0019",52,24,33,58,111,83
"COG0020",42,40,42,38,40,35
"COG0021",110,66,21,41,49,27
"COG0022",2,9,4,18,18,34
"COG0023",3,14,0,12,7,20
"COG0024",29,15,19,63,78,64
"COG0025",13,18,51,2,13,2
"COG0026",1,3,16,1,1,1
"COG0027",60,29,10,22,17,24
"COG0028",70,115,136,162,126,84
"COG0029",85,70,36,58,59,60
"COG0030",57,64,102,59,63,81
"COG0031",49,41,65,84,86,42
"COG0033",2,4,10,0,0,0
"COG0034",47,29,25,108,74,82
"COG0035",50,29,60,43,38,27
"COG0036",35,40,52,34,62,43
"COG0037",88,102,117,81,113,89
"COG0038",102,87,91,87,72,82
"COG0039",61,65,83,68,107,60
"COG0040",42,31,23,35,25,39
"COG0041",32,36,28,31,38,18
"COG0042",100,79,92,87,80,62
"COG0043",6,6,15,4,8,4
"COG0044",68,72,68,55,91,58
"COG0045",2,9,14,3,11,17
"COG0046",219,112,115,137,137,68
"COG0047",185,104,109,110,118,85
"COG0048",23,17,24,13,14,16
"COG0049",27,28,37,35,35,30
"COG0050",69,44,57,60,69,62
"COG0051",12,16,23,26,24,28
"COG0052",61,31,32,33,30,30
"COG0053",53,55,56,57,59,42
"COG0054",23,23,24,15,16,9
"COG0055",81,78,84,75,77,38
"COG0056",80,61,97,85,100,46
"COG0057",55,40,44,12,12,8
"COG0058",139,126,148,147,123,96
"COG0059",49,43,58,64,49,42
"COG0060",142,108,131,112,89,80
"COG0061",59,39,44,42,49,21
"COG0062",86,49,40,39,34,36
"COG0063",98,45,34,44,49,33
"COG0064",2,4,13,22,38,13
"COG0065",43,64,59,55,58,41
"COG0066",24,28,27,30,37,28
"COG0067",184,113,109,87,108,60
"COG0068",3,6,20,1,15,7
"COG0069",156,115,104,99,109,58
"COG0070",163,103,97,29,24,19
"COG0071",31,44,45,30,40,65
"COG0072",112,67,84,77,83,63
"COG0073",268,155,202,126,164,107
"COG0074",5,16,3,3,12,21
"COG0075",41,43,8,26,36,25
"COG0076",1,24,7,27,34,37
"COG0077",36,38,36,36,31,23
"COG0078",54,50,63,55,61,38
"COG0079",51,96,104,74,113,95
"COG0080",26,24,27,35,33,24
"COG0081",41,35,36,24,43,26
"COG0082",47,41,53,39,42,24
"COG0083",1,2,13,1,4,1
"COG0084",54,79,53,72,59,83
"COG0085",210,143,171,151,167,144
"COG0086",236,143,173,147,125,106
"COG0087",38,26,56,29,45,22
"COG0088",46,32,46,46,26,41
"COG0089",19,18,26,21,22,13
"COG0090",45,29,54,31,43,23
"COG0091",21,20,25,19,25,21
"COG0092",53,31,43,26,24,24
"COG0093",30,11,17,21,25,22
"COG0094",44,32,33,12,12,12
"COG0095",19,12,18,11,19,23
"COG0096",22,32,28,22,29,18
"COG0097",37,38,33,28,43,27
"COG0098",33,31,29,27,33,30
"COG0099",11,28,32,27,24,11
"COG0100",25,22,19,15,19,17
"COG0101",44,51,56,49,67,46
"COG0102",31,20,29,25,18,20
"COG0103",27,18,23,18,24,24
"COG0104",75,59,65,73,78,62
"COG0105",11,11,2,9,8,11
"COG0106",34,32,21,32,36,24
"COG0107",29,28,32,26,32,18
"COG0108",69,47,28,38,55,53
"COG0109",0,3,1,0,0,2
"COG0110",66,208,69,138,186,250
"COG0111",55,72,92,81,103,66
"COG0112",73,44,53,42,68,38
"COG0113",7,13,12,7,5,9
"COG0114",4,11,13,16,2,4
"COG0115",93,59,54,78,56,66
"COG0116",59,62,43,39,43,27
"COG0117",39,40,27,39,44,25
"COG0118",34,39,24,28,21,24
"COG0119",143,110,79,113,120,72
"COG0120",2,6,18,5,5,11
"COG0121",2,1,4,1,0,3
"COG0122",8,11,8,17,17,9
"COG0123",1,1,2,2,2,1
"COG0124",77,42,55,69,51,79
"COG0125",3,7,29,12,18,3
"COG0126",67,46,50,57,38,37
"COG0127",32,34,42,36,32,30
"COG0128",66,32,44,67,46,40
"COG0129",80,68,80,74,92,63
"COG0130",32,24,45,32,30,22
"COG0131",46,34,12,25,27,27
"COG0132",4,25,10,24,8,16
"COG0133",37,45,42,49,42,39
"COG0134",26,29,26,36,35,24
"COG0135",27,27,24,22,24,24
"COG0136",58,41,61,45,41,36
"COG0137",56,61,62,61,63,46
"COG0138",34,32,18,86,83,88
"COG0139",32,37,24,21,40,37
"COG0140",31,22,14,28,28,30
"COG0141",35,49,43,49,43,38
"COG0142",94,81,47,63,67,68
"COG0143",114,97,122,73,101,57
"COG0144",49,73,104,56,60,61
"COG0145",5,2,2,2,3,8
"COG0146",0,0,0,1,0,0
"COG0147",69,84,59,74,69,70
"COG0148",53,57,79,65,78,45
"COG0149",6,37,34,37,42,27
"COG0150",67,39,43,44,42,31
"COG0151",63,46,40,60,37,25
"COG0152",45,39,33,38,32,35
"COG0153",59,51,58,22,29,12
"COG0154",10,19,50,36,38,13
"COG0155",4,13,12,1,2,1
"COG0156",71,146,29,71,62,282
"COG0157",53,28,20,50,27,28
"COG0158",1,4,2,1,0,2
"COG0159",43,25,16,35,35,18
"COG0160",2,7,17,6,11,7
"COG0161",14,34,20,23,29,39
"COG0162",69,67,64,66,46,24
"COG0163",2,0,3,1,4,4
"COG0164",44,31,21,26,34,20
"COG0165",70,61,38,60,71,56
"COG0166",59,58,59,54,65,59
"COG0167",53,96,81,70,58,69
"COG0168",75,141,153,137,163,132
"COG0169",43,35,54,45,43,45
"COG0171",98,34,51,65,56,35
"COG0172",21,24,28,64,78,38
"COG0173",86,70,55,104,72,57
"COG0174",18,47,91,47,39,38
"COG0175",31,51,8,22,55,39
"COG0176",7,21,39,24,17,35
"COG0177",33,21,33,41,32,35
"COG0178",248,155,162,159,151,122
"COG0179",40,22,23,9,11,14
"COG0180",70,57,72,47,51,44
"COG0181",4,7,13,3,6,8
"COG0182",2,2,1,14,4,5
"COG0183",6,26,40,20,17,11
"COG0184",11,17,16,23,26,23
"COG0185",10,14,13,13,23,27
"COG0186",3,5,7,11,12,9
"COG0187",256,172,216,149,158,129
"COG0188",246,187,227,182,192,131
"COG0189",4,13,1,19,2,11
"COG0190",49,51,43,45,42,40
"COG0191",48,65,103,51,72,52
"COG0192",28,25,23,82,68,60
"COG0193",36,27,37,24,32,29
"COG0194",33,40,71,15,16,7
"COG0195",74,53,51,60,47,42
"COG0196",56,29,71,40,43,23
"COG0197",25,24,27,30,31,20
"COG0198",21,17,27,22,20,24
"COG0199",13,10,4,7,9,19
"COG0200",23,24,26,24,35,23
"COG0201",73,54,79,59,59,57
"COG0202",77,45,51,41,59,40
"COG0203",30,14,17,21,23,10
"COG0204",74,83,70,87,87,74
"COG0205",150,172,132,180,198,156
"COG0206",83,39,49,43,55,43
"COG0207",26,23,26,52,26,29
"COG0208",14,17,33,19,23,27
"COG0209",94,94,54,96,74,80
"COG0210",166,194,230,140,150,183
"COG0211",12,7,13,21,15,16
"COG0212",34,25,21,27,35,24
"COG0213",4,7,19,22,12,6
"COG0214",41,8,21,6,20,3
"COG0215",96,74,70,59,70,47
"COG0216",75,42,51,44,36,18
"COG0217",40,38,43,37,30,34
"COG0218",29,20,27,26,27,18
"COG0219",2,12,40,7,17,5
"COG0220",44,32,49,28,34,39
"COG0221",1,4,11,6,11,7
"COG0222",19,13,24,11,10,17
"COG0223",57,43,51,59,49,54
"COG0224",76,51,75,68,64,26
"COG0225",3,19,10,24,13,36
"COG0226",72,35,46,65,45,54
"COG0227",11,5,7,1,1,3
"COG0228",11,8,16,10,11,11
"COG0229",1,8,7,12,6,21
"COG0230",3,6,5,5,6,7
"COG0231",33,30,33,22,30,21
"COG0232",70,58,33,61,39,36
"COG0233",34,20,22,39,31,37
"COG0234",10,18,25,21,13,17
"COG0235",88,48,60,77,72,71
"COG0236",11,25,28,13,13,8
"COG0237",42,27,34,12,25,31
"COG0238",12,9,14,10,13,9
"COG0239",4,6,12,19,12,14
"COG0240",58,45,46,34,43,23
"COG0241",38,31,2,23,26,47
"COG0242",28,46,59,8,14,5
"COG0243",56,59,34,10,19,24
"COG0244",9,22,39,19,26,11
"COG0245",24,19,27,29,20,23
"COG0246",55,62,73,54,60,67
"COG0247",39,32,8,38,27,43
"COG0248",34,47,51,12,37,29
"COG0249",191,143,109,172,117,101
"COG0250",49,44,39,27,34,39
"COG0251",36,39,31,39,35,46
"COG0252",100,48,51,60,68,83
"COG0253",21,13,17,45,41,38
"COG0254",6,10,7,12,7,11
"COG0255",1,8,10,6,5,3
"COG0256",27,21,19,36,27,19
"COG0257",1,6,3,2,2,0
"COG0258",141,65,127,86,87,58
"COG0259",2,6,0,8,16,6
"COG0260",6,8,3,5,6,2
"COG0261",24,20,22,11,22,16
"COG0262",31,24,24,43,32,32
"COG0263",14,43,36,44,48,27
"COG0264",71,43,40,49,38,56
"COG0265",88,66,93,73,72,70
"COG0266",7,10,5,3,7,4
"COG0267",3,15,0,5,8,10
"COG0268",2,7,12,2,7,3
"COG0269",3,2,7,2,0,0
"COG0270",81,25,47,121,54,47
"COG0271",1,0,0,1,0,0
"COG0272",102,86,120,91,85,49
"COG0274",56,42,39,44,39,46
"COG0275",47,52,74,52,52,44
"COG0276",0,3,3,0,0,1
"COG0277",16,29,39,20,19,22
"COG0278",0,2,0,1,0,1
"COG0279",9,11,1,6,7,15
"COG0280",174,115,69,127,103,119
"COG0281",95,92,43,61,70,76
"COG0282",51,56,84,48,26,31
"COG0283",38,29,35,34,30,25
"COG0284",35,35,57,40,51,43
"COG0285",62,59,70,66,70,66
"COG0286",230,124,114,125,145,132
"COG0287",4,3,12,41,20,16
"COG0288",2,27,14,8,16,13
"COG0289",57,42,36,42,54,28
"COG0290",39,27,36,27,30,17
"COG0291",5,9,8,7,12,12
"COG0292",13,14,25,18,22,15
"COG0293",0,2,2,0,1,0
"COG0294",58,17,21,37,25,28
"COG0295",23,23,16,19,20,13
"COG0296",96,125,109,47,55,35
"COG0297",47,56,45,55,67,40
"COG0298",2,4,4,1,3,1
"COG0299",5,38,32,16,7,16
"COG0300",37,28,27,19,41,39
"COG0301",11,22,33,33,27,11
"COG0302",18,8,9,27,22,38
"COG0303",9,16,40,12,12,9
"COG0304",96,85,104,79,77,84
