"","DOM013","DLM006","NOM005","NLF012","DOM021","NLF002"
"COG0001",25,11,23,13,9,20
"COG0002",43,44,34,59,40,57
"COG0003",5,2,0,6,27,7
"COG0004",33,40,46,54,32,56
"COG0005",23,31,11,24,38,17
"COG0006",128,133,89,129,134,115
"COG0007",9,8,26,11,10,16
"COG0008",152,146,144,40,41,38
"COG0009",60,52,61,64,57,53
"COG0010",22,9,22,15,12,19
"COG0011",0,0,0,1,1,0
"COG0012",44,62,42,59,59,62
"COG0013",134,106,92,111,120,125
"COG0014",50,44,48,71,59,56
"COG0015",60,80,54,67,54,87
"COG0016",60,55,41,57,61,58
"COG0017",75,65,50,65,66,59
"COG0018",98,91,71,79,91,93
"COG0019",99,120,108,112,81,118
"COG0020",54,30,24,21,30,30
"COG0021",51,68,48,38,61,55
"COG0022",3,12,6,15,3,15
"COG0023",9,8,11,5,8,12
"COG0024",74,88,55,87,66,75
"COG0025",12,13,29,4,5,7
"COG0026",4,0,6,2,1,0
"COG0027",19,26,16,21,30,22
"COG0028",76,124,150,102,94,126
"COG0029",44,49,35,57,73,57
"COG0030",83,68,61,48,77,75
"COG0031",62,39,48,62,44,59
"COG0033",2,0,7,0,0,0
"COG0034",81,120,61,96,98,82
"COG0035",53,53,37,47,37,41
"COG0036",54,37,44,36,41,57
"COG0037",126,99,74,107,102,102
"COG0038",59,69,83,100,93,75
"COG0039",57,69,55,74,83,75
"COG0040",39,42,26,40,31,37
"COG0041",26,31,29,30,27,36
"COG0042",77,70,91,84,70,77
"COG0043",10,6,22,7,10,13
"COG0044",58,71,65,96,81,81
"COG0045",2,4,15,1,3,6
"COG0046",135,144,125,142,96,121
"COG0047",107,113,82,131,94,97
"COG0048",28,13,27,14,15,19
"COG0049",28,35,30,34,21,35
"COG0050",54,81,69,62,62,54
"COG0051",24,26,22,18,23,23
"COG0052",42,44,33,43,29,28
"COG0053",40,36,45,42,49,50
"COG0054",16,19,21,18,23,28
"COG0055",52,57,65,95,62,68
"COG0056",64,79,81,85,64,98
"COG0057",53,51,69,35,45,38
"COG0058",169,163,150,159,115,151
"COG0059",39,62,42,50,64,43
"COG0060",145,141,88,118,127,87
"COG0061",34,53,33,36,49,40
"COG0062",42,59,42,42,44,47
"COG0063",51,65,51,53,36,46
"COG0064",58,33,20,26,7,35
"COG0065",47,57,59,53,61,70
"COG0066",23,29,26,30,31,28
"COG0067",84,143,95,88,70,99
"COG0068",4,1,8,10,11,16
"COG0069",84,116,71,98,64,111
"COG0070",64,106,89,96,57,99
"COG0071",36,36,47,25,34,31
"COG0072",116,83,67,83,74,91
"COG0073",192,174,113,161,114,180
"COG0074",9,1,37,4,9,13
"COG0075",25,31,15,32,61,32
"COG0076",17,11,37,35,46,28
"COG0077",29,42,23,39,34,58
"COG0078",55,58,55,57,48,59
"COG0079",30,30,24,82,98,102
"COG0080",27,32,18,15,16,37
"COG0081",45,45,26,31,35,46
"COG0082",40,55,32,45,27,46
"COG0083",8,10,11,14,4,7
"COG0084",31,24,23,47,47,53
"COG0085",195,214,134,194,178,203
"COG0086",193,185,127,178,147,124
"COG0087",37,35,14,39,29,39
"COG0088",31,47,28,28,27,31
"COG0089",30,16,21,16,15,21
"COG0090",40,41,36,39,32,39
"COG0091",29,40,17,32,15,24
"COG0092",34,48,11,28,34,29
"COG0093",35,29,17,15,26,21
"COG0094",29,53,32,33,26,42
"COG0095",10,15,20,13,5,16
"COG0096",26,28,24,16,19,26
"COG0097",35,52,15,21,24,50
"COG0098",39,29,27,29,26,36
"COG0099",23,25,17,21,14,19
"COG0100",29,29,14,17,21,21
"COG0101",47,57,43,49,54,67
"COG0102",30,29,24,17,23,17
"COG0103",39,18,19,18,14,28
"COG0104",83,59,76,67,68,51
"COG0105",6,12,3,9,16,5
"COG0106",30,27,35,31,19,45
"COG0107",38,30,30,27,30,30
"COG0108",40,38,38,65,53,48
"COG0109",0,0,3,1,0,0
"COG0110",110,110,123,43,87,79
"COG0111",89,54,93,66,95,89
"COG0112",58,59,29,62,48,85
"COG0113",4,2,13,6,1,3
"COG0114",6,4,9,4,3,3
"COG0115",74,67,51,60,74,59
"COG0116",33,39,40,19,16,11
"COG0117",32,43,30,14,15,15
"COG0118",31,28,16,18,19,26
"COG0119",78,104,99,96,117,118
"COG0120",10,2,8,1,2,2
"COG0121",0,0,2,0,1,0
"COG0122",7,6,9,8,2,17
"COG0123",3,1,1,0,0,0
"COG0124",81,71,45,62,73,63
"COG0125",21,6,12,8,7,17
"COG0126",68,69,49,56,51,49
"COG0127",39,45,33,30,29,34
"COG0128",18,11,15,51,58,50
"COG0129",61,70,91,93,70,90
"COG0130",56,43,28,35,19,32
"COG0131",26,48,27,35,36,23
"COG0132",11,7,19,21,17,12
"COG0133",38,30,26,30,45,43
"COG0134",18,29,25,22,29,30
"COG0135",11,14,22,12,17,10
"COG0136",37,51,52,57,44,38
"COG0137",46,43,50,50,51,61
"COG0138",69,83,66,85,102,86
"COG0139",37,32,36,28,38,32
"COG0140",25,20,25,28,22,32
"COG0141",48,36,33,40,42,48
"COG0142",18,24,15,68,62,62
"COG0143",109,109,70,87,78,88
"COG0144",71,60,82,59,75,80
"COG0145",3,6,4,1,6,0
"COG0146",1,2,3,3,6,0
"COG0147",78,82,77,80,76,71
"COG0148",69,72,60,65,61,62
"COG0149",39,21,34,44,34,38
