"","Sample.1.to.3","Sample.4.to.6","BaseMean","Estimated.dispersion","AbundanceStrata","VariabilityStrata"
"COG0025",-1.5,NA,974.296712111196,0.467847352547457,"2","2"
"COG0031",NA,-1.5,3965.93059435833,0.0167425307335414,"3","1"
"COG0035",-1.5,NA,2772.52170052125,0.0293630940650946,"3","1"
"COG0063",NA,-1.5,3384.14481152974,0.0588111689815026,"3","1"
"COG0131",-1.5,NA,2115.67346779837,0.0386273560558989,"3","1"
"COG0136",-1.5,NA,3154.82507043451,0.0390332304209155,"3","1"
"COG0160",NA,-1.5,617.170848790982,0.571844605053798,"2","2"
"COG0164",-1.5,NA,2156.13534778681,0.0291849303454353,"3","1"
"COG0167",-1.5,NA,4453.67089018469,0.0520859168680118,"3","1"
"COG0192",-1.5,NA,4840.12098861802,0.0415828739837396,"3","1"
"COG0197",NA,-1.5,1948.17690911403,0.0356262109888828,"3","1"
"COG0233",-1.5,NA,2260.85313000797,0.0253413890496446,"3","1"
"COG0242",NA,-1.5,2584.5068676989,0.0435964489827076,"3","1"
"COG0244",-1.5,NA,1529.45804676762,0.0941551165768571,"2","1"
"COG0292",-1.5,NA,1304.87273024671,0.0445151651804367,"2","1"
"COG0295",NA,-1.5,1470.99789843186,0.0385191736465371,"2","1"
"COG0313",-1.5,NA,3667.64919423151,0.0156354399700703,"3","1"
"COG0342",-1.5,NA,5735.3325066931,0.110530370907342,"3","1"
"COG0347",-1.5,NA,2533.76557120071,0.111285787138366,"3","1"
"COG0365",-1.5,NA,2796.43034156219,0.197507251755194,"3","1"
"COG0372",NA,-1.5,4594.71930214992,0.0324816471650616,"3","1"
"COG0380",NA,-1.5,902.215396398561,0.498357069036829,"2","2"
"COG0393",-1.5,NA,938.408621949526,0.164623380284426,"2","1"
"COG0403",NA,-1.5,2777.45842185738,0.335980035729805,"3","2"
"COG0405",NA,-1.5,371.717003059844,0.586647634995577,"2","2"
"COG0413",-1.5,NA,1678.7756220959,0.143700725884582,"3","1"
"COG0429",-1.5,NA,121.043762898311,0.906848137976419,"1","2"
"COG0444",-1.5,NA,3514.83142541011,0.157853770346125,"3","1"
"COG0514",NA,-1.5,13756.292725738,0.143765624180091,"3","1"
"COG0515",-1.5,NA,8247.92698735995,0.216631249387992,"3","1"
"COG0526",-1.5,NA,14927.4130118349,0.120557962356873,"3","1"
"COG0550",NA,-1.5,19037.8763316633,0.0390285862706457,"3","1"
"COG0572",NA,-1.5,5214.69538735095,0.0853851642738523,"3","1"
"COG0595",-1.5,NA,2880.94522899412,0.272779645916798,"3","2"
"COG0615",-1.5,NA,1832.60241478802,0.337348110683575,"3","2"
"COG0617",NA,-1.5,3964.54641743521,0.0258281179116594,"3","1"
"COG0625",-1.5,NA,440.147549650375,1.47385533943184,"2","3"
"COG0661",NA,-1.5,723.022669188223,0.695714091307926,"2","2"
"COG0674",NA,-1.5,12867.247132739,0.0824728301607342,"3","1"
"COG0675",-1.5,NA,5217.36971105575,0.606767025064914,"3","2"
"COG0676",-1.5,NA,118.775303147114,1.88266167446013,"1","3"
"COG0694",-1.5,NA,100.725967815198,0.814115420422806,"1","2"
"COG0699",NA,-1.5,717.551438822949,0.923015847666795,"2","2"
"COG0703",NA,-1.5,2896.97265203814,0.0396239763626097,"3","1"
"COG0706",-1.5,NA,5389.44730404381,0.0265098050568841,"3","1"
"COG0710",-1.5,NA,653.607800426267,0.259427870448515,"2","2"
"COG0736",NA,-1.5,392.446428349485,0.315417703805137,"2","2"
"COG0737",NA,-1.5,6793.71180073954,0.0952383337979145,"3","1"
"COG0738",NA,-1.5,10037.7591430694,0.272249496349731,"3","2"
"COG0740",-1.5,NA,4167.77956322978,0.0658118478326059,"3","1"
"COG0745",-1.5,NA,49465.1609029941,0.0531146551467102,"3","1"
"COG0746",NA,-1.5,260.486974621934,0.395821060946246,"2","2"
"COG0753",-1.5,NA,791.870096335118,0.522614479522899,"2","2"
"COG0754",-1.5,NA,413.085153966817,0.884952655019577,"2","2"
"COG0761",NA,-1.5,3469.76959639231,0.0392546978362445,"3","1"
"COG0767",NA,-1.5,1661.13707540316,0.201286593214609,"3","1"
"COG0786",-1.5,NA,1472.25336061321,0.156573585841116,"2","1"
"COG0791",-1.5,NA,5859.13025929949,0.113828751015641,"3","1"
"COG0799",NA,-1.5,1545.35323988568,0.0516478266563573,"3","1"
"COG0804",NA,-1.5,282.366941009054,0.756109708144827,"2","2"
"COG0809",NA,-1.5,5507.93478912803,0.110185485313157,"3","1"
"COG0811",NA,-1.5,3520.10094202818,0.192305448994305,"3","1"
"COG0826",NA,-1.5,9320.98160622957,0.0251283249812216,"3","1"
"COG0827",NA,-1.5,10519.3067268484,0.164155154178409,"3","1"
"COG0828",NA,-1.5,277.188738696395,0.205902687664759,"2","1"
"COG0840",-1.5,NA,10144.7493194941,0.589029237184899,"3","2"
"COG0849",NA,-1.5,2562.61032138317,0.217931347808469,"3","1"
"COG1018",NA,-1.5,323.318138884424,1.25317933476222,"2","3"
"COG1030",NA,-1.5,238.449337588033,0.574408598651665,"2","2"
"COG1043",NA,-1.5,2675.14559426411,0.230960858937554,"3","1"
"COG1048",NA,-1.5,5819.99339812379,0.037983264113828,"3","1"
"COG1088",-1.5,NA,4480.64436972329,0.0662891288504764,"3","1"
"COG1108",-1.5,NA,2529.76784955885,0.0693426038024692,"3","1"
"COG1120",NA,-1.5,4273.30994070864,0.0366294906382136,"3","1"
"COG1133",-1.5,NA,86.8400358029519,2.30331220994537,"1","3"
"COG1142",-1.5,NA,609.544817390159,0.842050611282684,"2","2"
"COG1143",-1.5,NA,794.435305251907,0.298335352313594,"2","2"
"COG1144",-1.5,NA,196.800266643341,0.622954751281613,"2","2"
"COG1156",NA,-1.5,2553.26775848539,0.141179381538499,"3","1"
"COG1162",NA,-1.5,3089.00337108039,0.0384222310958809,"3","1"
"COG1168",-1.5,NA,5452.97202055429,0.0618868431866154,"3","1"
"COG1169",NA,-1.5,1394.12315092643,0.281267388684304,"2","2"
"COG1171",NA,-1.5,2916.72665615417,0.070488092748825,"3","1"
"COG1189",-1.5,NA,1185.69832705241,0.196013014422801,"2","1"
"COG1205",NA,-1.5,1589.62843273344,1.02825661985911,"3","2"
"COG1207",NA,-1.5,1093.65918022815,0.247908218678183,"2","2"
"COG1211",NA,-1.5,3703.15138705419,0.0708939749526594,"3","1"
"COG1214",-1.5,NA,2560.53254286978,0.0289750002347246,"3","1"
"COG1217",-1.5,NA,6089.30786649224,0.0217940735938196,"3","1"
"COG1218",-1.5,NA,1073.19713604978,0.370614963169424,"2","2"
"COG1230",-1.5,NA,551.377400061255,0.475346540681087,"2","2"
"COG1243",NA,-1.5,305.358243143113,0.638066768786985,"2","2"
"COG1250",NA,-1.5,1215.42149280659,0.233944246844375,"2","1"
"COG1273",NA,-1.5,17.0702683368438,2.65094795656839,"1","3"
"COG1279",NA,-1.5,207.438345417244,0.720000041970652,"2","2"
"COG1294",NA,-1.5,2074.74957461512,0.136722987722159,"3","1"
"COG1306",-1.5,NA,160.6737083137,0.938253857249492,"2","2"
"COG1307",-1.5,NA,4480.9473896985,0.238960079256787,"3","1"
"COG1316",NA,-1.5,3473.62529356781,0.245498889375179,"3","2"
"COG1320",NA,-1.5,23.719163055925,0.953983435010706,"1","2"
"COG1328",-1.5,NA,9012.59199023424,0.0511248765238805,"3","1"
"COG1347",NA,-1.5,1059.06493811998,0.359332230457495,"2","2"
"COG1355",-1.5,NA,130.777931076296,5.34429567762619,"1","3"
"COG1359",NA,-1.5,428.073401259158,0.334676658920347,"2","2"
"COG1373",-1.5,NA,23901.2435205975,0.414859846550075,"3","2"
"COG1381",-1.5,NA,1123.97134320839,0.202079958461186,"2","1"
"COG1408",-1.5,NA,4645.1814795325,0.0959659531600254,"3","1"
"COG1416",NA,-1.5,9.42403105213114,1.26874319093597,"1","3"
"COG1418",NA,-1.5,6262.84026277607,0.040459841412975,"3","1"
"COG1431",NA,-1.5,14.8895317574202,3.91746730670225,"1","3"
"COG1433",NA,-1.5,397.314261053839,0.375299925902379,"2","2"
"COG1452",-1.5,NA,291.911009716509,0.994822151611463,"2","2"
"COG1457",-1.5,NA,945.110130090682,0.392979937288285,"2","2"
"COG1462",-1.5,NA,58.6733833688141,2.76912156062073,"1","3"
"COG1468",NA,-1.5,596.74362726447,0.264124256817521,"2","2"
"COG1481",-1.5,NA,1366.74814175531,0.257073158934463,"2","2"
"COG1489",NA,-1.5,437.295000183475,0.200043054749182,"2","1"
"COG1502",-1.5,NA,8395.34985184416,0.0391072648653395,"3","1"
"COG1509",NA,-1.5,1519.11736963291,0.513657773435831,"2","2"
"COG1514",NA,-1.5,68.689413205656,1.1194528350776,"1","3"
"COG1536",-1.5,NA,469.518294319103,0.440832994570273,"2","2"
"COG1575",-1.5,NA,1595.02026858682,0.169745626800144,"3","1"
"COG1595",-1.5,NA,24686.4652510629,0.156776121776019,"3","1"
"COG1605",NA,-1.5,944.74778149822,0.211691558032048,"2","1"
"COG1610",NA,-1.5,1370.5057018958,0.108400110405181,"2","1"
"COG1619",NA,-1.5,1546.41619213887,0.137009695735754,"3","1"
"COG1671",-1.5,NA,527.427250089591,0.260822280228316,"2","2"
"COG1674",-1.5,NA,6910.9933911726,0.110505868523869,"3","1"
"COG1677",NA,-1.5,209.711040295567,0.49543183993416,"2","2"
"COG1683",NA,-1.5,403.685480931402,0.191819246758724,"2","1"
"COG1699",NA,-1.5,229.048416482886,0.614017620856349,"2","2"
"COG1721",-1.5,NA,2381.08783629144,0.304782916808307,"3","2"
"COG1725",-1.5,NA,2467.54336560816,0.0948400954260444,"3","1"
"COG1751",NA,-1.5,6.94957569703175,2.79903671668212,"1","3"
"COG1763",NA,-1.5,311.643911378769,0.298309718670566,"2","2"
"COG1774",-1.5,NA,2735.50089404845,0.0552191762248542,"3","1"
"COG1781",NA,-1.5,1432.17891379141,0.069830848153045,"2","1"
"COG1823",NA,-1.5,230.719714555166,1.03828379944583,"2","2"
"COG1832",-1.5,NA,51.5514784570307,1.24167739612294,"1","3"
"COG1858",NA,-1.5,665.554194103738,0.542473928470234,"2","2"
"COG1866",NA,-1.5,4770.38599598952,0.0738354744993398,"3","1"
"COG1872",-1.5,NA,51.0304946287172,1.52525883856263,"1","3"
"COG1892",NA,-1.5,2.72199356068073,7.29645988881069,"1","3"
"COG1912",-1.5,NA,44.9306901415534,1.66479485649628,"1","3"
"COG1940",-1.5,NA,9972.67076142499,0.0571625801931964,"3","1"
"COG1949",NA,-1.5,128.966575130109,1.28356132632823,"1","3"
"COG1956",-1.5,NA,624.188743548431,0.190628717812348,"2","1"
"COG2002",-1.5,NA,1013.88650250786,0.293852964499134,"2","2"
"COG2041",NA,-1.5,67.2680963549406,1.62888657875934,"1","3"
"COG2049",-1.5,NA,283.864957265693,0.467984517684846,"2","2"
"COG2081",-1.5,NA,2753.40632609176,0.177701637501244,"3","1"
"COG2088",NA,-1.5,860.774203594437,0.299627782824439,"2","2"
"COG2103",-1.5,NA,1020.21517642397,0.204683136340752,"2","1"
"COG2108",NA,-1.5,55.5022079884084,1.57542707156188,"1","3"
"COG2109",NA,-1.5,824.729477489238,0.158873721608668,"2","1"
"COG2111",NA,-1.5,103.033326233813,0.638577247218355,"1","2"
"COG2114",-1.5,NA,75.0779551318672,2.13529126218628,"1","3"
"COG2135",NA,-1.5,240.498415804433,0.490396531591643,"2","2"
"COG2151",NA,-1.5,794.044121721192,0.225470586573624,"2","1"
"COG2166",-1.5,NA,1146.75227031743,0.25565097650054,"2","2"
"COG2179",NA,-1.5,677.448664882976,0.289245474842992,"2","2"
"COG2210",-1.5,NA,2201.41257030796,0.513935274667809,"3","2"
"COG2235",NA,-1.5,311.309270737373,1.13020561079379,"2","3"
"COG2239",NA,-1.5,3568.27075223896,0.101760479717681,"3","1"
"COG2242",NA,-1.5,1612.71954851442,0.137374083783322,"3","1"
"COG2318",NA,-1.5,2.73582481108634,6.70369207169305,"1","3"
"COG2335",-1.5,NA,14.3309695713292,16.3349645198408,"1","3"
"COG2352",-1.5,NA,359.190937095793,1.69382299888414,"2","3"
"COG2354",NA,-1.5,43.7562532576633,2.03619975399903,"1","3"
"COG2355",NA,-1.5,2802.18814504271,0.181817361530608,"3","1"
"COG2357",NA,-1.5,2002.46462686171,0.22554568726627,"3","1"
"COG2364",NA,-1.5,1563.54388870079,0.125537666639019,"3","1"
"COG2372",-1.5,NA,39.7539986737475,2.42196883503773,"1","3"
"COG2373",NA,-1.5,7229.46121427648,0.340626436533493,"3","2"
"COG2519",-1.5,NA,39.0198724161495,2.22897787165058,"1","3"
"COG2733",-1.5,NA,329.472275627932,1.53741376326937,"2","3"
"COG2739",-1.5,NA,656.770451875634,0.235761953216912,"2","1"
"COG2771",-1.5,NA,523.282540961056,1.2662798144446,"2","3"
"COG2816",-1.5,NA,1759.14452851616,0.0610554780835717,"3","1"
"COG2829",-1.5,NA,148.654142845524,0.816485104286531,"1","2"
"COG2831",NA,-1.5,256.468795105877,0.960703290370889,"2","2"
"COG2836",-1.5,NA,77.0877120647658,1.33422099899505,"1","3"
"COG2837",-1.5,NA,389.164064771206,0.898196984548155,"2","2"
"COG2861",-1.5,NA,173.811654788116,0.528447633730317,"2","2"
"COG2872",NA,-1.5,747.938108315639,0.18989393306748,"2","1"
"COG2877",-1.5,NA,1610.61938286872,0.204630807316877,"3","1"
"COG2882",NA,-1.5,38.6339587268403,2.35885691229554,"1","3"
"COG2912",-1.5,NA,60.3442268218551,1.97647224811813,"1","3"
"COG2926",NA,-1.5,45.1218425409775,1.97216963493475,"1","3"
"COG2949",NA,-1.5,364.234675049783,0.60764561380825,"2","2"
"COG2959",-1.5,NA,44.6281590185582,2.25043602636776,"1","3"
"COG2962",NA,-1.5,231.97749395917,0.435645022588186,"2","2"
"COG2967",-1.5,NA,44.4189320756101,2.22585558052373,"1","3"
"COG2972",NA,-1.5,16387.9025279667,0.193764182245405,"3","1"
"COG2978",NA,-1.5,1363.27775783764,0.312710185865965,"2","2"
"COG2982",-1.5,NA,271.820011207376,1.98191993585268,"2","3"
"COG2988",NA,-1.5,44.4146801838949,2.55492222931668,"1","3"
"COG3007",-1.5,NA,155.816866900075,1.11180752018515,"2","3"
"COG3008",-1.5,NA,261.653308730706,1.30368723953525,"2","3"
