"","DLF008","NLM016","NLM022","DLF006","DOF004","NOM029"
"COG0001",0,1,1,6,5,0
"COG0002",3,1,3,7,8,5
"COG0003",2,0,0,1,0,0
"COG0004",3,2,9,6,4,8
"COG0005",3,1,3,6,4,1
"COG0006",11,19,9,11,12,7
"COG0007",2,0,3,1,1,1
"COG0008",11,19,12,11,11,11
"COG0009",3,6,9,3,2,3
"COG0010",3,5,0,3,4,0
"COG0011",0,0,0,0,0,0
"COG0012",3,6,4,6,5,7
"COG0013",2,9,12,9,15,5
"COG0014",4,4,4,12,5,5
"COG0015",7,4,7,4,6,6
"COG0016",5,4,3,3,6,3
"COG0017",4,5,4,8,5,8
"COG0018",4,5,8,5,14,3
"COG0019",5,11,8,2,11,8
"COG0020",5,6,5,1,2,1
"COG0021",4,8,3,5,7,9
"COG0022",5,0,0,1,0,0
"COG0023",1,1,2,1,0,0
"COG0024",3,12,7,6,5,6
"COG0025",0,0,4,1,3,1
"COG0026",0,0,0,0,0,0
"COG0027",2,4,2,2,0,1
"COG0028",4,4,5,15,10,16
"COG0029",3,4,6,7,7,6
"COG0030",1,11,6,7,13,5
"COG0031",5,7,7,12,7,5
"COG0033",0,0,0,0,1,1
"COG0034",12,14,9,8,6,7
"COG0035",3,5,2,3,5,2
"COG0036",6,6,6,4,3,4
"COG0037",2,9,18,8,10,10
"COG0038",4,6,8,11,6,8
"COG0039",2,6,10,12,5,5
"COG0040",2,4,3,2,1,3
"COG0041",3,3,4,2,0,2
"COG0042",7,4,7,4,7,9
"COG0043",3,0,0,0,2,1
"COG0044",9,6,7,9,6,5
"COG0045",3,0,0,0,1,1
"COG0046",13,22,12,13,17,11
"COG0047",9,16,12,4,3,6
"COG0048",1,2,1,2,1,3
"COG0049",3,1,2,6,1,3
"COG0050",6,9,11,4,7,4
"COG0051",4,0,0,3,1,2
"COG0052",3,5,0,8,2,2
"COG0053",2,6,3,8,4,5
"COG0054",1,3,4,1,4,4
"COG0055",5,8,9,3,4,9
"COG0056",4,10,11,5,7,6
"COG0057",6,8,11,6,5,2
"COG0058",0,3,8,12,18,8
"COG0059",3,5,3,6,4,8
"COG0060",13,15,17,11,11,12
"COG0061",5,4,4,3,4,6
"COG0062",4,2,3,3,8,4
"COG0063",3,8,6,4,4,2
"COG0064",1,1,5,1,3,3
"COG0065",4,5,7,4,4,5
"COG0066",2,3,2,9,4,4
"COG0067",6,15,18,6,12,14
"COG0068",0,0,0,0,0,0
"COG0069",3,10,22,7,7,10
"COG0070",5,12,8,6,4,9
"COG0071",1,10,2,8,1,7
"COG0072",8,8,13,14,11,6
"COG0073",19,26,20,13,15,16
"COG0074",1,0,2,0,0,3
"COG0075",2,1,1,2,4,6
"COG0076",1,0,1,3,4,3
"COG0077",2,2,1,8,2,4
"COG0078",3,8,7,7,3,8
"COG0079",7,3,11,7,5,10
"COG0080",0,1,0,0,1,2
"COG0081",2,3,2,4,4,6
"COG0082",3,1,4,6,5,4
"COG0083",0,0,0,1,1,2
"COG0084",8,2,7,2,5,10
"COG0085",15,21,16,12,10,15
"COG0086",9,38,20,16,11,16
"COG0087",3,4,1,4,1,3
"COG0088",2,5,3,8,1,1
"COG0089",3,0,4,0,1,0
"COG0090",2,7,2,2,6,1
"COG0091",1,0,3,4,2,2
"COG0092",5,4,2,3,1,2
"COG0093",2,3,0,0,0,1
"COG0094",2,3,2,4,5,2
"COG0095",2,0,0,3,0,0
"COG0096",4,1,2,0,3,0
"COG0097",0,3,2,5,1,4
"COG0098",1,3,5,5,2,5
"COG0099",2,5,2,1,1,3
"COG0100",2,3,2,2,2,2
"COG0101",6,0,5,4,4,7
"COG0102",5,4,3,2,6,6
"COG0103",4,5,2,1,1,1
"COG0104",4,9,12,3,3,7
"COG0105",1,0,0,2,0,1
"COG0106",0,6,4,4,4,1
"COG0107",1,1,4,1,3,6
"COG0108",2,10,4,6,2,5
"COG0109",0,0,0,0,0,0
"COG0110",18,7,12,23,11,19
"COG0111",5,2,10,8,6,7
"COG0112",5,4,7,8,6,3
"COG0113",4,0,1,1,3,2
"COG0114",0,0,1,1,1,1
"COG0115",6,7,7,6,7,8
"COG0116",0,2,5,1,0,2
"COG0117",2,7,3,2,3,0
"COG0118",1,1,5,1,6,6
"COG0119",5,15,12,10,18,11
"COG0120",2,0,0,0,2,1
"COG0121",0,0,0,0,1,0
"COG0122",0,0,0,2,1,2
"COG0123",0,0,0,1,0,0
"COG0124",5,5,6,4,5,4
"COG0125",0,1,1,2,1,0
"COG0126",4,3,10,5,1,7
"COG0127",2,6,1,2,1,2
"COG0128",2,8,4,3,4,4
"COG0129",10,10,6,7,13,6
"COG0130",3,8,3,4,2,6
"COG0131",1,3,5,4,3,5
"COG0132",0,0,1,0,1,2
"COG0133",4,4,7,1,3,4
"COG0134",2,2,2,0,3,2
"COG0135",2,0,3,1,0,1
"COG0136",3,4,2,0,5,5
"COG0137",4,10,8,2,9,6
"COG0138",8,11,1,5,5,15
"COG0139",6,1,6,4,1,2
"COG0140",5,3,2,4,2,7
"COG0141",3,6,4,1,4,2
"COG0142",7,13,7,4,10,5
"COG0143",2,12,7,6,6,5
"COG0144",2,6,6,0,6,5
"COG0145",0,0,0,2,0,0
"COG0146",0,0,0,0,0,0
"COG0147",6,3,7,4,8,9
