"","DOF008","DOM023","NLF015","NLF007","DLM027","DOM019"
"COG0001",2,0,0,2,1,2
"COG0002",5,7,3,1,2,4
"COG0003",0,1,2,0,1,1
"COG0004",5,2,5,11,8,7
"COG0005",5,3,3,4,1,1
"COG0006",12,13,13,6,10,13
"COG0007",0,0,0,2,0,2
"COG0008",13,14,13,15,13,17
"COG0009",7,8,5,5,3,5
"COG0010",4,2,0,1,1,3
"COG0011",0,0,0,0,2,0
"COG0012",4,12,2,4,8,7
"COG0013",15,13,12,12,15,8
"COG0014",7,7,6,5,6,5
"COG0015",5,7,6,13,8,6
"COG0016",5,5,7,2,5,2
"COG0017",13,8,13,6,7,5
"COG0018",9,7,10,8,4,9
"COG0019",10,5,9,7,13,8
"COG0020",1,5,0,1,2,2
"COG0021",5,6,5,8,9,7
"COG0022",0,1,4,1,0,0
"COG0023",0,1,0,0,0,1
"COG0024",5,10,9,2,12,7
"COG0025",1,1,0,2,4,0
"COG0026",3,0,0,0,3,0
"COG0027",1,5,2,3,2,3
"COG0028",14,15,9,15,24,17
"COG0029",5,6,6,4,5,5
"COG0030",15,3,5,6,3,3
"COG0031",9,3,10,5,6,8
"COG0033",1,0,0,0,2,0
"COG0034",8,16,12,6,8,13
"COG0035",7,4,2,7,2,3
"COG0036",3,7,2,3,2,2
"COG0037",14,6,11,10,13,14
"COG0038",4,8,12,8,10,9
"COG0039",8,10,9,13,12,9
"COG0040",5,5,1,1,1,1
"COG0041",5,2,2,3,0,3
"COG0042",7,4,7,2,11,11
"COG0043",1,0,1,0,2,1
"COG0044",6,7,7,6,8,6
"COG0045",1,0,0,0,1,0
"COG0046",14,17,14,16,17,9
"COG0047",8,8,8,13,15,11
"COG0048",4,2,2,1,1,1
"COG0049",1,1,1,3,5,4
"COG0050",0,7,2,14,6,5
"COG0051",1,3,3,3,1,4
"COG0052",6,0,3,3,4,5
"COG0053",6,6,1,4,2,7
"COG0054",0,5,2,2,0,0
"COG0055",7,9,5,10,12,5
"COG0056",5,13,5,13,14,11
"COG0057",6,8,6,5,10,5
"COG0058",15,7,6,19,12,10
"COG0059",2,6,2,5,5,3
"COG0060",10,22,15,21,12,9
"COG0061",4,2,3,5,5,1
"COG0062",2,6,2,3,7,4
"COG0063",3,5,1,6,5,4
"COG0064",6,1,2,4,7,4
"COG0065",6,4,7,2,8,4
"COG0066",4,3,3,1,2,2
"COG0067",11,13,7,15,10,8
"COG0068",4,2,0,1,4,1
"COG0069",8,16,12,11,5,12
"COG0070",8,10,8,11,13,11
"COG0071",3,8,0,3,4,3
"COG0072",9,11,3,9,6,10
"COG0073",15,24,9,5,4,5
"COG0074",3,1,0,0,1,1
"COG0075",3,11,3,3,3,4
"COG0076",0,1,2,0,0,2
"COG0077",4,2,6,3,5,2
"COG0078",8,4,4,6,10,3
"COG0079",8,5,6,7,11,4
"COG0080",4,2,1,2,2,1
"COG0081",2,1,5,7,5,2
"COG0082",4,1,1,9,5,1
"COG0083",3,1,1,2,3,0
"COG0084",5,7,7,1,2,1
"COG0085",18,23,14,29,19,17
"COG0086",18,18,15,16,12,27
"COG0087",3,6,2,1,3,1
"COG0088",6,1,6,3,5,5
"COG0089",0,0,3,2,1,3
"COG0090",3,4,2,4,9,5
"COG0091",2,3,3,6,1,3
"COG0092",6,2,6,4,3,3
"COG0093",1,2,0,4,1,2
"COG0094",3,3,0,1,0,4
"COG0095",2,3,3,2,2,1
"COG0096",1,4,0,0,3,3
"COG0097",2,2,0,2,7,1
"COG0098",1,2,2,4,5,1
"COG0099",5,2,1,4,2,2
"COG0100",2,1,1,3,3,2
"COG0101",6,3,2,4,5,4
"COG0102",0,0,3,6,2,1
"COG0103",2,2,1,1,1,5
"COG0104",9,9,8,3,6,9
"COG0105",0,1,2,0,2,2
"COG0106",3,4,4,6,6,1
"COG0107",3,1,3,3,4,3
"COG0108",3,7,3,4,2,1
"COG0109",0,0,0,0,0,0
"COG0110",7,7,9,17,4,22
"COG0111",9,6,7,6,8,8
"COG0112",7,4,4,3,3,4
"COG0113",1,0,0,2,0,0
"COG0114",1,1,2,1,0,1
"COG0115",9,4,2,9,8,5
"COG0116",6,3,3,0,4,2
"COG0117",8,1,7,3,3,2
"COG0118",2,4,2,6,1,4
"COG0119",9,14,14,13,6,19
"COG0120",1,0,1,1,1,0
"COG0121",0,0,0,0,0,0
"COG0122",2,1,0,1,3,0
"COG0123",0,2,0,0,0,0
"COG0124",10,6,4,4,6,12
"COG0125",3,0,2,4,5,2
"COG0126",6,7,5,8,4,13
"COG0127",6,1,1,2,5,6
"COG0128",5,4,4,5,7,12
"COG0129",10,6,13,12,8,7
"COG0130",8,5,2,0,4,3
"COG0131",2,6,4,1,0,1
"COG0132",0,0,1,1,3,3
"COG0133",5,4,1,1,5,4
"COG0134",6,3,7,1,0,1
"COG0135",0,4,0,2,3,1
"COG0136",7,2,5,8,14,13
"COG0137",4,5,5,3,3,5
"COG0138",4,12,10,7,12,6
"COG0139",3,5,0,3,3,1
"COG0140",1,3,0,0,1,1
"COG0141",4,9,7,4,3,5
"COG0142",4,17,5,7,11,9
"COG0143",13,10,9,9,9,9
"COG0144",10,3,6,12,8,9
"COG0145",0,0,0,0,0,0
"COG0146",0,0,0,0,0,0
"COG0147",4,5,7,1,1,1
"COG0148",4,7,11,7,5,8
"COG0149",6,3,4,2,2,5
"COG0150",7,3,1,7,7,2
"COG0151",9,6,4,5,8,3
"COG0152",4,3,3,7,3,7
"COG0153",3,3,3,3,8,2
"COG0154",6,0,2,4,4,2
"COG0155",0,0,2,0,0,0
"COG0156",0,5,8,12,3,7
"COG0157",4,7,5,2,0,6
"COG0158",0,0,0,0,0,0
"COG0159",0,0,0,3,5,2
"COG0160",4,0,1,1,2,1
"COG0161",1,1,1,3,1,1
"COG0162",11,3,5,5,6,4
"COG0163",1,1,0,0,0,0
"COG0164",5,0,1,2,1,0
"COG0165",8,6,7,6,10,4
"COG0166",5,6,7,8,7,6
"COG0167",5,4,7,5,7,8
"COG0168",19,12,17,17,14,21
"COG0169",5,1,5,7,2,1
"COG0170",0,0,0,0,0,0
"COG0171",10,7,10,7,9,4
"COG0172",8,5,4,1,2,1
"COG0173",10,11,10,11,6,7
"COG0174",7,2,3,3,12,5
"COG0175",1,0,1,1,4,5
"COG0176",6,1,3,0,4,1
"COG0177",3,1,0,5,5,5
"COG0178",17,22,15,24,13,7
"COG0179",5,0,3,1,1,3
"COG0180",10,2,4,8,5,10
"COG0181",1,0,0,1,2,0
"COG0182",1,0,1,0,0,3
"COG0183",5,1,1,2,2,1
"COG0184",0,0,2,2,2,4
"COG0185",2,2,2,2,1,2
"COG0186",5,2,2,1,1,1
"COG0187",25,17,15,13,18,16
"COG0188",27,17,20,25,19,15
"COG0189",2,0,2,0,1,0
"COG0190",3,4,3,3,4,7
"COG0191",12,7,8,6,5,5
"COG0192",7,6,2,5,6,10
"COG0193",2,6,3,2,3,1
"COG0194",5,3,2,8,7,4
"COG0195",5,8,7,7,10,3
"COG0196",4,2,4,5,6,3
"COG0197",1,3,2,5,6,2
"COG0198",4,1,2,1,3,3
"COG0199",0,0,0,1,0,2
"COG0200",1,0,0,1,1,3
"COG0201",7,7,4,8,7,11
"COG0202",6,4,5,9,4,3
"COG0203",4,3,2,3,2,5
"COG0204",5,6,14,3,4,10
"COG0205",13,12,26,20,17,19
"COG0206",4,3,3,2,4,6
"COG0207",2,6,4,4,2,3
"COG0208",4,0,1,1,2,1
"COG0209",6,7,9,6,7,5
"COG0210",24,12,19,25,9,23
"COG0211",0,2,1,2,1,0
"COG0212",0,2,1,2,2,1
"COG0213",4,0,0,4,1,2
"COG0214",1,2,0,2,4,0
"COG0215",5,7,6,5,7,2
"COG0216",4,2,1,6,7,2
"COG0217",3,6,4,2,1,6
"COG0218",1,1,0,2,5,1
"COG0219",4,1,1,3,2,0
"COG0220",5,2,2,0,0,0
"COG0221",1,0,0,2,0,0
"COG0222",0,1,1,3,2,2
"COG0223",4,3,4,3,8,5
"COG0224",7,6,5,11,4,4
"COG0225",1,0,2,0,0,0
"COG0226",3,3,2,3,7,6
"COG0227",0,1,0,1,2,0
"COG0228",1,1,3,1,1,2
"COG0229",0,0,2,0,0,0
"COG0230",0,0,1,0,1,0
"COG0231",4,6,2,2,4,7
"COG0232",4,10,2,4,5,7
"COG0233",0,4,5,5,2,2
"COG0234",1,2,1,3,0,2
"COG0235",4,4,9,2,1,9
"COG0236",9,3,2,3,2,2
"COG0237",7,3,1,4,2,3
"COG0238",0,0,1,0,2,0
"COG0239",3,1,2,1,4,0
"COG0240",9,9,3,1,1,1
"COG0241",0,3,5,2,3,3
"COG0242",3,1,3,2,2,4
"COG0243",2,0,4,0,3,2
"COG0244",3,9,2,1,5,3
