"","NOF007","NLF015","NOF013","DOM008","DOF012","DOF011"
"COG0001",50,100,94,97,156,149
"COG0002",467,413,401,441,367,498
"COG0003",123,90,149,28,9,67
"COG0004",453,498,526,253,364,950
"COG0005",238,211,294,196,127,216
"COG0006",1202,1342,1198,1337,1052,1515
"COG0007",102,95,45,73,95,137
"COG0008",1189,1095,1133,1073,1301,1344
"COG0009",600,481,523,593,636,542
"COG0010",54,178,95,315,164,81
"COG0011",4,0,7,14,56,3
"COG0012",513,402,439,444,640,406
"COG0013",989,1197,960,949,1137,1034
"COG0014",540,595,525,501,444,649
"COG0015",633,459,543,527,781,690
"COG0016",510,495,400,487,543,554
"COG0017",706,708,601,526,634,536
"COG0018",884,782,744,718,821,957
"COG0019",822,684,879,998,817,1234
"COG0020",230,204,235,315,441,493
"COG0021",304,458,378,463,334,900
"COG0022",43,373,239,336,105,8
"COG0023",133,110,87,163,19,41
"COG0024",699,668,608,527,533,850
"COG0025",37,58,30,76,490,24
"COG0026",13,7,5,18,194,3
"COG0027",251,248,158,315,158,271
"COG0028",1100,1179,1104,1296,1653,787
"COG0029",604,578,500,353,224,386
"COG0030",514,218,377,466,1564,573
"COG0031",537,682,594,357,326,357
"COG0033",5,4,0,28,136,1
"COG0034",778,1069,867,864,658,1059
"COG0035",476,368,350,360,394,387
"COG0036",293,265,307,213,603,719
"COG0037",1069,792,920,875,808,690
"COG0038",551,690,602,958,1148,691
"COG0039",763,771,551,689,1083,921
"COG0040",378,255,326,375,304,395
"COG0041",271,210,192,158,173,172
"COG0042",831,754,731,785,763,627
"COG0043",54,82,42,29,142,64
"COG0044",615,571,596,666,798,687
"COG0045",32,99,79,120,81,58
"COG0046",1171,1221,1149,1090,805,1508
"COG0047",1091,843,956,768,657,1247
"COG0048",189,118,107,134,332,194
"COG0049",251,218,251,155,315,205
"COG0050",649,654,431,523,787,689
"COG0051",236,172,166,132,170,87
"COG0052",320,270,241,195,288,264
"COG0053",428,307,374,363,332,369
"COG0054",230,194,169,209,199,295
"COG0055",563,645,601,474,594,691
"COG0056",659,808,644,561,707,901
"COG0057",357,445,384,379,455,573
"COG0058",1340,835,1103,886,883,1548
"COG0059",431,473,452,466,428,446
"COG0060",977,1055,990,1062,1054,1018
"COG0061",369,365,388,361,533,405
"COG0062",434,244,377,392,334,504
"COG0063",297,225,306,442,531,508
"COG0064",184,114,181,79,483,127
"COG0065",401,697,565,624,400,433
"COG0066",177,158,172,284,218,333
"COG0067",878,1074,1163,751,484,911
"COG0068",61,48,19,142,246,285
"COG0069",833,1109,1109,732,581,916
"COG0070",793,1017,982,686,619,744
"COG0071",340,217,284,256,490,555
"COG0072",413,502,512,624,856,849
"COG0073",1359,1419,1348,1328,1444,1833
"COG0074",52,111,77,181,93,93
"COG0075",482,268,184,392,150,458
"COG0076",222,435,301,266,151,78
"COG0077",313,399,405,330,342,372
"COG0078",540,473,505,534,627,519
"COG0079",1501,729,922,1079,808,709
"COG0080",249,160,205,198,343,300
"COG0081",377,294,286,287,491,293
"COG0082",320,339,371,305,312,465
"COG0083",37,41,66,24,214,54
"COG0084",414,386,343,693,682,539
"COG0085",1792,1555,1501,1374,1470,2153
"COG0086",1350,1568,1526,1357,1437,1698
"COG0087",333,242,249,264,494,314
"COG0088",368,249,230,215,310,266
"COG0089",215,136,182,128,251,193
"COG0090",249,297,295,191,337,291
"COG0091",255,201,211,165,237,228
"COG0092",376,190,212,215,296,301
"COG0093",155,148,135,138,280,122
"COG0094",361,246,247,310,443,344
"COG0095",36,182,117,204,123,117
"COG0096",168,142,180,174,395,274
"COG0097",247,235,258,194,368,377
"COG0098",322,256,235,257,391,411
"COG0099",155,134,121,148,308,255
"COG0100",220,133,163,156,343,250
"COG0101",418,341,415,187,432,211
"COG0102",238,158,168,183,333,303
"COG0103",265,177,170,227,321,366
"COG0104",643,561,593,467,633,669
"COG0105",69,75,85,94,128,84
"COG0106",355,258,327,305,266,318
"COG0107",313,233,317,258,285,246
"COG0108",464,545,386,436,277,635
"COG0109",1,4,0,8,12,1
"COG0110",1544,1622,1765,2303,1448,1426
"COG0111",678,737,721,752,697,747
"COG0112",613,438,423,442,381,673
"COG0113",41,72,34,51,109,123
"COG0114",25,38,21,124,290,3
"COG0115",585,505,580,521,637,804
"COG0116",352,226,385,240,424,414
"COG0117",401,480,341,379,288,499
"COG0118",282,204,264,235,208,258
"COG0119",942,959,1156,1051,599,1108
"COG0120",38,45,74,132,337,10
"COG0121",2,4,2,11,26,1
"COG0122",109,88,127,56,57,42
"COG0123",27,15,7,7,76,2
"COG0124",578,585,480,623,646,590
"COG0125",61,145,81,38,281,99
"COG0126",441,369,403,428,543,463
"COG0127",359,195,288,232,444,312
"COG0128",443,369,407,341,410,613
"COG0129",561,567,550,885,632,990
"COG0130",307,254,306,212,460,404
"COG0131",285,343,301,305,210,315
"COG0132",167,202,119,213,201,102
"COG0133",308,404,336,406,369,659
"COG0134",257,214,221,253,357,473
"COG0135",111,132,123,119,225,267
"COG0136",418,310,342,364,582,524
"COG0137",554,557,460,451,401,706
"COG0138",637,961,814,821,554,747
"COG0139",405,220,269,296,243,311
"COG0140",382,204,233,193,118,182
"COG0141",271,299,270,441,381,515
"COG0142",633,759,632,801,795,1119
"COG0143",771,784,742,624,747,1075
"COG0144",720,505,561,386,553,366
"COG0145",72,49,21,49,174,15
"COG0146",5,6,4,1,0,3
"COG0147",703,688,548,856,535,1067
"COG0148",613,810,589,783,878,439
"COG0149",411,313,364,285,466,244
"COG0150",460,371,381,376,398,379
"COG0151",477,502,453,354,424,637
"COG0152",488,374,382,422,343,351
"COG0153",366,271,371,399,461,599
"COG0154",231,129,257,75,518,148
"COG0155",18,20,10,57,219,24
"COG0156",988,990,648,1050,371,870
"COG0157",348,379,272,334,202,421
"COG0158",13,13,3,23,24,3
"COG0159",184,204,155,304,231,424
"COG0160",23,23,45,27,59,107
"COG0161",377,512,312,458,213,201
"COG0162",485,612,496,509,625,666
"COG0163",27,42,16,16,112,48
"COG0164",288,251,259,243,390,410
"COG0165",562,555,578,559,460,645
"COG0166",672,614,542,591,652,662
"COG0167",583,678,571,751,688,550
"COG0168",1429,1088,1297,853,635,759
"COG0169",424,339,311,421,396,431
"COG0171",561,694,666,473,587,829
"COG0172",537,482,522,454,650,500
"COG0173",686,681,622,511,764,709
"COG0174",347,428,382,391,825,189
"COG0175",442,284,314,480,104,116
"COG0176",185,177,164,305,474,150
"COG0177",285,269,303,268,355,291
"COG0178",1527,1806,1478,1613,1461,2122
"COG0179",254,235,220,257,235,337
"COG0180",531,405,441,482,668,474
"COG0181",57,67,42,48,157,35
"COG0182",77,40,42,53,100,6
"COG0183",185,180,154,170,403,187
"COG0184",229,121,147,180,239,206
"COG0185",203,109,133,162,274,159
"COG0186",109,111,120,104,256,191
"COG0187",1516,1433,1464,1237,1620,1789
"COG0188",1848,1519,1758,1433,1698,2204
"COG0189",49,113,143,51,43,5
"COG0190",372,491,333,422,536,483
"COG0191",547,433,513,537,646,957
"COG0192",650,618,476,512,636,865
"COG0193",291,226,262,217,371,222
"COG0194",484,309,311,369,628,211
"COG0195",544,497,489,455,620,740
"COG0196",285,289,396,260,459,435
"COG0197",315,200,232,243,359,311
"COG0198",214,128,126,151,251,182
"COG0199",99,72,51,131,174,117
