"","NOM026","DLF006","DLM017","DLM009","DLM012","NLM009"
"COG0001",212,249,183,305,68,73
"COG0002",402,410,494,521,480,523
"COG0003",6,88,4,22,12,10
"COG0004",533,364,772,772,601,875
"COG0005",163,245,265,102,73,415
"COG0006",979,1184,1273,1103,889,1442
"COG0007",349,118,135,185,149,92
"COG0008",1121,1260,1653,1306,1415,2043
"COG0009",553,528,471,570,542,342
"COG0010",253,223,127,104,106,49
"COG0011",13,3,1,0,195,2
"COG0012",500,468,697,613,497,553
"COG0013",807,897,1351,1030,1234,1195
"COG0014",476,456,610,513,579,337
"COG0015",631,549,714,639,821,956
"COG0016",428,508,477,560,542,367
"COG0017",530,587,741,503,270,669
"COG0018",845,771,958,535,654,493
"COG0019",859,731,966,969,953,1148
"COG0020",416,381,398,388,478,547
"COG0021",398,447,660,630,614,715
"COG0022",82,139,68,5,39,10
"COG0023",74,106,61,22,20,22
"COG0024",695,645,645,555,511,651
"COG0025",292,68,52,143,963,27
"COG0026",87,63,18,392,377,7
"COG0027",141,167,246,45,381,336
"COG0028",1212,958,1114,1070,1767,1460
"COG0029",442,423,586,609,344,537
"COG0030",580,705,684,807,895,863
"COG0031",587,544,618,687,636,410
"COG0033",16,36,0,56,525,1
"COG0034",672,801,1250,700,866,1406
"COG0035",416,437,456,344,420,541
"COG0036",537,396,441,582,417,473
"COG0037",1082,939,956,1135,902,1044
"COG0038",904,732,757,668,1431,737
"COG0039",608,675,682,778,1075,675
"COG0040",251,296,411,316,377,489
"COG0041",260,252,299,288,301,296
"COG0042",960,652,780,902,759,603
"COG0043",156,171,41,70,87,9
"COG0044",602,688,669,920,803,670
"COG0045",108,63,52,93,376,9
"COG0046",925,1010,1571,1105,1383,1687
"COG0047",768,857,1401,820,1215,1421
"COG0048",261,255,228,242,216,390
"COG0049",339,378,245,370,334,192
"COG0050",879,676,741,808,640,933
"COG0051",234,303,181,219,254,179
"COG0052",342,400,419,384,414,544
"COG0053",573,509,497,523,446,495
"COG0054",221,260,288,135,72,334
"COG0055",766,530,738,906,878,681
"COG0056",898,600,861,865,920,847
"COG0057",511,579,593,594,564,608
"COG0058",1494,1057,1351,1587,1577,1280
"COG0059",462,455,504,343,894,468
"COG0060",1059,1000,1267,1409,1274,1250
"COG0061",363,423,359,419,468,379
"COG0062",303,322,545,472,473,696
"COG0063",353,366,644,621,580,705
"COG0064",235,209,280,679,712,132
"COG0065",545,527,567,713,612,623
"COG0066",310,299,278,299,393,229
"COG0067",658,655,1173,1672,1285,946
"COG0068",191,97,128,294,80,40
"COG0069",700,707,1336,1770,1241,1021
"COG0070",607,609,1137,1674,1293,944
"COG0071",531,410,356,469,304,431
"COG0072",692,768,947,907,1033,1048
"COG0073",925,1127,1291,1898,1456,1895
"COG0074",86,135,62,94,310,16
"COG0075",355,233,207,121,125,634
"COG0076",116,273,192,70,175,24
"COG0077",200,234,291,300,483,364
"COG0078",537,610,554,478,597,426
"COG0079",639,562,555,1294,738,754
"COG0080",354,313,286,321,308,500
"COG0081",428,456,464,291,322,394
"COG0082",387,388,426,554,523,341
"COG0083",142,92,49,191,382,39
"COG0084",624,582,543,523,616,427
"COG0085",1563,1466,1849,1458,1955,2005
"COG0086",1347,1434,2159,1919,1816,2237
"COG0087",423,452,409,402,516,469
"COG0088",388,437,427,445,386,459
"COG0089",271,286,209,245,254,234
"COG0090",419,397,430,508,493,553
