"","DLM014","NLM027","DLF003","DOM015","NLF002","NOM010"
"COG0001",100,167,105,310,132,130
"COG0002",418,325,431,482,455,419
"COG0003",37,6,14,42,42,96
"COG0004",376,477,678,415,614,531
"COG0005",304,236,370,313,215,243
"COG0006",1335,1132,1188,1219,1107,1456
"COG0007",68,235,58,113,223,101
"COG0008",1345,1093,1792,1334,1242,1325
"COG0009",592,442,472,687,552,539
"COG0010",135,203,92,159,154,95
"COG0011",6,21,4,57,1,9
"COG0012",562,652,581,444,505,471
"COG0013",1335,1064,1290,1114,1124,1222
"COG0014",532,533,468,608,554,590
"COG0015",643,678,788,659,701,587
"COG0016",508,455,581,474,565,502
"COG0017",714,663,557,525,554,584
"COG0018",926,947,904,942,887,848
"COG0019",1026,971,949,821,1197,950
"COG0020",379,423,533,384,355,351
"COG0021",661,543,500,449,568,507
"COG0022",154,244,25,168,202,137
"COG0023",121,7,24,75,92,118
"COG0024",680,492,895,598,750,688
"COG0025",91,572,139,38,138,91
"COG0026",45,356,13,7,11,21
"COG0027",317,38,219,242,189,200
"COG0028",1040,1999,953,1375,1275,1123
"COG0029",644,220,483,653,532,536
"COG0030",498,879,654,680,588,631
"COG0031",541,718,651,650,616,673
"COG0033",8,73,1,3,0,1
"COG0034",1155,925,1192,981,852,957
"COG0035",366,400,464,380,346,411
"COG0036",295,491,479,271,532,320
"COG0037",955,1069,1174,994,1052,1019
"COG0038",1070,993,640,1065,719,769
"COG0039",254,261,176,754,906,712
"COG0040",308,183,364,384,343,291
"COG0041",288,292,300,260,282,266
"COG0042",751,788,647,841,873,740
"COG0043",66,133,20,61,85,41
"COG0044",676,747,641,727,803,697
"COG0045",43,25,30,28,101,36
"COG0046",1269,1433,1323,1299,1243,1312
"COG0047",1175,1064,1182,1099,1042,1244
"COG0048",182,307,281,157,196,205
"COG0049",254,383,385,246,339,312
"COG0050",677,637,857,601,655,666
"COG0051",212,234,214,207,252,231
"COG0052",346,361,426,327,307,341
"COG0053",501,512,513,511,549,493
"COG0054",221,83,343,173,201,211
"COG0055",776,796,743,713,757,727
"COG0056",803,959,931,842,922,860
"COG0057",486,533,737,378,410,406
"COG0058",1220,1797,1398,1359,1268,1334
"COG0059",426,508,442,481,476,425
"COG0060",1415,1499,1608,364,375,391
