"","DOM026","DLF007","NLM031","NOM002","NLM023","NOF005"
"COG0001",195,104,290,359,135,137
"COG0002",430,370,424,470,377,415
"COG0003",139,157,25,69,68,99
"COG0004",599,248,535,710,355,537
"COG0005",213,264,280,236,193,262
"COG0006",1305,1263,1332,1017,1200,1281
"COG0007",203,84,91,158,44,41
"COG0008",1102,903,1319,1333,1033,1233
"COG0009",605,556,585,571,440,609
"COG0010",99,163,91,161,323,123
"COG0011",8,15,3,9,9,11
"COG0012",383,337,525,453,465,506
"COG0013",1030,765,1220,1074,943,1161
"COG0014",515,328,559,505,534,492
"COG0015",586,550,605,673,540,614
"COG0016",390,384,542,167,185,155
"COG0017",632,538,735,504,671,787
"COG0018",797,627,767,881,727,896
"COG0019",978,765,970,1177,877,1000
"COG0020",341,331,361,436,278,333
"COG0021",356,400,443,537,364,367
"COG0022",36,240,138,29,327,112
"COG0023",77,158,109,41,106,106
"COG0024",715,631,640,749,652,689
"COG0025",34,65,100,187,82,66
"COG0026",5,5,5,56,41,13
"COG0027",178,258,157,89,192,189
"COG0028",1155,1027,1244,1489,1056,1225
"COG0029",630,473,572,540,519,557
"COG0030",788,848,578,626,604,671
"COG0031",556,447,697,481,532,555
"COG0033",1,8,3,14,18,3
"COG0034",1054,761,907,708,871,960
"COG0035",344,351,400,366,358,467
"COG0036",530,388,336,488,326,373
"COG0037",987,740,1320,1194,812,1106
"COG0038",859,812,808,784,741,773
"COG0039",197,221,274,731,633,651
"COG0040",355,380,341,277,273,353
"COG0041",299,232,278,94,75,92
"COG0042",774,610,658,798,774,756
"COG0043",23,50,96,99,81,65
"COG0044",710,643,722,828,544,680
"COG0045",58,209,11,41,139,51
"COG0046",1181,690,1161,1252,900,1207
"COG0047",969,574,1055,967,690,1073
"COG0048",195,127,179,234,179,145
"COG0049",289,275,286,322,298,298
"COG0050",541,490,487,629,672,692
"COG0051",162,210,199,197,220,247
"COG0052",287,269,354,296,333,318
"COG0053",549,447,446,509,447,559
"COG0054",133,152,207,167,201,206
"COG0055",491,407,802,1138,509,704
"COG0056",636,478,781,1295,613,806
"COG0057",426,289,426,422,455,486
"COG0058",1339,988,1424,1538,1070,1385
"COG0059",432,385,436,512,437,442
"COG0060",956,801,1362,1324,990,1128
"COG0061",351,275,402,389,352,360
"COG0062",420,316,464,458,274,379
"COG0063",414,332,471,519,317,424
"COG0064",328,149,259,403,141,214
"COG0065",513,407,544,765,588,519
"COG0066",315,300,257,306,225,294
"COG0067",1021,612,1050,1439,696,1116
"COG0068",70,57,29,262,88,91
"COG0069",978,605,1108,1368,682,1099
"COG0070",858,600,972,1303,702,1081
"COG0071",476,683,315,386,332,432
"COG0072",743,595,810,894,822,703
"COG0073",1615,1069,1650,1759,1485,1600
"COG0074",48,159,44,59,107,52
"COG0075",197,228,399,347,305,226
"COG0076",189,295,200,111,323,246
"COG0077",357,213,380,433,325,351
"COG0078",593,311,592,716,431,623
"COG0079",884,922,1147,1004,741,918
"COG0080",258,212,242,263,218,270
"COG0081",343,351,302,133,130,139
"COG0082",400,314,470,378,356,405
"COG0083",38,25,52,64,55,70
"COG0084",541,808,505,523,551,526
"COG0085",1652,1431,1474,645,519,684
"COG0086",1089,1031,1549,1323,1641,1360
"COG0087",367,247,327,357,315,423
"COG0088",356,337,319,350,294,327
"COG0089",200,182,185,172,183,249
"COG0090",274,252,346,428,325,399
"COG0091",287,216,208,293,184,257
"COG0092",296,244,284,297,222,311
"COG0093",188,144,201,255,186,218
"COG0094",326,366,272,335,313,385
