"","Sample.1.to.3","Sample.4.to.6","BaseMean","Estimated.dispersion","AbundanceStrata","VariabilityStrata"
"COG0010",NA,-3,1144.40317707375,0.166332189593584,"2","1"
"COG0028",-3,NA,8062.62819269343,0.0443057763615573,"3","1"
"COG0039",NA,-3,4728.27894638177,0.041261676497028,"3","1"
"COG0045",-3,NA,555.769982541403,0.533588106652199,"2","2"
"COG0061",NA,-3,2663.68159976697,0.0230073253997884,"3","1"
"COG0065",NA,-3,3883.35033311039,0.0432352791498935,"3","1"
"COG0066",-3,NA,1894.99518686408,0.0344703661022091,"3","1"
"COG0068",-3,NA,785.137104220522,0.426207701408962,"2","2"
"COG0071",-3,NA,2667.66179063713,0.0706933563629463,"3","1"
"COG0073",-3,NA,11354.9786664254,0.037338090253771,"3","1"
"COG0095",-3,NA,850.611147845087,0.319936973829836,"2","2"
"COG0097",-3,NA,2211.00186589863,0.062754512370219,"3","1"
"COG0101",NA,-3,3171.14893478011,0.0222105870984869,"3","1"
"COG0109",NA,-3,66.9132973090339,2.34030903321733,"1","3"
"COG0159",-3,NA,1981.91162664573,0.053467936763578,"3","1"
"COG0166",NA,-3,4581.21203349924,0.0154842703389797,"3","1"
"COG0174",-3,NA,2861.2888974571,0.0940501827933255,"3","1"
"COG0176",NA,-3,1866.70324493508,0.128176801616617,"3","1"
"COG0177",NA,-3,2280.59733416525,0.0167387180885156,"3","1"
"COG0191",-3,NA,4466.07987277958,0.0720237415558528,"3","1"
"COG0195",-3,NA,4184.38465224936,0.0389536294094853,"3","1"
"COG0208",-3,NA,1224.60288612662,0.22465164735822,"2","1"
"COG0217",NA,-3,2568.48713466818,0.0191927011009946,"3","1"
"COG0235",-3,NA,4232.68649398902,0.0605946966542238,"3","1"
"COG0246",NA,-3,5092.22537017628,0.15052428815553,"3","1"
"COG0251",-3,NA,3218.02097679674,0.0711656764891813,"3","1"
"COG0261",-3,NA,1345.09674470141,0.0418600964605059,"2","1"
"COG0272",-3,NA,6014.26650799809,0.0441008776597114,"3","1"
"COG0274",NA,-3,2667.9310706997,0.0673914585731379,"3","1"
"COG0282",-3,NA,3754.08122509192,0.0564734755673161,"3","1"
"COG0334",-3,NA,6073.27508331945,0.0367487287468622,"3","1"
"COG0340",-3,NA,3072.54354531806,0.0271571629060812,"3","1"
"COG0347",NA,-3,2533.76557120071,0.111285787138366,"3","1"
"COG0350",-3,NA,1953.07458948238,0.0338301827779912,"3","1"
"COG0377",-3,NA,897.449548715256,0.439681856411909,"2","2"
"COG0378",NA,-3,788.743903841173,0.255589316160695,"2","2"
"COG0382",-3,NA,617.426860900638,0.930418763207447,"2","2"
"COG0387",-3,NA,77.1266714466482,1.87650299248581,"1","3"
"COG0390",NA,-3,684.069617408584,0.363520870979049,"2","2"
"COG0410",-3,NA,1212.85330446724,0.155806080874271,"2","1"
"COG0413",-3,NA,1678.7756220959,0.143700725884582,"3","1"
"COG0417",NA,-3,117.443881469754,1.95634297969535,"1","3"
"COG0426",NA,-3,4377.46424624463,0.0211794594674984,"3","1"
"COG0436",-3,NA,16358.7040824117,0.0317268885294778,"3","1"
"COG0441",NA,-3,9225.98091011693,0.0352998639298629,"3","1"
"COG0444",-3,NA,3514.83142541011,0.157853770346125,"3","1"
"COG0504",NA,-3,4825.661853823,0.0236398895720405,"3","1"
"COG0513",NA,-3,9284.99068399281,0.0627363723580141,"3","1"
"COG0531",-3,NA,6528.99514867212,0.248873692067322,"3","2"
"COG0567",-3,NA,275.453962475457,1.10296694398494,"2","2"
"COG0589",NA,-3,4985.29947750784,0.143187838625427,"3","1"
"COG0593",NA,-3,1638.49053084959,0.173362264380704,"3","1"
"COG0594",NA,-3,840.846792298676,0.195041772420896,"2","1"
"COG0610",NA,-3,8563.97560395745,0.157855610450611,"3","1"
"COG0628",-3,NA,7002.73107342996,0.0141241541024618,"3","1"
"COG0685",-3,NA,3399.2227661245,0.0265463049545729,"3","1"
"COG0694",-3,NA,100.725967815198,0.814115420422806,"1","2"
"COG0713",NA,-3,322.285005434438,0.537413535866521,"2","2"
"COG0722",-3,NA,1476.81988912662,0.303760772133896,"2","2"
"COG0749",-3,NA,8319.42957353613,0.148623421039016,"3","1"
"COG0776",-3,NA,3593.6077535998,0.0836107759576847,"3","1"
"COG0785",NA,-3,129.626897408691,1.04875491383009,"1","2"
"COG0786",NA,-3,1472.25336061321,0.156573585841116,"2","1"
"COG0795",-3,NA,3982.96470484705,0.291502719483578,"3","2"
"COG0799",-3,NA,1545.35323988568,0.0516478266563573,"3","1"
"COG0828",NA,-3,277.188738696395,0.205902687664759,"2","1"
"COG0839",NA,-3,1217.29811386044,0.321355431577809,"2","2"
"COG0857",-3,NA,251.272529892517,1.80267351048267,"2","3"
"COG0859",-3,NA,2688.73286867517,0.245511329967641,"3","2"
"COG1008",NA,-3,2249.71850622013,0.385742669647093,"3","2"
"COG1018",NA,-3,323.318138884424,1.25317933476222,"2","3"
"COG1023",NA,-3,23.2632135764168,4.93312141677793,"1","3"
"COG1025",NA,-3,175.29224712514,2.26418200344921,"2","3"
"COG1054",NA,-3,113.113864026152,1.21787025190996,"1","3"
"COG1058",NA,-3,1103.87537282875,0.149532649852189,"2","1"
"COG1064",-3,NA,254.249081345553,1.4144464973818,"2","3"
"COG1066",-3,NA,3715.33188022827,0.0254566560658571,"3","1"
"COG1072",NA,-3,155.682458421346,1.41071647992504,"2","3"
"COG1086",NA,-3,6166.94654726174,0.169415822865724,"3","1"
"COG1098",-3,NA,309.074220284942,0.558840932749577,"2","2"
"COG1105",NA,-3,1526.92750644368,0.206400716213382,"2","1"
"COG1117",-3,NA,2329.56473540555,0.0638867050901028,"3","1"
"COG1125",NA,-3,332.883995803504,0.556126563628863,"2","2"
"COG1135",NA,-3,1450.46354828954,0.209207409523492,"2","1"
"COG1146",-3,NA,834.080051701887,0.0615506521099578,"2","1"
"COG1197",NA,-3,8754.40067911736,0.0441441757091057,"3","1"
"COG1232",-3,NA,1016.78381617761,0.498371525303459,"2","2"
"COG1242",-3,NA,2146.40887635203,0.0478912934363641,"3","1"
"COG1253",-3,NA,8368.87095418665,0.0279322699593541,"3","1"
"COG1261",NA,-3,39.9715007561271,2.51231985856408,"1","3"
"COG1266",-3,NA,3151.42334008517,0.0910002708415561,"3","1"
"COG1267",NA,-3,592.037230291712,0.341615624306079,"2","2"
"COG1304",NA,-3,658.286983862376,0.264917368161092,"2","2"
"COG1317",-3,NA,95.9293743790156,0.620598035325523,"1","2"
"COG1331",-3,NA,54.5347101526023,2.07578745112855,"1","3"
"COG1332",-3,NA,151.07578501627,1.12164600150817,"1","3"
"COG1335",-3,NA,1443.14106689453,0.193670934337199,"2","1"
"COG1343",-3,NA,513.747508713585,0.25407284383551,"2","2"
"COG1347",NA,-3,1059.06493811998,0.359332230457495,"2","2"
"COG1348",-3,NA,347.47489240226,0.372392249960089,"2","2"
"COG1360",NA,-3,1255.30190332441,0.41320288128918,"2","2"
"COG1379",-3,NA,277.438663803556,0.674829699356525,"2","2"
"COG1380",NA,-3,1186.64486950602,0.0648420630250033,"2","1"
"COG1406",NA,-3,104.612876096821,1.70409074989023,"1","3"
"COG1436",-3,NA,133.526687508411,0.407890775698644,"1","2"
"COG1446",-3,NA,512.937984865075,0.474864702695823,"2","2"
"COG1457",NA,-3,945.110130090682,0.392979937288285,"2","2"
