"","NOF006","NLF001","NOF007","DLM015","NLM007","DOM003"
"COG0001",57,69,30,56,64,68
"COG0002",181,218,239,209,238,201
"COG0003",91,11,55,15,25,0
"COG0004",193,240,203,267,117,358
"COG0005",134,98,126,98,110,151
"COG0006",579,609,583,684,645,614
"COG0007",30,75,47,60,53,82
"COG0008",510,560,573,607,675,814
"COG0009",256,271,305,251,307,204
"COG0010",86,119,43,76,88,43
"COG0011",0,0,3,2,6,14
"COG0012",179,224,250,216,283,232
"COG0013",494,554,498,529,620,543
"COG0014",233,238,312,276,327,235
"COG0015",223,284,302,248,354,340
"COG0016",213,251,238,274,240,202
"COG0017",285,340,359,300,385,255
"COG0018",331,400,422,370,531,443
"COG0019",482,515,362,495,468,458
"COG0020",130,167,167,140,175,195
"COG0021",207,219,151,255,230,363
"COG0022",160,140,29,143,33,3
"COG0023",93,50,66,47,50,8
"COG0024",277,317,352,239,250,217
"COG0025",19,23,16,37,50,162
"COG0026",7,14,8,7,11,63
"COG0027",155,79,125,137,132,160
"COG0028",591,544,532,536,615,584
"COG0029",290,230,289,291,311,275
"COG0030",213,333,397,264,293,277
"COG0031",275,347,264,325,311,234
"COG0033",8,0,1,2,3,76
"COG0034",406,439,367,511,423,556
"COG0035",191,214,243,192,231,232
"COG0036",134,191,160,131,135,267
"COG0037",450,463,513,506,525,325
"COG0038",466,396,454,502,463,414
"COG0039",360,414,389,362,300,386
"COG0040",182,174,208,143,163,183
"COG0041",92,141,144,122,145,113
"COG0042",362,345,404,391,427,293
"COG0043",23,44,20,32,21,71
"COG0044",232,276,309,356,363,321
"COG0045",68,46,21,48,20,81
"COG0046",497,573,593,653,668,683
"COG0047",392,540,535,462,554,664
"COG0048",52,74,88,64,75,127
"COG0049",105,151,127,136,121,140
"COG0050",242,312,333,283,398,405
"COG0051",85,127,110,123,85,75
"COG0052",148,131,150,165,156,226
"COG0053",189,216,233,180,246,236
"COG0054",99,114,100,98,105,120
"COG0055",237,360,276,291,388,436
"COG0056",259,437,338,392,489,461
"COG0057",177,209,186,203,239,377
"COG0058",468,643,706,538,579,662
