"","NOF013","NLF002","DLF009","NLM028","NOM009","DLM021"
"COG0001",45,69,103,38,73,43
"COG0002",213,225,146,202,248,256
"COG0003",48,18,6,14,0,19
"COG0004",247,294,118,214,388,278
"COG0005",144,116,118,102,98,166
"COG0006",558,609,411,585,578,643
"COG0007",24,104,114,95,95,33
"COG0008",601,671,573,632,774,692
"COG0009",264,293,229,318,265,290
"COG0010",83,68,80,77,73,111
"COG0011",10,1,20,2,2,1
"COG0012",231,257,205,254,284,283
"COG0013",491,560,445,523,488,629
"COG0014",227,274,177,309,228,303
"COG0015",290,369,255,364,393,297
"COG0016",180,245,200,280,187,268
"COG0017",298,270,221,367,445,336
"COG0018",384,451,330,459,450,455
"COG0019",460,534,346,515,546,474
"COG0020",192,182,109,202,198,156
"COG0021",208,278,337,200,161,214
"COG0022",123,105,53,53,10,82
"COG0023",47,43,34,35,11,56
"COG0024",279,372,215,317,357,321
"COG0025",14,75,157,74,137,23
"COG0026",3,6,98,4,6,22
"COG0027",81,97,116,54,37,91
"COG0028",598,654,815,889,661,591
"COG0029",266,262,221,303,267,290
"COG0030",292,316,293,298,351,253
"COG0031",332,299,275,351,264,297
"COG0033",1,1,103,3,0,1
"COG0034",430,427,303,416,481,520
"COG0035",149,187,119,205,199,204
"COG0036",151,245,204,181,227,139
"COG0037",465,539,375,587,581,568
"COG0038",286,261,307,434,353,489
"COG0039",283,457,277,302,261,356
"COG0040",153,158,140,153,175,185
"COG0041",109,146,99,147,163,116
"COG0042",373,413,434,432,418,405
"COG0043",15,35,102,34,23,36
"COG0044",258,387,340,365,413,326
"COG0045",52,40,131,35,4,35
"COG0046",610,663,448,689,660,797
"COG0047",452,523,369,607,581,677
"COG0048",76,95,100,76,129,72
"COG0049",120,155,118,143,157,107
"COG0050",229,330,364,302,339,307
"COG0051",78,143,114,85,106,89
"COG0052",74,96,117,164,170,154
"COG0053",203,270,240,254,280,198
"COG0054",84,117,118,93,112,124
"COG0055",282,415,247,507,521,367
"COG0056",334,501,264,539,658,425
"COG0057",229,212,322,201,256,228
"COG0058",563,602,634,782,887,652
"COG0059",218,274,186,267,227,284
"COG0060",501,570,489,542,767,632
"COG0061",178,200,164,185,187,226
"COG0062",179,213,181,211,301,236
"COG0063",184,237,190,261,309,257
"COG0064",85,171,128,115,204,58
"COG0065",291,289,224,313,391,266
"COG0066",114,156,146,145,143,143
"COG0067",572,545,333,525,754,667
"COG0068",17,92,174,24,110,31
"COG0069",557,587,294,482,731,623
"COG0070",482,531,296,522,668,567
"COG0071",145,179,148,183,216,120
"COG0072",384,438,319,397,407,453
"COG0073",685,819,546,715,911,772
"COG0074",53,57,177,30,13,31
"COG0075",97,161,99,174,153,198
"COG0076",143,117,260,66,6,97
"COG0077",194,207,179,218,194,210
"COG0078",221,309,358,275,373,310
"COG0079",447,514,366,500,635,564
"COG0080",94,137,113,129,158,82
