"","DLM015","DLF014","DOF014","NOM016","NLM010","NOM007"
"COG0001",67,108,159,50,116,69
"COG0002",216,278,220,227,230,139
"COG0003",11,75,48,28,61,7
"COG0004",253,385,260,298,298,213
"COG0005",107,116,109,143,119,154
"COG0006",662,506,566,484,338,414
"COG0007",63,135,46,44,101,28
"COG0008",613,689,655,632,562,721
"COG0009",273,245,329,292,294,254
"COG0010",101,42,72,87,110,53
"COG0011",0,56,8,0,1,0
"COG0012",225,267,219,267,265,312
"COG0013",547,601,566,599,536,605
"COG0014",302,260,271,315,263,178
"COG0015",190,249,228,268,313,316
"COG0016",256,236,265,267,247,318
"COG0017",268,223,258,327,276,385
"COG0018",382,514,399,432,358,476
"COG0019",509,501,496,520,491,576
"COG0020",143,221,194,176,169,200
"COG0021",165,238,137,225,276,267
"COG0022",146,26,31,120,99,13
"COG0023",73,4,66,41,38,31
"COG0024",201,210,232,307,298,443
"COG0025",36,193,119,52,56,54
"COG0026",1,127,23,8,18,6
"COG0027",139,87,141,120,93,121
"COG0028",559,753,481,571,578,448
"COG0029",301,303,311,278,281,247
"COG0030",271,450,304,359,314,380
"COG0031",309,366,335,315,298,169
"COG0033",5,199,26,3,0,0
"COG0034",530,352,408,505,483,543
"COG0035",195,175,215,180,181,240
"COG0036",149,315,223,157,186,215
"COG0037",501,416,516,490,524,629
"COG0038",486,595,423,475,375,404
"COG0039",373,392,333,336,270,337
"COG0040",157,183,212,151,178,119
"COG0041",109,148,155,118,136,172
"COG0042",384,350,360,448,414,372
"COG0043",30,36,8,24,25,18
"COG0044",336,454,323,307,338,310
"COG0045",20,68,32,19,31,5
"COG0046",653,746,665,706,636,709
"COG0047",497,708,543,623,495,672
"COG0048",68,102,86,90,65,150
"COG0049",134,173,154,129,135,207
"COG0050",289,404,312,265,309,402
"COG0051",87,127,118,113,91,166
"COG0052",185,146,199,158,159,261
"COG0053",191,219,220,259,204,254
"COG0054",94,46,114,85,77,57
"COG0055",274,359,313,293,452,377
"COG0056",371,449,375,408,483,389
"COG0057",200,284,240,170,212,295
"COG0058",557,819,628,617,717,859
"COG0059",216,414,237,219,228,152
