"","NLM009","DLM005","DLF001","NLF008","DOF007","DOM005"
"COG0001",37,88,39,70,25,104
"COG0002",240,201,153,250,186,136
"COG0003",6,61,98,16,30,57
"COG0004",449,223,90,218,103,136
"COG0005",190,146,128,119,170,157
"COG0006",721,597,652,600,609,622
"COG0007",40,64,30,56,30,73
"COG0008",1018,681,383,703,441,512
"COG0009",155,312,240,243,245,230
"COG0010",12,85,72,113,92,117
"COG0011",1,23,0,0,3,1
"COG0012",132,114,95,293,206,255
"COG0013",599,521,372,624,418,379
"COG0014",179,206,176,240,172,203
"COG0015",462,379,232,358,269,268
"COG0016",185,234,194,250,195,190
"COG0017",337,323,255,295,268,246
"COG0018",345,432,304,192,166,160
"COG0019",622,418,361,571,383,325
"COG0020",274,198,128,155,170,181
"COG0021",362,297,192,382,246,195
"COG0022",2,42,148,90,52,104
"COG0023",12,54,77,48,54,51
"COG0024",301,294,280,302,293,288
"COG0025",11,48,22,13,38,44
"COG0026",6,37,0,12,4,2
"COG0027",154,122,145,136,139,99
"COG0028",746,437,514,500,512,552
"COG0029",273,257,217,253,245,229
"COG0030",458,560,138,270,167,145
"COG0031",216,274,213,297,229,283
"COG0033",2,44,2,3,5,16
"COG0034",692,475,363,530,421,343
"COG0035",248,212,145,182,141,127
"COG0036",223,197,147,204,152,101
"COG0037",238,212,176,354,362,379
"COG0038",305,384,432,426,430,446
"COG0039",343,350,315,428,308,263
"COG0040",254,152,189,149,197,140
"COG0041",167,136,83,125,80,67
"COG0042",342,284,320,444,338,312
"COG0043",9,59,24,82,31,60
"COG0044",317,344,213,367,258,288
"COG0045",14,32,87,48,111,138
"COG0046",890,634,367,708,357,382
"COG0047",718,519,344,549,311,377
"COG0048",195,117,50,67,52,54
"COG0049",72,166,112,134,123,92
"COG0050",457,354,227,301,221,217
"COG0051",93,137,83,102,67,75
"COG0052",284,185,114,151,157,172
"COG0053",235,224,209,96,95,99
"COG0054",174,128,67,104,80,111
"COG0055",340,263,161,339,199,185
"COG0056",364,324,191,415,232,271
"COG0057",314,311,139,233,163,176
"COG0058",365,328,344,606,502,367
"COG0059",250,246,177,259,216,179
"COG0060",647,482,415,601,552,484
"COG0061",185,185,144,183,145,206
"COG0062",333,207,140,95,70,89
"COG0063",340,224,161,254,159,164
"COG0064",58,113,31,64,21,45
"COG0065",305,217,158,306,279,205
"COG0066",123,135,108,148,117,91
"COG0067",486,407,267,491,307,420
"COG0068",12,75,36,105,32,38
"COG0069",519,409,358,556,338,421
"COG0070",427,421,295,233,166,209
"COG0071",216,201,225,142,164,131
"COG0072",517,410,331,458,302,384
"COG0073",972,794,562,813,518,631
"COG0074",7,64,78,101,82,131
"COG0075",310,105,150,107,168,176
"COG0076",3,105,147,77,86,135
"COG0077",168,172,116,199,118,119
"COG0078",203,281,155,256,179,179
"COG0079",389,361,588,406,314,412
"COG0080",218,138,96,94,77,83
"COG0081",309,207,124,148,140,148
"COG0082",203,175,156,203,187,166
"COG0083",17,58,10,47,19,10
"COG0084",201,291,306,311,297,289
"COG0085",975,833,615,898,732,600
"COG0086",1064,784,558,759,658,663
"COG0087",242,203,140,129,141,127
"COG0088",241,197,125,172,141,113
"COG0089",126,129,106,67,99,73
"COG0090",275,222,120,159,117,113
"COG0091",195,166,83,105,79,82
"COG0092",223,169,110,121,98,122
"COG0093",141,124,75,80,75,87
"COG0094",200,176,116,72,60,62
"COG0095",45,82,104,155,90,127
"COG0096",192,162,75,85,71,79
"COG0097",339,147,106,122,135,171
"COG0098",218,185,111,151,91,109
"COG0099",104,110,81,95,79,64
"COG0100",179,133,47,85,57,69
"COG0101",241,211,159,183,150,166
"COG0102",104,137,64,118,95,92
"COG0103",181,145,87,55,45,41
"COG0104",434,331,220,270,227,218
"COG0105",49,51,82,74,84,54
"COG0106",161,145,144,152,124,90
"COG0107",167,149,112,130,111,80
"COG0108",348,254,203,266,221,263
"COG0109",0,4,1,5,7,16
"COG0110",880,768,1154,675,1199,1273
"COG0111",257,477,312,509,355,345
"COG0112",320,279,212,330,218,208
"COG0113",25,56,17,72,25,52
"COG0114",17,33,15,22,36,33
"COG0115",331,359,288,332,297,266
"COG0116",263,148,106,79,82,121
"COG0117",284,172,136,219,196,166
"COG0118",152,135,97,114,96,61
"COG0119",594,455,572,475,520,411
"COG0120",2,25,85,13,48,56
"COG0121",1,4,1,2,6,18
"COG0122",39,55,22,29,45,16
"COG0123",3,15,5,13,8,3
"COG0124",382,313,258,307,259,251
"COG0125",27,70,14,49,13,24
"COG0126",302,242,158,249,223,207
"COG0127",198,146,126,71,69,55
"COG0128",239,259,157,232,167,178
"COG0129",377,344,354,449,314,289
"COG0130",179,162,103,111,124,135
"COG0131",119,166,169,171,121,133
"COG0132",22,107,102,113,120,115
"COG0133",200,150,98,194,139,148
"COG0134",169,116,124,128,125,92
"COG0135",169,94,41,67,51,46
"COG0136",273,225,149,232,211,187
"COG0137",327,284,184,302,210,176
"COG0138",519,374,415,441,460,367
"COG0139",133,158,148,153,127,131
"COG0140",107,150,150,81,62,61
"COG0141",262,200,141,222,207,183
"COG0142",557,350,298,361,307,352
"COG0143",454,419,268,412,273,274
"COG0144",293,297,245,212,270,255
"COG0145",14,19,35,19,39,31
"COG0146",1,5,1,3,2,0
"COG0147",279,288,392,340,362,341
"COG0148",394,298,206,363,235,266
"COG0149",87,181,106,176,139,170
"COG0150",225,212,184,248,195,207
"COG0151",278,186,144,207,206,176
"COG0152",242,240,145,216,182,207
"COG0153",328,234,269,231,201,183
"COG0154",60,122,34,79,33,64
"COG0155",8,47,18,15,22,50
"COG0156",309,583,479,430,736,433
"COG0157",179,170,161,184,156,150
"COG0158",3,14,2,12,3,11
"COG0159",168,134,158,126,143,125
"COG0160",11,24,5,44,6,35
"COG0161",26,120,183,200,221,262
"COG0162",333,294,153,290,185,164
"COG0163",2,31,24,43,21,29
"COG0164",161,143,108,123,110,123
"COG0165",413,249,191,343,258,249
"COG0166",300,298,268,328,216,273
"COG0167",124,336,365,170,207,164
"COG0168",492,664,648,621,708,519
"COG0169",235,195,157,186,186,152
"COG0170",0,0,0,0,0,0
"COG0171",486,348,231,428,188,260
"COG0172",319,290,184,291,192,158
"COG0173",375,364,291,344,348,266
"COG0174",81,228,132,207,161,101
"COG0175",73,178,293,158,237,224
"COG0176",18,140,137,158,144,160
"COG0177",88,99,55,143,150,130
"COG0178",1252,927,679,979,733,622
"COG0179",155,139,75,132,92,94
"COG0180",351,287,213,225,225,221
"COG0181",20,32,19,33,26,49
"COG0182",2,26,10,36,31,30
"COG0183",33,142,30,69,56,79
"COG0184",109,106,82,69,108,67
"COG0185",79,107,61,75,53,53
"COG0186",133,78,67,54,61,64
"COG0187",803,735,523,787,605,622
"COG0188",1121,882,721,998,674,791
"COG0189",6,42,31,22,44,73
"COG0190",237,212,127,224,150,157
"COG0191",394,295,252,389,245,317
"COG0192",447,299,218,317,235,189
"COG0193",136,151,101,149,115,106
"COG0194",208,214,136,163,149,128
"COG0195",393,329,195,265,230,244
"COG0196",213,184,138,200,183,179
"COG0197",186,126,97,128,72,77
"COG0198",160,107,70,87,84,91
"COG0199",142,97,81,47,68,86
"COG0200",146,149,142,119,119,111
"COG0201",553,399,234,124,126,109
"COG0202",253,297,155,220,148,155
"COG0203",127,120,69,69,77,83
"COG0204",348,370,595,561,541,419
"COG0205",742,671,789,875,672,598
"COG0206",311,270,219,292,192,221
"COG0207",69,154,211,238,157,168
"COG0208",137,77,162,82,76,113
"COG0209",390,315,411,670,467,446
"COG0210",1131,1021,977,624,824,1170
"COG0211",107,91,50,54,53,38
"COG0212",194,135,96,164,94,71
"COG0213",21,66,19,39,17,29
"COG0214",155,54,16,34,17,22
"COG0215",311,302,256,349,303,325
"COG0216",269,236,166,224,167,136
"COG0217",194,201,144,145,143,133
"COG0218",153,160,105,49,60,58
"COG0219",44,73,26,50,18,21
"COG0220",184,190,188,158,153,137
"COG0221",17,40,4,12,8,17
"COG0222",117,114,51,76,61,56
"COG0223",187,297,212,239,176,159
"COG0224",269,221,162,242,159,114
"COG0225",142,70,152,74,130,162
"COG0226",296,238,213,345,233,210
"COG0227",85,58,30,52,43,44
"COG0228",83,92,54,66,61,48
"COG0229",7,39,115,58,127,121
"COG0230",14,33,39,19,28,27
"COG0231",245,188,119,177,135,130
"COG0232",402,197,195,170,228,182
"COG0233",195,148,132,140,146,161
"COG0234",90,96,47,66,43,56
"COG0235",68,111,142,356,284,331
"COG0236",178,134,87,78,62,47
"COG0237",92,140,133,133,127,125
"COG0238",50,41,19,39,38,35
"COG0239",18,74,91,52,50,49
"COG0240",240,215,189,259,186,170
"COG0241",128,201,206,150,201,183
"COG0242",173,218,130,138,142,117
"COG0243",73,284,55,331,188,293
"COG0244",37,143,60,113,58,37
"COG0245",196,162,121,149,134,117
"COG0246",515,395,320,430,322,304
"COG0247",186,275,140,400,189,288
"COG0248",140,226,187,198,144,150
"COG0249",547,601,583,563,704,639
"COG0250",276,248,123,83,63,66
"COG0251",435,291,241,228,222,247
"COG0252",309,302,320,438,359,322
"COG0253",259,203,177,182,173,137
"COG0254",28,68,41,37,57,50
"COG0255",10,37,9,24,6,17
"COG0256",179,130,58,98,70,49
"COG0257",3,4,0,3,1,2
"COG0258",742,444,394,432,367,458
"COG0259",0,14,49,69,51,59
"COG0260",11,57,13,36,24,71
"COG0261",114,138,80,65,53,70
"COG0262",84,169,155,174,110,173
"COG0263",56,140,184,233,202,183
"COG0264",254,269,206,222,202,203
"COG0265",277,353,250,414,466,368
"COG0266",9,58,57,42,40,105
"COG0267",51,50,41,24,39,41
"COG0268",11,43,11,16,14,20
"COG0269",0,8,2,4,5,8
"COG0270",399,1467,198,519,288,244
"COG0271",0,5,1,5,3,5
"COG0272",469,411,278,365,296,274
"COG0274",311,190,192,192,248,226
"COG0275",296,237,180,216,202,182
"COG0276",6,10,0,2,1,6
"COG0277",32,397,125,265,110,242
"COG0278",2,5,1,0,2,2
"COG0279",20,96,117,24,58,47
"COG0280",520,470,635,653,644,538
"COG0281",315,328,362,397,342,290
"COG0282",318,284,141,169,210,252
"COG0283",205,177,103,137,114,137
"COG0284",248,224,177,214,159,150
"COG0285",497,294,200,246,175,135
"COG0286",1582,819,546,341,434,281
"COG0287",67,129,78,128,92,91
"COG0288",103,78,98,61,83,117
"COG0289",186,199,176,158,144,112
"COG0290",240,156,117,117,104,75
"COG0291",52,62,54,37,43,37
"COG0292",135,120,60,66,52,70
"COG0293",4,5,1,9,1,8
"COG0294",110,86,101,173,178,161
"COG0295",125,121,96,89,73,88
"COG0296",537,498,517,418,324,420
"COG0297",280,285,210,214,151,183
"COG0298",4,11,9,31,10,11
"COG0299",47,153,123,136,105,182
"COG0300",176,135,189,135,169,185
"COG0301",72,102,25,43,33,33
"COG0302",200,135,123,132,95,138
"COG0303",38,114,34,112,40,64
"COG0304",272,188,251,560,431,308
"COG0305",463,403,408,506,291,378
"COG0306",11,117,112,138,120,83
"COG0307",166,132,111,131,144,149
"COG0308",12,63,75,76,123,141
"COG0309",28,83,27,73,29,30
"COG0310",9,25,18,30,2,8
"COG0311",106,32,8,21,10,18
"COG0312",20,101,66,158,74,219
"COG0313",257,281,247,290,255,208
"COG0314",1,6,0,7,6,7
"COG0315",13,19,11,50,10,14
"COG0316",5,11,3,19,11,35
"COG0317",848,623,521,709,627,560
"COG0318",253,419,439,450,483,606
"COG0319",187,130,90,108,97,101
"COG0320",14,124,115,116,120,130
"COG0321",5,68,104,89,143,83
"COG0322",506,382,323,409,311,345
"COG0323",273,313,302,335,296,260
"COG0324",402,302,343,299,313,316
"COG0325",199,192,130,180,131,119
"COG0326",549,475,611,439,552,452
"COG0327",110,165,138,144,138,156
"COG0328",19,83,5,30,14,7
"COG0329",305,394,484,339,357,371
"COG0330",239,139,75,179,201,174
"COG0331",245,224,136,229,201,166
"COG0332",336,363,500,474,389,579
"COG0333",33,33,23,26,27,32
"COG0334",427,463,444,468,422,367
"COG0335",112,103,69,86,59,65
"COG0336",213,180,118,129,111,97
"COG0337",259,219,185,190,191,163
"COG0338",60,230,30,42,54,34
"COG0339",757,476,501,616,572,503
"COG0340",263,228,183,175,150,160
"COG0341",85,147,186,262,182,151
"COG0342",623,380,322,622,332,317
"COG0343",209,288,170,286,183,194
"COG0344",64,90,29,40,34,33
"COG0345",183,195,208,222,218,189
"COG0346",144,288,386,307,360,352
"COG0347",267,155,100,72,75,84
"COG0348",219,225,244,111,140,148
"COG0349",3,21,2,2,2,12
"COG0350",186,157,134,148,208,176
"COG0351",229,132,66,212,132,112
"COG0352",204,223,85,65,48,66
"COG0353",213,161,97,169,114,106
"COG0354",0,8,1,9,9,9
"COG0355",65,81,35,56,57,36
"COG0356",261,211,211,252,185,175
"COG0357",207,166,114,128,169,114
"COG0358",714,709,527,600,455,429
"COG0359",133,144,124,131,118,105
"COG0360",129,104,60,77,51,58
"COG0361",137,83,50,78,44,38
"COG0362",3,108,155,174,159,152
"COG0363",616,409,590,531,564,576
"COG0364",6,92,196,190,195,157
"COG0365",265,200,240,288,253,215
"COG0366",1674,1118,650,1130,781,933
"COG0367",235,217,203,209,178,167
"COG0368",28,69,49,79,48,36
"COG0369",0,12,6,4,7,19
"COG0370",508,662,430,545,442,448
"COG0371",53,188,94,92,68,61
"COG0372",358,291,250,224,253,223
"COG0373",27,57,26,49,27,48
"COG0374",14,37,33,68,21,13
"COG0375",15,34,19,50,15,17
"COG0376",0,15,2,8,11,17
"COG0377",124,71,31,73,72,72
"COG0378",21,60,37,81,24,45
"COG0379",190,180,86,176,150,156
"COG0380",9,73,154,87,94,78
"COG0381",1019,358,469,404,426,635
"COG0382",124,53,21,55,88,23
"COG0383",69,256,381,86,224,515
"COG0384",9,34,3,11,9,41
"COG0385",208,169,26,103,18,46
"COG0386",23,54,94,33,58,62
"COG0387",0,13,1,6,5,20
"COG0388",878,723,682,733,726,643
"COG0389",391,451,226,249,237,249
"COG0390",16,45,89,44,97,95
"COG0391",9,47,25,30,27,35
"COG0392",48,62,32,50,26,37
"COG0393",90,78,69,79,58,82
"COG0394",284,199,188,202,231,121
"COG0395",481,781,672,281,344,319
"COG0396",210,188,99,178,187,135
"COG0397",0,5,1,8,5,18
"COG0398",11,117,22,24,42,24
"COG0399",976,434,488,550,754,1079
"COG0400",3,9,2,3,5,4
"COG0401",0,4,1,1,1,4
"COG0402",51,334,143,178,169,217
"COG0403",66,200,364,415,379,280
"COG0404",65,183,196,238,199,224
"COG0405",6,38,20,14,8,48
"COG0406",140,145,73,153,153,77
"COG0407",13,46,108,63,115,132
"COG0408",0,1,1,6,1,8
"COG0409",8,49,13,67,19,16
"COG0410",24,35,19,66,58,84
"COG0411",48,107,34,70,44,65
"COG0412",0,9,4,12,19,20
"COG0413",78,45,52,187,119,136
"COG0414",292,163,131,173,167,155
"COG0415",0,8,2,3,7,14
"COG0416",55,120,41,82,23,41
"COG0417",2,9,1,18,10,26
"COG0418",0,4,1,3,3,18
"COG0419",307,339,551,529,795,216
"COG0420",244,227,190,219,218,137
"COG0421",45,72,19,27,11,13
"COG0422",325,244,247,339,219,307
"COG0423",416,264,266,140,133,113
"COG0424",209,178,141,124,149,150
"COG0425",76,111,248,194,289,262
"COG0426",366,367,272,264,276,240
"COG0427",263,392,213,312,221,210
"COG0428",118,132,60,80,46,45
"COG0429",2,3,5,17,4,20
"COG0430",1,4,1,0,1,1
"COG0431",0,9,6,7,12,16
"COG0432",59,64,85,90,68,49
"COG0433",32,120,162,127,18,172
"COG0434",2,12,20,11,17,2
"COG0435",8,13,2,3,9,14
"COG0436",1396,1162,1108,1125,1196,968
"COG0437",19,56,14,106,44,59
"COG0438",5772,3216,5667,3088,4637,5047
"COG0439",380,201,418,312,534,612
"COG0440",35,117,73,101,38,60
"COG0441",890,671,506,323,283,262
"COG0442",264,341,204,216,236,217
"COG0443",181,223,133,416,566,362
"COG0444",93,241,115,211,134,158
"COG0445",527,416,376,444,286,360
"COG0446",213,530,440,404,474,507
"COG0447",175,62,91,153,116,118
"COG0448",160,325,110,177,95,126
