"","DLM019","DLF003","DLF007","NOM004","NLM004","NLM002"
"COG0001",107,59,75,25,47,20
"COG0002",184,243,165,182,198,125
"COG0003",48,7,86,172,6,15
"COG0004",301,332,151,130,394,300
"COG0005",21,59,38,85,162,211
"COG0006",476,566,607,679,652,801
"COG0007",59,26,32,61,59,34
"COG0008",796,878,390,460,745,736
"COG0009",253,230,299,312,197,228
"COG0010",164,53,94,90,26,35
"COG0011",6,1,7,6,5,1
"COG0012",328,297,166,219,294,359
"COG0013",680,672,376,470,512,703
"COG0014",308,213,188,219,290,243
"COG0015",358,381,278,297,324,420
"COG0016",286,289,226,219,223,262
"COG0017",363,299,270,286,313,387
"COG0018",488,408,306,368,425,443
"COG0019",420,443,349,373,487,553
"COG0020",195,231,176,182,221,211
"COG0021",159,210,188,250,217,484
"COG0022",62,11,135,106,9,6
"COG0023",7,14,69,74,3,17
"COG0024",274,426,334,337,367,494
"COG0025",30,86,23,69,42,49
"COG0026",14,7,8,16,13,27
"COG0027",29,93,137,143,96,290
"COG0028",376,483,501,506,529,477
"COG0029",165,245,265,318,284,420
"COG0030",402,348,403,225,368,275
"COG0031",352,341,232,216,243,222
"COG0033",11,1,1,5,6,9
"COG0034",458,583,370,450,514,763
"COG0035",245,229,162,185,220,225
"COG0036",216,267,210,186,202,238
"COG0037",655,593,337,389,453,411
"COG0038",241,317,446,438,320,536
"COG0039",246,271,328,318,240,310
"COG0040",105,189,189,169,168,186
"COG0041",100,156,110,127,123,179
"COG0042",346,325,328,377,322,431
"COG0043",26,12,31,33,15,47
"COG0044",379,340,292,304,349,362
"COG0045",32,17,92,73,7,10
"COG0046",570,660,361,421,763,910
"COG0047",567,656,270,361,685,960
"COG0048",133,129,70,62,103,116
"COG0049",137,179,132,136,163,141
"COG0050",379,426,274,130,131,118
"COG0051",97,116,116,101,65,81
"COG0052",210,264,123,152,214,274
"COG0053",311,258,210,257,244,200
"COG0054",53,159,88,82,110,109
"COG0055",363,373,194,184,437,412
"COG0056",387,446,239,319,490,455
"COG0057",323,324,155,192,298,232
"COG0058",814,688,470,484,656,655
"COG0059",54,63,82,214,165,229
"COG0060",782,793,390,391,659,669
"COG0061",199,221,139,142,254,269
"COG0062",174,309,144,139,311,435
"COG0063",255,311,157,160,261,414
"COG0064",168,201,61,33,149,45
"COG0065",208,264,188,196,219,286
"COG0066",88,126,145,129,88,148
"COG0067",364,568,269,316,609,852
"COG0068",57,26,27,36,31,23
"COG0069",418,527,303,341,602,818
"COG0070",334,569,294,331,527,732
"COG0071",187,308,361,242,266,134
"COG0072",577,553,304,72,117,204
"COG0073",1132,970,627,627,771,1167
"COG0074",54,22,71,71,15,18
"COG0075",42,53,116,57,50,89
"COG0076",63,21,162,195,7,27
"COG0077",259,181,111,104,185,159
"COG0078",417,248,153,207,271,248
"COG0079",359,377,472,495,336,243
"COG0080",171,183,108,131,133,129
"COG0081",203,284,176,187,150,205
"COG0082",252,229,157,161,188,307
"COG0083",94,18,11,25,26,18
"COG0084",271,279,396,293,224,297
"COG0085",1055,1074,721,347,363,346
"COG0086",1095,1165,518,537,1124,1219
"COG0087",231,238,157,179,192,171
"COG0088",67,88,48,162,182,212
"COG0089",117,154,93,107,97,81
"COG0090",253,288,143,135,234,265
"COG0091",161,166,108,101,134,156
"COG0092",242,243,138,135,154,245
"COG0093",141,177,87,91,118,140
"COG0094",204,202,176,171,166,213
"COG0095",87,36,96,55,19,63
"COG0096",145,175,106,107,148,108
"COG0097",188,269,132,45,70,63
"COG0098",165,205,132,136,158,192
"COG0099",131,154,94,79,124,64
"COG0100",137,172,66,87,136,104
"COG0101",265,286,201,219,208,201
"COG0102",137,165,103,94,147,134
"COG0103",129,221,99,111,140,102
"COG0104",320,430,221,216,317,318
"COG0105",19,28,61,62,8,71
"COG0106",98,160,168,130,181,145
"COG0107",132,186,125,116,186,161
"COG0108",90,299,266,283,273,287
"COG0109",2,1,4,11,0,7
"COG0110",414,521,1181,1040,361,342
"COG0111",601,377,326,273,294,279
"COG0112",292,376,203,215,266,333
"COG0113",43,28,48,38,38,31
