"","NLF015","DOM008","NLM021","NOM020","NLM007","NOM022"
"COG0001",540,473,1108,341,660,334
"COG0002",1971,2207,2163,2534,2377,2025
"COG0003",444,114,158,135,226,197
"COG0004",2396,1367,2657,3242,1135,3053
"COG0005",1068,1489,1395,1634,1012,1610
"COG0006",6592,6754,6330,6198,6436,7739
"COG0007",494,349,682,340,695,485
"COG0008",5695,5319,6953,8422,6722,6972
"COG0009",2262,2811,2827,2035,3263,2695
"COG0010",1308,1450,1017,641,1030,400
"COG0011",8,80,10,6,25,31
"COG0012",2083,2045,2741,2980,3017,2185
"COG0013",6146,4998,6226,6101,6067,4970
"COG0014",1871,1677,1961,2342,3217,2636
"COG0015",2305,2669,3535,3462,3422,3083
"COG0016",2418,2321,2508,2066,2600,2416
"COG0017",3213,2610,3721,3359,3644,3101
"COG0018",3983,3635,4782,4027,5222,4400
"COG0019",3374,4830,4359,4611,4817,5383
"COG0020",1300,1583,1744,2007,1846,2271
"COG0021",1528,1618,1612,4715,2145,3150
"COG0022",1847,1651,544,204,317,138
"COG0023",569,690,412,260,462,330
"COG0024",3070,2756,3421,2834,3722,4184
"COG0025",283,479,408,540,507,272
"COG0026",35,88,247,156,92,44
"COG0027",1238,1613,1075,2066,1225,1743
"COG0028",5766,6575,5733,6354,5899,4656
"COG0029",2917,2571,2891,3428,3028,3012
"COG0030",1673,2419,3082,2762,2768,2653
"COG0031",3418,2560,2982,2450,3221,2507
"COG0033",37,150,7,435,32,19
"COG0034",5285,4464,5503,6456,4472,5542
"COG0035",1908,1730,2072,2228,2243,1942
"COG0036",1304,1082,1845,1339,994,1145
"COG0037",4035,4444,5106,4229,5081,5019
"COG0038",4785,5013,4270,3487,4719,4151
"COG0039",3711,3427,3570,3238,3275,3223
"COG0040",1461,1926,1566,2065,1487,1572
"COG0041",1066,1125,1397,1420,1450,1526
"COG0042",3781,4001,3960,3749,4616,3464
"COG0043",410,261,278,310,163,180
"COG0044",2909,3308,3346,3390,3461,3037
"COG0045",522,621,266,400,264,68
"COG0046",6026,5397,6000,9069,6843,5753
"COG0047",2816,2699,3365,8209,5558,5353
"COG0048",587,691,914,994,710,1073
"COG0049",1117,1122,1348,979,1339,1364
"COG0050",3231,2517,3249,4452,3978,3367
"COG0051",875,981,1078,526,1004,711
"COG0052",1377,1428,1557,2236,1545,2031
"COG0053",1580,1775,2578,2362,2507,2998
"COG0054",900,1064,1060,1309,973,1319
"COG0055",3205,2320,4036,3851,3976,3002
"COG0056",3867,2710,4975,4820,4881,3421
"COG0057",2148,1940,2546,3028,2397,2446
"COG0058",4206,4486,6974,5962,5600,6443
"COG0059",2421,2325,2184,2508,2597,2053
"COG0060",3502,3489,4666,6897,5386,6235
"COG0061",1776,1758,1959,1845,1784,2252
"COG0062",1311,2061,1821,3133,1979,2426
"COG0063",1209,1545,1482,3233,2280,2459
"COG0064",647,397,1321,436,737,544
"COG0065",3496,3167,2882,2996,3188,1809
"COG0066",1210,1444,1409,1334,1785,1081
"COG0067",5733,3604,4746,7099,2931,4142
"COG0068",254,618,447,259,415,155
"COG0069",5482,3633,4861,7207,3440,4146
"COG0070",5068,3496,4496,6987,2546,3862
"COG0071",719,847,1129,1999,1668,2285
"COG0072",3734,3367,4274,4684,3304,3778
"COG0073",7219,6444,8834,8530,6388,8482
"COG0074",608,876,293,429,207,118
"COG0075",1221,1871,1505,853,1343,1104
"COG0076",2120,1987,1421,520,1336,633
"COG0077",1977,1778,1915,2019,2100,1471
"COG0078",2374,2568,3134,2499,3232,2273
"COG0079",3676,5534,4051,3267,4497,4435
"COG0080",828,979,1118,1234,1285,1362
"COG0081",1630,1397,2013,2080,1710,1552
"COG0082",1833,1683,2142,2024,2319,1925
"COG0083",253,205,349,469,644,83
"COG0084",2671,3483,2597,2462,2726,2565
"COG0085",7723,6845,10052,9296,10383,9866
"COG0086",8031,6793,9068,10780,7472,9486
"COG0087",1301,1296,1898,1902,1674,1431
"COG0088",1359,1582,1727,1696,1808,2006
"COG0089",681,685,1004,885,1042,1102
"COG0090",1599,1211,2078,2420,1756,1698
"COG0091",584,512,837,1219,1225,1108
"COG0092",1071,1173,1626,1799,1855,1407
"COG0093",762,679,992,1226,793,724
"COG0094",1191,1500,1532,1444,1736,1831
"COG0095",959,922,404,167,201,399
"COG0096",670,818,1057,1174,981,1180
"COG0097",1155,874,1469,1626,1324,1516
"COG0098",1216,1158,1512,1192,1167,1148
"COG0099",984,863,1152,699,721,801
"COG0100",653,764,877,1240,1230,1234
"COG0101",1020,1049,1651,2041,2445,2047
"COG0102",728,919,1231,909,1012,1693
"COG0103",918,1046,1039,1244,1201,1413
"COG0104",2959,2315,3882,3308,3725,3206
"COG0105",362,459,425,283,443,326
"COG0106",1277,1496,1538,1524,1265,1191
"COG0107",1244,1189,1491,1720,1061,1401
"COG0108",2663,2303,2441,2992,2353,2449
"COG0109",16,56,1,50,14,10
"COG0110",7990,11548,6804,3268,6984,4512
"COG0111",3676,3848,4068,3483,3749,3250
"COG0112",2367,2146,2682,3574,2154,2179
"COG0113",286,200,374,257,479,364
"COG0114",164,625,246,99,423,99
"COG0115",2775,2760,3065,3218,3385,3141
"COG0116",1159,1235,2208,2437,1938,2263
"COG0117",2162,1847,1830,2880,1987,2594
"COG0118",929,1326,1111,1384,1128,1209
"COG0119",4768,5366,5649,7561,4545,3986
"COG0120",368,661,228,266,184,90
"COG0121",11,49,8,52,36,12
"COG0122",393,247,574,255,1032,190
"COG0123",114,55,76,116,72,52
"COG0124",3002,2950,3166,3111,3017,3074
"COG0125",661,187,756,380,394,239
"COG0126",1952,2106,2555,2864,2441,2208
"COG0127",957,1345,1634,1698,1607,1943
"COG0128",1973,1769,2584,3307,2706,2715
