"","DOM001","DOM023","NLM024","NOF005","NOM005","DLF012"
"COG0001",745,403,336,608,1140,2007
"COG0002",2013,2452,2510,2090,1846,2321
"COG0003",423,96,204,543,57,40
"COG0004",2429,3455,4747,2663,2524,3598
"COG0005",1476,1714,1776,1186,953,432
"COG0006",5955,7124,6910,3272,2504,1851
"COG0007",624,421,334,639,1322,2319
"COG0008",7253,8003,8434,6394,6338,6242
"COG0009",2571,2460,1800,3019,2438,2273
"COG0010",1057,472,454,621,1017,401
"COG0011",32,3,1,48,28,33
"COG0012",2469,2817,3336,2415,2336,2638
"COG0013",5081,5899,7056,5718,4394,4612
"COG0014",2437,3040,2692,2505,1962,2051
"COG0015",3380,3857,3739,3096,2523,3035
"COG0016",2455,2261,2189,2468,1700,2174
"COG0017",3075,3025,3364,3799,3089,3476
"COG0018",4190,4160,5198,4495,3411,3599
"COG0019",4506,4643,4570,4906,4702,6230
"COG0020",1981,2107,2173,1733,1165,1180
"COG0021",2964,4106,4911,1909,2779,1183
"COG0022",782,205,244,601,368,59
"COG0023",467,420,253,530,326,75
"COG0024",2913,3459,2633,3715,2570,2681
"COG0025",191,294,167,395,1315,494
"COG0026",292,125,152,61,534,182
"COG0027",1790,1922,2190,849,723,259
"COG0028",4589,6920,4930,5974,7866,7553
"COG0029",2410,2973,4359,2744,2284,2645
"COG0030",3413,2429,3374,3200,2921,3758
"COG0031",2496,2125,2419,2991,2832,2279
"COG0033",63,9,95,28,551,292
"COG0034",4761,6887,7729,2284,1594,3032
"COG0035",2180,1988,2355,1110,953,909
"COG0036",1668,2272,2067,1869,2218,2790
"COG0037",5339,4275,3576,5440,4501,4986
"COG0038",3809,4355,4233,3922,3899,2798
"COG0039",2927,3381,3540,3163,2247,3642
"COG0040",1714,2237,2046,1720,1337,1347
"COG0041",1227,1458,1536,1471,1193,1058
"COG0042",3575,2900,3032,3819,4443,3254
"COG0043",1074,279,261,309,995,192
"COG0044",3215,3354,3107,3278,3597,3934
"COG0045",240,172,162,238,661,192
"COG0046",6279,7660,10480,6045,4844,7264
"COG0047",5127,6683,9053,5300,3870,6972
"COG0048",1025,1114,941,815,969,1032
"COG0049",1363,820,646,1560,1257,1677
"COG0050",3255,3401,5078,3461,3158,3013
"COG0051",1191,886,662,1244,985,1058
"COG0052",932,1078,1277,1625,1588,1271
"COG0053",1246,1116,1266,2767,2520,2303
"COG0054",1190,1770,1424,1111,1088,469
"COG0055",2908,3388,3395,3503,3894,3681
"COG0056",3445,4007,5243,4298,4190,4212
"COG0057",2720,2695,3332,2425,2853,2109
"COG0058",5852,4886,5987,7150,7500,9879
"COG0059",2076,2368,2313,2359,2195,2273
"COG0060",5668,7263,6979,5569,4722,6862
"COG0061",1711,2141,1783,1838,1805,1709
