"","NLM017","NOM020","DLF009","DLM014","NLM016","DOM021"
"COG0001",214,316,956,499,434,402
"COG0002",1976,2547,1571,2252,1965,2453
"COG0003",954,134,45,237,19,1114
"COG0004",2076,3223,1361,1873,3659,1546
"COG0005",1420,1605,959,477,678,538
"COG0006",5374,6067,3981,6688,7317,6642
"COG0007",316,362,1122,120,28,108
"COG0008",4694,8471,6039,6715,8571,5979
"COG0009",2520,2036,2205,3013,1871,2989
"COG0010",379,673,939,726,1320,470
"COG0011",18,8,180,25,4,10
"COG0012",2081,3031,2134,2715,2723,2704
"COG0013",4419,6095,4716,6428,5889,5766
"COG0014",2220,2328,1774,2722,2710,3181
"COG0015",2827,3520,2788,3346,3417,3088
"COG0016",2439,2002,1865,2715,2614,2657
"COG0017",3309,3384,2392,3515,3400,2991
"COG0018",2970,3948,3352,4287,4754,4403
"COG0019",3677,4577,3542,4973,5068,4432
"COG0020",1305,1983,1165,1847,2610,1602
"COG0021",1558,4637,3368,3232,3246,2936
"COG0022",748,206,631,727,40,313
"COG0023",582,264,423,650,75,680
"COG0024",854,962,734,3375,4041,3179
"COG0025",456,558,1759,500,102,309
"COG0026",28,160,1027,201,15,136
"COG0027",739,2074,1076,1669,1849,1642
"COG0028",8562,6370,7966,5110,4595,4776
"COG0029",2051,3489,2042,3084,3356,3262
"COG0030",2608,2768,3067,2529,2397,3796
"COG0031",2219,2400,2724,2708,1843,2697
"COG0033",23,478,1031,40,39,30
"COG0034",5223,6551,2978,5820,7221,5012
"COG0035",1887,2212,1328,1825,2291,1919
"COG0036",2281,2045,2089,1490,2504,1615
"COG0037",3806,4202,3547,4720,4180,5242
"COG0038",3312,3533,4568,4989,4159,4938
"COG0039",3552,3235,2969,3440,2692,4194
"COG0040",1133,2095,1575,1662,2129,1785
"COG0041",1044,1432,977,1399,1390,1322
"COG0042",3564,3686,4047,3819,2127,3645
"COG0043",209,308,1100,378,79,459
"COG0044",2829,3338,3345,3433,2498,3168
"COG0045",578,396,1231,226,56,266
"COG0046",5183,9096,4673,6427,9462,4905
"COG0047",4803,8258,3646,5949,8923,4192
"COG0048",838,1023,983,838,1235,815
"COG0049",1399,1016,1345,1332,1137,1076
"COG0050",2995,4455,3317,3391,4049,3153
"COG0051",1055,563,1068,993,474,938
"COG0052",1556,2244,1682,1747,2842,1735
"COG0053",1773,2355,2392,2296,2522,2132
"COG0054",705,1286,1019,1246,1675,1305
"COG0055",3335,3869,2637,3711,3559,2874
"COG0056",4470,4832,2685,4160,4308,2954
"COG0057",1622,3005,3425,2347,3243,2381
"COG0058",6378,5975,6655,6316,5316,5545
"COG0059",2314,2472,2136,2271,2311,2527
"COG0060",5509,6911,4749,6893,6533,6160
"COG0061",1616,1814,1770,2027,2441,1976
"COG0062",1869,3162,1868,2381,3080,2112
"COG0063",1958,3300,2000,2388,3054,2144
"COG0064",1095,433,1253,835,337,500
"COG0065",2531,2995,2131,969,804,975
"COG0066",1164,1358,1363,1440,1588,1523
"COG0067",4938,7230,3240,4966,7505,3716
"COG0068",108,281,1739,234,34,444
"COG0069",4987,7300,3200,5152,7988,3456
"COG0070",4510,6925,2932,4571,7819,2725
"COG0071",1390,2042,1617,1240,3522,1356
"COG0072",3239,4652,3352,4417,4897,2927
"COG0073",8349,8467,5450,8076,10521,5686
"COG0074",584,429,1702,224,72,349
"COG0075",886,826,918,1560,633,2653
"COG0076",1369,561,2546,1616,99,1871
"COG0077",1453,1980,1658,532,560,437
"COG0078",2273,2483,3556,2409,2336,2514
"COG0079",4541,3312,3535,4679,2467,5934
"COG0080",1087,1223,1086,1073,1404,993
"COG0081",1950,2105,1682,1690,1894,1636
"COG0082",1645,2005,1746,2264,1424,1785
"COG0083",81,450,929,263,50,201
"COG0084",2294,2491,3596,3031,2108,2850
"COG0085",7702,9222,6664,9475,11678,8529
"COG0086",7540,10604,7110,9363,12880,7480
"COG0087",1580,1926,1361,1665,1692,1433
"COG0088",1758,1698,1644,1573,1702,1740
"COG0089",902,919,851,895,869,843
"COG0090",1864,2504,1556,1794,2525,1179
"COG0091",1021,1237,1118,1047,1245,981
"COG0092",1320,1802,1006,1506,1992,1188
"COG0093",911,1250,1044,808,1182,873
"COG0094",1607,1483,1394,1411,1833,1383
"COG0095",550,181,1159,186,34,109
"COG0096",907,1159,1157,910,1361,681
"COG0097",1373,1628,1571,1282,2068,1253
"COG0098",1018,1845,1234,1474,2134,1520
"COG0099",1002,1019,976,967,1201,958
"COG0100",661,1279,1115,892,1506,854
"COG0101",1728,2076,1716,2177,1363,2083
"COG0102",1274,911,1190,1156,1402,1229
"COG0103",1024,1165,1164,1013,1484,1138
"COG0104",2630,3266,2560,3349,3498,3829
"COG0105",154,103,175,594,64,577
"COG0106",1661,1547,1229,1504,1425,1432
"COG0107",1277,1692,1247,1343,1932,1189
"COG0108",2313,2965,1539,2828,3542,2630
"COG0109",23,51,520,1,23,31
"COG0110",10119,3323,5553,10223,4084,9837
"COG0111",3654,3471,4969,3840,2072,4652
"COG0112",2102,3681,1638,2693,3235,2372
"COG0113",235,256,839,253,117,284
"COG0114",149,92,755,139,172,143
"COG0115",2849,3175,3009,3388,3076,3937
"COG0116",1732,2377,1686,2404,1438,1862
"COG0117",1376,2960,1107,2106,2495,2214
"COG0118",898,1408,1029,1158,1394,1242
"COG0119",5741,7587,3876,1907,1914,1803
"COG0120",449,256,789,217,31,193
"COG0121",11,58,387,0,19,29
"COG0122",265,280,620,276,171,220
"COG0123",54,110,18,107,14,88
"COG0124",2633,3174,2387,3254,2836,3062
"COG0125",597,347,1140,411,177,439
"COG0126",1655,2892,2362,2884,2836,2622
"COG0127",1877,1722,1364,1690,1950,1483
"COG0128",1693,3239,1997,2832,2321,2062
"COG0129",3209,5251,3538,3794,4182,3906
"COG0130",1673,2088,1681,1797,1931,1674
"COG0131",1180,1648,1440,547,554,634
"COG0132",789,559,1218,1054,140,1162
"COG0133",1347,2343,1662,1784,2556,2009
"COG0134",1161,1651,1318,395,423,405
"COG0135",663,1431,838,598,877,777
"COG0136",1965,2873,2620,2385,3080,2397
"COG0137",2150,3303,2189,958,1075,846
"COG0138",3769,4807,2565,4504,5743,4311
"COG0139",1036,1291,980,1425,1266,1685
"COG0140",984,1138,829,1278,1133,1643
"COG0141",1755,2585,1905,2390,2663,2329
"COG0142",2719,4355,3028,3775,5493,3366
"COG0143",4106,4443,3441,4094,5821,2976
"COG0144",2713,3436,2794,3353,2769,3151
"COG0145",239,195,170,148,18,220
"COG0146",65,19,5,62,13,110
"COG0147",2736,3501,2942,3179,3258,3767
"COG0148",3250,2906,3548,3341,2246,2934
"COG0149",1837,1045,1849,1784,570,1677
"COG0150",1900,2789,1910,2729,2379,2562
"COG0151",2275,3497,2207,2778,2832,2625
"COG0152",1704,2246,1744,2317,2086,2243
"COG0153",2598,2943,1995,2832,2584,2738
"COG0154",931,544,1537,872,388,543
"COG0155",161,207,1318,155,38,143
"COG0156",3314,3896,4128,5387,3334,5862
"COG0157",1324,2154,1267,1812,2161,2038
"COG0158",10,47,210,59,36,117
"COG0159",1481,1783,1166,1261,2058,1480
"COG0160",38,285,708,134,52,187
"COG0161",1756,1231,1335,2372,135,2439
"COG0162",1967,2918,2130,2864,3598,2753
"COG0163",105,166,569,190,31,256
"COG0164",1466,1532,1242,1444,1994,1451
"COG0165",2677,4055,1913,2870,4439,2522
"COG0166",2566,3199,2688,3275,3736,3021
"COG0167",3109,2235,3716,3606,1608,3846
"COG0168",5720,7088,4550,6733,3855,6794
"COG0169",513,744,770,1920,2059,2008
"COG0170",0,0,0,15,0,0
"COG0171",2888,4304,2534,3724,2880,3261
"COG0172",2031,2861,2510,2942,2759,2223
"COG0173",3308,3112,3203,4075,3614,3733
"COG0174",1705,1325,2772,1504,480,1571
"COG0175",1013,951,2272,1638,331,2225
"COG0176",1728,789,2946,363,111,500
"COG0177",1559,1697,1318,1619,1725,1337
"COG0178",5950,12554,6483,9928,12382,8720
"COG0179",252,548,394,989,1442,1385
"COG0180",2207,2878,2170,2528,2743,2168
"COG0181",259,245,765,347,64,267
"COG0182",524,206,249,410,173,258
"COG0183",950,794,3031,688,255,533
"COG0184",718,706,712,650,932,827
"COG0185",772,709,749,835,648,769
"COG0186",723,914,801,690,1193,622
"COG0187",5498,8640,7622,8822,8642,6670
"COG0188",2461,3830,2904,10035,10599,8466
"COG0189",426,132,1023,427,235,352
"COG0190",2025,2377,1727,2446,2571,2167
"COG0191",2091,3056,4024,2460,3049,2525
"COG0192",3318,3860,2334,3480,4931,3213
"COG0193",1050,1483,1223,1558,1105,1431
"COG0194",2731,1850,1597,1892,1726,1797
"COG0195",2504,3760,2509,2980,4370,2710
"COG0196",1408,1717,1858,1921,2405,1642
"COG0197",1214,1342,1060,394,546,415
"COG0198",859,1025,1033,892,1270,933
"COG0199",610,890,685,586,993,612
"COG0200",914,1215,1129,1223,1078,1260
"COG0201",2263,3451,3214,3296,3978,2984
"COG0202",1830,2110,1912,2610,2791,2426
"COG0203",1028,1054,813,1085,1175,1315
"COG0204",4955,3451,4281,3930,3906,3365
"COG0205",6915,7616,3708,7941,6389,8345
"COG0206",1755,4867,2379,3284,4982,2898
"COG0207",2130,1165,1789,2390,439,2789
"COG0208",542,469,1929,577,293,438
"COG0209",2858,1835,5605,4895,937,4253
"COG0210",12795,10756,10983,8519,6560,9745
"COG0211",570,731,663,554,908,407
"COG0212",997,1292,1297,1358,1487,1328
"COG0213",418,342,741,465,235,283
"COG0214",185,1369,327,395,1774,265
"COG0215",2275,3443,2662,1193,1246,1204
"COG0216",1998,3025,1973,2486,2405,1798
"COG0217",1843,1898,1994,1940,1614,1914
"COG0218",1285,1500,1084,1203,1428,901
"COG0219",160,124,293,423,161,372
"COG0220",1902,1638,1607,1813,1492,1801
"COG0221",489,207,714,227,174,172
"COG0222",841,653,985,775,1007,586
"COG0223",1907,2458,1996,2454,2222,2307
"COG0224",2421,2631,1740,2407,2579,2201
"COG0225",748,2112,1225,998,464,1102
"COG0226",2243,2375,2586,2401,2801,2325
"COG0227",281,601,598,516,639,567
"COG0228",462,678,782,933,652,838
"COG0229",527,322,1070,758,66,883
"COG0230",375,146,85,189,30,336
"COG0231",1211,1698,1971,1506,2307,1729
"COG0232",2249,3246,2035,2562,3544,2390
"COG0233",1470,1741,1197,1659,2038,1634
"COG0234",486,592,858,775,682,917
"COG0235",3212,3247,3324,2362,3800,3100
"COG0236",1126,832,552,1010,1240,917
"COG0237",1188,1119,815,1248,927,1423
"COG0238",513,758,635,412,771,414
"COG0239",522,305,918,535,109,701
"COG0240",639,862,734,2434,2698,2418
"COG0241",1343,3334,1775,522,736,658
"COG0242",1761,1544,1731,1691,1718,1794
"COG0243",740,2118,14052,966,729,1115
"COG0244",486,749,1340,1071,301,978
"COG0245",1399,1558,1077,1410,1860,1536
"COG0246",4746,5367,4760,2570,8047,1891
"COG0247",1213,2934,3567,3014,2069,2751
"COG0248",1049,1647,2890,1109,681,1053
"COG0249",7265,6047,4203,8554,6337,7291
"COG0250",1378,1850,2073,1678,2205,1669
"COG0251",2461,2293,2272,2455,3491,2201
"COG0252",3200,2904,2608,3785,2545,4703
"COG0253",1661,2118,1497,1810,2122,1858
"COG0254",513,307,1073,486,296,570
"COG0255",183,177,461,170,165,200
"COG0256",918,1366,1074,1106,1431,1171
"COG0257",34,48,144,22,31,42
"COG0258",3413,5974,4296,5264,7551,4855
"COG0259",579,270,603,318,26,313
"COG0260",131,649,1179,263,40,170
"COG0261",812,1120,1067,913,1083,935
"COG0262",1044,1101,2053,1622,1132,1623
"COG0263",1876,1358,1424,2210,272,1781
"COG0264",2314,2180,1885,2719,2210,2586
"COG0265",3031,3648,5390,3730,2984,4227
"COG0266",473,408,1118,341,88,366
"COG0267",303,307,324,254,467,321
"COG0268",357,216,448,191,98,145
"COG0269",24,69,683,12,20,32
"COG0270",5278,2572,4677,4359,5296,5290
"COG0271",12,18,265,1,29,11
"COG0272",6129,4535,4128,3966,3672,3659
"COG0274",1887,2023,1635,2007,2735,2336
"COG0275",2857,2911,1839,851,942,733
"COG0276",23,51,360,24,24,35
"COG0277",972,1715,4595,1642,423,1690
"COG0278",2,17,234,1,15,8
"COG0279",1036,1353,1139,259,346,240
"COG0280",6175,5611,4422,6723,5891,7760
"COG0281",2817,3315,2645,4201,3735,4179
