"","DLF014","NOM010","NOF007","NLF013","DLF009","DOF008"
"COG0001",1088,678,259,598,967,803
"COG0002",2681,2105,2309,2377,1565,1838
"COG0003",711,517,571,372,50,81
"COG0004",3922,2652,2205,2615,1347,2920
"COG0005",1187,1218,1141,1376,961,1090
"COG0006",4719,7227,6149,6425,3987,5186
"COG0007",1478,473,568,541,1128,661
"COG0008",7036,6584,5833,6917,6011,7363
"COG0009",2616,2891,3006,2812,2204,2972
"COG0010",397,497,447,633,938,969
"COG0011",635,70,21,21,170,302
"COG0012",892,755,827,2698,2085,2909
"COG0013",1962,2010,1655,6090,4747,5609
"COG0014",2806,2986,2816,2635,1783,2079
"COG0015",3857,3099,3334,1287,888,1133
"COG0016",2443,2581,2523,2566,1844,2305
"COG0017",1968,2973,3595,3133,2415,3794
"COG0018",4714,4325,4344,4567,3322,4522
"COG0019",5223,4640,4016,4888,3524,4938
"COG0020",2302,1837,1727,1989,1162,2032
"COG0021",3464,2646,1519,2373,3349,1332
"COG0022",311,706,238,165,628,90
"COG0023",84,544,709,448,434,77
"COG0024",3114,3498,3614,3793,2163,3001
"COG0025",2200,492,179,1755,1762,2188
"COG0026",1046,118,82,94,1025,776
"COG0027",948,1037,1189,1196,1080,670
"COG0028",7370,5630,5285,6080,7918,7610
"COG0029",2833,2744,3045,2569,2041,1879
"COG0030",4731,3034,3922,2732,3054,4776
"COG0031",3209,3432,2680,3082,2702,3143
"COG0033",1972,5,10,4,1039,686
"COG0034",3998,4868,4038,4660,2962,3727
"COG0035",1937,2043,2425,1887,1324,1995
"COG0036",3111,1584,1493,700,672,790
"COG0037",4052,5163,5058,5216,3577,5931
"COG0038",6234,3958,4064,3263,4607,4892
"COG0039",4210,3554,3894,3020,2963,3799
"COG0040",1872,1626,1941,1727,1555,1201
"COG0041",1457,1294,1446,1440,980,1406
"COG0042",3728,3852,4340,4451,4106,4305
"COG0043",451,211,263,109,1072,811
"COG0044",4521,3246,3150,2977,3308,4017
"COG0045",1034,177,180,52,420,187
"COG0046",7358,6619,5929,5803,4632,6610
"COG0047",7259,6129,5283,5244,3676,5410
"COG0048",1024,994,788,1251,976,1227
"COG0049",1641,1555,1355,1637,1333,1580
"COG0050",3827,3299,3129,3263,3315,3015
"COG0051",1179,1141,1158,1197,1057,1090
"COG0052",1591,1665,1504,1978,1702,1780
"COG0053",2210,2511,2262,2638,2402,2510
"COG0054",509,1081,1150,991,1015,738
