"","DLF004","NOM013","NOM015","DOF007","DLM019","DOM015"
"COG0001",413,991,537,198,1080,1502
"COG0002",2003,2153,2212,1835,1744,2261
"COG0003",35,157,171,316,383,193
"COG0004",3529,2574,2997,1070,2812,2207
"COG0005",1602,1379,1256,520,340,497
"COG0006",5756,5444,7038,6201,4652,6054
"COG0007",498,894,283,265,579,577
"COG0008",2293,2350,2246,4736,8242,6586
"COG0009",2063,2652,2857,2481,2629,3348
"COG0010",211,244,291,830,1762,796
"COG0011",31,37,11,31,55,220
"COG0012",2784,2583,2344,1892,3032,2479
"COG0013",5843,5456,6590,4202,7070,5833
"COG0014",2619,2267,3025,1887,2848,3091
"COG0015",3405,3334,2973,2865,3425,3109
"COG0016",2289,2481,2596,1986,2858,2423
"COG0017",3035,3072,3520,2752,3615,2713
"COG0018",4257,4536,4913,3293,4683,4774
"COG0019",4489,4451,4479,3762,4141,3970
"COG0020",2108,2016,1556,1634,1894,1883
"COG0021",3156,3180,2227,2656,1512,2268
"COG0022",368,241,824,1011,675,918
"COG0023",274,406,607,649,143,442
"COG0024",2655,3475,3505,2863,3119,3009
"COG0025",394,427,239,282,395,184
"COG0026",44,172,174,89,180,48
"COG0027",1393,1021,1141,1445,397,1205
"COG0028",5171,4804,5727,5283,3987,7185
"COG0029",2961,2237,3037,2477,1500,3222
"COG0030",2381,5469,2357,486,1384,1157
"COG0031",2655,2490,3342,2364,3764,3411
"COG0033",5,4,51,66,104,29
"COG0034",5958,4717,5275,4037,4334,4940
"COG0035",2129,2093,2269,1420,2345,1912
"COG0036",1896,2358,1618,1453,2308,1464
"COG0037",4335,4984,4909,3437,6069,5197
"COG0038",3578,3173,4662,4465,2592,5149
"COG0039",3043,3582,3348,2818,2622,3756
"COG0040",1812,1778,1790,1739,1149,1963
"COG0041",1179,1189,1509,939,1223,1375
"COG0042",2974,3346,4056,3152,3324,4128
"COG0043",250,718,314,365,234,295
"COG0044",2918,3591,3151,2413,3937,3459
"COG0045",77,81,89,1190,382,196
"COG0046",7314,5763,7049,3608,6079,6408
"COG0047",6900,5075,6057,3252,5554,5474
"COG0048",1027,1315,646,619,1298,755
"COG0049",981,1674,1302,991,1638,1273
"COG0050",3593,3389,3513,2183,4051,2960
"COG0051",743,1343,1057,871,1093,1122
"COG0052",2023,1963,1501,1558,1975,1676
"COG0053",2306,2826,2463,2128,3166,2462
"COG0054",1214,1134,960,861,459,884
"COG0055",3499,3319,3356,2153,3728,3638
"COG0056",4330,4048,4301,2348,3789,4009
"COG0057",2662,2957,2372,1656,3428,1972
"COG0058",6246,7117,6389,5087,7912,6548
"COG0059",2209,1961,2526,2184,1685,2315
"COG0060",6182,5599,5490,5293,7694,5581
"COG0061",1598,1669,1687,1536,2159,2017
"COG0062",2634,2030,1776,1722,1829,2018
"COG0063",2698,2159,2042,1776,2456,2370
"COG0064",915,1675,781,293,1842,1218
"COG0065",3185,2697,2672,2783,2098,3174
"COG0066",1253,1348,1391,1205,1017,1240
"COG0067",2565,1389,1884,3143,3715,4683
"COG0068",239,851,488,310,561,216
"COG0069",7694,4356,6057,3709,4025,4847
"COG0070",7321,3644,5336,3523,3408,4088
"COG0071",1662,2598,1640,1677,1850,1532
"COG0072",4848,4577,3671,3207,6087,3566
"COG0073",8627,8481,8009,5457,11341,6801
"COG0074",239,260,317,805,549,163
"COG0075",2584,857,1155,1688,565,1530
"COG0076",791,862,1671,2152,561,1407
"COG0077",1642,1643,1681,417,847,654
"COG0078",2325,2789,2883,1731,4089,3103
"COG0079",3642,5980,4077,3101,3596,4231
"COG0080",1199,1682,1202,773,1513,1245
"COG0081",1994,2322,1949,1465,2199,1651
"COG0082",1721,1909,2290,1815,2557,2326
"COG0083",164,401,393,56,352,96
"COG0084",699,932,856,3094,2632,3153
"COG0085",8968,9450,9803,7370,10500,8402
"COG0086",9186,8046,7905,6758,10822,7598
"COG0087",1759,2308,1621,1308,2242,1602
"COG0088",535,713,528,1317,2190,1667
"COG0089",315,506,292,946,1226,880
"COG0090",2082,2170,1843,1169,2615,1610
"COG0091",389,518,374,722,1524,1077
"COG0092",1751,1739,1373,970,2287,1366
"COG0093",983,1234,906,747,1424,831
"COG0094",1545,1828,1417,1182,1936,1349
"COG0095",197,545,484,887,759,624
"COG0096",1245,1481,876,712,1554,901
"COG0097",1781,1893,1258,1299,1982,1305
"COG0098",1640,1868,1508,365,592,504
"COG0099",1014,1308,973,738,1243,948
"COG0100",1049,1188,883,581,1445,856
"COG0101",2040,2216,2007,1595,2672,2289
"COG0102",971,1516,930,1029,1414,1184
"COG0103",1316,1475,1059,938,1291,1048
"COG0104",2933,3043,3250,2114,3193,3394
"COG0105",299,451,461,845,168,411
"COG0106",1334,1650,1745,1191,1021,1563
"COG0107",1464,1607,1736,1085,1207,1452
"COG0108",2410,2509,2813,2136,1027,1876
"COG0109",9,0,18,53,6,15
"COG0110",6226,9338,6925,11414,4132,7187
"COG0111",2883,4315,3948,3586,5489,4365
"COG0112",2772,2971,2454,1944,2885,2151
"COG0113",274,739,223,227,462,304
"COG0114",144,186,291,326,1338,616
"COG0115",3306,3267,3008,2989,3078,3730
"COG0116",1764,1645,1918,1714,2261,2206
"COG0117",2171,1931,1916,1970,791,1890
"COG0118",1295,1401,1269,1011,806,1313
"COG0119",6331,6423,5119,4717,4796,5059
"COG0120",169,129,377,726,132,179
"COG0121",2,6,11,24,3,25
"COG0122",282,772,666,533,1497,960
"COG0123",63,176,76,35,13,24
"COG0124",3132,3093,3088,2517,3591,3311
"COG0125",423,845,453,120,1580,708
"COG0126",2725,2829,2073,2101,3273,2571
"COG0127",502,561,430,1209,1941,1671
"COG0128",2148,2520,2750,1505,3028,2367
"COG0129",4198,3370,5007,3317,2662,4279
"COG0130",1706,1839,1630,391,775,601
"COG0131",554,464,553,1226,1118,1515
"COG0132",534,562,713,1145,298,913
"COG0133",2004,1785,1704,1624,1640,2306
"COG0134",1158,1414,1307,1125,1012,1636
"COG0135",964,1043,615,541,680,957
"COG0136",2340,2070,1762,1945,2669,2117
"COG0137",3064,2690,3103,2188,2921,3410
"COG0138",4373,3660,3875,4290,2756,4656
"COG0139",1272,1524,1463,1363,809,1309
"COG0140",996,1363,1340,1379,717,1329
"COG0141",2207,2145,2147,1910,1708,2465
"COG0142",4042,3272,3284,3269,2713,3401
"COG0143",4251,4365,4615,2408,5813,3665
"COG0144",2656,3327,3157,2664,4391,3353
"COG0145",169,339,161,396,161,164
"COG0146",115,82,3,69,29,60
"COG0147",4400,2952,3234,3834,1974,3529
"COG0148",1076,957,1114,2182,2770,3389
"COG0149",1316,1980,1746,1331,2500,1720
"COG0150",2183,2350,2390,1908,2147,2236
"COG0151",2186,2384,2540,1844,2270,2859
"COG0152",2173,2247,2090,1673,1802,2203
"COG0153",2736,2460,3077,1992,3017,3188
"COG0154",974,1718,1047,300,1922,1502
"COG0155",221,181,146,205,52,114
"COG0156",3655,3547,6516,2497,973,1183
"COG0157",1595,1684,1776,1549,1130,1727
"COG0158",30,83,95,80,39,31
"COG0159",1557,1368,1422,1377,1573,1558
"COG0160",225,576,107,82,227,199
"COG0161",1165,1044,2103,2257,749,1527
"COG0162",3095,2740,2441,1904,3166,3047
