"","DOM015","DLM027","NOM004","DLF004","DOM024","DLM014"
"COG0001",1495,525,325,417,569,493
"COG0002",2307,1900,1758,2008,2250,2265
"COG0003",189,692,1616,108,71,249
"COG0004",2173,3951,1379,3519,3071,1920
"COG0005",1472,1436,962,1619,1317,1530
"COG0006",6014,5573,6774,5724,6512,6710
"COG0007",597,739,604,514,553,430
"COG0008",6562,8204,4531,6909,5677,6678
"COG0009",3312,2715,3014,2028,3005,2983
"COG0010",805,691,982,652,1688,726
"COG0011",245,259,48,31,18,27
"COG0012",2429,3244,1994,2741,2260,2742
"COG0013",5871,6909,4841,5798,5542,6442
"COG0014",3066,2760,2268,2607,2655,2683
"COG0015",986,1611,957,3376,2799,3273
"COG0016",2392,2715,2256,2309,2434,2682
"COG0017",945,1137,990,3033,3023,3435
"COG0018",4842,4804,3884,4199,4199,4319
"COG0019",3954,5339,4147,4488,5146,4898
"COG0020",1876,2225,1670,2066,1775,1870
"COG0021",2242,2901,2706,3189,2032,3231
"COG0022",946,350,1052,376,1015,705
"COG0023",455,51,694,289,569,640
"COG0024",3019,3141,3407,2671,3228,3313
"COG0025",183,1962,678,400,369,511
"COG0026",51,1103,111,36,48,202
"COG0027",1145,835,1416,1416,1246,1696
"COG0028",7156,7272,5184,5209,5779,5093
"COG0029",3194,1956,3216,2927,2912,3089
"COG0030",3388,2495,2235,2371,2723,2488
"COG0031",3353,2637,2226,2619,2961,2762
"COG0033",32,660,77,5,23,43
"COG0034",4944,5338,4538,5995,4919,5873
"COG0035",1905,2391,1867,2117,2115,1862
"COG0036",1436,1846,1866,1849,1664,1441
"COG0037",5204,5096,3686,4260,5118,4676
"COG0038",5198,5509,4131,3625,4587,5052
"COG0039",3764,4501,3168,3011,3606,3438
"COG0040",1990,1738,1709,1790,1839,1701
"COG0041",1373,1508,1323,1190,1353,1415
"COG0042",4137,3520,3680,2971,4136,3787
"COG0043",307,429,313,242,323,392
"COG0044",3483,4847,2982,2900,3248,3431
"COG0045",199,270,722,231,79,229
"COG0046",6370,8495,4188,7321,5948,6501
"COG0047",5510,6528,3361,6907,5115,5849
"COG0048",741,1302,613,1057,821,873
"COG0049",1316,1549,1142,963,1400,1311
"COG0050",2893,3875,3323,3574,2953,3426
"COG0051",390,317,289,745,1120,988
"COG0052",1688,2151,1287,691,442,568
"COG0053",2464,2067,2455,2295,2165,2310
"COG0054",886,1312,703,1234,1218,1197
"COG0055",3594,4461,2024,3540,3291,3673
"COG0056",4054,5177,2995,4404,3872,4128
"COG0057",1952,3223,2039,2686,2198,2307
"COG0058",2137,1848,1670,6316,6045,6313
"COG0059",2350,2682,1986,2143,2393,2236
"COG0060",5616,7225,3990,6181,5800,6947
"COG0061",627,797,489,1600,1920,2044
"COG0062",1966,2748,1567,2625,2076,2369
"COG0063",2337,3372,1616,2661,2301,2397
"COG0064",1232,2561,384,898,1325,795
"COG0065",3158,3341,1792,3159,2868,2906
"COG0066",1281,1175,1371,1245,1510,1415
"COG0067",4693,5204,3355,7607,5090,4913
"COG0068",221,1406,307,248,562,224
"COG0069",4826,5346,3402,7655,4877,5171
"COG0070",4082,5161,3293,7345,4603,4514
"COG0071",1545,2104,2218,1732,1803,1256
"COG0072",3597,5312,2856,4862,3462,4478
"COG0073",6797,10231,6026,8717,7065,8177
"COG0074",157,222,698,242,124,243
"COG0075",1503,1107,1692,2540,1916,1536
"COG0076",1430,465,1903,816,1372,1575
"COG0077",2099,2071,1084,1597,1944,1558
"COG0078",3108,3869,2045,2319,2740,2415
"COG0079",4204,3696,5155,3619,6444,4687
"COG0080",1242,1456,1325,1199,1313,1054
"COG0081",1659,2476,1838,2031,1738,1677
"COG0082",2313,2014,1722,1735,1858,2315
"COG0083",335,1427,179,171,350,256
"COG0084",3136,2817,2968,2150,3066,3027
"COG0085",8370,9291,9648,8993,8217,9389
"COG0086",7620,9589,5359,9202,7525,9324
"COG0087",1596,2166,1630,1711,1660,1631
"COG0088",1683,2177,1749,1626,1732,1605
"COG0089",891,1164,1041,936,1055,901
"COG0090",1622,2907,1355,2104,1680,1838
"COG0091",1070,1436,1099,1181,1216,1059
"COG0092",1342,2180,1225,1766,1401,1523
"COG0093",845,1330,876,977,899,816
"COG0094",1347,1985,1679,1533,1645,1425
"COG0095",597,855,623,185,649,593
"COG0096",926,1565,945,1273,922,910
"COG0097",1307,2020,1176,1796,1343,1297
"COG0098",1518,2026,1525,1656,1632,1479
"COG0099",958,1164,978,1007,1234,936
"COG0100",847,1393,763,1049,967,905
"COG0101",2223,3100,2164,2037,2249,2198
"COG0102",1195,1308,940,1003,1091,1153
"COG0103",1067,1167,1143,1303,1128,999
"COG0104",3378,4226,2196,2981,3489,3298
"COG0105",409,307,662,304,280,595
"COG0106",1508,1421,1504,1342,1571,1465
"COG0107",1405,1881,1057,1457,1396,1356
"COG0108",1904,2476,2766,2421,2125,2855
"COG0109",14,8,82,7,1,1
"COG0110",7187,5036,10458,6241,8785,10205
"COG0111",4347,4850,3019,2835,3639,3794
"COG0112",2153,2945,2078,2806,2256,2700
"COG0113",305,447,339,281,475,272
"COG0114",609,1443,249,141,161,141
"COG0115",3673,2873,2524,3299,3032,3389
"COG0116",2194,2247,1561,1801,1733,2364
"COG0117",1928,2545,1508,2176,1758,2073
"COG0118",1282,1458,1158,1310,1353,1166
"COG0119",5013,4980,4102,6310,5875,5767
"COG0120",177,977,603,172,158,204
"COG0121",21,12,46,1,5,0
"COG0122",949,544,525,289,644,307
"COG0123",24,3,47,61,93,111
"COG0124",3301,3831,2703,3106,3186,3271
"COG0125",717,1011,203,428,461,426
"COG0126",2570,3347,1653,2702,2284,2857
"COG0127",1685,2205,1177,1531,1564,1701
"COG0128",2408,2285,2251,2144,2204,2748
"COG0129",4243,3780,4197,4174,3793,3739
"COG0130",1761,2447,1026,1705,1571,1725
"COG0131",538,513,508,1617,1746,1631
"COG0132",924,624,997,539,919,1065
"COG0133",2316,2519,1390,1974,1736,1846
"COG0134",1632,1566,1218,1152,1284,1165
"COG0135",964,1313,532,962,622,588
"COG0136",2067,3190,1515,2353,2054,2357
"COG0137",3357,2844,2570,3065,2826,2784
"COG0138",4631,4541,3394,4278,4040,4479
"COG0139",1300,1342,1562,1252,1669,1486
"COG0140",1267,1107,1565,997,1541,1290
"COG0141",2429,2438,1869,2257,2373,2346
"COG0142",3323,4903,3457,4072,3357,3664
"COG0143",3699,4918,3409,4188,3794,4112
"COG0144",3357,3828,3180,2686,3139,3326
"COG0145",166,63,194,190,168,145
"COG0146",58,11,0,108,41,60
"COG0147",3494,2794,3626,4393,3777,3183
"COG0148",3419,3624,2038,3165,3432,3292
"COG0149",1723,1971,1479,1318,1623,1811
"COG0150",2250,3020,1860,2165,2118,2762
"COG0151",2824,3280,1519,2185,2436,2739
"COG0152",2204,2350,1459,2198,2091,2333
"COG0153",3186,2606,2518,2725,3231,2784
"COG0154",1502,2836,440,971,1216,894
"COG0155",115,484,513,218,148,157
"COG0156",1217,642,1665,3585,4674,5425
"COG0157",1749,1566,1862,1576,1978,1777
"COG0158",33,62,133,28,64,62
"COG0159",1573,1672,1242,1549,1354,1285
"COG0160",206,863,130,235,453,147
"COG0161",1511,906,2170,1193,1879,2390
"COG0162",3047,3379,1728,1032,915,954
"COG0163",126,183,138,115,131,212
"COG0164",1600,1698,1314,1306,1599,1449
"COG0165",3145,3725,2366,3220,2861,2910
"COG0166",2922,3835,3036,2773,3145,3252
"COG0167",3161,2883,3734,2089,3447,3642
"COG0168",6728,6460,6571,5203,6916,6674
"COG0169",2010,2211,1815,1872,2033,1908
"COG0170",0,0,0,0,0,19
"COG0171",3463,4340,2152,3787,3359,3748
"COG0172",2892,3677,2248,2405,2839,2955
"COG0173",4466,3944,2891,3525,3589,4020
"COG0174",2264,3248,1636,1110,2070,1551
"COG0175",1559,1196,2200,1252,2009,1603
"COG0176",1327,1290,1363,854,1238,1076
"COG0177",1655,2040,1484,1528,1487,1693
"COG0178",8242,11260,7396,9293,8216,9979
"COG0179",926,1462,743,1522,1155,965
"COG0180",2382,3001,2586,2492,2540,2491
"COG0181",144,425,343,357,333,331
"COG0182",662,484,345,383,280,402
"COG0183",652,2347,712,641,648,660
"COG0184",854,863,822,755,904,636
"COG0185",797,997,873,681,1010,827
"COG0186",645,1135,746,947,682,672
"COG0187",8262,9461,6801,7372,7739,8881
"COG0188",9224,10443,8603,3336,3184,3364
"COG0189",1077,40,326,200,198,417
"COG0190",2292,2466,1731,2185,2226,2421
"COG0191",2826,3210,2871,2738,2639,2407
"COG0192",3096,3588,2948,3406,3340,3526
"COG0193",1550,1855,1246,1390,1479,1568
"COG0194",1918,2739,1594,1794,2146,1899
"COG0195",2860,3577,2699,3208,2786,2983
"COG0196",1999,2436,1173,1690,1900,1897
"COG0197",1304,1554,1413,464,508,387
"COG0198",871,1240,643,1111,785,873
"COG0199",484,780,576,749,631,562
"COG0200",1230,1435,1427,1107,1374,1199
"COG0201",3070,4015,2742,3383,3123,3261
"COG0202",2354,2568,1899,2231,2443,2625
"COG0203",1109,1172,809,1056,1174,1128
"COG0204",1560,1051,1644,3784,4254,3934
"COG0205",8081,6144,8478,7433,8540,7927
"COG0206",2830,2861,2735,2621,2637,3223
"COG0207",2042,1276,2068,1479,1741,2443
"COG0208",751,758,1991,429,928,564
"COG0209",3764,3172,4775,1949,3789,4876
"COG0210",7993,10073,8794,9909,7624,8530
"COG0211",497,767,596,638,618,564
"COG0212",1395,1708,1307,1412,1414,1346
"COG0213",1065,665,223,397,524,483
"COG0214",323,1124,225,860,214,400
"COG0215",3164,4073,2948,3682,3035,3677
"COG0216",2189,3128,1513,2341,1897,2413
"COG0217",1745,1975,1637,1873,1810,1938
"COG0218",1180,1612,1027,1363,1038,1176
"COG0219",207,356,136,480,589,450
"COG0220",1864,1767,1860,1647,1914,1807
"COG0221",361,306,120,224,390,235
"COG0222",237,359,215,786,863,764
"COG0223",2373,2636,2470,1989,2536,2503
"COG0224",2617,3518,2116,2601,2683,2378
"COG0225",891,528,1484,707,813,976
"COG0226",2815,3262,2675,2501,2871,2377
"COG0227",466,487,434,594,540,503
"COG0228",722,920,336,665,781,901
"COG0229",479,458,745,566,367,780
"COG0230",197,146,401,158,410,191
"COG0231",1475,2168,1477,1669,1559,1519
"COG0232",2419,1777,2410,3088,2631,2613
"COG0233",1707,1822,1721,1693,1647,1731
"COG0234",945,857,629,760,1096,745
"COG0235",3637,1720,2972,2942,2516,2350
"COG0236",1114,1280,1291,1090,1319,1016
"COG0237",1044,1465,1163,985,1295,1218
"COG0238",392,732,383,621,475,426
"COG0239",555,793,751,343,686,558
"COG0240",2187,2940,1778,2225,2346,2398
"COG0241",1316,1600,2070,4775,1624,1652
"COG0242",1790,2633,1438,1612,1937,1715
"COG0243",580,2321,3051,687,1062,1013
"COG0244",1324,1306,1049,587,1152,1037
"COG0245",1418,1482,1421,1486,1533,1409
"COG0246",2906,5285,2583,4384,2237,2610
"COG0247",1987,1838,1559,1642,2500,2995
"COG0248",940,3492,2169,1237,1241,1103
"COG0249",8009,6224,6507,5506,7122,8492
"COG0250",1505,2342,1787,1861,1759,1712
"COG0251",2094,2316,2103,2400,2128,2464
"COG0252",3212,2797,3723,3070,3845,3756
"COG0253",2225,2653,1839,1688,1972,1793
"COG0254",511,513,421,351,501,442
"COG0255",337,434,178,244,324,165
"COG0256",341,497,327,1310,1152,1057
"COG0257",83,68,15,62,67,20
"COG0258",5450,6277,3288,4767,4482,5327
"COG0259",527,41,418,283,584,317
"COG0260",207,497,325,183,138,248
"COG0261",898,1169,866,976,901,959
"COG0262",703,528,490,990,1517,1600
"COG0263",2113,1726,2334,1300,1902,2233
"COG0264",2306,2357,2492,2184,2390,2709
"COG0265",4073,3770,2788,3577,4096,3840
"COG0266",180,807,461,319,232,326
"COG0267",83,73,123,377,319,263
"COG0268",192,485,196,194,248,180
