"","NLM026","NOM007","NLM002","DOF007","NLM001","NLF010"
"COG0001",516,643,310,204,605,496
"COG0002",2085,1577,1223,1828,2244,2154
"COG0003",142,100,142,337,357,1331
"COG0004",3244,2279,3035,1102,3762,1559
"COG0005",1390,1586,2033,1614,1606,856
"COG0006",5495,5880,8342,6192,7128,7309
"COG0007",341,391,332,253,411,515
"COG0008",7766,7271,8035,4700,7407,4756
"COG0009",2669,2559,2152,2466,2606,3421
"COG0010",1305,579,263,848,403,608
"COG0011",38,27,18,32,19,8
"COG0012",1076,1046,1198,1856,2493,1809
"COG0013",6637,5652,7192,4110,6050,4928
"COG0014",2404,1826,2341,1835,2366,2566
"COG0015",3339,3383,4246,2865,3468,2540
"COG0016",2725,3048,2820,1955,2778,2459
"COG0017",1215,1313,1271,2719,3168,2843
"COG0018",4591,4507,4554,3243,4775,4686
"COG0019",4697,5671,5972,3749,5447,5335
"COG0020",1912,2051,2198,1661,2138,1848
"COG0021",1478,2721,5253,2692,3342,2739
"COG0022",263,157,84,1034,107,860
"COG0023",346,268,158,648,238,874
"COG0024",3295,4402,4830,2894,4403,3420
"COG0025",805,590,554,276,908,231
"COG0026",104,41,182,93,97,46
"COG0027",768,1147,3062,1492,1232,1498
"COG0028",4481,4303,4668,5227,4482,4230
"COG0029",2483,2366,4545,2433,2746,3049
"COG0030",3642,3750,2673,1533,3056,4151
"COG0031",3331,1963,2340,2373,2786,2859
"COG0033",44,22,145,69,70,12
"COG0034",5548,5583,7356,3991,5021,4557
"COG0035",1959,2381,2390,1414,2042,2350
"COG0036",2279,1903,2273,1488,2408,1926
"COG0037",5924,6100,3968,1180,1512,1328
"COG0038",3076,3886,5262,4458,3248,4383
"COG0039",2891,3458,3050,2830,3134,4656
"COG0040",1399,1252,1663,1731,1329,2098
"COG0041",505,491,602,921,1302,1463
"COG0042",3747,3764,4193,3212,3574,3874
"COG0043",189,178,428,386,297,316
"COG0044",3394,2968,3816,2442,3024,3037
"COG0045",119,67,100,1143,146,300
"COG0046",6974,6930,9673,3577,7850,5578
"COG0047",6584,6554,9501,3268,7324,4659
"COG0048",1365,1349,1097,606,1149,566
"COG0049",1716,2020,1566,1019,1737,1249
"COG0050",3937,3899,3468,2169,4167,2862
"COG0051",1223,1478,661,876,907,1194
"COG0052",2237,2377,2741,1520,2393,1101
"COG0053",2856,2520,2271,2097,2588,2491
"COG0054",758,975,1151,859,1282,974
"COG0055",4084,3534,4095,2167,3777,2077
"COG0056",4810,3731,4550,2334,4862,2834
"COG0057",3164,2790,2421,1642,3048,1771
"COG0058",9256,8674,6715,5088,8225,5300
"COG0059",2163,1643,2382,2207,2286,2030
"COG0060",8037,7521,6682,5286,6311,3635
"COG0061",1839,2226,2855,503,640,499
"COG0062",671,987,1337,1749,2760,1670
"COG0063",2234,3015,4161,1806,2802,1764
"COG0064",2066,1715,488,281,1266,619
"COG0065",2460,1766,2925,2806,2340,1613
"COG0066",1133,1025,1459,1174,1172,1534
"COG0067",6160,3995,8921,3162,5550,2935
"COG0068",337,190,218,328,374,762
"COG0069",6076,3987,7911,3637,5343,3461
"COG0070",5665,3743,7777,3531,5126,2480
"COG0071",1837,2517,1413,1667,2443,2302
"COG0072",5442,5305,5962,3228,4686,2706
"COG0073",9758,9325,11908,5473,10085,6112
"COG0074",450,70,234,819,266,382
"COG0075",932,838,2401,1668,2678,2595
"COG0076",649,307,248,2167,472,1495
"COG0077",1742,1380,1846,1187,2016,1464
"COG0078",2729,1920,2494,1801,2551,2364
"COG0079",4609,5559,2554,3109,4095,4620
"COG0080",1584,1847,1293,785,1433,1550
"COG0081",2221,2218,2057,1422,1988,1812
"COG0082",2267,1995,2867,1784,2092,1600
"COG0083",658,259,186,161,239,250
"COG0084",2511,2823,2760,3138,2656,3258
"COG0085",11119,9011,10143,7378,11386,8719
"COG0086",10941,9393,12274,6668,10548,4748
"COG0087",2354,2214,1880,1286,1883,1911
"COG0088",2153,2515,2065,1325,2291,1828
"COG0089",1210,1463,754,901,1177,1099
"COG0090",2842,2597,2591,1159,2457,1158
