"","DOM005","NOF007","DOF006","NOM014","DOF012","NOF009"
"COG0001",930,257,290,397,634,428
"COG0002",1418,2375,1828,2376,1731,2055
"COG0003",618,543,1712,746,37,199
"COG0004",1246,2185,1476,2118,1804,1878
"COG0005",1465,1171,1083,1117,916,1422
"COG0006",6199,6174,7328,7056,5268,6832
"COG0007",687,539,495,576,493,405
"COG0008",4983,5839,5021,5839,6295,5482
"COG0009",2184,3076,2645,3338,3012,2984
"COG0010",1200,439,1018,572,724,1076
"COG0011",40,25,21,24,200,25
"COG0012",2211,2398,1994,2610,2997,2284
"COG0013",4120,4953,5267,5681,5673,5223
"COG0014",1941,2780,2586,3128,2111,2957
"COG0015",2696,3290,2856,3063,3972,2918
"COG0016",1984,2542,2262,670,658,744
"COG0017",2669,3585,3253,3190,3111,3064
"COG0018",3031,4346,4191,4341,4266,4343
"COG0019",3078,4043,3476,4722,3986,4392
"COG0020",1557,1745,1628,444,549,415
"COG0021",1953,1502,2630,2841,1784,2356
"COG0022",483,59,241,329,566,959
"COG0023",734,705,649,737,147,663
"COG0024",3006,3600,3231,4250,2733,3491
"COG0025",495,175,642,365,2459,458
"COG0026",91,82,72,103,963,87
"COG0027",1030,1226,1300,1554,904,1670
"COG0028",5482,5286,5505,4975,7867,4921
"COG0029",2220,3115,3636,3223,1649,3385
"COG0030",1568,3958,2375,2620,8184,2320
"COG0031",2463,2694,2804,2930,2293,2562
"COG0033",193,11,44,39,693,35
"COG0034",3360,4029,4355,4994,3327,4825
"COG0035",1271,2379,1783,2076,1951,2000
"COG0036",1091,1509,1257,1379,3039,1352
"COG0037",3705,5055,3547,4947,4195,4472
"COG0038",4227,4036,4472,4537,5913,4750
"COG0039",2556,3873,3477,1031,1406,950
"COG0040",1393,1958,1500,1847,1509,1847
"COG0041",642,1398,1372,1592,1398,1265
"COG0042",3068,4301,3991,3992,4030,4106
"COG0043",654,276,240,334,1032,426
"COG0044",2823,3121,3380,3566,4108,3435
"COG0045",1391,185,724,125,453,471
"COG0046",3918,5948,5287,5593,4029,5794
"COG0047",3849,5359,4444,4807,3473,5000
"COG0048",600,779,470,761,1597,606
"COG0049",1138,1347,1133,1297,2047,1135
"COG0050",2095,3106,2985,3149,3816,3565
"COG0051",804,1111,784,1068,1386,916
"COG0052",1598,1504,1284,1613,2147,1387
"COG0053",1944,2201,2176,2299,1742,2163
"COG0054",279,283,184,1170,972,989
"COG0055",1981,2953,2265,748,792,564
"COG0056",2472,3383,3135,3543,3608,3280
"COG0057",1897,1967,1740,1955,2625,2086
"COG0058",3659,6911,4146,5844,4406,4734
"COG0059",1910,2253,1808,2508,2065,2203
"COG0060",5052,4981,4249,5687,5102,5509
"COG0061",1877,1718,1508,2121,2585,1752
"COG0062",1616,2234,1948,2322,1684,2060
"COG0063",1740,2309,1939,2488,2833,2169
"COG0064",446,893,260,763,2409,532
"COG0065",2215,2087,1857,3375,1960,2216
"COG0066",881,1489,1215,1924,1060,1364
"COG0067",4045,4301,3388,4492,2399,4604
"COG0068",357,296,233,240,1293,398
"COG0069",4214,4169,4381,4385,2858,4473
"COG0070",3936,3927,2575,4112,3073,4150
"COG0071",1239,1641,1491,1634,2376,1319
"COG0072",3990,3052,2856,2786,4099,2941
"COG0073",6319,6674,6188,6097,7204,5985
"COG0074",1260,265,789,58,127,104
"COG0075",1748,2478,2299,2309,812,1910
"COG0076",2316,1172,2229,1658,1078,1986
"COG0077",1284,1676,1507,1684,1747,1561
"COG0078",1618,2548,2452,3016,3280,2304
"COG0079",4024,7542,3595,6081,3986,5335
"COG0080",816,1281,1019,1206,1686,1078
"COG0081",1555,1828,1681,1632,2571,1743
"COG0082",1806,1643,1895,2012,1585,1782
"COG0083",133,202,123,173,1527,174
"COG0084",2582,3014,2669,3259,3407,3350
"COG0085",6281,8755,8540,7327,7341,8904
"COG0086",7034,7089,5935,6419,7268,6857
"COG0087",1191,1616,1486,1559,2335,1346
