"","NOF005","DLM021","NLM025","NOM019","DLF004","NLM017","NOM029","NOF010","DOM024","DLM002","NOM007","DOM008","DOM015","DOM018","DLF008","NLM031","DOF006","DLF014","DOF008","NOM010","NLF002","NLF008","DOM019","DLF001","NLM024","DLM004","NLM010","DLM023","NOM028","NLM026","NOM022","DLM024","NOM017","DOF012","NOF011","DLM006","NOF009","NLM021","NLF013","NLM027","NLF010","NLM008","DLF012","DLM015","NOM016","NLM006","DLM020","NLM032","NOM015","NOM008","NOF013","DOF009","NLM028","NLM022","DOF011","NOM013","DOF003","NOM009","NOM018","NOM002","NLM004","NOM020","DLM008","NLF012","NOM001","DLM014","NOM005","NOM027","DOM003","DOM021","NOF012","DLF006","DLM019","NLF007","NLM007","DLF009","NLM023","NOF002","DLM027","DLM012","DOM005","NLM016","DOM026","DLM016","DLM005","DOM016","DLM003","DLF005","DOF014","DOM023","NOF006","DLM013","DLM001","NLF015","NOM004","DOM022","NOF007","NLF009","DLF007","NOM012"
"COG0001",0,2,0,4,3,1,2,0,3,1,1,0,2,3,1,6,0,2,2,4,0,1,0,0,0,0,4,1,0,1,0,1,0,1,2,0,0,1,0,2,0,1,5,0,3,1,1,3,0,1,0,1,0,0,1,2,0,4,3,4,2,0,1,3,4,2,3,6,2,0,0,4,3,1,1,2,0,4,2,0,1,1,1,0,2,1,1,0,4,0,1,5,2,4,0,5,0,0,0,3
"COG0002",6,2,3,5,3,1,4,5,6,8,1,5,7,6,4,8,3,8,3,5,3,4,7,2,5,8,5,3,5,6,10,0,2,2,2,3,3,5,6,2,6,3,8,5,3,7,8,3,4,3,2,3,5,5,3,7,5,4,3,4,3,4,7,3,5,3,4,4,3,4,4,5,2,6,6,3,2,3,7,5,2,5,5,6,5,5,6,2,2,3,2,6,4,2,1,1,6,5,3,4
"COG0003",3,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,3,1,0,0,1,0,5,2,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,2,0,2,2,0,2,1,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,0,4,1,0,2,0,0,0,1,2,0,0,1,1,3,0,1,0,0,0,2,0,0,0,0,0,4,1,1,1,1,0
"COG0004",6,3,7,8,11,2,6,4,9,3,6,3,9,11,2,0,3,12,3,2,13,3,2,0,4,0,9,7,3,8,11,4,14,2,2,6,3,5,2,6,2,7,3,4,6,1,2,8,4,4,6,6,4,8,11,5,1,9,0,9,9,7,8,3,11,4,4,2,7,1,5,2,11,4,3,5,4,10,11,3,3,4,4,6,3,9,5,6,5,5,3,0,0,3,3,4,4,4,2,6
"COG0005",1,2,2,3,5,4,0,3,5,0,1,4,3,4,2,2,2,2,3,2,1,3,1,3,6,4,4,1,4,4,0,5,5,0,1,3,2,2,3,2,2,3,1,2,1,3,1,1,5,4,1,3,2,2,1,2,3,4,4,3,1,5,2,4,2,4,3,2,4,8,1,2,2,1,0,1,3,2,3,0,4,5,0,2,3,4,1,4,5,3,2,4,3,5,3,4,1,2,2,2
"COG0006",14,5,15,19,12,4,10,11,14,5,12,16,12,11,15,9,11,12,9,20,12,11,11,13,9,16,9,11,12,8,14,8,19,8,18,5,12,8,15,10,9,12,9,16,13,12,13,6,10,14,10,8,13,10,9,8,19,14,11,13,15,13,13,12,14,14,9,5,27,14,10,14,7,15,9,3,13,16,14,10,13,12,17,15,10,21,16,15,13,22,9,8,12,10,17,16,12,14,12,8
"COG0007",2,0,0,2,4,0,2,0,1,1,2,0,0,2,3,1,1,6,2,1,2,2,2,2,1,2,2,0,0,2,0,2,1,0,2,1,0,2,0,5,2,1,7,0,1,4,0,2,1,0,1,0,3,2,1,0,2,3,3,4,1,0,1,3,8,1,5,6,1,1,0,0,2,2,0,2,2,2,0,3,2,0,1,0,0,2,0,1,2,0,0,0,2,3,2,3,1,0,1,1
"COG0008",9,13,19,18,17,8,13,18,12,25,17,12,15,17,9,13,8,18,13,16,9,18,14,11,17,7,13,13,11,20,24,7,13,13,13,14,8,12,14,17,10,10,9,11,19,12,13,15,11,12,8,17,9,22,14,17,21,13,14,21,10,19,15,17,20,12,11,13,12,11,22,12,23,17,12,11,10,10,13,15,12,27,15,12,12,14,9,11,15,16,7,15,18,16,6,17,14,22,11,26
"COG0009",6,1,2,10,2,6,5,8,8,4,5,8,8,7,5,5,6,6,5,8,5,6,10,3,6,3,6,4,10,7,9,1,4,12,2,2,6,8,5,6,8,3,7,2,7,4,8,3,4,5,4,6,4,5,3,3,4,7,7,0,1,7,6,5,4,6,6,4,5,5,9,6,8,3,6,3,2,8,5,6,3,4,3,4,5,5,7,3,4,3,7,4,7,2,9,7,2,6,4,3
"COG0010",1,5,3,0,2,1,2,2,1,0,1,3,2,1,3,0,4,0,1,0,1,0,5,1,3,1,6,3,1,2,3,2,3,1,2,0,3,4,3,5,0,1,0,0,2,4,2,0,0,3,1,1,0,0,0,0,1,3,1,1,0,2,1,1,1,1,2,4,1,1,1,1,3,0,1,3,4,1,3,0,5,2,0,2,1,0,2,0,1,0,1,3,2,5,1,0,0,2,2,2
