"","DLM022","NLM007","DOF011","NOM028","DLF003","DLM017","DLM012","NOF009","DOM019","NLM008","DLF004","NLM001","NLM021","NLM002","DLF013","NLF002","DLF006","DLM010","NOF005","DOM023","NLM031","DLM005","DOF008","NOM017","NOF010","NOM008","DLM009","NLM004","DLM015","DLM002","NOM016","DOM021","DOM026","NOM010","DLM020","NLM032","DLF007","DOM016","DOF006","NLM026","NOM020","NLM029","DLM028","DLM023","DLM011","NLF012","NOF011","DLM013","DOM024","NOM019","NOM029","DOF003","NLF010","NLM024","DLF012","DLF010","DLF014","NOM025","NLM010","NOM014","DOM005","DLM016","DOM008","NOF008","NOM022","DLM018","DLM014","NOM005","DLF005","DOF007","NLM023","DLF001","DLM003","NOM012","DOM001","NOM002","NOM027","NOF012","NLM028","NLF007","NOF013","DOM022","NLF013","NLM009","DLM019","NOM004","DLM024","DLM001","NOM013","NOM018","NOF014","DLF008","NLF009","DLM021","DOM003","NLF008","DLM006","NOF006","NLM006","NOM009"
"COG0001",2,1,2,1,0,3,2,1,0,2,0,1,2,1,4,2,3,1,0,1,4,3,0,0,0,1,2,2,0,0,1,1,1,1,0,3,0,1,1,3,1,1,0,1,1,0,2,4,0,6,1,0,0,2,4,4,3,1,2,0,1,1,0,2,0,2,0,3,1,0,2,0,0,2,2,3,4,0,2,1,0,0,2,0,4,0,3,2,1,1,1,0,0,0,0,0,0,2,1,1
"COG0002",3,3,7,1,3,10,4,4,4,3,4,2,4,4,4,2,7,3,4,4,4,2,6,2,2,7,7,2,8,6,4,8,7,6,4,4,4,5,4,6,3,1,3,3,2,7,6,2,5,3,1,3,5,1,5,4,5,2,3,6,1,9,2,4,5,4,5,3,5,3,4,6,4,3,2,3,7,5,7,4,1,1,6,6,4,1,3,9,6,4,5,4,4,2,5,6,3,4,5,2
"COG0003",2,1,1,0,1,0,0,0,0,0,1,1,0,0,2,0,2,0,1,0,0,2,1,0,1,3,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,2,0,1,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2,3,1,0,0,2,0,0,1,0,1,2,0,0,0,0,0,1,0,0
"COG0004",3,4,7,7,9,6,3,4,2,6,8,6,5,5,4,4,3,4,4,7,3,1,11,11,12,2,7,9,4,4,3,1,8,4,6,5,5,1,3,7,4,12,5,3,4,3,3,2,6,5,4,1,1,8,6,2,9,6,10,4,6,4,2,3,7,6,3,9,5,2,3,2,4,7,4,1,15,3,2,10,4,2,5,5,5,4,7,5,8,4,11,0,3,3,13,3,6,4,1,8
"COG0005",1,2,5,1,3,0,0,3,4,2,3,3,2,2,2,1,3,1,1,2,4,2,4,3,1,5,2,6,2,2,3,3,4,2,3,2,3,3,3,4,1,1,2,2,2,1,4,2,1,6,1,4,1,4,0,5,1,4,5,2,2,0,4,2,3,2,1,1,3,6,1,2,2,3,4,3,4,0,1,2,1,4,3,4,3,2,2,1,4,2,3,4,2,4,2,2,2,0,4,1
"COG0006",12,18,12,12,12,8,6,7,18,9,13,19,17,21,10,9,5,11,13,19,8,8,7,10,6,18,13,9,9,9,17,14,7,14,11,17,16,20,13,9,18,10,14,12,13,18,17,10,13,17,12,11,14,16,5,10,7,20,7,11,8,12,13,10,9,12,13,8,13,14,12,18,10,8,6,7,6,15,12,15,21,9,12,18,7,16,12,11,5,15,11,9,9,13,17,11,4,14,10,14
"COG0007",1,1,1,2,0,2,1,2,1,2,0,2,1,0,1,1,2,3,3,1,0,3,2,0,0,2,2,1,0,2,2,1,4,3,0,1,1,1,0,0,2,1,2,0,0,0,1,2,1,4,4,2,1,1,6,1,2,3,2,0,1,0,1,0,0,2,1,4,1,1,2,1,1,0,0,7,4,0,2,2,0,1,0,0,0,1,1,2,3,5,2,2,2,0,1,1,0,2,2,0
"COG0008",15,13,14,8,14,23,12,11,17,11,22,12,13,21,10,9,11,11,14,8,12,6,8,21,11,9,13,14,15,16,17,13,15,11,12,8,8,17,8,17,14,19,11,14,6,10,15,14,8,15,11,16,10,16,10,22,10,14,15,11,9,12,5,18,19,19,15,13,17,10,6,13,5,15,12,11,17,19,20,18,18,10,11,12,13,5,9,14,19,14,12,7,8,19,20,12,14,17,13,19
"COG0009",5,6,7,8,3,3,3,6,5,6,4,4,3,2,7,9,7,5,1,4,5,11,6,5,7,4,5,3,7,7,7,7,5,8,3,9,3,11,5,10,3,6,7,11,6,5,5,4,8,4,3,3,6,7,3,3,6,8,6,16,5,4,5,4,4,4,9,1,5,8,4,8,7,6,6,4,3,5,8,4,5,6,3,5,9,6,5,5,7,6,9,4,3,8,6,3,2,6,7,7
"COG0010",1,1,1,2,0,1,1,6,4,1,0,0,1,0,4,1,1,0,0,2,0,1,0,1,0,0,1,0,2,1,1,0,1,0,1,1,3,0,3,2,2,1,2,3,0,3,2,2,2,3,4,2,2,1,0,2,0,0,2,1,1,1,2,0,2,4,2,1,2,0,6,1,2,0,2,2,4,4,1,0,1,2,1,0,5,2,9,2,2,0,2,1,3,1,2,2,1,2,1,0
"COG0011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"COG0012",4,8,1,6,5,10,4,8,10,3,2,9,6,5,6,9,4,8,7,5,9,6,7,4,6,3,8,4,2,6,3,3,2,4,6,8,3,5,5,8,10,8,7,8,5,7,5,10,4,7,2,6,5,4,5,10,2,3,7,4,4,6,2,6,1,7,2,4,2,9,3,0,0,6,5,3,4,7,4,9,4,5,9,7,4,6,3,10,4,7,6,5,6,8,2,3,6,2,5,7
"COG0013",13,11,17,12,4,15,4,14,12,7,6,13,8,14,14,13,9,12,12,12,12,20,7,12,7,8,10,21,11,12,15,18,7,15,11,12,9,11,4,14,16,20,14,14,19,14,12,7,7,9,9,19,9,22,2,19,13,10,10,17,8,16,8,6,10,17,20,10,12,8,10,7,12,4,15,11,12,19,16,10,8,10,13,13,16,10,6,11,9,10,8,6,8,10,7,16,16,7,17,10
"COG0014",1,8,7,7,4,4,4,2,5,8,6,8,5,2,8,4,2,6,5,3,5,5,5,3,4,2,5,5,4,3,6,5,5,6,5,1,6,8,5,2,8,9,3,9,9,4,4,3,5,2,6,5,3,4,3,2,4,4,8,4,8,9,6,6,8,4,7,3,4,7,5,7,4,3,4,8,11,1,4,6,7,3,6,7,5,3,2,9,2,8,5,3,6,5,5,5,6,9,7,4
"COG0015",11,6,9,7,10,10,14,1,2,3,5,6,8,6,4,16,6,5,6,3,2,11,8,10,2,8,9,3,9,5,5,3,6,6,2,4,6,9,6,8,7,6,8,11,12,7,5,10,6,10,9,3,3,5,10,4,8,6,6,8,6,5,4,7,7,10,9,3,8,9,6,1,6,10,9,5,5,7,2,10,4,5,6,10,10,6,6,5,5,9,10,6,6,6,8,4,6,3,7,9
