"","NOM027","NLM025","NLM023","NOF011","DLM010","DLM027","NLF013","DLF014","NOM029","NLM004","NOM010","DOF006","NOF014","NOF009","NOM018","DLF012","NOF002","DLM020","DLM011","DOF003","DLM014","DOM026","DLM021","DLF001","DOF007","DLM002","NLM009","DLM012","NOM002","NOM015","NOM009","DOM024","NLF005","NLM024","DLM015","NOM019","NOM008","NLM031","NOM012","DLM023","NOF010","NOM014","NLM026","NLM022","DLF010","NOM028","NLM027","NLM002","DLF004","NOF006","DLF008","DLM017","NOM013","NLF015","NLM017","NLM028","NLM007","DOM010","DLM006","NLM001","NOM022","DLF009","NLM006","DLM016","NOM020","DLM004","NLF001","DOF004","DOM013","NOM005","NLF008","NLF007","NOM001","DOM005","DLF005","DLM022","NLF012","DOM016","DOM015","DOM008","DOM018","DOF011","NLM021","NLF010","DOF014","DOM003","DOF012","DOM023","NOM004","NLM032","NLM008","NLM016","NOF013","NLM029","NOM025","DOF009","NOM026","DLM013","NOM007","DLM003"
"COG0001",4,1,1,2,2,0,2,5,2,0,2,1,4,0,0,0,3,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,7,3,2,0,1,1,2,1,2,0,3,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,1,2,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,2,0,0
"COG0002",4,0,5,6,2,3,2,4,4,3,3,3,4,5,5,3,3,5,6,8,4,9,6,5,4,4,4,7,3,5,4,5,4,8,6,5,2,3,1,3,4,5,6,2,3,3,2,3,1,3,2,6,5,7,4,5,3,4,3,2,3,7,9,5,4,1,5,2,4,2,2,6,3,2,2,5,1,4,6,2,4,5,4,6,2,4,4,6,6,8,6,2,2,4,2,7,6,6,6,3
"COG0003",0,0,1,1,1,2,3,2,0,0,1,4,1,1,0,0,3,1,3,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,1,1,4,0,0,0,0,2,0,2,1,0,0,0,0,1,3,0,0,0,2,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,3,0,2,1,0,0,1,0,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
"COG0004",7,10,6,5,4,9,6,4,3,3,7,5,7,0,9,10,5,5,4,3,4,7,6,3,2,7,12,4,5,5,5,5,5,8,5,5,4,5,8,7,10,5,3,4,5,6,7,4,5,4,5,6,4,5,3,2,0,8,5,8,7,2,5,7,5,3,6,2,4,3,4,9,14,3,4,1,4,2,8,4,4,8,2,3,5,11,3,7,2,8,5,8,6,3,5,4,5,5,5,6
"COG0005",2,4,3,1,2,3,1,2,4,2,6,2,0,1,4,3,1,3,1,4,4,2,4,4,6,0,5,1,2,3,1,3,5,6,4,3,2,3,5,0,5,4,2,3,3,3,0,2,6,1,3,6,0,0,1,1,2,1,2,0,5,3,4,2,5,3,2,4,1,1,3,3,6,3,2,1,4,4,0,1,0,2,2,0,0,1,5,6,3,1,4,8,3,0,2,4,0,2,3,5
"COG0006",8,25,8,9,12,9,9,6,17,8,10,9,9,16,15,4,8,9,9,17,13,12,14,14,16,15,8,13,7,15,14,12,13,19,17,15,9,13,9,11,14,11,8,10,6,12,9,24,11,11,21,15,11,8,6,10,9,15,16,17,13,7,16,14,12,14,10,14,12,13,16,17,18,20,9,10,15,22,14,9,9,17,18,15,9,11,12,17,15,20,6,17,10,9,14,17,14,16,16,14
"COG0007",2,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,2,0,0,0,2,0,2,1,0,2,3,2,1,1,2,1,2,1,0,0,1,0,1,2,3,1,5,1,1,5,3,2,1,0,2,1,0,1,1,2,1,2,0,2,1,0,1,2,0,0,1,2,1,1
"COG0008",19,20,8,22,23,14,10,18,15,16,7,4,14,9,17,12,12,15,10,12,9,11,15,10,10,18,13,17,14,16,16,12,10,18,16,17,11,14,17,13,19,14,22,8,20,8,15,9,16,7,16,13,14,11,10,11,16,17,11,9,22,12,15,14,15,11,10,20,16,9,19,13,15,16,13,7,16,19,15,11,17,14,17,10,12,10,16,14,7,15,19,20,14,13,9,9,16,21,10,16
"COG0009",7,7,5,9,0,7,4,6,7,2,5,7,6,5,8,6,2,6,9,7,5,7,9,4,7,3,6,1,6,5,6,4,1,6,7,8,3,8,5,4,5,6,7,2,7,2,4,5,3,13,3,5,8,4,6,8,4,2,5,9,8,6,9,0,5,4,7,6,7,0,6,5,2,6,6,2,8,7,2,9,5,5,2,6,9,4,3,11,1,6,5,1,10,5,0,5,7,3,3,6
"COG0010",1,2,8,1,2,1,0,2,1,0,1,4,1,2,2,0,1,3,0,1,1,0,2,4,2,2,0,0,0,3,2,2,1,4,0,0,0,0,1,4,1,1,1,0,0,1,2,0,1,1,3,2,2,2,1,0,3,3,0,1,0,0,2,6,3,1,6,1,1,2,2,2,1,2,0,4,0,0,2,3,1,1,3,1,0,2,1,1,3,0,1,1,2,2,2,2,3,1,0,1
