"","NLM025","NOF007","DOF011","DOM016","DOM026","NOM018","DLM027","NLF007","NOM013","NOM010","NLF001","DLM020","NOM026","DLF001","DOM018","DLM021","NOM022","DLM003","NLM004","NLF010","NLM023","NOM014","NLM031","DLM016","NLM021","NOM001","DOM008","NOM027","NOF006","NOF013","DLF009","NLM028","DLF010","DLM001","DLM024","NLF012","NLF015","NOM009","DLF006","DLF007","DOM013","DLM002","NOM019","DLM012","NLF002","DLF012","DOM003","NOF010","NLM027","DOM010","NOM008","NOF008","DLM019","DLM017","DLF008","NOF002","NLM016","NLM007","NLM029","DLM028","NLF005","DLM010","NLM010","DLM009","DLF004","DLM004","NOF005","DOF012","DOF008","NLF009","NOM025","DLM022","NOM015","DOM022","DLF013","DOF004","NOM007","NOM012","DLM008","NLM008","DLM011","DLM005","NOM002","DLM013","DLM023","NOM004","NLM006","NLF013","DOF007","DLM018","DOF003","DLF005","DOM019","NOM020","DLM015","DOM001","DOM015","DOM005","NOF014","NLM009"
"COG0001",1,1,3,2,4,1,0,0,1,1,0,0,3,0,2,2,0,1,0,1,1,0,5,3,3,6,2,5,1,1,2,2,5,1,3,1,0,2,5,0,3,1,4,0,0,3,0,0,4,2,0,0,0,1,1,2,0,1,2,0,0,2,2,1,0,0,1,0,0,1,2,3,0,1,4,3,1,4,1,0,3,3,4,7,0,0,2,0,0,1,3,1,0,0,3,3,3,4,1,0
"COG0002",0,5,5,4,5,1,0,6,2,3,4,4,3,4,3,5,6,1,4,3,3,8,5,6,6,6,5,4,3,4,6,3,1,5,3,2,8,4,4,5,5,4,7,2,8,5,8,6,7,5,7,3,4,2,9,4,3,3,1,2,2,6,6,8,3,5,3,3,3,6,3,2,6,7,4,6,1,8,5,0,4,8,7,2,4,4,3,3,2,4,9,4,4,6,1,6,7,3,2,4
"COG0003",0,1,1,5,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,4,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,2,0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,1,0,2,0,1,0,1,0,1,1,3,3,1,2,3,2,1,0,1,0,2,2,2,0,2,3,1,0,1,2,2,0,0,0,0,1,0,2,1,0
"COG0004",4,6,6,4,7,1,4,5,6,3,2,1,2,1,12,9,4,4,2,4,3,4,7,3,7,13,1,7,4,8,3,7,5,5,3,8,1,9,3,5,4,6,7,3,6,2,9,5,4,3,4,2,4,6,2,5,6,1,6,6,7,6,3,3,8,3,6,6,3,0,5,1,6,3,5,2,3,7,3,9,3,4,7,9,4,3,4,8,0,7,8,5,7,10,7,4,4,3,1,9
"COG0005",2,2,3,3,2,3,2,2,2,1,4,4,1,4,1,1,3,5,3,2,0,2,4,1,2,4,3,2,3,2,2,0,4,2,6,2,3,4,0,1,2,4,3,0,1,0,2,3,2,2,1,0,3,2,2,2,4,3,5,3,2,1,2,0,1,2,1,2,0,3,0,3,1,4,4,1,2,5,2,2,3,2,3,2,2,2,1,0,4,1,2,1,2,5,1,7,2,4,3,5
"COG0006",14,21,13,15,16,14,11,14,10,14,11,16,4,13,14,9,14,15,20,19,12,11,21,9,13,14,17,8,14,15,10,14,8,18,11,18,17,11,10,9,11,15,14,7,11,8,17,17,6,13,22,11,11,17,16,21,9,9,7,9,10,11,15,6,8,14,14,9,8,4,8,11,17,19,14,13,12,11,20,9,14,4,13,6,12,22,7,16,17,18,11,15,19,8,16,11,18,11,7,9
"COG0007",0,0,0,0,2,1,1,1,0,0,2,0,0,1,1,0,1,0,2,0,0,0,3,0,0,2,0,4,0,0,1,2,0,1,1,0,2,0,1,0,0,1,0,0,0,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0,3,0,1,1,0,0,2,0,1,0,0,2,0,1,2,5,1,4,0,1,1,0,4,3,2,0,0,0,0,0,0,4,1,0,3,1,2,0,0,0
"COG0008",9,9,15,20,9,14,23,8,19,21,12,11,13,6,10,10,6,11,20,9,7,11,15,16,13,12,9,12,14,10,13,12,16,21,14,14,14,11,15,9,13,12,22,19,17,9,19,29,8,10,5,3,8,5,2,4,1,6,8,6,5,2,4,2,5,4,4,3,2,5,2,5,6,4,5,5,5,4,5,7,4,3,2,4,5,3,4,5,2,10,5,6,2,1,2,5,4,3,5,6
"COG0009",4,0,1,2,0,3,0,6,2,2,1,2,2,1,0,3,3,2,1,4,3,2,1,1,2,1,1,1,0,2,0,5,0,6,1,1,2,0,1,1,3,2,4,0,3,1,2,3,1,0,4,9,7,3,1,9,4,6,14,7,5,6,6,6,4,6,8,4,10,6,10,5,6,7,2,6,5,3,4,3,7,6,7,3,7,8,6,5,3,5,5,8,12,5,3,7,8,5,3,2
"COG0010",2,0,3,1,1,0,2,2,2,1,4,2,2,0,1,1,4,1,1,0,3,0,0,1,2,3,1,2,2,1,3,2,3,3,4,0,2,2,0,1,3,1,1,0,1,1,0,4,6,2,2,1,7,0,2,2,1,1,2,2,4,1,2,1,2,0,0,1,1,2,1,2,5,2,0,0,0,0,2,0,1,0,2,1,1,2,0,2,1,2,1,2,2,0,1,3,1,3,1,1
