"","DOF004","DLM020","NLM027","NLF005","DLM013","NOM025","DOF009","DLM014","NOM017","NOF012","DOF003","DLF004","NLM022","DLF013","NOM004","DOM018","NLM028","DLM010","DLF006","NOM020","NLM009","DLM012","NOM002","NOM014","DOM001","NLM021","NLM025","DLF009","NOM028","DLF012","DLF010","NLF010","NOM007","NOF009","NOF011","NLF008","NLM008","DOM013","NLM007","NOF013","DLM009","NOM029","DOM024","NLM032","DLM002","DLF014","DLF007","NLF009","DOF007","DLM005","NOM008","NOF008","DLM024","DOM015","DLM023","NLM006","NOM001","DLM004","DLM016","DLM021","NOM009","NLF013","NOF014","DLM018","DLM019","NOF005","NOM005","DLF005","DOF012","NOM013","NOM015","NOM010","DOM023","NOM019","NOF010","NOM026","DOF014","DLM003","DOF011","NLM024","NOF002","DLM022","NLM010","DOM008","NLF007","DLM001","NOM022","DOM026","DOF008","DLM028","NOM016","NLM031","NOF006","DLM008","DOM021","NLM001","NLM017","DLF008","NLM023","NLM004"
"COG0001",1,1,2,0,4,0,0,3,0,1,2,0,2,3,0,2,2,2,1,1,1,2,5,1,2,2,1,0,5,1,3,1,1,2,2,0,0,4,2,0,2,3,0,1,1,2,1,0,2,1,0,1,2,0,1,0,2,1,0,0,0,0,0,1,1,0,1,2,0,0,0,1,1,3,0,1,1,2,0,0,1,0,1,0,2,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
"COG0002",5,3,1,4,3,5,6,5,6,1,2,3,4,5,4,4,3,2,5,3,2,5,5,5,7,4,5,6,1,6,6,5,0,4,2,6,1,2,5,4,8,5,7,3,5,10,5,0,4,1,6,5,4,5,5,3,1,6,4,7,2,2,4,5,1,3,1,3,2,8,8,0,5,9,3,6,11,3,7,2,9,6,1,2,6,8,2,2,3,4,6,7,2,6,2,4,3,3,4,2
"COG0003",0,2,0,0,1,3,2,1,0,1,0,0,0,3,3,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,2,1,0,0,0,1,0,0,4,1,1,1,1,0,0,2,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,2,1,1,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,5,1,3,2,1,0
"COG0004",2,1,2,4,4,3,6,4,10,3,3,9,4,2,6,5,4,4,6,4,9,4,7,7,5,3,7,1,5,9,6,2,2,3,7,7,3,4,2,5,6,3,4,9,3,10,3,6,1,2,6,2,3,7,5,5,4,1,8,6,5,6,9,4,6,7,5,6,4,4,7,8,6,9,3,9,6,1,7,12,9,4,5,3,7,7,3,7,12,5,5,4,5,6,2,7,4,2,6,7
"COG0005",2,2,0,4,2,2,3,5,2,2,3,4,1,5,0,1,3,5,2,2,3,1,0,2,3,0,4,3,1,1,4,4,2,3,4,2,3,2,0,1,0,2,1,1,3,2,5,1,3,3,5,3,0,5,0,2,6,3,1,2,1,2,3,1,4,2,3,1,5,1,1,1,3,4,7,0,2,4,3,5,3,1,2,4,3,0,2,5,0,1,1,4,3,4,0,2,6,5,4,4
"COG0006",16,8,5,9,6,11,14,14,11,11,18,9,12,17,9,14,19,15,11,13,11,9,13,10,15,11,19,11,14,6,10,18,14,13,11,8,15,6,15,12,13,12,11,11,5,9,10,6,8,10,14,10,7,7,20,14,7,17,17,13,11,10,12,8,12,14,10,13,6,15,17,18,10,10,20,9,11,17,12,16,11,7,9,16,7,17,17,12,13,14,11,5,10,10,12,17,12,10,7,18
"COG0007",2,0,2,0,2,0,0,1,1,2,0,2,1,1,1,1,3,1,2,1,1,0,6,3,2,4,4,3,2,4,1,1,1,0,0,2,1,1,2,0,2,2,0,6,2,5,0,0,0,1,0,1,4,1,2,1,8,1,0,2,3,0,2,1,0,1,3,5,2,1,1,1,1,2,0,3,1,2,1,1,0,4,2,1,0,1,1,3,0,3,0,0,0,3,0,0,1,1,0,1
"COG0008",12,19,11,16,8,16,16,10,19,18,16,14,16,12,13,18,18,4,6,17,13,15,12,12,10,10,22,12,13,17,16,4,12,9,13,11,13,19,13,13,17,9,8,12,15,18,4,12,13,18,13,11,9,12,15,15,14,6,6,15,13,19,17,16,11,18,15,10,6,20,11,14,11,25,17,12,11,8,15,17,15,18,9,10,12,15,13,13,7,14,7,13,6,9,11,14,19,8,4,16
"COG0009",5,2,6,3,5,5,5,8,4,6,5,4,8,8,12,7,5,4,4,1,3,7,9,4,4,10,5,5,3,7,5,4,5,3,1,5,1,6,4,4,4,4,7,2,4,3,7,8,8,5,6,8,4,9,3,7,2,4,8,7,5,8,9,4,8,6,4,4,6,4,2,5,4,7,3,7,6,0,13,3,6,4,5,8,5,2,3,7,6,8,1,8,4,3,9,9,3,4,2,3
"COG0010",0,1,2,1,4,3,1,2,2,3,1,0,4,3,1,2,2,1,6,1,1,1,1,1,0,3,3,2,6,1,2,3,0,3,2,2,0,3,2,0,1,1,2,1,1,0,3,1,3,3,2,4,1,3,4,1,1,1,1,2,0,4,0,2,3,2,3,1,0,0,1,0,1,1,2,2,0,2,1,1,1,2,4,6,0,1,0,1,1,7,1,1,4,1,0,1,0,2,2,1
