"","Sample.1.to.50","Sample.51.to.100","BaseMean","Estimated.dispersion","AbundanceStrata","VariabilityStrata"
"COG0015",-3,NA,4491.96114060818,0.0271941037268373,"3","1"
"COG0019",-3,NA,6608.11849911836,0.0344377135262006,"3","1"
"COG0027",-3,NA,1668.48321111621,0.203812440055669,"3","1"
"COG0044",-3,NA,4725.93528646702,0.0175943857727121,"3","1"
"COG0065",NA,-3,3883.35033311039,0.0432352791498935,"3","1"
"COG0075",-3,NA,2019.94192192876,0.199603734171239,"3","1"
"COG0104",-3,NA,4448.40688955485,0.0375312208712371,"3","1"
"COG0135",NA,-3,1197.39084351709,0.12000221832125,"2","1"
"COG0143",-3,NA,6011.48856287126,0.0400111141430985,"3","1"
"COG0146",-3,NA,47.9014107281738,0.971292019883762,"1","2"
"COG0148",NA,-3,4507.42178970638,0.0265916353847438,"3","1"
"COG0151",-3,NA,3402.0879581275,0.0352055329442722,"3","1"
"COG0159",NA,-3,1981.91162664573,0.053467936763578,"3","1"
"COG0184",NA,-3,1183.57823246695,0.0372231931168671,"2","1"
"COG0195",NA,-3,4184.38465224936,0.0389536294094853,"3","1"
"COG0228",NA,-3,993.799270786647,0.0486847802828128,"2","1"
"COG0243",NA,-3,2837.65102240314,0.697963431688578,"3","2"
"COG0244",NA,-3,1529.45804676762,0.0941551165768571,"2","1"
"COG0245",-3,NA,1997.33078907823,0.035689584088581,"3","1"
"COG0246",-3,NA,5092.22537017628,0.15052428815553,"3","1"
"COG0248",NA,-3,2467.05721427356,0.127965112756649,"3","1"
"COG0251",NA,-3,3218.02097679674,0.0711656764891813,"3","1"
"COG0279",-3,NA,737.400034166842,0.364985672966365,"2","2"
"COG0280",NA,-3,7848.73174125822,0.0915694072254107,"3","1"
"COG0284",NA,-3,2834.26968374682,0.0269877761048049,"3","1"
"COG0292",NA,-3,1304.87273024671,0.0445151651804367,"2","1"
"COG0294",NA,-3,2100.36212501705,0.0776452965102912,"3","1"
"COG0308",NA,-3,1068.54931665934,0.506542402807717,"2","2"
"COG0312",-3,NA,1682.03967624717,0.33071561456707,"3","2"
"COG0330",-3,NA,3889.26947345309,0.0711820801852063,"3","1"
"COG0350",NA,-3,1953.07458948238,0.0338301827779912,"3","1"
