"","NLM006","DLM002","DLF008","DOM013","DOM008","NLM031","DOF012","NOM012","NOM027","DOF003"
"COG0001",19,32,14,16,11,39,18,26,37,4
"COG0002",40,57,29,28,40,43,37,38,59,39
"COG0003",3,6,25,13,2,6,2,2,0,14
"COG0004",30,67,27,32,30,41,45,64,57,52
"COG0005",19,38,25,19,24,25,15,29,17,30
"COG0006",135,106,124,103,146,117,103,101,73,118
"COG0007",18,17,11,12,11,9,14,9,56,7
"COG0008",130,154,98,143,84,132,110,176,169,121
"COG0009",57,52,44,66,51,55,61,53,49,54
"COG0010",14,13,27,21,29,15,12,12,15,21
"COG0011",1,0,1,0,2,0,4,0,5,0
"COG0012",44,50,26,77,26,67,61,50,59,38
"COG0013",100,108,59,130,95,104,103,111,121,103
"COG0014",41,47,41,31,50,56,45,32,56,33
"COG0015",62,69,47,62,51,60,84,56,68,53
"COG0016",44,48,30,58,49,50,54,51,72,42
"COG0017",45,51,46,71,56,63,60,42,22,64
"COG0018",71,99,74,95,68,58,74,90,104,66
"COG0019",106,98,83,96,87,99,77,95,144,75
"COG0020",48,49,29,45,46,37,50,34,40,32
"COG0021",63,63,39,37,43,45,40,39,108,55
"COG0022",7,7,21,5,35,10,7,6,3,25
"COG0023",13,7,14,2,17,8,2,4,1,9
"COG0024",61,64,56,85,55,64,62,51,56,56
"COG0025",18,15,13,6,10,9,51,3,46,2
"COG0026",2,0,3,2,2,0,24,2,19,5
"COG0027",25,16,10,24,30,20,12,19,17,27
"COG0028",86,116,106,79,127,118,155,106,151,122
"COG0029",63,47,51,47,63,48,39,33,56,50
"COG0030",90,62,24,70,45,51,150,85,71,59
"COG0031",69,56,36,60,51,74,47,56,71,59
"COG0033",0,0,2,2,3,0,22,1,28,4
"COG0034",87,92,97,92,93,91,72,107,70,87
"COG0035",46,50,18,41,32,45,38,47,47,36
"COG0036",51,58,31,52,24,30,60,44,59,31
"COG0037",78,114,81,142,84,121,88,111,66,102
"COG0038",75,50,71,62,92,93,138,62,71,75
"COG0039",78,67,60,63,60,77,96,53,151,70
