"","DLM022","NLF012","NOM013","DLF006","DLF009","DOM023","DLM019","DLM017","DLM021","DOF012"
"COG0001",20,19,18,13,16,6,26,20,12,12
"COG0002",28,43,43,39,29,42,45,64,52,26
"COG0003",9,11,10,7,1,1,5,1,0,0
"COG0004",28,60,60,35,21,68,54,88,63,40
"COG0005",24,33,23,28,16,30,17,32,21,18
"COG0006",98,138,119,85,100,147,102,135,130,80
"COG0007",14,17,16,7,13,10,14,16,5,9
"COG0008",162,136,140,117,114,169,165,157,119,112
"COG0009",63,67,57,50,49,39,57,40,56,50
"COG0010",19,24,14,17,16,8,31,15,17,9
"COG0011",1,1,0,1,2,0,0,1,0,4
"COG0012",73,62,60,48,47,64,73,63,53,47
"COG0013",138,127,130,91,95,128,137,137,136,123
"COG0014",30,51,47,40,34,53,68,60,62,28
"COG0015",61,66,71,56,62,75,66,66,64,78
"COG0016",66,56,53,49,52,49,57,48,63,49
"COG0017",83,56,54,61,49,60,75,69,62,65
"COG0018",93,97,82,78,66,89,95,78,108,77
"COG0019",68,110,62,65,87,73,82,103,97,83
"COG0020",42,33,41,47,12,52,36,41,34,44
"COG0021",42,39,71,42,67,85,34,59,37,29
"COG0022",13,21,3,7,4,3,10,3,20,8
"COG0023",3,9,7,12,6,11,3,6,20,4
"COG0024",63,74,74,69,54,64,58,72,73,62
"COG0025",9,4,2,7,14,22,5,3,6,53
"COG0026",6,3,2,6,19,3,3,2,4,18
"COG0027",4,9,7,9,11,44,5,26,30,10
"COG0028",106,122,92,97,154,109,70,135,118,164
"COG0029",37,50,43,32,45,66,35,65,61,41
"COG0030",74,61,113,75,49,42,84,68,53,154
"COG0031",76,62,50,63,52,35,73,47,63,46
"COG0033",4,0,0,2,23,1,2,1,0,10
"COG0034",93,92,94,64,68,132,92,136,86,86
"COG0035",40,35,47,42,23,52,47,53,40,28
"COG0036",53,31,42,41,31,59,45,63,28,60
"COG0037",123,94,103,87,95,83,114,99,105,86
"COG0038",27,48,36,33,63,103,52,79,115,117
"COG0039",43,67,72,61,56,54,47,70,85,98
"COG0040",22,28,39,37,27,35,23,39,35,36
