"","NOF005","NOM028","NOM012","NLM028","DOF008","NOM010","DLF008","DOF003","DOF004","NOM004"
"COG0001",16,16,23,7,15,12,6,9,25,3
"COG0002",62,35,38,67,38,33,24,38,42,27
"COG0003",17,6,2,4,2,8,26,18,5,30
"COG0004",61,41,68,40,59,50,27,33,38,24
"COG0005",17,27,31,14,16,29,19,25,21,20
"COG0006",39,36,39,40,38,133,119,95,128,111
"COG0007",16,19,8,21,12,3,7,4,9,2
"COG0008",123,92,165,131,161,49,28,48,41,35
"COG0009",22,25,16,19,26,50,48,47,58,54
"COG0010",11,16,15,18,16,9,23,16,16,21
"COG0011",1,1,1,0,2,1,2,0,1,1
"COG0012",51,42,48,53,48,39,47,48,43,41
"COG0013",107,111,115,99,117,114,75,123,100,101
"COG0014",59,47,26,59,43,60,45,52,58,50
"COG0015",47,46,71,66,53,56,62,49,65,56
"COG0016",50,33,60,45,45,64,34,43,57,43
"COG0017",25,25,17,22,32,59,52,67,53,62
"COG0018",94,80,75,105,97,94,69,86,85,72
"COG0019",105,80,108,123,99,103,67,75,107,94
"COG0020",36,32,38,30,49,44,28,28,42,25
"COG0021",44,40,36,45,25,41,36,41,55,48
"COG0022",15,23,6,13,1,13,22,29,17,27
"COG0023",6,11,3,8,1,12,7,12,8,17
"COG0024",88,59,48,71,67,57,44,60,64,65
"COG0025",6,25,15,16,46,7,10,10,12,10
"COG0026",3,8,1,0,15,3,1,2,3,0
"COG0027",26,26,30,16,12,12,15,18,20,32
"COG0028",109,127,111,170,153,126,104,107,110,99
"COG0029",48,59,39,45,36,39,56,53,54,67
"COG0030",77,56,88,60,102,65,32,66,76,37
"COG0031",57,54,57,61,57,58,25,57,68,47
"COG0033",1,2,1,0,18,0,2,2,6,2
"COG0034",103,105,103,86,82,82,73,70,67,91
"COG0035",43,38,40,43,39,34,37,33,38,42
"COG0036",40,29,55,29,38,28,30,37,44,39
"COG0037",31,28,34,43,48,104,69,104,105,65
"COG0038",79,108,53,76,103,80,84,93,108,75
"COG0039",67,79,44,54,83,73,41,58,86,60
"COG0040",28,36,29,26,30,28,34,20,36,25
"COG0041",29,24,19,39,23,4,10,9,10,4
"COG0042",79,94,67,94,82,71,70,68,86,83
"COG0043",3,20,10,8,16,4,17,10,11,5
"COG0044",57,83,53,61,82,50,66,49,83,56
"COG0045",6,11,4,2,18,1,14,14,8,13
"COG0046",98,91,120,162,158,138,66,116,130,82
"COG0047",119,66,110,102,96,127,67,112,111,69
"COG0048",13,22,20,16,24,16,5,23,14,11
"COG0049",27,23,35,23,35,37,21,30,26,17
"COG0050",79,50,73,71,62,61,39,51,63,69
"COG0051",22,24,27,18,17,15,14,23,12,13
"COG0052",36,20,47,36,21,24,25,29,40,35
"COG0053",58,44,58,56,42,64,48,40,31,44
"COG0054",20,16,25,19,17,22,12,26,33,11
"COG0055",67,67,77,103,87,87,30,69,60,35
"COG0056",99,79,91,124,104,83,40,80,79,53
"COG0057",43,45,50,57,41,42,39,50,49,43
"COG0058",142,115,159,144,190,135,70,133,152,70
"COG0059",38,53,42,51,49,54,32,56,53,42
"COG0060",111,97,145,104,175,116,85,107,121,74
"COG0061",34,43,31,35,35,28,26,29,34,31
"COG0062",40,26,38,48,30,45,26,38,31,25
"COG0063",43,48,58,49,49,37,39,39,56,35
"COG0064",29,26,25,27,51,29,13,16,21,9
"COG0065",56,73,67,71,68,48,40,56,41,35
"COG0066",29,33,24,36,18,26,18,22,25,32
"COG0067",121,81,101,102,96,126,68,102,118,57
"COG0068",11,8,10,1,18,2,4,6,7,8
"COG0069",108,104,90,103,88,136,79,80,81,78
"COG0070",108,77,101,101,101,98,50,75,98,74
"COG0071",16,12,13,17,18,34,17,21,30,51
"COG0072",72,47,94,86,103,82,50,84,72,38
"COG0073",161,118,179,159,187,195,107,134,147,100
"COG0074",4,9,4,11,7,5,20,11,8,12
"COG0075",17,32,25,41,16,36,21,28,32,35
"COG0076",22,29,14,15,4,31,31,34,25,41
"COG0077",43,29,36,43,36,37,28,37,28,27
