"","DLF003","NLF001","NLF015","DOM026","NLM023","DLM001","NOM018","DOF009","NOF014","DLF004"
"COG0001",14,8,10,19,11,8,3,6,7,1
"COG0002",48,35,48,26,48,40,44,35,41,33
"COG0003",2,1,14,23,9,2,3,9,1,3
"COG0004",68,58,46,54,43,60,47,34,70,64
"COG0005",30,15,26,30,29,28,32,22,39,34
"COG0006",113,129,126,127,131,142,139,132,92,128
"COG0007",5,16,13,18,11,14,19,12,6,3
"COG0008",181,120,132,118,97,162,136,136,121,155
"COG0009",43,71,44,51,54,60,60,46,57,40
"COG0010",12,20,26,11,33,23,5,21,21,15
"COG0011",0,1,0,0,0,2,1,2,0,0
"COG0012",60,58,23,48,61,70,48,60,64,50
"COG0013",125,123,127,93,104,126,126,100,109,99
"COG0014",12,18,22,20,17,76,55,39,48,45
"COG0015",84,69,42,64,60,66,88,75,74,56
"COG0016",65,54,53,36,54,64,65,37,48,41
"COG0017",68,67,61,65,67,69,61,78,49,58
"COG0018",26,29,22,33,24,84,85,74,96,88
"COG0019",93,88,69,104,76,88,88,94,85,95
"COG0020",42,28,23,31,32,44,36,29,28,48
"COG0021",51,47,50,26,45,61,54,61,33,42
"COG0022",4,20,37,3,41,20,1,6,4,10
"COG0023",3,14,15,7,13,10,7,12,4,4
"COG0024",103,63,59,64,57,71,79,73,62,52
"COG0025",24,9,6,8,5,5,34,39,6,6
"COG0026",3,0,0,1,6,11,3,7,0,0
"COG0027",19,27,30,14,24,34,23,24,9,26
"COG0028",92,105,109,112,105,103,139,97,126,107
"COG0029",50,34,57,57,48,60,70,51,40,51
"COG0030",54,71,33,84,65,41,63,39,58,58
"COG0031",73,75,52,56,56,70,66,64,48,51
"COG0033",0,1,2,0,1,6,0,8,0,0
"COG0034",122,90,103,94,69,114,101,89,90,124
"COG0035",53,33,46,16,31,44,34,50,31,52
"COG0036",45,46,27,58,31,33,54,38,38,31
"COG0037",120,104,75,96,76,88,123,77,123,84
"COG0038",73,78,88,78,69,99,88,86,52,78
"COG0039",52,87,87,72,70,70,54,67,75,66
"COG0040",47,33,38,33,22,17,16,10,11,11
"COG0041",39,26,22,38,15,31,19,28,19,23
"COG0042",64,74,76,72,74,76,90,75,63,57
"COG0043",4,15,6,3,4,21,7,9,6,5
"COG0044",75,55,60,79,51,74,75,72,72,38
"COG0045",6,8,17,3,6,8,9,11,3,5
"COG0046",136,126,137,121,85,163,132,120,120,145
"COG0047",52,27,20,26,25,165,124,110,95,137
"COG0048",36,14,12,18,20,20,19,24,31,22
"COG0049",31,30,25,28,33,25,26,28,44,10
"COG0050",83,60,58,44,74,75,85,72,75,68
"COG0051",19,20,16,9,20,12,20,20,28,11
"COG0052",43,35,41,23,39,44,33,46,53,37
"COG0053",49,39,40,53,39,37,55,54,42,42
"COG0054",24,21,19,9,19,11,22,21,13,14
"COG0055",76,63,73,45,69,62,84,52,86,62
"COG0056",98,90,78,62,66,66,105,77,90,90
"COG0057",64,37,49,37,58,67,42,49,51,48
"COG0058",144,114,82,141,113,112,144,123,160,113
"COG0059",46,46,43,44,58,44,47,52,48,33
"COG0060",157,77,88,92,96,143,131,122,123,124
"COG0061",45,29,46,28,32,45,48,32,42,36
"COG0062",53,34,27,41,25,62,44,36,45,50
"COG0063",54,35,46,46,28,57,40,48,53,42
"COG0064",46,24,13,29,13,5,12,2,19,4
"COG0065",48,55,84,52,59,71,57,63,48,72
"COG0066",21,32,28,37,19,8,8,10,8,4
"COG0067",111,87,119,102,73,133,133,102,103,144
"COG0068",4,20,4,7,10,17,16,10,6,2
"COG0069",118,105,125,100,74,155,130,107,111,180
"COG0070",88,94,101,86,64,138,119,98,96,147
"COG0071",47,45,17,45,31,8,14,10,14,14
"COG0072",98,94,81,73,80,121,92,80,116,93
"COG0073",214,158,159,148,150,219,164,167,209,175
"COG0074",1,2,3,4,2,7,8,8,5,6
"COG0075",5,39,20,23,29,22,39,28,19,52
"COG0076",2,19,45,15,37,30,10,21,11,17
"COG0077",36,35,32,36,41,33,32,25,30,37
"COG0078",62,50,42,60,52,71,62,51,44,42
"COG0079",82,101,78,93,63,85,108,93,91,74
"COG0080",35,24,18,24,14,15,31,28,35,19
"COG0081",54,32,30,42,33,13,11,8,20,17
"COG0082",37,29,49,38,42,56,34,44,34,32
"COG0083",7,11,6,5,8,7,7,7,9,5
"COG0084",54,61,56,52,72,50,68,51,44,48
"COG0085",231,193,183,170,158,197,184,157,199,186
"COG0086",213,133,159,107,168,210,193,171,161,158
"COG0087",54,31,18,34,32,36,36,41,41,25
"COG0088",44,35,24,38,28,35,36,35,46,37
"COG0089",33,18,8,22,18,18,18,13,19,21
"COG0090",67,45,22,23,23,43,48,38,49,51
"COG0091",32,24,21,33,16,23,29,31,34,18
"COG0092",46,27,30,40,27,42,36,30,44,33
"COG0093",32,24,18,23,22,18,16,21,31,22
"COG0094",44,26,22,31,41,27,52,38,31,31
"COG0095",4,16,18,5,21,4,1,6,0,0
"COG0096",37,23,18,15,18,18,26,27,35,27
"COG0097",55,21,16,24,30,34,35,19,37,31
"COG0098",39,29,24,20,27,32,40,38,28,40
"COG0099",31,23,20,23,19,18,14,17,20,18
"COG0100",26,14,16,20,21,14,33,18,21,23
"COG0101",65,41,40,57,42,10,21,17,20,12
"COG0102",29,28,16,28,35,17,24,36,22,22
"COG0103",35,20,16,26,23,20,25,29,35,32
"COG0104",63,85,61,66,56,62,73,54,69,57
"COG0105",9,9,7,8,9,5,17,14,3,5
"COG0106",22,26,19,39,32,32,29,29,34,32
"COG0107",44,34,27,38,34,31,40,21,29,30
"COG0108",53,54,52,42,47,54,50,46,22,50
"COG0109",0,0,0,0,1,0,0,1,0,0
"COG0110",87,186,161,147,192,122,101,155,122,131
"COG0111",70,94,63,64,69,97,72,120,67,64
"COG0112",75,70,48,41,34,82,51,54,68,52
"COG0113",9,6,7,18,5,9,12,3,9,3
"COG0114",1,1,3,2,2,12,4,4,4,3
"COG0115",69,82,60,60,73,66,62,58,77,46
"COG0116",40,28,29,48,25,22,20,10,13,11
"COG0117",38,38,42,28,28,44,32,40,29,40
"COG0118",33,29,17,22,26,30,23,37,32,29
"COG0119",135,104,108,100,113,117,153,98,117,122
"COG0120",1,5,3,3,13,2,8,7,4,8
"COG0121",0,0,0,0,1,1,4,0,0,0
"COG0122",19,7,4,11,8,10,24,12,21,6
"COG0123",0,4,1,0,4,1,1,0,2,1
"COG0124",81,57,40,66,53,61,53,60,69,63
"COG0125",20,9,9,15,11,11,7,10,15,10
"COG0126",64,31,29,38,31,61,44,41,59,51
"COG0127",20,7,8,11,16,37,41,25,44,32
"COG0128",52,44,47,70,41,44,52,44,37,38
"COG0129",93,93,98,81,56,118,108,71,71,80
"COG0130",47,21,24,40,27,41,39,29,35,30
"COG0131",29,26,40,26,28,10,16,9,6,7
