"","NOF002","DLM013","NLM027","DLM010","DLM018","NOM008","DLM002","NLM006","DLM015","NOM001"
"COG0001",1,6,0,0,2,1,0,1,1,6
"COG0002",7,2,5,7,3,5,3,3,3,5
"COG0003",0,0,0,0,0,2,0,1,0,1
"COG0004",4,1,5,6,6,3,7,0,6,12
"COG0005",2,0,1,2,2,1,2,2,2,6
"COG0006",12,10,11,15,15,11,7,8,20,14
"COG0007",1,5,1,3,0,0,1,4,3,7
"COG0008",12,19,11,7,18,10,15,13,17,17
"COG0009",3,6,8,1,5,4,9,5,3,2
"COG0010",1,2,2,0,0,0,1,0,2,0
"COG0012",4,6,7,9,5,3,3,7,4,6
"COG0013",5,16,13,19,19,10,5,5,4,8
"COG0014",2,7,11,5,2,6,4,4,3,4
"COG0015",4,12,7,3,7,4,5,6,6,2
"COG0016",2,3,1,5,5,3,4,3,7,4
"COG0017",8,4,5,3,9,7,11,6,2,9
"COG0018",7,5,11,10,5,13,9,8,9,9
"COG0019",8,10,12,16,14,8,12,12,12,14
"COG0020",2,4,6,5,5,3,3,3,3,2
"COG0021",6,5,7,4,5,5,6,10,3,5
"COG0022",3,1,3,0,0,1,1,0,2,0
"COG0023",2,0,0,0,3,1,0,0,0,1
"COG0024",11,7,5,10,7,4,4,2,9,7
"COG0025",0,2,10,6,3,0,0,1,0,2
"COG0026",0,0,6,0,0,0,0,0,0,0
"COG0027",1,0,0,2,4,3,3,3,3,2
"COG0028",13,5,32,20,16,11,14,13,12,9
"COG0029",9,7,2,9,4,5,6,5,5,5
"COG0030",3,1,4,1,3,4,6,13,7,5
"COG0031",13,8,9,5,5,5,8,3,1,7
"COG0033",0,0,1,0,0,0,0,0,0,0
"COG0034",7,12,10,12,10,13,13,9,4,12
"COG0035",3,2,5,1,7,10,3,6,3,2
"COG0036",2,3,4,5,5,8,7,4,2,2
"COG0037",12,10,9,3,11,3,20,6,9,11
"COG0038",6,3,7,11,11,11,5,13,10,12
"COG0039",3,10,8,4,3,7,9,9,7,3
"COG0040",2,6,1,4,2,1,4,4,2,4
"COG0041",2,4,3,1,2,1,0,2,2,4
"COG0042",6,6,8,4,8,7,3,13,6,1
"COG0043",1,0,1,1,3,0,0,1,1,0
"COG0044",2,11,5,9,7,2,6,4,9,8
"COG0045",0,0,0,1,0,0,1,2,1,1
"COG0046",9,23,10,12,12,6,17,10,19,19
"COG0047",13,8,13,9,18,10,17,4,7,9
"COG0048",1,2,4,5,3,0,4,2,2,2
"COG0049",1,9,2,1,5,5,1,3,4,2
"COG0050",7,13,7,7,7,5,8,4,4,11
"COG0051",0,3,7,1,1,2,3,6,3,2
"COG0052",3,3,1,2,3,3,1,5,1,2
"COG0053",5,3,4,4,5,3,4,4,2,5
"COG0054",2,0,0,3,1,2,2,6,1,4
"COG0055",8,8,9,4,7,4,11,0,6,9
"COG0056",4,8,8,3,4,8,9,9,6,10
"COG0057",5,4,9,6,9,3,3,5,1,3
"COG0058",4,18,12,6,10,17,8,11,6,11
"COG0059",4,3,3,1,7,2,5,3,3,4
"COG0060",18,16,17,12,11,6,11,10,14,18
"COG0061",5,6,5,6,7,4,6,3,5,6
"COG0062",1,6,2,3,10,9,6,7,7,8
"COG0063",3,9,6,4,10,3,5,3,1,9
"COG0064",1,9,7,0,2,1,3,3,2,4
"COG0065",9,3,4,7,9,5,3,0,8,9
"COG0066",3,4,2,2,5,5,4,2,3,1
"COG0067",5,6,11,6,12,10,9,8,12,7
"COG0068",1,4,2,1,3,1,1,1,2,2
"COG0069",7,8,8,10,13,12,7,8,15,13
"COG0070",6,8,7,12,18,9,8,10,11,13
"COG0071",3,4,2,4,4,3,3,5,2,6
"COG0072",6,9,6,2,15,5,9,9,10,7
"COG0073",18,22,16,7,28,13,14,17,17,14
"COG0074",2,1,1,1,0,0,0,3,0,0
"COG0075",5,2,2,0,1,4,3,5,1,4
"COG0076",7,1,3,0,0,4,0,3,2,1
"COG0077",1,1,2,5,1,1,1,2,6,5
"COG0078",5,9,2,2,8,4,3,6,6,2
"COG0079",6,15,6,10,6,15,10,6,13,5
"COG0080",1,2,0,3,2,2,5,3,3,0
"COG0081",2,5,5,2,5,5,5,4,4,4
"COG0082",2,2,3,3,3,3,4,1,2,3
"COG0083",2,2,3,1,1,0,1,1,0,0
"COG0084",8,5,2,6,6,5,2,7,7,5
"COG0085",27,13,20,21,17,13,19,20,18,21
"COG0086",12,13,23,15,27,11,15,15,10,18
"COG0087",7,5,2,4,3,2,3,3,2,2
"COG0088",3,7,5,3,6,4,1,4,9,1
"COG0089",1,1,4,2,2,1,2,1,1,1
"COG0090",3,4,3,2,2,1,4,1,4,8
"COG0091",1,4,2,0,1,1,3,3,2,2
"COG0092",3,1,1,0,5,2,3,3,4,6
"COG0093",0,10,0,2,1,2,1,3,2,4
"COG0094",1,4,2,2,3,3,2,1,4,2
"COG0095",1,0,2,1,2,0,0,2,3,0
