"","NOM019","NOM020","DLM012","NOF002","DLM008","NOF011","DOM016","DLM005","NLM029","DOF014"
"COG0001",7,2,1,2,4,1,3,5,3,2
"COG0002",4,4,1,4,5,6,6,10,1,5
"COG0003",0,0,0,5,0,2,0,1,0,1
"COG0004",6,8,3,6,5,6,5,5,5,3
"COG0005",2,2,0,4,3,2,2,2,2,1
"COG0006",13,13,17,7,9,16,7,18,10,11
"COG0007",0,0,0,0,1,0,1,0,2,0
"COG0008",25,16,9,6,15,8,16,15,15,15
"COG0009",8,5,5,2,6,2,7,4,6,6
"COG0010",0,1,0,1,0,1,4,1,0,1
"COG0012",5,4,5,4,1,6,6,5,5,7
"COG0013",11,14,12,11,11,13,13,6,11,14
"COG0014",6,5,5,6,5,4,6,3,6,2
"COG0015",9,6,6,3,12,8,2,6,5,11
"COG0016",6,7,6,1,5,5,7,13,3,5
"COG0017",6,8,3,3,7,5,8,8,3,10
"COG0018",7,10,9,4,12,6,1,3,3,1
"COG0019",12,14,17,7,10,5,13,5,5,7
"COG0020",5,7,3,2,4,2,0,0,0,0
"COG0021",8,9,3,4,1,1,11,3,2,5
"COG0022",0,0,0,1,2,3,4,1,1,0
"COG0023",1,0,0,0,1,0,1,1,1,1
"COG0024",5,2,5,9,6,8,10,2,9,4
"COG0025",2,0,8,1,1,0,1,0,0,1
"COG0026",1,0,3,0,0,0,0,0,0,1
"COG0027",3,7,7,1,0,1,4,2,1,3
"COG0028",12,17,19,15,12,14,9,11,14,13
"COG0029",2,10,4,6,5,1,10,4,5,6
"COG0030",7,2,12,7,6,7,10,11,12,11
"COG0031",5,5,8,9,9,7,1,2,7,9
"COG0033",0,0,5,1,1,0,0,1,0,1
"COG0034",4,13,7,3,9,7,4,13,8,9
"COG0035",1,4,6,4,4,3,3,2,5,3
"COG0036",1,4,9,4,2,2,5,3,3,3
"COG0037",12,9,9,6,7,5,12,12,10,7
"COG0038",5,2,13,8,10,8,15,7,8,8
"COG0039",7,8,15,9,2,9,4,2,3,6
"COG0040",3,4,3,5,2,3,5,6,1,2
"COG0041",5,3,2,3,4,0,9,4,3,3
"COG0042",6,8,9,6,5,8,10,6,15,7
"COG0043",0,1,0,0,0,0,1,1,1,0
"COG0044",5,8,5,6,7,3,7,7,8,9
"COG0045",1,2,3,0,1,0,3,0,0,0
"COG0046",12,11,10,11,8,11,16,13,11,21
"COG0047",17,20,17,7,21,6,16,9,13,8
"COG0048",1,0,4,0,3,3,1,1,3,1
"COG0049",3,3,5,1,6,2,1,7,4,9
"COG0050",7,7,6,5,9,5,8,6,9,8
"COG0051",3,1,3,1,2,5,4,2,3,1
"COG0052",4,2,4,6,1,2,2,5,1,6
"COG0053",7,3,6,8,4,2,7,10,6,5
"COG0054",3,0,0,1,0,2,2,2,6,0
"COG0055",10,6,8,10,6,4,11,2,11,8
"COG0056",11,5,6,6,14,9,8,5,14,6
"COG0057",8,8,4,5,6,1,8,10,2,10
"COG0058",11,12,14,12,7,9,15,13,8,15
"COG0059",5,2,12,9,7,0,5,4,6,8
"COG0060",9,13,11,15,15,12,9,11,13,13
"COG0061",4,3,3,4,7,3,7,1,7,4
"COG0062",2,3,1,1,1,3,5,4,8,3
"COG0063",3,5,8,4,4,4,9,4,3,2
"COG0064",2,0,1,0,0,4,3,3,2,6
"COG0065",3,3,6,9,7,2,6,4,7,2
"COG0066",4,2,7,5,2,3,6,5,3,1
"COG0067",12,16,14,9,10,7,9,10,14,17
"COG0068",1,0,0,5,0,0,1,0,0,0
"COG0069",11,11,12,9,5,11,8,8,10,10
"COG0070",6,20,11,15,2,14,9,8,10,3
"COG0071",9,3,3,4,4,2,1,5,4,5
"COG0072",6,9,14,7,4,8,11,5,5,13
"COG0073",17,12,17,13,16,13,25,17,34,10
"COG0074",1,1,6,4,0,1,2,0,0,0
"COG0075",4,4,2,1,1,6,8,6,2,3
"COG0076",1,1,4,8,1,2,4,0,2,4
"COG0077",5,1,5,4,4,2,3,2,8,5
"COG0078",13,5,9,4,5,8,3,6,4,7
"COG0079",12,5,6,5,10,9,9,4,7,8
"COG0080",3,3,1,3,3,5,5,3,1,6
"COG0081",2,3,4,3,4,1,2,5,4,3
"COG0082",9,7,3,6,9,0,11,4,2,7
"COG0083",1,0,3,0,0,0,0,1,3,1
"COG0084",9,5,8,4,9,2,7,5,4,6
"COG0085",26,14,19,13,16,16,21,19,18,13
"COG0086",21,24,16,17,16,10,16,15,19,23
"COG0087",6,4,3,2,8,2,4,6,4,3
"COG0088",3,2,6,4,2,3,4,4,8,2
