"","NOM022","NLM004","NOM009","DLM015","NLF015","DLM027","NLF005","NLM031","DLF012","DOM015"
"COG0001",58,121,138,123,111,98,91,289,401,298
"COG0002",424,410,453,433,379,385,402,435,462,444
"COG0003",43,12,0,22,91,112,36,30,8,31
"COG0004",626,761,784,514,533,816,592,487,738,437
"COG0005",322,322,214,214,244,283,299,268,98,301
"COG0006",1544,1285,1145,1208,1372,1119,1075,1338,728,1233
"COG0007",98,138,229,125,110,156,126,86,449,118
"COG0008",1370,1461,1537,1269,1134,1655,1332,1323,1194,1327
"COG0009",582,420,500,548,461,515,551,537,438,650
"COG0010",88,51,147,174,260,126,183,94,61,169
"COG0011",6,11,6,5,2,45,4,3,4,40
"COG0012",468,628,611,455,401,714,603,508,535,486
"COG0013",1012,1048,966,1129,1220,1369,1213,1194,946,1167
"COG0014",546,569,503,547,596,373,276,371,278,412
"COG0015",615,667,762,489,462,926,658,656,580,622
"COG0016",461,413,417,517,505,537,622,513,470,463
"COG0017",627,657,870,571,648,434,464,474,464,380
"COG0018",895,856,889,771,798,981,942,750,705,989
"COG0019",1055,972,1113,1067,650,1106,1098,932,1296,795
"COG0020",489,451,323,320,291,431,347,351,253,376
"COG0021",582,409,375,426,444,588,495,415,235,443
"COG0022",25,29,17,255,371,69,63,143,9,188
"COG0023",42,5,12,68,74,7,67,123,13,77
"COG0024",841,743,663,657,597,632,838,642,551,608
"COG0025",52,108,263,88,50,259,114,81,59,28
"COG0026",9,15,11,9,8,242,13,7,34,10
"COG0027",347,215,97,243,236,163,195,187,48,228
"COG0028",997,1073,1403,1098,1168,1516,985,1169,1539,1417
"COG0029",629,609,477,549,606,377,524,605,553,590
"COG0030",528,706,671,509,296,451,614,566,737,672
"COG0031",507,462,566,562,665,534,427,681,452,688
"COG0033",5,12,3,7,11,150,13,3,61,8
"COG0034",1092,953,960,1002,1058,1082,999,901,1172,957
"COG0035",387,453,401,357,373,491,438,407,354,386
"COG0036",319,436,451,298,261,364,472,346,575,288
"COG0037",1010,960,1237,992,823,1018,1110,1327,990,1018
