"","DOF006","NOF007","DLF012","NLM017","DLM013","NOM004","NOM020","NOF008","NLM001","NOF005"
"COG0001",67,61,421,44,511,29,32,51,65,45
"COG0002",357,492,477,398,469,394,515,392,434,411
"COG0003",350,110,6,188,66,304,30,92,78,107
"COG0004",303,414,758,435,419,275,630,337,737,527
"COG0005",243,237,77,269,312,211,322,258,308,261
"COG0006",1468,1227,739,1070,1095,1334,1198,1299,1463,1266
"COG0007",88,111,425,59,162,136,68,76,99,128
"COG0008",475,588,639,477,753,932,1817,1465,1503,1259
"COG0009",545,607,488,526,495,562,425,570,562,588
"COG0010",122,36,32,40,118,165,131,168,90,129
"COG0011",4,6,6,2,36,4,3,8,5,8
"COG0012",394,450,552,424,590,430,604,565,452,467
"COG0013",1042,1019,853,851,1238,959,1203,1249,1222,1148
"COG0014",511,538,452,450,607,439,460,516,485,524
"COG0015",572,664,609,628,749,591,672,610,645,650
"COG0016",455,481,410,497,600,451,372,633,538,467
"COG0017",612,724,731,651,463,574,701,642,624,722
"COG0018",841,849,733,616,823,789,816,978,989,895
"COG0019",725,777,1301,764,934,823,969,791,1104,971
"COG0020",321,372,242,258,400,349,378,408,425,340
"COG0021",546,306,241,312,356,513,918,394,669,395
"COG0022",204,57,17,147,188,208,44,108,21,135
"COG0023",130,148,15,119,65,128,61,103,55,92
"COG0024",636,696,530,536,680,674,557,698,869,747
"COG0025",128,45,88,82,127,127,95,95,193,62
"COG0026",13,12,39,4,29,21,35,38,24,13
"COG0027",240,245,50,162,148,291,418,183,247,165
"COG0028",1114,1123,1539,1689,1034,1027,1193,980,904,1132
"COG0029",747,598,534,389,585,633,702,553,583,567
"COG0030",481,788,798,492,648,459,522,728,626,643
"COG0031",555,510,468,460,614,405,462,683,573,596
"COG0033",7,2,61,9,30,22,103,0,11,6
"COG0034",892,816,1212,1055,1011,928,1342,927,1024,928
"COG0035",357,464,365,352,354,171,203,197,192,243
"COG0036",266,293,530,480,489,373,413,353,504,372
"COG0037",721,998,1061,776,954,712,862,1110,905,1058
"COG0038",925,793,549,638,699,817,709,841,636,784
"COG0039",732,778,759,677,591,651,662,685,615,661
"COG0040",281,416,283,217,331,312,419,328,264,325
"COG0041",287,268,214,211,262,257,275,270,254,302
"COG0042",779,884,655,716,786,770,774,746,701,734
"COG0043",48,38,45,36,147,56,61,109,55,56
"COG0044",720,662,789,552,918,627,660,666,597,690
"COG0045",62,14,21,57,27,157,95,25,33,52
"COG0046",1015,1230,1398,1041,1520,799,1875,1156,1563,1187
"COG0047",906,1084,1371,962,1209,689,1686,1060,1494,1029
"COG0048",94,145,221,202,198,136,198,192,251,170
"COG0049",213,254,349,284,306,114,92,156,145,150
"COG0050",556,696,606,595,749,681,877,658,875,715
"COG0051",163,237,204,215,215,189,121,242,161,234
"COG0052",257,319,243,322,329,247,425,408,468,321
"COG0053",426,409,475,355,531,461,450,472,545,560
