"","NLM026","DLM021","NOF014","DLF009","NOF005","DOF003","NOM019","DOM023","NLF007","DOM018"
"COG0001",96,85,152,200,120,104,396,82,139,295
"COG0002",404,485,430,299,451,384,452,487,518,530
"COG0003",24,22,36,7,109,136,43,21,22,45
"COG0004",690,535,533,287,523,336,610,681,718,745
"COG0005",279,259,296,178,241,269,347,370,309,256
"COG0006",1104,1208,981,801,1230,1270,1211,1443,1160,1126
"COG0007",66,65,63,230,149,83,156,93,110,150
"COG0008",1532,1403,1288,1240,1316,1118,1760,1550,1519,1505
"COG0009",501,582,604,474,628,506,611,495,574,608
"COG0010",254,217,239,199,131,195,188,99,127,183
"COG0011",4,7,2,30,12,3,3,0,6,7
"COG0012",592,561,601,454,481,461,615,554,591,530
"COG0013",1261,1287,1114,945,1106,383,384,354,418,452
"COG0014",470,642,442,388,534,442,574,631,525,763
"COG0015",703,604,668,549,613,574,843,783,715,638
"COG0016",526,523,529,366,473,457,525,484,485,529
"COG0017",760,676,645,490,770,683,641,591,709,691
"COG0018",949,903,947,672,921,749,950,872,875,918
"COG0019",929,910,893,671,972,816,939,987,971,1116
"COG0020",379,310,358,230,341,276,431,428,401,394
"COG0021",289,438,287,682,361,486,538,830,441,372
"COG0022",58,189,66,120,130,216,82,37,85,127
"COG0023",71,129,48,101,93,88,49,82,41,78
"COG0024",634,672,692,464,769,644,656,626,694,719
"COG0025",162,32,123,352,75,74,92,120,146,86
"COG0026",13,40,9,222,15,32,60,27,3,32
"COG0027",144,268,93,229,200,52,48,121,71,86
"COG0028",949,1210,1206,1618,1176,1046,869,1364,1216,1247
"COG0029",468,572,439,424,567,434,507,618,511,588
"COG0030",742,568,696,616,654,656,617,497,738,467
"COG0031",227,208,205,165,204,570,637,459,601,690
"COG0033",10,10,0,198,6,31,15,1,2,24
"COG0034",1093,1010,968,651,933,829,1020,1365,1122,973
"COG0035",419,431,418,267,434,341,428,411,397,422
"COG0036",425,252,550,407,365,277,396,424,414,392
"COG0037",1176,1207,1130,729,1040,1025,1026,843,1043,1168
"COG0038",624,952,534,899,773,813,723,905,712,932
"COG0039",574,739,637,576,630,672,676,714,629,699
"COG0040",281,356,256,294,339,275,388,418,313,380
"COG0041",298,240,285,195,265,243,287,304,286,296
"COG0042",780,831,753,816,763,741,722,538,787,908
"COG0043",37,97,27,225,57,98,59,51,29,71
"COG0044",637,698,625,651,681,603,788,665,715,774
