"","NOF005","DLM012","NOM027","NLF005","NLM006","NOM026","NOM007","NLM028","NOF009","NLM021"
"COG0001",113,73,383,83,138,223,144,90,84,220
"COG0002",435,457,640,398,419,363,332,475,399,420
"COG0003",113,22,9,40,49,8,19,26,32,26
"COG0004",531,587,678,562,366,477,474,418,384,535
"COG0005",240,101,195,317,226,163,317,199,316,249
"COG0006",1308,863,688,1054,1259,1033,1130,1173,1347,1254
"COG0007",129,130,515,128,219,308,72,199,78,135
"COG0008",1204,1360,1616,1278,1342,372,513,432,352,473
"COG0009",602,507,547,541,613,580,509,642,582,556
"COG0010",122,97,190,197,157,241,137,188,220,215
"COG0011",10,201,74,4,2,15,11,10,6,6
"COG0012",507,489,564,624,473,487,634,532,454,531
"COG0013",1154,1223,1222,1224,1080,865,1132,1020,1012,1297
"COG0014",547,566,589,435,495,467,325,504,601,575
"COG0015",635,758,794,721,712,632,658,663,598,735
"COG0016",507,523,513,598,462,455,573,467,545,521
"COG0017",776,332,243,672,571,558,737,743,625,703
"COG0018",937,976,1009,958,773,779,921,909,874,922
"COG0019",954,945,1390,1056,983,869,1131,1043,846,901
"COG0020",293,503,402,377,356,457,434,330,370,315
"COG0021",354,625,1221,483,698,421,531,404,473,487
"COG0022",116,44,13,65,104,73,29,124,203,120
"COG0023",110,18,5,62,132,59,48,59,126,88
"COG0024",694,500,588,843,577,652,853,654,717,666
"COG0025",70,975,435,209,187,382,125,148,95,85
"COG0026",10,387,207,9,31,83,10,7,18,36
"COG0027",156,337,174,217,308,133,199,181,338,226
"COG0028",1226,1771,1378,1006,830,1270,874,1655,959,1114
"COG0029",531,333,445,487,656,436,484,535,690,573
"COG0030",224,362,224,210,310,608,746,590,506,618
"COG0031",581,605,660,496,493,605,434,680,500,625
"COG0033",7,465,240,12,10,7,1,0,0,0
"COG0034",955,858,691,1021,1010,645,1102,873,963,1029
"COG0035",141,142,125,129,149,423,468,428,399,386
"COG0036",370,406,680,407,444,504,378,362,284,372
"COG0037",1053,895,879,1093,794,1034,1170,1124,907,986
"COG0038",769,1406,701,767,807,889,823,807,947,869
"COG0039",622,1101,1478,558,756,572,681,631,755,714
"COG0040",345,367,361,272,361,241,271,308,345,300
"COG0041",265,305,265,290,297,318,344,269,245,266
"COG0042",794,796,630,760,688,903,789,908,867,774
"COG0043",22,34,103,11,35,186,46,59,103,41
"COG0044",223,274,332,224,209,671,645,724,653,681
"COG0045",38,390,359,33,140,97,11,49,92,48
"COG0046",1260,1373,1798,1459,1173,1003,1419,1403,1188,1211
"COG0047",1080,1244,1848,1195,1000,765,1356,1196,1005,984
"COG0048",158,265,288,232,164,289,237,154,127,176
"COG0049",329,312,379,413,318,347,432,267,229,276
"COG0050",670,666,500,829,432,827,805,608,716,671
"COG0051",225,224,299,268,277,220,301,220,169,227
"COG0052",321,400,279,381,391,345,460,333,265,310
"COG0053",554,435,479,523,486,577,487,502,445,504
"COG0054",224,97,146,218,237,220,192,178,193,231
"COG0055",704,833,1021,918,487,840,669,967,439,816
"COG0056",855,975,1119,1046,581,920,747,1145,691,960
"COG0057",509,564,480,583,413,470,521,439,424,512
"COG0058",1417,1482,1667,1663,1074,1524,1852,1495,928,1391
"COG0059",516,877,710,411,438,457,337,535,435,413
"COG0060",1062,1299,1153,1422,957,1046,1539,1022,1138,1331
"COG0061",332,483,345,434,386,377,478,361,337,380
"COG0062",369,466,591,503,419,338,594,420,395,364
"COG0063",408,633,571,510,448,349,598,504,475,433
"COG0064",241,691,698,404,134,260,356,241,104,290
"COG0065",555,629,938,460,449,506,361,656,403,570
"COG0066",284,375,560,225,299,332,219,264,258,269
"COG0067",1170,1299,1262,1053,875,669,801,1033,911,907
"COG0068",99,79,790,34,224,236,46,43,87,75
"COG0069",1181,1222,1333,1082,884,687,819,1043,917,963
"COG0070",1069,1275,918,993,764,244,274,361,248,305
"COG0071",416,282,257,412,380,539,472,388,242,351
