"","DLM023","NLF009","NLF012","NLM006","NLM025","NOF006","DLF013","NLM002","DOF009","DOM016"
"COG0001",110,116,181,140,129,36,84,14,32,42
"COG0002",516,417,455,438,443,379,418,259,373,416
"COG0003",86,104,105,43,6,151,146,23,73,127
"COG0004",612,416,565,312,609,423,528,595,420,401
"COG0005",191,219,279,232,296,236,266,395,276,241
"COG0006",1207,1153,1229,1311,1536,1214,1182,1664,1272,1453
"COG0007",140,51,97,211,94,43,133,55,64,186
"COG0008",1519,1146,1306,1329,1909,1013,1430,1507,1381,1300
"COG0009",512,564,573,567,486,533,594,420,564,608
"COG0010",84,79,67,51,53,162,146,59,211,139
"COG0011",12,1,7,3,6,5,21,3,23,0
"COG0012",539,490,538,480,511,360,530,722,538,462
"COG0013",1170,949,1145,1117,1164,932,1189,1419,1127,1172
"COG0014",581,437,598,543,473,452,499,482,460,575
"COG0015",692,539,672,637,698,445,670,825,715,658
"COG0016",463,478,479,402,520,435,507,577,475,510
"COG0017",960,765,643,557,669,582,591,702,619,638
"COG0018",301,256,284,270,304,730,903,902,838,897
"COG0019",1029,787,1017,1064,1179,894,966,1277,875,1080
"COG0020",333,340,336,372,470,312,322,458,397,335
"COG0021",325,371,410,655,687,381,284,1056,499,626
"COG0022",66,202,145,116,21,346,175,14,91,183
"COG0023",45,113,103,128,23,175,88,30,130,103
"COG0024",588,643,704,587,724,635,693,963,711,673
"COG0025",62,88,80,172,72,15,28,36,108,42
"COG0026",18,28,15,22,13,11,60,41,59,22
"COG0027",141,199,271,311,311,282,232,622,298,308
"COG0028",1250,1055,1164,851,1247,1138,1126,984,944,1176
"COG0029",383,461,640,614,593,528,579,930,530,623
"COG0030",217,270,164,359,242,408,777,534,469,750
"COG0031",692,548,644,466,574,523,612,472,605,568
"COG0033",3,2,2,13,161,16,30,33,80,15
"COG0034",319,283,357,308,417,799,1143,1541,942,933
"COG0035",486,433,468,429,423,107,107,162,160,119
"COG0036",363,367,297,441,391,254,377,453,374,294
"COG0037",1029,911,987,798,927,810,1031,834,849,982
"COG0038",828,760,942,802,653,936,908,1053,971,861
"COG0039",594,665,641,765,619,728,666,672,533,760
