"","DLM002","NOM010","DOM001","NOF010","DOF003","DOM022","NLM031","NLM004","NLF010","DLF014"
"COG0001",98,69,62,33,54,83,151,54,52,109
"COG0002",228,230,206,201,191,186,211,210,202,267
"COG0003",26,52,45,12,68,54,17,8,122,65
"COG0004",343,248,231,297,184,165,270,384,141,394
"COG0005",140,122,150,183,132,157,110,167,90,112
"COG0006",544,707,601,656,599,691,626,626,754,502
"COG0007",96,44,68,27,35,69,38,69,60,150
"COG0008",780,659,713,683,618,442,480,426,295,481
"COG0009",252,282,272,227,272,254,232,200,336,263
"COG0010",67,59,95,67,113,73,54,29,62,49
"COG0011",2,10,3,0,2,2,2,5,3,43
"COG0012",253,228,265,260,228,310,246,320,162,240
"COG0013",513,642,516,554,537,687,611,509,464,575
"COG0014",227,296,246,247,202,235,300,280,244,301
"COG0015",337,311,353,358,276,322,307,310,272,361
"COG0016",263,268,239,189,203,226,250,208,233,241
"COG0017",259,319,286,322,318,294,351,311,319,202
"COG0018",403,429,386,394,372,411,376,397,495,468
"COG0019",555,476,446,507,394,480,478,496,526,528
"COG0020",219,188,227,167,146,157,187,232,193,217
"COG0021",263,261,325,306,224,332,212,218,278,328
"COG0022",47,65,80,55,100,56,62,6,86,32
"COG0023",26,55,46,44,56,26,59,5,86,12
"COG0024",310,331,321,283,327,363,330,379,348,308
"COG0025",58,40,39,39,30,23,51,46,23,215
"COG0026",7,14,28,16,24,31,3,12,4,121
"COG0027",104,91,175,170,100,132,93,95,151,90
"COG0028",517,567,483,570,564,502,609,571,404,725
"COG0029",234,272,238,258,260,329,270,291,295,293
"COG0030",378,290,361,238,327,292,303,381,409,469
"COG0031",327,341,241,278,305,214,381,250,288,345
"COG0033",0,1,2,4,15,21,0,4,2,195
"COG0034",473,500,494,591,396,497,476,496,442,405
"COG0035",215,205,243,181,190,205,197,237,242,183
"COG0036",235,173,163,141,117,198,155,188,209,285
"COG0037",513,511,511,466,500,416,661,475,409,411
"COG0038",325,406,393,449,390,391,398,321,450,642
"COG0039",365,371,271,296,318,367,363,250,497,431
"COG0040",154,172,193,186,137,141,154,168,185,208
"COG0041",140,134,125,136,99,163,143,131,159,158
"COG0042",333,394,346,290,340,344,365,352,394,377
"COG0043",55,18,120,22,39,61,37,11,32,55
"COG0044",328,316,316,339,283,394,375,330,283,463
"COG0045",28,18,31,26,43,37,15,3,29,89
"COG0046",641,632,623,652,497,675,581,728,524,738
"COG0047",551,632,488,561,477,587,503,685,466,693
"COG0048",106,96,97,102,93,105,80,113,59,94
"COG0049",172,142,149,97,137,159,135,164,118,152
"COG0050",306,299,337,322,287,322,236,332,293,383
"COG0051",112,122,122,93,114,103,116,78,111,123
"COG0052",195,152,213,176,158,218,144,229,119,143
"COG0053",260,243,265,225,232,217,240,222,241,225
"COG0054",109,96,125,104,95,91,121,99,109,54
"COG0055",248,253,174,200,216,357,370,398,223,337
"COG0056",446,410,314,401,367,380,426,469,261,438
"COG0057",272,218,260,266,230,240,213,274,181,294
"COG0058",768,685,597,574,568,634,706,641,564,791
"COG0059",191,205,201,220,211,189,254,197,213,378
"COG0060",659,614,560,754,532,382,478,447,254,386
"COG0061",211,187,169,190,177,200,226,226,148,213
"COG0062",256,213,211,277,156,286,225,347,151,177
"COG0063",252,220,219,263,170,289,238,306,170,342
"COG0064",141,128,95,62,91,97,114,119,71,280
"COG0065",308,233,283,297,257,252,278,246,164,437
"COG0066",123,158,129,128,112,120,152,112,154,183
"COG0067",494,574,453,522,434,374,534,614,303,581
"COG0068",70,14,37,37,28,116,16,34,73,141
"COG0069",605,605,510,521,443,353,540,593,341,621
"COG0070",486,542,401,460,455,334,482,583,253,640
"COG0071",216,160,159,173,118,201,154,234,214,235
"COG0072",442,420,442,347,429,422,390,362,270,513
"COG0073",900,912,820,753,782,882,819,772,598,848
"COG0074",34,13,39,28,51,68,19,16,42,105
"COG0075",150,147,128,219,151,161,198,165,248,39
"COG0076",54,131,142,140,125,100,101,8,164,20
"COG0077",156,167,161,167,165,103,192,215,159,283
"COG0078",272,246,293,272,227,218,290,299,238,367
"COG0079",449,426,439,552,452,489,585,336,458,601
"COG0080",151,136,135,123,114,128,123,146,151,121
"COG0081",189,196,220,188,168,167,135,160,174,232
"COG0082",202,198,236,202,195,172,231,189,163,210
"COG0083",55,30,53,37,19,32,33,35,19,161
"COG0084",227,265,262,257,259,240,265,260,333,288
"COG0085",856,863,841,908,723,858,751,1022,909,799
"COG0086",837,822,798,793,776,808,701,1101,475,817
"COG0087",117,124,108,117,103,188,161,182,189,212
"COG0088",163,166,179,173,163,178,163,191,195,193
"COG0089",136,97,97,80,100,103,73,102,118,100
"COG0090",215,194,179,170,173,220,175,221,120,231
"COG0091",130,113,140,103,124,147,96,102,143,113
"COG0092",176,168,141,128,122,181,146,194,123,154
"COG0093",116,106,108,92,110,97,105,104,68,105
"COG0094",181,158,151,133,115,156,146,161,197,184
"COG0095",79,44,82,44,63,115,35,12,74,91
"COG0096",179,119,154,108,103,111,92,151,78,171
"COG0097",186,129,183,179,127,146,131,181,71,152
"COG0098",158,155,141,139,132,149,137,174,138,170
"COG0099",116,114,104,98,111,97,107,97,113,136
"COG0100",114,108,91,93,87,95,79,131,64,139
"COG0101",241,237,259,208,238,231,247,228,260,302
"COG0102",140,126,132,105,111,138,133,156,90,144
"COG0103",123,93,116,95,104,109,104,130,106,124
"COG0104",320,313,310,326,267,290,340,308,240,344
"COG0105",39,36,46,43,43,82,34,9,81,24
"COG0106",115,171,121,173,131,105,185,168,174,176
"COG0107",185,142,140,186,133,112,200,172,105,216
"COG0108",235,249,250,282,218,252,301,226,280,133
"COG0109",0,0,2,1,1,1,1,0,1,0
"COG0110",764,783,780,781,869,653,919,385,1388,414
"COG0111",287,234,278,258,238,405,473,304,333,851
"COG0112",320,319,290,218,245,288,218,267,243,110
"COG0113",87,70,35,20,43,49,53,39,28,68
"COG0114",14,9,44,20,51,26,30,18,5,102
"COG0115",327,296,335,294,324,363,272,374,329,364
"COG0116",176,183,186,179,174,242,189,272,98,141
"COG0117",191,165,195,206,215,116,145,139,136,72
"COG0118",144,145,134,137,98,93,145,124,134,175
"COG0119",588,562,514,527,557,456,537,637,484,593
"COG0120",15,26,34,16,41,50,19,15,22,70
"COG0121",1,3,4,1,2,0,0,2,2,10
"COG0122",89,60,94,37,48,40,81,46,35,77
"COG0123",5,5,33,3,10,40,2,8,5,0
"COG0124",306,308,307,300,304,267,301,268,271,341
"COG0125",70,60,57,34,39,40,56,59,48,143
"COG0126",185,186,165,175,138,257,255,238,179,238
"COG0127",151,153,153,167,135,153,145,225,138,169
"COG0128",226,254,285,246,239,234,231,319,251,313
"COG0129",343,366,420,450,305,391,356,359,422,580
"COG0130",159,167,177,188,147,185,173,202,126,226
"COG0131",160,200,141,160,133,111,172,126,168,190
"COG0132",50,81,75,77,91,61,69,11,95,66
"COG0133",194,147,168,197,143,188,200,227,161,333
"COG0134",156,157,155,136,99,118,155,171,166,262
"COG0135",86,78,71,110,59,72,76,105,75,110
"COG0136",225,237,219,236,197,248,232,191,138,242
"COG0137",259,286,247,277,226,216,240,262,281,319
"COG0138",391,378,404,392,330,387,394,430,381,337
"COG0139",185,146,157,128,139,106,174,138,176,161
"COG0140",120,125,116,105,128,108,139,94,176,130
"COG0141",225,262,222,229,205,173,209,234,224,286
"COG0142",351,350,345,382,282,413,312,394,390,287
"COG0143",416,462,446,352,418,452,443,488,336,406
"COG0144",365,404,329,308,387,354,407,374,326,367
"COG0145",16,7,45,17,24,58,16,21,11,4
"COG0146",5,4,3,5,8,3,4,9,1,0
"COG0147",317,325,294,287,285,320,322,416,444,422
"COG0148",271,317,325,286,325,265,346,283,237,320
"COG0149",176,190,158,139,168,130,183,92,142,252
"COG0150",247,251,249,242,199,183,146,168,124,156
"COG0151",242,206,216,268,178,270,249,273,168,295
"COG0152",244,195,224,226,211,224,182,225,159,216
"COG0153",276,281,227,285,244,239,268,277,343,255
"COG0154",147,119,101,62,122,92,134,158,72,448
"COG0155",3,5,23,13,20,22,13,20,10,116
"COG0156",271,632,572,562,373,474,418,132,606,67
"COG0157",206,188,172,188,150,177,203,131,158,196
"COG0158",6,3,10,12,7,20,0,6,3,0
"COG0159",101,81,76,109,73,89,127,177,128,171
"COG0160",127,107,20,12,31,25,45,35,35,244
"COG0161",101,167,175,145,199,156,172,37,171,94
"COG0162",244,240,294,279,259,280,235,362,225,292
"COG0163",20,5,38,8,14,22,21,12,25,23
"COG0164",162,150,145,154,134,161,172,171,120,165
"COG0165",307,271,285,329,222,269,269,376,255,327
"COG0166",308,327,329,286,288,284,353,299,276,401
"COG0167",285,331,356,282,360,291,385,186,333,445
"COG0168",610,652,702,625,676,559,677,516,713,544
"COG0169",231,188,199,201,187,233,186,269,132,286
"COG0170",0,0,0,0,1,0,0,0,0,0
"COG0171",365,332,411,419,356,372,376,350,270,413
"COG0172",324,285,248,247,258,294,256,326,265,371
"COG0173",439,503,351,359,349,413,437,445,301,475
"COG0174",197,197,208,167,223,162,276,127,173,480
"COG0175",191,171,113,203,185,172,181,158,388,145
"COG0176",110,101,126,109,137,114,104,73,135,179
"COG0177",107,124,121,111,123,154,173,177,160,202
"COG0178",852,804,979,983,823,917,872,854,730,825
"COG0179",110,77,129,128,100,135,83,60,84,170
"COG0180",301,249,289,278,267,246,254,287,258,359
"COG0181",62,68,45,24,23,51,47,60,22,92
"COG0182",45,21,73,33,38,43,41,21,9,43
"COG0183",110,109,104,89,57,50,64,50,23,159
"COG0184",105,85,96,66,67,62,66,77,94,86
"COG0185",81,95,98,51,84,77,70,79,105,90
"COG0186",109,75,71,67,55,61,54,96,49,95
"COG0187",783,803,805,772,773,936,833,1032,605,933
"COG0188",1025,1023,919,955,914,1093,978,1065,799,905
"COG0189",16,19,24,12,47,14,31,21,10,8
"COG0190",200,230,224,232,212,247,222,223,178,218
"COG0191",351,236,293,320,244,392,245,323,277,461
"COG0192",308,322,330,341,295,340,300,397,280,317
"COG0193",140,167,144,156,165,137,135,138,138,154
"COG0194",273,189,210,198,183,203,191,227,183,222
"COG0195",277,267,315,351,279,312,288,354,299,263
"COG0196",214,159,178,196,172,180,195,265,127,250
"COG0197",162,142,128,128,99,143,144,137,152,143
"COG0198",124,84,101,105,80,100,80,106,58,114
"COG0199",66,52,80,71,75,57,53,85,59,39
"COG0200",144,145,109,138,122,136,129,133,118,165
"COG0201",389,291,328,325,296,355,352,431,274,296
"COG0202",263,207,232,200,226,245,213,260,254,296
"COG0203",158,129,108,102,95,113,127,132,101,114
"COG0204",380,382,316,359,352,414,315,308,508,358
"COG0205",757,829,757,780,647,752,794,575,978,463
"COG0206",307,298,259,230,194,309,259,374,320,314
"COG0207",126,245,145,189,143,161,166,60,288,190
"COG0208",46,66,60,61,90,88,55,36,172,165
"COG0209",220,276,261,308,316,604,304,77,348,377
"COG0210",1224,898,914,1128,714,922,730,893,1031,1707
"COG0211",71,51,57,64,39,55,51,50,59,87
"COG0212",91,95,93,93,84,122,163,145,167,150
"COG0213",77,125,43,30,88,65,99,54,21,120
"COG0214",122,50,86,80,41,78,37,169,37,151
"COG0215",372,274,312,307,266,324,375,405,273,347
"COG0216",232,221,220,239,214,281,247,212,133,302
"COG0217",197,197,177,184,166,191,173,122,132,195
"COG0218",163,84,174,95,111,157,107,138,112,102
"COG0219",95,55,58,43,63,54,79,94,30,161
"COG0220",160,161,199,146,158,193,154,166,215,203
"COG0221",60,32,41,25,42,6,53,26,13,52
"COG0222",108,79,88,74,69,83,76,92,64,119
"COG0223",229,233,231,216,221,209,251,210,300,209
"COG0224",242,290,220,251,236,233,244,295,240,300
"COG0225",61,49,104,82,96,78,60,34,132,160
"COG0226",247,332,268,250,253,285,265,287,296,331
"COG0227",39,38,62,43,43,32,38,27,61,20
"COG0228",74,72,60,83,63,57,96,80,45,72
"COG0229",25,31,45,42,71,60,41,19,38,82
